18-w	NM_001013361.1
5-HT1	NM_001171108.1
5-HT2alpha	NM_001202460.1
5-HT2beta	NM_001204249.1
5-ht7	NM_001077821.1
A4	NM_001114198.1
Abscam	NM_001040235.2
Ac3	NM_001077808.1
AChE-2	NM_001040230.1
Acph-1	NM_001013359.2
ACSF2	NM_001206973.1
Adar	NM_001098214.1
Adk1	NM_001170972.1
AGLU2	NM_001040236.1
Akhr	NM_001040264.1
Amel_8916	NM_001077822.1
Amih	NM_001011568.1
Ancr-1	NR_003566.1
Ant	NM_001010975.1
Antp	NM_001011571.1
Apamin	NM_001011612.1
Apd-1	NM_001085345.1
Apd-2	NM_001085346.1
apd-3	NM_001174145.1
Apd-3	NM_001085344.1
Apid1	NM_001011613.1
Apime-ASTA	NM_001167709.1
Argk	NM_001011603.1
arm	NM_001185105.1
Arp1	NM_001185145.1
ATP5G2	NM_001242656.1
aub	NM_001165906.1
bantam	NR_031508.1
BBIP1	NM_001185086.1
B-gluc1	NM_001163714.1
Blop	NM_001011606.1
Br-c	NM_001040266.2
Brd7	NM_001242516.1
brp	NM_001256039.1
Burs	NM_001098234.1
C1q-VP	NM_001144839.2
Cac	NM_001165904.1
cact1	NM_001163712.1
cad	NM_001252430.1
Calpb	NM_001160405.2
Camkii	NM_001134950.1
Cat	NM_001178069.1
Cbs	NM_001040263.1
Cdc37	NM_001242514.1
Cdk5	NM_001168425.1
Chmp1	NM_001242467.1
c-mos	NM_001011644.2
Coq7	NM_001178067.1
Cox6b1	NM_001172403.1
Cox6c	NM_001172405.1
Cpap3-b	NM_001172378.1
Cpap3-c	NM_001172389.1
Cpap3-d	NM_001172379.1
CPF1	NM_001270831.1
CPF2	NM_001270832.1
CPR1	NM_001270817.1
CPR11	NM_001270823.1
CPR12	NM_001270824.1
CPR13	NM_001270825.1
CPR14	NM_001270813.1
CPR16	NM_001270826.1
CPR17	NM_001270827.1
CPR18	NM_001270828.1
CPR19	NM_001167893.1
CPR2	NM_001270818.1
CPR21	NM_001270815.1
CPR22	NM_001270814.1
CPR27	NM_001270829.1
CPR28	NM_001270830.1
CPR3	NM_001270819.1
CPR4	NM_001270820.1
CPR5	NM_001270821.1
CPR6	NM_001270822.1
crh-BP	NM_001012615.1
Cry2	NM_001083630.1
Cryl1	NM_001135735.1
Crz	NM_001012963.1
Crzr	NM_001143921.1
Csd	XM_026439432.1
CSP1	NM_001077820.1
CSP2	NM_001077810.1
CSP3	NM_001011583.2
CSP4	NM_001077814.1
CSP6	NM_001077819.1
CTL5	NM_001242997.1
CUTA	NM_001242457.1
Cyp314a1	NM_001040257.1
Cyp4g11	NM_001040233.1
CYP6AQ1	NM_001205062.1
Cyp6as5	NM_001040234.1
CytC	NM_001177490.1
Dat	NM_001145738.1
Dcr-1	NM_001123013.2
Def1	NM_001011616.2
Def2	NM_001011638.1
DHRS4	NM_001276427.1
Dl	NM_001171006.1
Dll	NM_001131037.1
Dnmt1a	NM_001171051.1
Dnmt3	NM_001190421.1
Dop1	NM_001011595.1
Dop3	NM_001014983.1
DopR2	NM_001011567.1
Dscam	NM_001014991.1
Dsx	NM_001111255.1
E74	NM_001011631.1
E75	NM_001080110.1
Eaat-2	NM_001011597.1
ecd	NM_001242435.1
Ecr	NM_001159355.1
Ef-1a-f1	NM_001011628.2
EF1a-F2	NM_001014993.1
egh	NM_001242556.1
Eif3h	NM_001242520.1
Eif4g	NM_001191048.2
Emc	NM_001141964.1
EphR	NM_001013006.1
Err	NM_001162516.1
Est-6	NM_001126244.1
Eth	NM_001142607.1
Ets97D-like	NM_001242542.1
eve	NM_001252428.1
Eyg	NM_001114188.1
Fabp	NM_001011630.1
FAR1	NM_001193290.1
Fem	NM_001134828.1
Fibroin1	NM_001136206.1
Fibroin2	NM_001136207.1
Fibroin3	NM_001136208.1
Fibroin4	NM_001136209.1
For	NM_001011581.1
Foxp	NM_001104949.1
Fstl5	NM_001032361.1
Gat-1B	NM_001011643.1
Gat-a	NM_001134934.1
Gb15078	NM_001040203.1
GeneID	TranscriptID
Gfat2	NM_001134949.1
