Def	NM_001280909.1
F1	NM_001280904.1
F2	NM_001280901.1
F3	NM_001280899.1
fem	NM_001280924.1
Kr-h1	NM_001280921.1
LOC100628631	XM_012315442.2
LOC100631053	XM_003395984.3
LOC100631054	XM_012318732.2
LOC100631058	XM_012320214.2
LOC100631059	XM_012318721.2
LOC100631060	XM_012315222.2
LOC100631064	XM_020867936.1
LOC100631065	XM_003400908.3
LOC100631066	XM_012308702.2
LOC100631067	XM_003398158.3
LOC100631070	XM_020862727.1
LOC100631072	XM_020865751.1
LOC100631073	XM_003399699.3
LOC100631077	XM_012316284.2
LOC100631078	XM_003394653.3
LOC100631080	XM_012314816.2
LOC100631082	XM_020867561.1
LOC100631084	XM_020867374.1
LOC100631086	XM_012316807.1
LOC100631087	XM_003401454.3
LOC100631088	XM_003394476.3
LOC100631089	XM_003402727.3
LOC100631090	XM_003400724.3
LOC100631091	XM_012319262.2
LOC100631092	XM_012320822.2
LOC100631093	XM_020863231.1
LOC100631094	XM_003394153.3
LOC100631095	XM_012316809.1
LOC100642190	XM_012308668.2
LOC100642191	XM_020864918.1
LOC100642192	XM_020864816.1
LOC100642193	XM_003393599.3
LOC100642194	XM_020868358.1
LOC100642195	XM_012320367.2
LOC100642196	XM_012320502.1
LOC100642197	XM_012320737.2
LOC100642198	XM_020862743.1
LOC100642199	XM_003394788.3
LOC100642200	XM_012307897.2
LOC100642201	XM_003395115.3
LOC100642202	XM_020862681.1
LOC100642203	XM_003395359.3
LOC100642204	XM_020863429.1
LOC100642205	XM_003396015.3
LOC100642206	XM_003396176.3
LOC100642207	XM_003396258.3
LOC100642208	XM_020863727.1
LOC100642209	XM_003396659.3
LOC100642211	XM_020864290.1
LOC100642212	XM_012311251.1
LOC100642213	XM_020864799.1
LOC100642214	XM_012311768.2
LOC100642216	XM_020864457.1
LOC100642217	XM_020865136.1
LOC100642218	XM_003398114.3
LOC100642219	XM_020864922.1
LOC100642220	XM_003398275.3
LOC100642221	XM_003398356.3
LOC100642223	XM_003399008.3
LOC100642224	XM_012315525.2
LOC100642225	XM_012316261.2
LOC100642226	XM_020866543.1
LOC100642227	XM_012316981.2
LOC100642228	XM_020867248.1
LOC100642229	XM_012317790.2
LOC100642230	XM_012317943.2
LOC100642232	XM_003402836.2
LOC100642233	XM_012319701.2
LOC100642234	XM_003403221.3
LOC100642235	XM_020865175.1
LOC100642236	XM_012310949.2
LOC100642237	XM_012320290.2
LOC100642238	XM_003394159.3
LOC100642239	XM_020868499.1
LOC100642240	XM_012321165.2
LOC100642241	XM_020862918.1
LOC100642242	XM_020862628.1
LOC100642243	XM_012309076.2
LOC100642244	XM_003395441.3
LOC100642245	XM_020863263.1
LOC100642246	XM_003395608.3
LOC100642247	XM_012309199.2
LOC100642248	XM_020863421.1
LOC100642249	XM_003396574.3
LOC100642250	XM_003396823.3
LOC100642251	XM_003396902.2
LOC100642252	XM_020864123.1
LOC100642253	XM_020864651.1
LOC100642254	XM_003398443.3
LOC100642255	XM_003398526.2
LOC100642256	XM_020865306.1
LOC100642257	XM_003399167.2
LOC100642258	XM_012314361.2
LOC100642259	XM_003399401.3
LOC100642260	XM_003399643.3
LOC100642261	XM_012315430.2
LOC100642262	XM_003400451.3
LOC100642263	XM_003400531.3
LOC100642264	XM_003401021.3
LOC100642265	XM_012317169.2
LOC100642267	XM_020867555.1
LOC100642268	XR_002308618.1
LOC100642269	XM_020867631.1
LOC100642270	XM_003402371.3
LOC100642271	XM_020867788.1
LOC100642272	XM_003402909.3
LOC100642273	XM_012319560.2
LOC100642274	XM_020868242.1
LOC100642275	XM_012312812.2
LOC100642277	XM_020867080.1
LOC100642278	XM_012319421.2
