SampleSet	Sample	Reads	MappedReads	PercMapped
AmelFull	AM_N_056	27237028	23745681	87.18
AmelFull	AM_N_068	23508991	11009520	46.83
AmelFull	AM_N_O72	29360104	10474427	35.68
AmelFull	AM_P_053	20712635	17668715	85.30
AmelFull	AM_P_057	20405246	8761874	42.94
AmelFull	AM_P_061	24651402	21272778	86.29
AmelFull	AM_SL_050	22406740	11690960	52.18
AmelFull	AM_SL_054	22132296	19075749	86.19
AmelFull	AM_SL_058	24598864	13092867	53.23
AmelFull	AM_SM_051	22545198	19853375	88.06
AmelFull	AM_SM_059	23643235	15771681	66.71
AmelFull	AM_SM_075	30619653	26625996	86.96
BterFull	BT_A_N_001	29688012	26869169	90.51
BterFull	BT_A_N_025	35625431	32749886	91.93
BterFull	BT_A_N_029	29222637	26692382	91.34
BterFull	BT_A_P_014	28263874	25783586	91.22
BterFull	BT_A_P_026	25764849	23575192	91.50
BterFull	BT_A_P_030	28011633	25677745	91.67
BterFull	BT_A_SL_003	31816484	29039288	91.27
BterFull	BT_A_SL_027	28586708	26098702	91.30
BterFull	BT_A_SL_031	28261816	25646289	90.75
BterFull	BT_A_SM_004	24985516	22531400	90.18
BterFull	BT_A_SM_028	22137709	20166038	91.09
BterFull	BT_A_SM_032	24135446	22102785	91.58
CausFull	CA_N_007	22466256	13168565	58.61
CausFull	CA_N_012	21282603	13568826	63.76
CausFull	CA_N_030	22246700	13036516	58.60
CausFull	CA_P_013	25982762	16327993	62.84
CausFull	CA_P_041	19877916	12343889	62.10
CausFull	CA_P_055	24279801	13416947	55.26
CausFull	CA_SL_019	21126035	12307818	58.26
CausFull	CA_SL_048	26641030	16155702	60.64
CausFull	CA_SL_056	25966418	14624755	56.32
CausFull	CA_SM_029	20773939	12585291	60.58
CausFull	CA_SM_039	24473060	13776525	56.29
CausFull	CA_SM_049	23853859	15211421	63.77
PlanFull	PL_N_1906	22497361	17059717	75.83
PlanFull	PL_N_1908	29043615	22711910	78.20
PlanFull	PL_N_1909	20292440	15155137	74.68
PlanFull	PL_P_1912	23254094	17670872	75.99
PlanFull	PL_P_1915	20335494	15324139	75.36
PlanFull	PL_P_1920	23531406	17572336	74.68
PlanFull	PL_SL_1926	23085782	17778454	77.01
PlanFull	PL_SL_1927	23776036	18492772	77.78
PlanFull	PL_SL_1930	24949811	18898378	75.75
PlanFull	PL_SM_1936	19552850	14865578	76.03
PlanFull	PL_SM_1939	21093368	16418993	77.84
PlanFull	PL_SM_1940	24266444	18512281	76.29
