GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0006967	positive regulation of antifungal peptid...	6	4	0.26	5.0e-05	BP
GO:0050830	defense response to Gram-positive bacter...	12	5	0.52	9.4e-05	BP
GO:0045467	R7 cell development	21	6	0.92	0.0002	BP
GO:0048526	imaginal disc-derived wing expansion	6	3	0.26	0.0015	BP
GO:0009253	peptidoglycan catabolic process	2	2	0.09	0.0019	BP
GO:0030097	hemopoiesis	73	8	3.19	0.0025	BP
GO:0010862	positive regulation of pathway-restricte...	7	3	0.31	0.0025	BP
GO:0008063	Toll signaling pathway	32	6	1.4	0.0053	BP
GO:0033539	fatty acid beta-oxidation using acyl-CoA...	3	2	0.13	0.0055	BP
GO:1905880	negative regulation of oogenesis	3	2	0.13	0.0055	BP
GO:0016201	synaptic target inhibition	10	3	0.44	0.0079	BP
GO:0010951	negative regulation of endopeptidase act...	10	3	0.44	0.0079	BP
GO:0008586	imaginal disc-derived wing vein morphoge...	42	6	1.84	0.0092	BP
GO:0006013	mannose metabolic process	4	2	0.17	0.0108	BP
GO:0035284	brain segmentation	4	2	0.17	0.0108	BP
GO:0006108	malate metabolic process	4	2	0.17	0.0108	BP
GO:0008152	metabolic process	3318	133	145.08	0.0136	BP
GO:0007616	long-term memory	61	7	2.67	0.0163	BP
GO:0007464	R3/R4 cell fate commitment	13	3	0.57	0.0170	BP
GO:0007366	periodic partitioning by pair rule gene	5	2	0.22	0.0174	BP
GO:0045610	regulation of hemocyte differentiation	30	5	1.31	0.0207	BP
GO:0009620	response to fungus	43	9	1.88	0.0243	BP
GO:0034220	ion transmembrane transport	302	19	13.2	0.0245	BP
GO:0008049	male courtship behavior	46	5	2.01	0.0249	BP
GO:0006688	glycosphingolipid biosynthetic process	7	3	0.31	0.0252	BP
GO:0060395	SMAD protein signal transduction	6	2	0.26	0.0254	BP
GO:0006964	positive regulation of biosynthetic proc...	6	2	0.26	0.0254	BP
GO:0032869	cellular response to insulin stimulus	52	3	2.27	0.0256	BP
