GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0045467	R7 cell development	21	5	0.64	0.00033	BP
GO:0008586	imaginal disc-derived wing vein morphoge...	42	6	1.27	0.00149	BP
GO:1905880	negative regulation of oogenesis	3	2	0.09	0.00268	BP
GO:0033539	fatty acid beta-oxidation using acyl-CoA...	3	2	0.09	0.00268	BP
GO:0050830	defense response to Gram-positive bacter...	12	3	0.36	0.00490	BP
GO:0035284	brain segmentation	4	2	0.12	0.00525	BP
GO:0007464	R3/R4 cell fate commitment	13	3	0.39	0.00623	BP
GO:0007366	periodic partitioning by pair rule gene	5	2	0.15	0.00858	BP
GO:0034220	ion transmembrane transport	302	13	9.15	0.01687	BP
GO:0030513	positive regulation of BMP signaling pat...	7	2	0.21	0.01732	BP
GO:0010862	positive regulation of pathway-restricte...	7	2	0.21	0.01732	BP
GO:0016360	sensory organ precursor cell fate determ...	19	3	0.58	0.01850	BP
GO:0061331	epithelial cell proliferation involved i...	8	2	0.24	0.02264	BP
GO:0046323	glucose import	8	2	0.24	0.02264	BP
GO:0008045	motor neuron axon guidance	54	5	1.64	0.02293	BP
GO:0006869	lipid transport	39	5	1.18	0.02372	BP
GO:0042688	crystal cell differentiation	9	2	0.27	0.03014	BP
GO:0060283	negative regulation of oocyte developmen...	1	1	0.03	0.03029	BP
GO:0007462	R1/R6 cell fate commitment	1	1	0.03	0.03029	BP
GO:0032793	positive regulation of CREB transcriptio...	1	1	0.03	0.03029	BP
GO:0006230	TMP biosynthetic process	1	1	0.03	0.03029	BP
GO:1902876	negative regulation of embryonic pattern...	1	1	0.03	0.03029	BP
GO:0019471	4-hydroxyproline metabolic process	1	1	0.03	0.03029	BP
GO:0019442	tryptophan catabolic process to acetyl-C...	1	1	0.03	0.03029	BP
GO:0016039	absorption of UV light	1	1	0.03	0.03029	BP
GO:1902559	3'-phospho-5'-adenylyl sulfate transmemb...	1	1	0.03	0.03029	BP
GO:0035965	cardiolipin acyl-chain remodeling	1	1	0.03	0.03029	BP
GO:0009298	GDP-mannose biosynthetic process	1	1	0.03	0.03029	BP
GO:0009257	10-formyltetrahydrofolate biosynthetic p...	1	1	0.03	0.03029	BP
GO:0038084	vascular endothelial growth factor signa...	1	1	0.03	0.03029	BP
GO:0034196	acylglycerol transport	1	1	0.03	0.03029	BP
GO:0044351	macropinocytosis	1	1	0.03	0.03029	BP
GO:0000032	cell wall mannoprotein biosynthetic proc...	1	1	0.03	0.03029	BP
GO:0048106	establishment of thoracic bristle planar...	1	1	0.03	0.03029	BP
GO:0018401	peptidyl-proline hydroxylation to 4-hydr...	1	1	0.03	0.03029	BP
GO:0071320	cellular response to cAMP	1	1	0.03	0.03029	BP
GO:0045992	negative regulation of embryonic develop...	1	1	0.03	0.03029	BP
GO:0006693	prostaglandin metabolic process	1	1	0.03	0.03029	BP
GO:0097107	postsynaptic density assembly	1	1	0.03	0.03029	BP
GO:0051045	negative regulation of membrane protein ...	1	1	0.03	0.03029	BP
GO:0031991	regulation of actomyosin contractile rin...	1	1	0.03	0.03029	BP
GO:0006435	threonyl-tRNA aminoacylation	1	1	0.03	0.03029	BP
GO:0010571	positive regulation of nuclear cell cycl...	1	1	0.03	0.03029	BP
GO:0045855	negative regulation of pole plasm oskar ...	1	1	0.03	0.03029	BP
GO:0006189	'de novo' IMP biosynthetic process	1	1	0.03	0.03029	BP
GO:0035314	scab formation	1	1	0.03	0.03029	BP
GO:0015771	trehalose transport	1	1	0.03	0.03029	BP
GO:0048731	system development	1349	50	40.86	0.03288	BP
GO:0008293	torso signaling pathway	24	3	0.73	0.03461	BP
GO:0006357	regulation of transcription by RNA polym...	481	25	14.57	0.03494	BP
