GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0006967	positive regulation of antifungal peptid...	6	3	0.04	6.2e-06	BP
GO:0010951	negative regulation of endopeptidase act...	10	3	0.07	3.7e-05	BP
GO:0008063	Toll signaling pathway	32	5	0.22	0.00017	BP
GO:0045751	negative regulation of Toll signaling pa...	9	2	0.06	0.00167	BP
GO:0046843	dorsal appendage formation	39	3	0.27	0.00243	BP
GO:0035007	regulation of melanization defense respo...	3	2	0.02	0.00682	BP
GO:0006585	dopamine biosynthetic process from tyros...	1	1	0.01	0.00700	BP
GO:0006587	serotonin biosynthetic process from tryp...	1	1	0.01	0.00700	BP
GO:0033215	reductive iron assimilation	1	1	0.01	0.00700	BP
GO:0002229	defense response to oomycetes	1	1	0.01	0.00700	BP
GO:0032504	multicellular organism reproduction	785	11	5.5	0.00864	BP
GO:0009611	response to wounding	85	3	0.6	0.01254	BP
GO:1904776	regulation of protein localization to ce...	2	1	0.01	0.01396	BP
GO:0035106	operant conditioning	2	1	0.01	0.01396	BP
GO:0034761	positive regulation of iron ion transmem...	2	1	0.01	0.01396	BP
GO:0071421	manganese ion transmembrane transport	2	1	0.01	0.01396	BP
GO:0060586	multicellular organismal iron ion homeos...	2	1	0.01	0.01396	BP
GO:0035009	negative regulation of melanization defe...	2	1	0.01	0.01396	BP
GO:0019509	L-methionine salvage from methylthioaden...	2	1	0.01	0.01396	BP
GO:0030097	hemopoiesis	73	3	0.51	0.01405	BP
GO:0007618	mating	77	3	0.54	0.01621	BP
GO:0019732	antifungal humoral response	10	4	0.07	0.01921	BP
GO:0009617	response to bacterium	89	3	0.62	0.02007	BP
GO:0033212	iron import into cell	4	2	0.03	0.02031	BP
GO:0035434	copper ion transmembrane transport	3	1	0.02	0.02087	BP
GO:0045434	negative regulation of female receptivit...	3	1	0.02	0.02087	BP
GO:0046844	chorion micropyle formation	3	1	0.02	0.02087	BP
GO:0098725	symmetric cell division	3	1	0.02	0.02087	BP
GO:0051591	response to cAMP	3	1	0.02	0.02087	BP
GO:0006895	Golgi to endosome transport	3	1	0.02	0.02087	BP
GO:0046718	viral entry into host cell	3	1	0.02	0.02087	BP
GO:0045087	innate immune response	104	5	0.73	0.02627	BP
GO:0032496	response to lipopolysaccharide	4	1	0.03	0.02773	BP
GO:0045823	positive regulation of heart contraction	4	1	0.03	0.02773	BP
GO:0015677	copper ion import	4	1	0.03	0.02773	BP
GO:0098734	macromolecule depalmitoylation	4	1	0.03	0.02773	BP
GO:0006013	mannose metabolic process	4	1	0.03	0.02773	BP
GO:0008152	metabolic process	3318	27	23.24	0.02921	BP
GO:0045886	negative regulation of synaptic assembly...	39	2	0.27	0.03006	BP
GO:0035404	histone-serine phosphorylation	5	1	0.04	0.03454	BP
GO:0007352	zygotic specification of dorsal/ventral ...	5	1	0.04	0.03454	BP
GO:0046058	cAMP metabolic process	5	1	0.04	0.03454	BP
GO:0032790	ribosome disassembly	5	1	0.04	0.03454	BP
GO:0007399	nervous system development	874	8	6.12	0.03550	BP
