GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0050830	defense response to Gram-positive bacter...	12	2	0.12	0.0057	BP
GO:0009257	10-formyltetrahydrofolate biosynthetic p...	1	1	0.01	0.0097	BP
GO:0038084	vascular endothelial growth factor signa...	1	1	0.01	0.0097	BP
GO:0006554	lysine catabolic process	1	1	0.01	0.0097	BP
GO:0006043	glucosamine catabolic process	1	1	0.01	0.0097	BP
GO:0046948	hydroxylysine catabolic process	1	1	0.01	0.0097	BP
GO:0007280	pole cell migration	19	2	0.18	0.0141	BP
GO:2000305	semaphorin-plexin signaling pathway invo...	2	1	0.02	0.0192	BP
GO:0045739	positive regulation of DNA repair	2	1	0.02	0.0192	BP
GO:2001240	negative regulation of extrinsic apoptot...	2	1	0.02	0.0192	BP
GO:1990592	protein K69-linked ufmylation	2	1	0.02	0.0192	BP
GO:0035106	operant conditioning	2	1	0.02	0.0192	BP
GO:0016576	histone dephosphorylation	2	1	0.02	0.0192	BP
GO:0070285	pigment cell development	2	1	0.02	0.0192	BP
GO:0008152	metabolic process	3318	28	32.03	0.0202	BP
GO:0009636	response to toxic substance	108	4	1.04	0.0275	BP
GO:0030041	actin filament polymerization	44	2	0.42	0.0283	BP
GO:0045434	negative regulation of female receptivit...	3	1	0.03	0.0287	BP
GO:0046844	chorion micropyle formation	3	1	0.03	0.0287	BP
GO:0048383	mesectoderm development	3	1	0.03	0.0287	BP
GO:0048010	vascular endothelial growth factor recep...	3	1	0.03	0.0287	BP
GO:0003380	establishment or maintenance of cytoskel...	3	1	0.03	0.0287	BP
GO:0051591	response to cAMP	3	1	0.03	0.0287	BP
GO:0106074	aminoacyl-tRNA metabolism involved in tr...	3	1	0.03	0.0287	BP
GO:0030240	skeletal muscle thin filament assembly	3	1	0.03	0.0287	BP
GO:0009113	purine nucleobase biosynthetic process	3	1	0.03	0.0287	BP
GO:0043066	negative regulation of apoptotic process	81	4	0.78	0.0292	BP
GO:0007419	ventral cord development	31	2	0.3	0.0356	BP
GO:0032496	response to lipopolysaccharide	4	1	0.04	0.0381	BP
GO:0001744	insect visual primordium formation	4	1	0.04	0.0381	BP
GO:0097254	renal tubular secretion	4	1	0.04	0.0381	BP
GO:0045823	positive regulation of heart contraction	4	1	0.04	0.0381	BP
GO:0007637	proboscis extension reflex	4	1	0.04	0.0381	BP
GO:0035284	brain segmentation	4	1	0.04	0.0381	BP
GO:0010470	regulation of gastrulation	4	1	0.04	0.0381	BP
GO:0043519	regulation of myosin II filament organiz...	4	1	0.04	0.0381	BP
GO:0060323	head morphogenesis	4	1	0.04	0.0381	BP
GO:0008584	male gonad development	4	1	0.04	0.0381	BP
GO:0060027	convergent extension involved in gastrul...	4	1	0.04	0.0381	BP
GO:0007319	negative regulation of oskar mRNA transl...	5	1	0.05	0.0474	BP
GO:0007630	jump response	5	1	0.05	0.0474	BP
GO:0048149	behavioral response to ethanol	40	2	0.39	0.0565	BP
GO:0006568	tryptophan metabolic process	6	1	0.06	0.0566	BP
GO:0006044	N-acetylglucosamine metabolic process	6	1	0.06	0.0566	BP
GO:0015711	organic anion transport	109	3	1.05	0.0583	BP
GO:0030036	actin cytoskeleton organization	224	5	2.16	0.0588	BP
GO:0045944	positive regulation of transcription by ...	220	5	2.12	0.0595	BP
GO:0003015	heart process	30	2	0.29	0.0647	BP
GO:1901409	positive regulation of phosphorylation o...	7	1	0.07	0.0657	BP
GO:0008348	negative regulation of antimicrobial hum...	7	1	0.07	0.0657	BP
GO:0001746	Bolwig's organ morphogenesis	7	1	0.07	0.0657	BP
GO:0006688	glycosphingolipid biosynthetic process	7	1	0.07	0.0657	BP
GO:0007516	hemocyte development	8	1	0.08	0.0747	BP
GO:0045737	positive regulation of cyclin-dependent ...	8	1	0.08	0.0747	BP
GO:0045087	innate immune response	104	3	1	0.0783	BP
GO:0061327	anterior Malpighian tubule development	9	1	0.09	0.0837	BP
GO:0016201	synaptic target inhibition	10	1	0.1	0.0925	BP
GO:0042866	pyruvate biosynthetic process	10	1	0.1	0.0925	BP
GO:0008045	motor neuron axon guidance	54	2	0.52	0.0952	BP
GO:0061343	cell adhesion involved in heart morphoge...	11	1	0.11	0.1013	BP
GO:0098656	anion transmembrane transport	120	3	1.16	0.1087	BP
GO:0007522	visceral muscle development	12	1	0.12	0.1100	BP
GO:0007271	synaptic transmission, cholinergic	12	1	0.12	0.1100	BP
GO:0034097	response to cytokine	12	1	0.12	0.1100	BP
GO:0006096	glycolytic process	12	1	0.12	0.1100	BP
GO:0060079	excitatory postsynaptic potential	12	1	0.12	0.1100	BP
GO:0042060	wound healing	60	2	0.58	0.1136	BP
GO:0046677	response to antibiotic	61	2	0.59	0.1168	BP
GO:0007464	R3/R4 cell fate commitment	13	1	0.13	0.1186	BP
GO:0019359	nicotinamide nucleotide biosynthetic pro...	13	1	0.13	0.1186	BP
GO:0045176	apical protein localization	14	1	0.14	0.1271	BP
GO:0046529	imaginal disc fusion, thorax closure	14	1	0.14	0.1271	BP
GO:0010941	regulation of cell death	229	5	2.21	0.1306	BP
GO:0035099	hemocyte migration	15	1	0.14	0.1356	BP
GO:0008592	regulation of Toll signaling pathway	15	1	0.14	0.1356	BP
GO:0048803	imaginal disc-derived male genitalia mor...	15	1	0.14	0.1356	BP
GO:0045880	positive regulation of smoothened signal...	16	1	0.15	0.1440	BP
GO:0009166	nucleotide catabolic process	16	1	0.15	0.1440	BP
GO:0009653	anatomical structure morphogenesis	1166	12	11.26	0.1443	BP
GO:0007435	salivary gland morphogenesis	71	2	0.69	0.1494	BP
GO:0007498	mesoderm development	77	3	0.74	0.1548	BP
GO:0007416	synapse assembly	153	3	1.48	0.1584	BP
GO:0015718	monocarboxylic acid transport	18	1	0.17	0.1605	BP
