AM_N_056	AM_N_068	AM_N_072	AM_P_053	AM_P_057	AM_P_061	AM_SL_050	AM_SL_054	AM_SL_058	AM_SM_051	AM_SM_059	AM_SM_075
18-w	706	561	327	625	335	586	456	512	514	493	404	714
5-HT1	367.00028	254.00045717	111	314.9997	203.0002694	334.00475654	309.00114	387.000627	267.00141	337.99971	491.000466395997	519.9995
5-HT2alpha	111	84	68.000006953	121	39.00004	88.999960547	76.99997	93.99996831136	81.99997	108	118	143.9999
5-HT2beta	98.01932	48	49.99992	45	31	72.0542	26	64.0295	31.0137	62	49.99996	115
5-ht7	8	1	3	9	3	5	4	1	3	5	5	9
A4	26410	3144.9	4414	8412.98	2585.98	5818	1633.93	6544.44	2064.92	4468.63	3341	6057
Abscam	213.999605686	45.0000254	59.000046	145.000209	64.9999484	68.0000484820964	53.99997717	143.000386	98.999984216621	100.000039	93.4280355	162.000460467
Ac3	691.001	258	289.9998	437.0005	148	261.0005	214	549.001	183.0002	360.9998	321.0001	708
AChE-2	135.119	77.1995	79.0835	142.338	45.0692	114.163	63.2251	86.2852	88.2482	86.1945	33.1182	146.103
Acph-1	1634.0007	798.0006	350.9998	1324.9993	801.999	12551.992	1458.0004	3380.0006	2338.0003	6829.993	6133.996	5601.003
ACSF2	1257.119	183.9999	248.1577	439.742	180.6283	363.4408	110.00539	484.377	187.7708	570.5312	192.6996	427.7444
Adar	2115.6477	1547.5697	1021.5775	1981.5407	869.3941	1902.4575	1385.01128	1221.3019	1603.4132	1507.25336	1111.4104	2342.5985
Adk1	1159	402	454	478	252	366	304	836	500	962	294	1256
AGLU2	56267	139616	46478	95601	83408	245973	113594	108843	69073	179141	151482	67639
Akhr	508	207	323	239	166	223	176	461	158	246	264	344
Amel_8916	0	0	0	0	0	0	0	0	0	0	0	0
Amih	2064.2213	783.638344261	915.420144	1852.3199091102	862.66994	994.383941177298	1230.568466	1397.5551608372	1233.89125880528	1481.73882379559	1556.7310517288	1863.01748011915
Ancr-1	242649	115001	122023	202026	72906	220348	124715	159682	106868	173072	126505	225365
Ant	56503	28021	24682	36890	20414	38167	25777	49168	26404	47898	31902	60824
