GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0009113	purine nucleobase biosynthetic process	2	2	0.03	0.00026	BP
GO:0006564	L-serine biosynthetic process	3	2	0.05	0.00077	BP
GO:0055085	transmembrane transport	374	10	6.07	0.00132	BP
GO:0007378	amnioserosa formation	5	2	0.08	0.00252	BP
GO:0017015	regulation of transforming growth factor...	6	2	0.1	0.00374	BP
GO:0060395	SMAD protein signal transduction	6	2	0.1	0.00374	BP
GO:0010862	positive regulation of pathway-restricte...	7	2	0.11	0.00518	BP
GO:0006517	protein deglycosylation	7	2	0.11	0.00518	BP
GO:0030513	positive regulation of BMP signaling pat...	7	2	0.11	0.00518	BP
GO:0090100	positive regulation of transmembrane rec...	22	6	0.36	0.00627	BP
GO:0008152	metabolic process	3408	59	55.29	0.00638	BP
GO:0035204	negative regulation of lamellocyte diffe...	9	2	0.15	0.00870	BP
GO:0046835	carbohydrate phosphorylation	9	2	0.15	0.00870	BP
GO:0008293	torso signaling pathway	27	3	0.44	0.00911	BP
GO:0048581	negative regulation of post-embryonic de...	10	2	0.16	0.01076	BP
GO:0030301	cholesterol transport	10	2	0.16	0.01076	BP
GO:1903707	negative regulation of hemopoiesis	10	2	0.16	0.01076	BP
GO:0043604	amide biosynthetic process	400	4	6.49	0.01436	BP
GO:0010817	regulation of hormone levels	63	5	1.02	0.01566	BP
GO:1901652	response to peptide	56	2	0.91	0.01620	BP
GO:0005997	xylulose metabolic process	1	1	0.02	0.01622	BP
GO:0035015	elongation of arista core	1	1	0.02	0.01622	BP
GO:0035045	sperm plasma membrane disassembly	1	1	0.02	0.01622	BP
GO:0005986	sucrose biosynthetic process	1	1	0.02	0.01622	BP
GO:0019442	tryptophan catabolic process to acetyl-C...	1	1	0.02	0.01622	BP
GO:0050728	negative regulation of inflammatory resp...	1	1	0.02	0.01622	BP
GO:0035641	locomotory exploration behavior	1	1	0.02	0.01622	BP
GO:0009257	10-formyltetrahydrofolate biosynthetic p...	1	1	0.02	0.01622	BP
