GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0042438	melanin biosynthetic process	4	3	0.02	7.3e-05	BP
GO:0048067	cuticle pigmentation	34	4	0.18	0.00023	BP
GO:0009620	response to fungus	46	4	0.24	0.00034	BP
GO:0048082	regulation of adult chitin-containing cu...	8	2	0.04	0.00072	BP
GO:0007564	regulation of chitin-based cuticle tanni...	9	2	0.05	0.00093	BP
GO:0050830	defense response to Gram-positive bacter...	13	2	0.07	0.00198	BP
GO:0010951	negative regulation of endopeptidase act...	17	2	0.09	0.00341	BP
GO:0035007	regulation of melanization defense respo...	3	2	0.02	0.00504	BP
GO:0009914	hormone transport	14	2	0.07	0.00505	BP
GO:0006583	melanin biosynthetic process from tyrosi...	1	1	0.01	0.00522	BP
GO:0006585	dopamine biosynthetic process from tyros...	1	1	0.01	0.00522	BP
GO:0006587	serotonin biosynthetic process from tryp...	1	1	0.01	0.00522	BP
GO:0036285	SAGA complex assembly	1	1	0.01	0.00522	BP
GO:0048022	negative regulation of melanin biosynthe...	1	1	0.01	0.00522	BP
GO:0002229	defense response to oomycetes	1	1	0.01	0.00522	BP
GO:0035314	scab formation	1	1	0.01	0.00522	BP
GO:0032223	negative regulation of synaptic transmis...	1	1	0.01	0.00522	BP
GO:2001168	positive regulation of histone H2B ubiqu...	1	1	0.01	0.00522	BP
GO:0015870	acetylcholine transport	1	1	0.01	0.00522	BP
GO:0001692	histamine metabolic process	1	1	0.01	0.00522	BP
GO:0043042	amino acid adenylylation by nonribosomal...	1	1	0.01	0.00522	BP
GO:0009611	response to wounding	85	3	0.44	0.00643	BP
GO:0035165	embryonic crystal cell differentiation	2	1	0.01	0.01042	BP
GO:0034761	positive regulation of iron ion transmem...	2	1	0.01	0.01042	BP
GO:0071421	manganese ion transmembrane transport	2	1	0.01	0.01042	BP
GO:0060586	multicellular organismal iron ion homeos...	2	1	0.01	0.01042	BP
GO:0015871	choline transport	2	1	0.01	0.01042	BP
GO:0035009	negative regulation of melanization defe...	2	1	0.01	0.01042	BP
GO:0042690	negative regulation of crystal cell diff...	2	1	0.01	0.01042	BP
GO:0032491	detection of molecule of fungal origin	2	1	0.01	0.01042	BP
GO:0035434	copper ion transmembrane transport	3	1	0.02	0.01558	BP
GO:0007393	dorsal closure, leading edge cell fate d...	3	1	0.02	0.01558	BP
GO:0033387	putrescine biosynthetic process from orn...	3	1	0.02	0.01558	BP
GO:0035211	spermathecum morphogenesis	3	1	0.02	0.01558	BP
GO:0000244	spliceosomal tri-snRNP complex assembly	3	1	0.02	0.01558	BP
GO:0002752	cell surface pattern recognition recepto...	3	1	0.02	0.01558	BP
GO:0046718	viral entry into host cell	3	1	0.02	0.01558	BP
GO:0043433	negative regulation of DNA-binding trans...	4	1	0.02	0.02073	BP
GO:0035170	lymph gland crystal cell differentiation	4	1	0.02	0.02073	BP
GO:0015677	copper ion import	4	1	0.02	0.02073	BP
GO:0033212	iron import into cell	4	1	0.02	0.02073	BP
GO:0097688	glutamate receptor clustering	4	1	0.02	0.02073	BP
GO:0061101	neuroendocrine cell differentiation	4	1	0.02	0.02073	BP
GO:0042691	positive regulation of crystal cell diff...	4	1	0.02	0.02073	BP
GO:0042440	pigment metabolic process	83	6	0.43	0.02158	BP
GO:0007352	zygotic specification of dorsal/ventral ...	5	1	0.03	0.02584	BP
GO:0006967	positive regulation of antifungal peptid...	5	1	0.03	0.02584	BP
GO:0007486	imaginal disc-derived female genitalia d...	5	1	0.03	0.02584	BP
GO:0048526	imaginal disc-derived wing expansion	6	1	0.03	0.03093	BP
GO:0046887	positive regulation of hormone secretion	6	1	0.03	0.03093	BP
GO:0050916	sensory perception of sweet taste	6	1	0.03	0.03093	BP
GO:0060395	SMAD protein signal transduction	6	1	0.03	0.03093	BP
GO:0046665	amnioserosa maintenance	6	1	0.03	0.03093	BP
GO:0042133	neurotransmitter metabolic process	21	2	0.11	0.03482	BP
GO:0051897	positive regulation of protein kinase B ...	7	1	0.04	0.03600	BP
