GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0009620	response to fungus	46	8	0.39	7.7e-06	BP
GO:0032491	detection of molecule of fungal origin	2	2	0.02	6.9e-05	BP
GO:0009631	cold acclimation	12	3	0.1	0.00012	BP
GO:0050830	defense response to Gram-positive bacter...	13	3	0.11	0.00015	BP
GO:0045751	negative regulation of Toll signaling pa...	13	3	0.11	0.00015	BP
GO:0002752	cell surface pattern recognition recepto...	3	2	0.03	0.00021	BP
GO:0010951	negative regulation of endopeptidase act...	17	3	0.14	0.00035	BP
GO:0042438	melanin biosynthetic process	4	2	0.03	0.00041	BP
GO:0007465	R7 cell fate commitment	18	3	0.15	0.00041	BP
GO:0008293	torso signaling pathway	27	3	0.23	0.00140	BP
GO:0032869	cellular response to insulin stimulus	54	4	0.45	0.00173	BP
GO:0042759	long-chain fatty acid biosynthetic proce...	8	2	0.07	0.00187	BP
GO:0034625	fatty acid elongation, monounsaturated f...	11	2	0.09	0.00361	BP
GO:0034626	fatty acid elongation, polyunsaturated f...	11	2	0.09	0.00361	BP
GO:0019367	fatty acid elongation, saturated fatty a...	11	2	0.09	0.00361	BP
GO:0006607	NLS-bearing protein import into nucleus	13	2	0.11	0.00506	BP
GO:0042761	very long-chain fatty acid biosynthetic ...	14	2	0.12	0.00588	BP
GO:0043248	proteasome assembly	15	2	0.13	0.00674	BP
GO:0018107	peptidyl-threonine phosphorylation	15	2	0.13	0.00674	BP
GO:0034605	cellular response to heat	16	2	0.13	0.00767	BP
GO:0035007	regulation of melanization defense respo...	3	2	0.03	0.00821	BP
GO:0072501	cellular divalent inorganic anion homeos...	1	1	0.01	0.00839	BP
GO:0030320	cellular monovalent inorganic anion home...	1	1	0.01	0.00839	BP
GO:0006559	L-phenylalanine catabolic process	1	1	0.01	0.00839	BP
GO:0019442	tryptophan catabolic process to acetyl-C...	1	1	0.01	0.00839	BP
GO:0046475	glycerophospholipid catabolic process	1	1	0.01	0.00839	BP
GO:1902616	acyl carnitine transmembrane transport	1	1	0.01	0.00839	BP
GO:0002229	defense response to oomycetes	1	1	0.01	0.00839	BP
GO:0035641	locomotory exploration behavior	1	1	0.01	0.00839	BP
GO:0060189	positive regulation of protein desumoyla...	1	1	0.01	0.00839	BP
GO:0050728	negative regulation of inflammatory resp...	1	1	0.01	0.00839	BP
GO:0030643	cellular phosphate ion homeostasis	1	1	0.01	0.00839	BP
GO:0010529	negative regulation of transposition	17	2	0.14	0.00864	BP
GO:0035009	negative regulation of melanization defe...	2	1	0.02	0.01671	BP
GO:0019441	tryptophan catabolic process to kynureni...	2	1	0.02	0.01671	BP
GO:0015802	basic amino acid transport	2	1	0.02	0.01671	BP
GO:0071421	manganese ion transmembrane transport	2	1	0.02	0.01671	BP
GO:0060586	multicellular organismal iron ion homeos...	2	1	0.02	0.01671	BP
GO:0019217	regulation of fatty acid metabolic proce...	2	1	0.02	0.01671	BP
GO:0034761	positive regulation of iron ion transmem...	2	1	0.02	0.01671	BP
GO:0030148	sphingolipid biosynthetic process	24	2	0.2	0.01690	BP
GO:0045187	regulation of circadian sleep/wake cycle...	27	2	0.23	0.02115	BP
GO:0035434	copper ion transmembrane transport	3	1	0.03	0.02497	BP
GO:0046718	viral entry into host cell	3	1	0.03	0.02497	BP
GO:0071361	cellular response to ethanol	3	1	0.03	0.02497	BP
GO:0009249	protein lipoylation	3	1	0.03	0.02497	BP
GO:0033387	putrescine biosynthetic process from orn...	3	1	0.03	0.02497	BP
GO:0007526	larval somatic muscle development	31	2	0.26	0.02744	BP
GO:0014065	phosphatidylinositol 3-kinase signaling	17	2	0.14	0.03250	BP
GO:0048067	cuticle pigmentation	34	2	0.29	0.03258	BP
GO:0006812	cation transport	222	3	1.86	0.03302	BP
GO:0045464	R8 cell fate specification	4	1	0.03	0.03315	BP
GO:0051289	protein homotetramerization	4	1	0.03	0.03315	BP
GO:0033212	iron import into cell	4	1	0.03	0.03315	BP
GO:0015677	copper ion import	4	1	0.03	0.03315	BP
GO:0097688	glutamate receptor clustering	4	1	0.03	0.03315	BP
GO:0051607	defense response to virus	35	2	0.29	0.03438	BP
GO:0008152	metabolic process	3408	33	28.6	0.03644	BP
GO:0097237	cellular response to toxic substance	25	2	0.21	0.04052	BP
GO:0006967	positive regulation of antifungal peptid...	5	1	0.04	0.04127	BP
GO:0014068	positive regulation of phosphatidylinosi...	5	1	0.04	0.04127	BP
GO:0007352	zygotic specification of dorsal/ventral ...	5	1	0.04	0.04127	BP
GO:0006457	protein folding	70	3	0.59	0.04848	BP
GO:0061099	negative regulation of protein tyrosine ...	6	1	0.05	0.04932	BP
GO:0080009	mRNA methylation	6	1	0.05	0.04932	BP
GO:0050916	sensory perception of sweet taste	6	1	0.05	0.04932	BP
GO:1901216	positive regulation of neuron death	6	1	0.05	0.04932	BP
GO:0048526	imaginal disc-derived wing expansion	6	1	0.05	0.04932	BP
GO:0018105	peptidyl-serine phosphorylation	44	2	0.37	0.05213	BP
GO:0019732	antifungal humoral response	13	2	0.11	0.05613	BP
GO:0002252	immune effector process	94	3	0.79	0.05723	BP
GO:0071236	cellular response to antibiotic	7	1	0.06	0.05731	BP
GO:0035269	protein O-linked mannosylation	7	1	0.06	0.05731	BP
GO:0042026	protein refolding	7	1	0.06	0.05731	BP
GO:0051897	positive regulation of protein kinase B ...	7	1	0.06	0.05731	BP
GO:0045678	positive regulation of R7 cell different...	7	1	0.06	0.05731	BP
GO:0006357	regulation of transcription by RNA polym...	474	8	3.98	0.05776	BP
GO:0019094	pole plasm mRNA localization	48	2	0.4	0.06088	BP
GO:0008592	regulation of Toll signaling pathway	21	4	0.18	0.06114	BP
GO:0019432	triglyceride biosynthetic process	8	1	0.07	0.06523	BP
GO:0035204	negative regulation of lamellocyte diffe...	9	1	0.08	0.07308	BP
GO:0072488	ammonium transmembrane transport	9	1	0.08	0.07308	BP
GO:0055070	copper ion homeostasis	9	1	0.08	0.07308	BP
GO:0016201	synaptic target inhibition	9	1	0.08	0.07308	BP
GO:0001666	response to hypoxia	54	2	0.45	0.07485	BP
GO:2000737	negative regulation of stem cell differe...	10	1	0.08	0.08088	BP
GO:0097090	presynaptic membrane organization	10	1	0.08	0.08088	BP
GO:0007519	skeletal muscle tissue development	10	1	0.08	0.08088	BP
GO:0042595	behavioral response to starvation	10	1	0.08	0.08088	BP
GO:0019221	cytokine-mediated signaling pathway	10	1	0.08	0.08088	BP
GO:0048581	negative regulation of post-embryonic de...	10	1	0.08	0.08088	BP
GO:1903707	negative regulation of hemopoiesis	10	1	0.08	0.08088	BP
GO:0046628	positive regulation of insulin receptor ...	10	1	0.08	0.08088	BP
GO:0042048	olfactory behavior	57	2	0.48	0.08219	BP
GO:0001932	regulation of protein phosphorylation	186	4	1.56	0.08561	BP
GO:0001941	postsynaptic membrane organization	11	1	0.09	0.08860	BP
GO:0009617	response to bacterium	93	5	0.78	0.08936	BP
GO:0007616	long-term memory	61	2	0.51	0.09230	BP
GO:0007098	centrosome cycle	61	2	0.51	0.09230	BP
GO:0030514	negative regulation of BMP signaling pat...	12	1	0.1	0.09626	BP
GO:0008063	Toll signaling pathway	35	5	0.29	0.10237	BP
GO:0015695	organic cation transport	13	1	0.11	0.10387	BP
GO:0006963	positive regulation of antibacterial pep...	14	1	0.12	0.11140	BP
GO:0009653	anatomical structure morphogenesis	1180	10	9.9	0.11378	BP
GO:0046622	positive regulation of organ growth	15	1	0.13	0.11888	BP
GO:0046942	carboxylic acid transport	71	2	0.6	0.11903	BP
GO:0016042	lipid catabolic process	60	3	0.5	0.12196	BP
GO:0045610	regulation of hemocyte differentiation	29	2	0.24	0.12394	BP
GO:0006726	eye pigment biosynthetic process	32	2	0.27	0.12400	BP
GO:0008286	insulin receptor signaling pathway	46	2	0.39	0.12431	BP
GO:0006727	ommochrome biosynthetic process	16	1	0.13	0.12629	BP
GO:0007040	lysosome organization	16	1	0.13	0.12629	BP
GO:0008285	negative regulation of cell population p...	76	2	0.64	0.13304	BP
GO:0006979	response to oxidative stress	80	2	0.67	0.14452	BP
GO:0045467	R7 cell development	19	1	0.16	0.14817	BP
GO:0048072	compound eye pigmentation	19	1	0.16	0.14817	BP
GO:2000112	regulation of cellular macromolecule bio...	781	8	6.55	0.14848	BP
GO:0045860	positive regulation of protein kinase ac...	60	2	0.5	0.15321	BP
GO:0098869	cellular oxidant detoxification	20	1	0.17	0.15534	BP
GO:0014706	striated muscle tissue development	23	1	0.19	0.17651	BP
GO:0050832	defense response to fungus	38	3	0.32	0.18307	BP
GO:0097164	ammonium ion metabolic process	24	1	0.2	0.18345	BP
GO:0042593	glucose homeostasis	24	1	0.2	0.18345	BP
GO:0007416	synapse assembly	157	2	1.32	0.18390	BP
GO:1902875	regulation of embryonic pattern specific...	25	1	0.21	0.19033	BP
GO:0032504	multicellular organism reproduction	807	7	6.77	0.19290	BP
GO:0042742	defense response to bacterium	81	4	0.68	0.19344	BP
GO:0007283	spermatogenesis	182	3	1.53	0.19533	BP
GO:0007259	receptor signaling pathway via JAK-STAT	26	1	0.22	0.19716	BP
GO:0051453	regulation of intracellular pH	26	1	0.22	0.19716	BP
GO:0030097	hemopoiesis	70	2	0.59	0.20132	BP
GO:0030334	regulation of cell migration	27	1	0.23	0.20393	BP
GO:0061077	chaperone-mediated protein folding	27	1	0.23	0.20393	BP
GO:0008039	synaptic target recognition	37	2	0.31	0.20677	BP
GO:0030154	cell differentiation	1316	11	11.04	0.20841	BP
GO:0034440	lipid oxidation	28	1	0.23	0.21064	BP
GO:0030522	intracellular receptor signaling pathway	28	1	0.23	0.21064	BP
GO:0018108	peptidyl-tyrosine phosphorylation	41	2	0.34	0.21343	BP
GO:0009408	response to heat	46	3	0.39	0.21565	BP
GO:0006101	citrate metabolic process	29	1	0.24	0.21730	BP
GO:0009062	fatty acid catabolic process	29	1	0.24	0.21730	BP
GO:0006099	tricarboxylic acid cycle	29	1	0.24	0.21730	BP
GO:0035556	intracellular signal transduction	491	6	4.12	0.22895	BP
GO:0006955	immune response	195	7	1.64	0.23218	BP
GO:0045793	positive regulation of cell size	32	1	0.27	0.23694	BP
GO:0008595	anterior/posterior axis specification, e...	113	3	0.95	0.24323	BP
GO:0007034	vacuolar transport	35	1	0.29	0.25611	BP
GO:0045087	innate immune response	102	5	0.86	0.26211	BP
GO:0050829	defense response to Gram-negative bacter...	36	1	0.3	0.26239	BP
GO:0016999	antibiotic metabolic process	36	1	0.3	0.26239	BP
GO:0042594	response to starvation	109	3	0.91	0.26738	BP
GO:0090263	positive regulation of canonical Wnt sig...	37	1	0.31	0.26862	BP
GO:0045944	positive regulation of transcription by ...	215	3	1.8	0.26906	BP
GO:0007292	female gamete generation	544	4	4.56	0.26943	BP
GO:0008340	determination of adult lifespan	122	2	1.02	0.27304	BP
GO:0035172	hemocyte proliferation	38	1	0.32	0.27480	BP
GO:0010259	multicellular organism aging	125	2	1.05	0.28244	BP
GO:0032147	activation of protein kinase activity	40	1	0.34	0.28701	BP
GO:0003333	amino acid transmembrane transport	41	1	0.34	0.29304	BP
GO:0007474	imaginal disc-derived wing vein specific...	41	1	0.34	0.29304	BP
GO:0048731	system development	1357	13	11.39	0.29754	BP
GO:0045746	negative regulation of Notch signaling p...	43	1	0.36	0.30494	BP
GO:0007442	hindgut morphogenesis	44	1	0.37	0.31082	BP
GO:0007520	myoblast fusion	44	1	0.37	0.31082	BP
GO:0070828	heterochromatin organization	44	1	0.37	0.31082	BP
GO:0000381	regulation of alternative mRNA splicing,...	44	1	0.37	0.31082	BP
GO:0007525	somatic muscle development	77	3	0.65	0.31206	BP
GO:0030490	maturation of SSU-rRNA	47	1	0.39	0.32817	BP
GO:0031647	regulation of protein stability	47	1	0.39	0.32817	BP
GO:0055088	lipid homeostasis	47	1	0.39	0.32817	BP
GO:0045475	locomotor rhythm	50	1	0.42	0.34509	BP
GO:0008284	positive regulation of cell population p...	50	1	0.42	0.34509	BP
GO:0007350	blastoderm segmentation	166	4	1.39	0.34808	BP
GO:0046328	regulation of JNK cascade	52	1	0.44	0.35614	BP
GO:0042067	establishment of ommatidial planar polar...	52	1	0.44	0.35614	BP
GO:0045471	response to ethanol	57	2	0.48	0.36067	BP
GO:0046677	response to antibiotic	62	2	0.52	0.36619	BP
GO:0048749	compound eye development	309	5	2.59	0.36975	BP
GO:0002168	instar larval development	56	1	0.47	0.37769	BP
GO:0008593	regulation of Notch signaling pathway	103	2	0.86	0.39414	BP
GO:0045995	regulation of embryonic development	62	1	0.52	0.40870	BP
GO:0009267	cellular response to starvation	63	1	0.53	0.41372	BP
GO:0010817	regulation of hormone levels	63	1	0.53	0.41372	BP
GO:0007369	gastrulation	63	1	0.53	0.41372	BP
GO:0001558	regulation of cell growth	64	1	0.54	0.41870	BP
GO:0035222	wing disc pattern formation	64	1	0.54	0.41870	BP
