GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0009631	cold acclimation	12	3	0.06	1.9e-05	BP
GO:0007465	R7 cell fate commitment	18	3	0.08	7.0e-05	BP
GO:0008293	torso signaling pathway	27	3	0.13	0.00024	BP
GO:0032869	cellular response to insulin stimulus	54	3	0.25	0.00054	BP
GO:0006607	NLS-bearing protein import into nucleus	13	2	0.06	0.00158	BP
GO:0043248	proteasome assembly	15	2	0.07	0.00211	BP
GO:0034605	cellular response to heat	16	2	0.07	0.00241	BP
GO:0010529	negative regulation of transposition	17	2	0.08	0.00272	BP
GO:0019442	tryptophan catabolic process to acetyl-C...	1	1	0	0.00466	BP
GO:0030643	cellular phosphate ion homeostasis	1	1	0	0.00466	BP
GO:1902616	acyl carnitine transmembrane transport	1	1	0	0.00466	BP
GO:0060189	positive regulation of protein desumoyla...	1	1	0	0.00466	BP
GO:0035641	locomotory exploration behavior	1	1	0	0.00466	BP
GO:0030320	cellular monovalent inorganic anion home...	1	1	0	0.00466	BP
GO:0046475	glycerophospholipid catabolic process	1	1	0	0.00466	BP
GO:0006559	L-phenylalanine catabolic process	1	1	0	0.00466	BP
GO:0050728	negative regulation of inflammatory resp...	1	1	0	0.00466	BP
GO:0072501	cellular divalent inorganic anion homeos...	1	1	0	0.00466	BP
GO:0006357	regulation of transcription by RNA polym...	474	7	2.21	0.00494	BP
GO:0045187	regulation of circadian sleep/wake cycle...	27	2	0.13	0.00682	BP
GO:0032491	detection of molecule of fungal origin	2	1	0.01	0.00930	BP
GO:0019441	tryptophan catabolic process to kynureni...	2	1	0.01	0.00930	BP
GO:0019217	regulation of fatty acid metabolic proce...	2	1	0.01	0.00930	BP
GO:0002752	cell surface pattern recognition recepto...	3	1	0.01	0.01392	BP
GO:0009249	protein lipoylation	3	1	0.01	0.01392	BP
GO:0008152	metabolic process	3408	18	15.89	0.01546	BP
GO:0006457	protein folding	70	3	0.33	0.01565	BP
GO:0045464	R8 cell fate specification	4	1	0.02	0.01852	BP
GO:0051289	protein homotetramerization	4	1	0.02	0.01852	BP
GO:0019094	pole plasm mRNA localization	48	2	0.22	0.02064	BP
GO:0014068	positive regulation of phosphatidylinosi...	5	1	0.02	0.02310	BP
GO:0009620	response to fungus	46	3	0.21	0.02566	BP
GO:0061099	negative regulation of protein tyrosine ...	6	1	0.03	0.02766	BP
GO:0080009	mRNA methylation	6	1	0.03	0.02766	BP
GO:1901216	positive regulation of neuron death	6	1	0.03	0.02766	BP
GO:2000112	regulation of cellular macromolecule bio...	781	7	3.64	0.02817	BP
GO:0045678	positive regulation of R7 cell different...	7	1	0.03	0.03220	BP
GO:0042026	protein refolding	7	1	0.03	0.03220	BP
GO:0035269	protein O-linked mannosylation	7	1	0.03	0.03220	BP
GO:0007098	centrosome cycle	61	2	0.28	0.03228	BP
GO:0007616	long-term memory	61	2	0.28	0.03228	BP
GO:0019432	triglyceride biosynthetic process	8	1	0.04	0.03671	BP
GO:0035204	negative regulation of lamellocyte diffe...	9	1	0.04	0.04121	BP
GO:0072488	ammonium transmembrane transport	9	1	0.04	0.04121	BP
GO:1903707	negative regulation of hemopoiesis	10	1	0.05	0.04569	BP
GO:2000737	negative regulation of stem cell differe...	10	1	0.05	0.04569	BP
GO:0042595	behavioral response to starvation	10	1	0.05	0.04569	BP
GO:0007519	skeletal muscle tissue development	10	1	0.05	0.04569	BP
GO:0019221	cytokine-mediated signaling pathway	10	1	0.05	0.04569	BP
GO:0046628	positive regulation of insulin receptor ...	10	1	0.05	0.04569	BP
GO:0048581	negative regulation of post-embryonic de...	10	1	0.05	0.04569	BP
GO:0008285	negative regulation of cell population p...	76	2	0.35	0.04819	BP
GO:0030514	negative regulation of BMP signaling pat...	12	1	0.06	0.05458	BP
GO:0050830	defense response to Gram-positive bacter...	13	1	0.06	0.05900	BP
GO:0015695	organic cation transport	13	1	0.06	0.05900	BP
GO:0045751	negative regulation of Toll signaling pa...	13	1	0.06	0.05900	BP
