BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
Def	21505	301	73	33576	2518	100	22823	22542	58168	114353	133185	138
F1	6	6	5	3	6	5	8	4	4	10	5	2
F2	14	6	8	4	6	3	4	3	5	15	2	5
F3	6	10	2	4	3	5	2	2	0	5	6	4
fem	2310.997	2935.997	2250.998	2069.0026	1632.0024	1652.9969	2246	1704.996	1916.001	2008.0029	1561.0001	1700.9998
Kr-h1	1497	656	361	473	730	747	1164	813	519	306	444	479
LOC100628631	5472.996	7065.999	4651.997	4675.002	4802.998	5773.004	4144.004	4112.999	4295.005	4003.001	4253.001	4231.004
LOC100631054	3625.0045	2223.0667	2596.9976	2425.0041	2387.0004	1986.9979	2586.9958	2605.004	2341.999	2774.0026	1566.9988	1698.998
LOC100631058	2768.004	2810.9995101491	1640.003	1464.0035	2438.0046	1662.9956	3830.997	1859.997177309	1521.004	2145.004	1056.9998	1495.0042
LOC100631059	7353.89	5083.73	4728.41	8592.75	5541.66	4290.28	8885.2	9306.08	9938.97	11148.8	4676.08	3392.68
LOC100631060	1252.0002894773	1874.997	953.999672611	990.9995596	1007.0008106478	774.99986	1279.99974235079	1073.9989561	616.0002	870.99959	519.0002439254	797.000000051246
LOC100631061	96502.4	57.5481	66.3061	56373.3	13107	40	98166	39827.3	108452	256755	209260	92.3878
LOC100631064	867.8724	1051.6016	1032.6576	905.5553	801.6954	862.3833	1079.3792	832.0797	826.9136	830.715	616.8234	801.9195
LOC100631065	312	558	359	318	335	349	364	333	370	367	344	332
LOC100631066	13957.99	14563.994	11519.969	13435.973	10382.995	11141.973	14725.987	10416.999	11934.019	12238.997	10112.001	9335.003
LOC100631067	142.01200251268	124.207	161.658	245.0308	172.0673	107.127	135.0463	88.0049	216.1826	151.24931	128.2518	81.2887
LOC100631070	44207.7	473666	271605	191195	164948	135028	25452.5	256662	174712	227720	126084	388239
LOC100631072	5261	3088.999	4132.997	4919.997	2875.004	2633.004	4641.999	4092.996	3991.997	6308	2928.999	2240.004
LOC100631073	1219.02	1032.04	1021.02	876.072	958.051	953.025	1304.03	939.873	898	901.015	815.887	839.005
LOC100631077	18398.96	16384.962	14736.044	15256.039	12331.956	13752.031	17324.038	12897.982	14621.993	16141.042	11590.008	11308.994
LOC100631078	23977	469	959	16127	5094	367	23480	12189	74114	62497	54295	570
LOC100631080	2078.002	7166	3946	5950	2887	3882	4620	2648.999	3538.997	2423	3830	3217.004
LOC100631082	1850.732	1554.6684	1687.93	1297.3522	1257.80165	1259.8623	1694.3284	1447.8763	1149.7145714	1333.6755	1019.761	1320.7123573
LOC100631084	96247.95	111696.15	84382.01	104560.53	90560.96	98594.01	107006.47	87483	101664.01	82899.01	86791.97	77998.99
LOC100631086	1	2.19089	0	2	0	2.65081	2	3.48458	3	2	0	1
LOC100631087	43572.3	92884.6	58045.9	72623	59936.8	69860.6	73657.1	56093.1	58334.7	34847	55276.7	56601.9
LOC100631088	496	339	167	182	331	725	210	226	226	269	196	235
LOC100631089	1	3	0	0	2	2	1	1	0	0	1	1
LOC100631090	3467.998	4023.0032	4137.002	3424.9953	3129.9985	3365.9971	4311.001	3172.005	2810.9957	3084.005	2516.004	3001.0036
LOC100631091	1810.35302174417	2523.94400021761	1791.8953	1742.03462887822	2174.1173	2541.6056043	3531.005	1853.2615	1945.016208164	1318.762766	1759.59175338119	1524.17815307
LOC100631092	1803	1303	1436	1279	1229	1140	1484	1283	1041	1508	877	982
LOC100631093	1451	1636	1268	1318	1191	1266	1571	1235	1081	1207	1069	1042.34
LOC100631094	349	438	340	329	270	349	418	307	291	285	273	294
LOC100631095	5	8.80911	1	2	0	1.34919	2	3.51542	3	0	2	1
LOC100642190	1522	1025.001	1371	1160.999	984.00085	919.0003	1291.999	1361	842	893	629	764
LOC100642191	2469	2431	2084.996	1652.999	1824.003	2074.997	2675	1917	1741.004	1665	1433	1877.004
LOC100642192	1885.0042	1609.9955	1850.9967	1642.0033	1600.0038	1698.00074	2365.0026	1936.0044	1555.0007	1167.9999	1193.0006	1357
LOC100642193	29.8004	38.7899	48.8906	33.2576	33.4653	44.4799	26.6919	24.7717	24	44.0325	21.7429	32
LOC100642194	695.382	795	656	447.131	745.197	678	914	976	573	426.168	567	557.15
LOC100642195	811.0004	814.9997	690.00015	682.9994	716.9998	803.9992	839.0004	789.9996	635.9997	532.9996	594.9997	572.9995
LOC100642196	9963.0357325	8778.75056628	9794.996012856	8905.5244846	8159.7335864	7158.206334008	10225.5395381	9379.55057909	8492.79092773	7746.7112215	5268.7436812696	5901.72227119
LOC100642197	904	1174	997	936	826	908	978	886	820	851	759	763
LOC100642198	4713.2189707379	5616.3907041	4604.783944302	5257.00101158	4655.8904	4926.0058	5587.95797	4942.99585	3670.057102847	3194.99378838	3534.19990406	3918.0735863385
LOC100642199	69	49	43	58	48	32	55	59	59	77	32	45
LOC100642200	1900.003	2254.996	2888.997	1910.004	1546.002	1506	1983.002	1560.001	1772.003	1587.004	1103	1748.004
LOC100642201	441	494	474	518	439	490	636	559	407	340	392	421
LOC100642202	0	6	0	4	1	4	0	3	3	6	9	3
