GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0071421	manganese ion transmembrane transport	1	1	0.01	0.0071	BP
GO:0033212	iron import into cell	1	1	0.01	0.0071	BP
GO:0002752	cell surface pattern recognition recepto...	1	1	0.01	0.0071	BP
GO:0019483	beta-alanine biosynthetic process	1	1	0.01	0.0071	BP
GO:0042759	long-chain fatty acid biosynthetic proce...	1	1	0.01	0.0071	BP
GO:0060586	multicellular organismal iron ion homeos...	1	1	0.01	0.0071	BP
GO:0032491	detection of molecule of fungal origin	1	1	0.01	0.0071	BP
GO:0006212	uracil catabolic process	1	1	0.01	0.0071	BP
GO:0019367	fatty acid elongation, saturated fatty a...	2	1	0.01	0.0142	BP
GO:0015677	copper ion import	2	1	0.01	0.0142	BP
GO:0034761	positive regulation of iron ion transmem...	2	1	0.01	0.0142	BP
GO:0006551	leucine metabolic process	2	1	0.01	0.0142	BP
GO:0044720	negative regulation of imaginal disc-der...	2	1	0.01	0.0142	BP
GO:0035434	copper ion transmembrane transport	2	1	0.01	0.0142	BP
GO:0046718	viral entry into host cell	2	1	0.01	0.0142	BP
GO:0019853	L-ascorbic acid biosynthetic process	2	1	0.01	0.0142	BP
GO:0019217	regulation of fatty acid metabolic proce...	2	1	0.01	0.0142	BP
GO:0019432	triglyceride biosynthetic process	2	1	0.01	0.0142	BP
GO:0006680	glucosylceramide catabolic process	2	1	0.01	0.0142	BP
GO:0034625	fatty acid elongation, monounsaturated f...	2	1	0.01	0.0142	BP
GO:0034626	fatty acid elongation, polyunsaturated f...	2	1	0.01	0.0142	BP
GO:0014068	positive regulation of phosphatidylinosi...	3	1	0.02	0.0212	BP
GO:0090256	regulation of cell proliferation involve...	3	1	0.02	0.0212	BP
GO:0030514	negative regulation of BMP signaling pat...	3	1	0.02	0.0212	BP
GO:0050916	sensory perception of sweet taste	3	1	0.02	0.0212	BP
GO:0035336	long-chain fatty-acyl-CoA metabolic proc...	4	1	0.03	0.0282	BP
GO:0055070	copper ion homeostasis	4	1	0.03	0.0282	BP
GO:0010025	wax biosynthetic process	4	1	0.03	0.0282	BP
GO:0042761	very long-chain fatty acid biosynthetic ...	4	1	0.03	0.0282	BP
GO:0042136	neurotransmitter biosynthetic process	4	1	0.03	0.0282	BP
GO:0046628	positive regulation of insulin receptor ...	6	1	0.04	0.0420	BP
GO:0006513	protein monoubiquitination	6	1	0.04	0.0420	BP
GO:0007563	regulation of eclosion	6	1	0.04	0.0420	BP
GO:0009631	cold acclimation	7	1	0.05	0.0489	BP
GO:0045500	sevenless signaling pathway	7	1	0.05	0.0489	BP
GO:0070050	neuron cellular homeostasis	9	1	0.06	0.0624	BP
