GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0006633	fatty acid biosynthetic process	18	9	0.31	9.4e-09	BP
GO:0030497	fatty acid elongation	6	3	0.1	0.0016	BP
GO:0042761	very long-chain fatty acid biosynthetic ...	4	2	0.07	0.0017	BP
GO:0010025	wax biosynthetic process	4	2	0.07	0.0017	BP
GO:0035336	long-chain fatty-acyl-CoA metabolic proc...	4	2	0.07	0.0017	BP
GO:0070328	triglyceride homeostasis	16	3	0.27	0.0022	BP
GO:0046622	positive regulation of organ growth	8	2	0.14	0.0074	BP
GO:0007426	tracheal outgrowth, open tracheal system	10	2	0.17	0.0117	BP
GO:0040037	negative regulation of fibroblast growth...	1	1	0.02	0.0170	BP
GO:0042759	long-chain fatty acid biosynthetic proce...	1	1	0.02	0.0170	BP
GO:0019483	beta-alanine biosynthetic process	1	1	0.02	0.0170	BP
GO:0009098	leucine biosynthetic process	1	1	0.02	0.0170	BP
GO:0009099	valine biosynthetic process	1	1	0.02	0.0170	BP
GO:0048053	R1/R6 development	1	1	0.02	0.0170	BP
GO:0006212	uracil catabolic process	1	1	0.02	0.0170	BP
GO:0015908	fatty acid transport	1	1	0.02	0.0170	BP
GO:0048626	myoblast fate specification	1	1	0.02	0.0170	BP
GO:0048750	compound eye corneal lens morphogenesis	1	1	0.02	0.0170	BP
GO:0033212	iron import into cell	1	1	0.02	0.0170	BP
GO:0071421	manganese ion transmembrane transport	1	1	0.02	0.0170	BP
GO:0007429	secondary branching, open tracheal syste...	1	1	0.02	0.0170	BP
GO:0060586	multicellular organismal iron ion homeos...	1	1	0.02	0.0170	BP
GO:0035386	regulation of Roundabout signaling pathw...	1	1	0.02	0.0170	BP
GO:0006741	NADP biosynthetic process	1	1	0.02	0.0170	BP
GO:0043388	positive regulation of DNA binding	1	1	0.02	0.0170	BP
GO:0002752	cell surface pattern recognition recepto...	1	1	0.02	0.0170	BP
GO:0032491	detection of molecule of fungal origin	1	1	0.02	0.0170	BP
GO:0008045	motor neuron axon guidance	33	3	0.56	0.0176	BP
GO:0030148	sphingolipid biosynthetic process	13	2	0.22	0.0196	BP
GO:0046580	negative regulation of Ras protein signa...	13	2	0.22	0.0196	BP
GO:0042593	glucose homeostasis	13	2	0.22	0.0196	BP
GO:0046677	response to antibiotic	37	3	0.63	0.0239	BP
GO:0008347	glial cell migration	15	2	0.26	0.0258	BP
GO:0035335	peptidyl-tyrosine dephosphorylation	15	2	0.26	0.0258	BP
GO:0045793	positive regulation of cell size	15	2	0.26	0.0258	BP
GO:0008063	Toll signaling pathway	16	2	0.27	0.0292	BP
GO:0008293	torso signaling pathway	17	2	0.29	0.0327	BP
GO:0014065	phosphatidylinositol 3-kinase signaling	8	2	0.14	0.0331	BP
GO:0035434	copper ion transmembrane transport	2	1	0.03	0.0338	BP
GO:0042682	regulation of compound eye cone cell fat...	2	1	0.03	0.0338	BP
GO:0019432	triglyceride biosynthetic process	2	1	0.03	0.0338	BP
GO:0038007	netrin-activated signaling pathway	2	1	0.03	0.0338	BP
GO:0015677	copper ion import	2	1	0.03	0.0338	BP
GO:0048016	inositol phosphate-mediated signaling	2	1	0.03	0.0338	BP
GO:0042811	pheromone biosynthetic process	2	1	0.03	0.0338	BP
GO:0006085	acetyl-CoA biosynthetic process	2	1	0.03	0.0338	BP
GO:0034625	fatty acid elongation, monounsaturated f...	2	1	0.03	0.0338	BP
GO:0034626	fatty acid elongation, polyunsaturated f...	2	1	0.03	0.0338	BP
GO:0034761	positive regulation of iron ion transmem...	2	1	0.03	0.0338	BP
GO:0002213	defense response to insect	2	1	0.03	0.0338	BP
GO:0035009	negative regulation of melanization defe...	2	1	0.03	0.0338	BP
GO:0019217	regulation of fatty acid metabolic proce...	2	1	0.03	0.0338	BP
GO:0046718	viral entry into host cell	2	1	0.03	0.0338	BP
GO:0019367	fatty acid elongation, saturated fatty a...	2	1	0.03	0.0338	BP
GO:0001676	long-chain fatty acid metabolic process	4	2	0.07	0.0491	BP
GO:0014068	positive regulation of phosphatidylinosi...	3	1	0.05	0.0502	BP
GO:0035883	enteroendocrine cell differentiation	3	1	0.05	0.0502	BP
GO:0048047	mating behavior, sex discrimination	3	1	0.05	0.0502	BP
GO:0030514	negative regulation of BMP signaling pat...	3	1	0.05	0.0502	BP
GO:0006723	cuticle hydrocarbon biosynthetic process	3	1	0.05	0.0502	BP
GO:0050916	sensory perception of sweet taste	3	1	0.05	0.0502	BP
GO:0050919	negative chemotaxis	9	2	0.15	0.0650	BP
GO:0051897	positive regulation of protein kinase B ...	4	1	0.07	0.0664	BP
GO:0006509	membrane protein ectodomain proteolysis	4	1	0.07	0.0664	BP
GO:0042136	neurotransmitter biosynthetic process	4	1	0.07	0.0664	BP
GO:0045572	positive regulation of imaginal disc gro...	4	1	0.07	0.0664	BP
GO:0055070	copper ion homeostasis	4	1	0.07	0.0664	BP
GO:0030301	cholesterol transport	4	1	0.07	0.0664	BP
GO:0035001	dorsal trunk growth, open tracheal syste...	4	1	0.07	0.0664	BP
GO:0048149	behavioral response to ethanol	26	2	0.44	0.0711	BP
GO:0061320	pericardial nephrocyte differentiation	5	1	0.09	0.0823	BP
GO:0007519	skeletal muscle tissue development	5	1	0.09	0.0823	BP
GO:0016201	synaptic target inhibition	5	1	0.09	0.0823	BP
GO:0046855	inositol phosphate dephosphorylation	5	1	0.09	0.0823	BP
GO:0006108	malate metabolic process	5	1	0.09	0.0823	BP
GO:0010951	negative regulation of endopeptidase act...	5	1	0.09	0.0823	BP
GO:0009312	oligosaccharide biosynthetic process	5	1	0.09	0.0823	BP
GO:0030308	negative regulation of cell growth	5	1	0.09	0.0823	BP
GO:0009636	response to toxic substance	63	3	1.07	0.0902	BP
GO:0008286	insulin receptor signaling pathway	22	2	0.37	0.0964	BP
GO:0007220	Notch receptor processing	6	1	0.1	0.0980	BP
GO:0010923	negative regulation of phosphatase activ...	6	1	0.1	0.0980	BP
GO:0007415	defasciculation of motor neuron axon	6	1	0.1	0.0980	BP
GO:0046628	positive regulation of insulin receptor ...	6	1	0.1	0.0980	BP
GO:0007498	mesoderm development	33	2	0.56	0.1073	BP
GO:0035155	negative regulation of terminal cell fat...	7	1	0.12	0.1134	BP
GO:0018107	peptidyl-threonine phosphorylation	7	1	0.12	0.1134	BP
GO:0015718	monocarboxylic acid transport	7	1	0.12	0.1134	BP
GO:0007432	salivary gland boundary specification	7	1	0.12	0.1134	BP
GO:0007400	neuroblast fate determination	7	1	0.12	0.1134	BP
GO:0045500	sevenless signaling pathway	7	1	0.12	0.1134	BP
GO:0045938	positive regulation of circadian sleep/w...	7	1	0.12	0.1134	BP
GO:0010941	regulation of cell death	108	2	1.84	0.1153	BP
GO:0007465	R7 cell fate commitment	15	2	0.26	0.1260	BP
GO:2000377	regulation of reactive oxygen species me...	8	1	0.14	0.1285	BP
GO:0045314	regulation of compound eye photoreceptor...	8	1	0.14	0.1285	BP
GO:0055088	lipid homeostasis	27	4	0.46	0.1349	BP
GO:0045471	response to ethanol	35	3	0.6	0.1385	BP
GO:0042461	photoreceptor cell development	53	3	0.9	0.1394	BP
GO:1905039	carboxylic acid transmembrane transport	33	2	0.56	0.1415	BP
GO:1904262	negative regulation of TORC1 signaling	9	1	0.15	0.1434	BP
GO:0070050	neuron cellular homeostasis	9	1	0.15	0.1434	BP
GO:0009744	response to sucrose	9	1	0.15	0.1434	BP
GO:0045467	R7 cell development	10	1	0.17	0.1580	BP
GO:0007632	visual behavior	10	1	0.17	0.1580	BP
GO:0040018	positive regulation of multicellular org...	11	1	0.19	0.1724	BP
GO:0035147	branch fusion, open tracheal system	11	1	0.19	0.1724	BP
GO:0014706	striated muscle tissue development	11	1	0.19	0.1724	BP
GO:0030516	regulation of axon extension	11	1	0.19	0.1724	BP
GO:0035051	cardiocyte differentiation	11	1	0.19	0.1724	BP
GO:0048867	stem cell fate determination	11	1	0.19	0.1724	BP
GO:2000027	regulation of animal organ morphogenesis	45	2	0.77	0.1775	BP
GO:0007283	spermatogenesis	87	3	1.48	0.1829	BP
GO:0009062	fatty acid catabolic process	12	1	0.2	0.1866	BP
GO:0003007	heart morphogenesis	12	1	0.2	0.1866	BP
GO:0007292	female gamete generation	269	4	4.58	0.1926	BP
GO:0019216	regulation of lipid metabolic process	15	2	0.26	0.1964	BP
GO:0016318	ommatidial rotation	13	1	0.22	0.2005	BP
GO:0016476	regulation of embryonic cell shape	13	1	0.22	0.2005	BP
GO:0006090	pyruvate metabolic process	13	1	0.22	0.2005	BP
GO:0007430	terminal branching, open tracheal system	13	1	0.22	0.2005	BP
GO:0035011	melanotic encapsulation of foreign targe...	13	1	0.22	0.2005	BP
GO:0019233	sensory perception of pain	13	1	0.22	0.2005	BP
GO:0000422	autophagy of mitochondrion	14	1	0.24	0.2142	BP
GO:0005975	carbohydrate metabolic process	61	3	1.04	0.2218	BP
GO:0035151	regulation of tube size, open tracheal s...	15	1	0.26	0.2276	BP
GO:0007298	border follicle cell migration	54	2	0.92	0.2339	BP
GO:0046843	dorsal appendage formation	17	1	0.29	0.2538	BP
GO:0016311	dephosphorylation	72	5	1.23	0.2731	BP
GO:0042059	negative regulation of epidermal growth ...	19	1	0.32	0.2792	BP
GO:0051607	defense response to virus	19	1	0.32	0.2792	BP
GO:0016485	protein processing	19	1	0.32	0.2792	BP
GO:0021782	glial cell development	19	1	0.32	0.2792	BP
GO:0045595	regulation of cell differentiation	154	3	2.62	0.2810	BP
GO:0098656	anion transmembrane transport	62	2	1.06	0.2849	BP
GO:0030431	sleep	34	2	0.58	0.2872	BP
GO:0007265	Ras protein signal transduction	63	4	1.07	0.2899	BP
GO:0060179	male mating behavior	20	1	0.34	0.2916	BP
GO:0018105	peptidyl-serine phosphorylation	20	1	0.34	0.2916	BP
GO:0032147	activation of protein kinase activity	21	1	0.36	0.3037	BP
GO:0008595	anterior/posterior axis specification, e...	66	2	1.12	0.3105	BP
GO:0050832	defense response to fungus	22	1	0.37	0.3157	BP
GO:0030838	positive regulation of actin filament po...	22	1	0.37	0.3157	BP
GO:0007419	ventral cord development	22	1	0.37	0.3157	BP
GO:0010259	multicellular organism aging	67	2	1.14	0.3168	BP
GO:0042594	response to starvation	60	2	1.02	0.3251	BP
GO:0001558	regulation of cell growth	40	3	0.68	0.3277	BP
GO:0007619	courtship behavior	24	1	0.41	0.3390	BP
GO:0003333	amino acid transmembrane transport	24	1	0.41	0.3390	BP
GO:0000281	mitotic cytokinesis	25	1	0.43	0.3503	BP
GO:0040003	chitin-based cuticle development	26	1	0.44	0.3615	BP
GO:0009950	dorsal/ventral axis specification	26	1	0.44	0.3615	BP
GO:0007474	imaginal disc-derived wing vein specific...	26	1	0.44	0.3615	BP
GO:0007422	peripheral nervous system development	27	1	0.46	0.3725	BP
GO:0050770	regulation of axonogenesis	27	1	0.46	0.3725	BP
GO:0046578	regulation of Ras protein signal transdu...	42	3	0.71	0.3811	BP
GO:0007616	long-term memory	28	1	0.48	0.3833	BP
GO:0002066	columnar/cuboidal epithelial cell develo...	131	3	2.23	0.3873	BP
GO:0046942	carboxylic acid transport	37	2	0.63	0.3979	BP
GO:0048542	lymph gland development	31	1	0.53	0.4146	BP
GO:0055002	striated muscle cell development	31	1	0.53	0.4146	BP
GO:0034976	response to endoplasmic reticulum stress	32	1	0.54	0.4247	BP
GO:0002252	immune effector process	48	2	0.82	0.4289	BP
GO:0006357	regulation of transcription by RNA polym...	226	4	3.85	0.4390	BP
GO:0007548	sex differentiation	34	1	0.58	0.4444	BP
GO:0019730	antimicrobial humoral response	35	1	0.6	0.4540	BP
GO:0010769	regulation of cell morphogenesis involve...	35	1	0.6	0.4540	BP
GO:0045944	positive regulation of transcription by ...	91	2	1.55	0.4633	BP
GO:0007618	mating	36	1	0.61	0.4634	BP
GO:0035220	wing disc development	169	3	2.88	0.4657	BP
GO:0009267	cellular response to starvation	37	1	0.63	0.4726	BP
GO:0044703	multi-organism reproductive process	367	7	6.25	0.4930	BP
GO:0030707	ovarian follicle cell development	132	3	2.25	0.4959	BP
GO:0001933	negative regulation of protein phosphory...	40	1	0.68	0.4995	BP
GO:0010506	regulation of autophagy	41	1	0.7	0.5082	BP
GO:0043066	negative regulation of apoptotic process	41	1	0.7	0.5082	BP
GO:0009611	response to wounding	42	1	0.71	0.5167	BP
GO:0050767	regulation of neurogenesis	102	2	1.74	0.5245	BP
GO:0055085	transmembrane transport	181	4	3.08	0.5432	BP
GO:0045664	regulation of neuron differentiation	70	2	1.19	0.5668	BP
GO:0048066	developmental pigmentation	51	1	0.87	0.5871	BP
GO:0001709	cell fate determination	63	2	1.07	0.5872	BP
GO:2000026	regulation of multicellular organismal d...	223	4	3.8	0.6006	BP
GO:0048731	system development	716	11	12.19	0.6040	BP
GO:0000278	mitotic cell cycle	169	2	2.88	0.6236	BP
GO:0051124	synaptic assembly at neuromuscular junct...	58	1	0.99	0.6348	BP
GO:0051128	regulation of cellular component organiz...	317	5	5.4	0.6454	BP
GO:0009967	positive regulation of signal transducti...	130	3	2.21	0.6463	BP
GO:0006508	proteolysis	201	5	3.42	0.6470	BP
GO:0008340	determination of adult lifespan	63	1	1.07	0.6656	BP
GO:0000122	negative regulation of transcription by ...	66	1	1.12	0.6828	BP
GO:0007165	signal transduction	532	14	9.06	0.7084	BP
GO:0007411	axon guidance	112	4	1.91	0.7270	BP
GO:0016310	phosphorylation	252	3	4.29	0.7341	BP
GO:0007219	Notch signaling pathway	76	1	1.29	0.7342	BP
GO:0010628	positive regulation of gene expression	173	2	2.94	0.8056	BP
GO:0007476	imaginal disc-derived wing morphogenesis	130	2	2.21	0.8347	BP
GO:2000112	regulation of cellular macromolecule bio...	388	4	6.6	0.8380	BP
GO:2000113	negative regulation of cellular macromol...	135	1	2.3	0.9077	BP
