CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_000001	2079	1479	1674	2005	1282	1853	2155	2508	1641	1521	1526	2266
Caust.v2_000002	848	781	1095	1038	788	725	688	860	683	634	848	708
Caust.v2_000003	2886	2693	2260	2625	2584	3107	2833	3326	3086	2362	2533	4967
Caust.v2_000004	23674	20403	21324	24222	19205	20343	17743	22936	19591	17685	19171	24845
Caust.v2_000005	2219	2011	2276	2789	1922	1866	2490	3175	1597	1892	2191	3507
Caust.v2_000006	2159	1778	1736	2382	1425	1938	2154	2764	1844	1948	1838	3051
Caust.v2_000007	191	413	263	528	258	219	231	223	275	259	346	267
Caust.v2_000008	57	93	56	134	69	49	41	64	66	44	82	41
Caust.v2_000009	334	266	238	272	190	205	190	215	244	202	336	256
Caust.v2_000010	114	186	107	89	101	69	122	92	116	94	104	165
Caust.v2_000011	2613.85	3339.97	3344.33	4028.67	3266.57	2982.12	2917.44	4143.75	3248.49	3120.72	3866.97	3095.62
Caust.v2_000012	240.15	238.032	202.665	281.332	253.435	171.877	194.561	282.247	206.513	188.28	233.029	248.378
Caust.v2_000013	394	240	317	393	217	375	405	462	272	298	295	532
Caust.v2_000014	949	2024	1123	2060	848	990	1407	1209	968	1390	1719	1104
Caust.v2_000015	19	14	10	26	12	10	5	15	17	12	12	15
Caust.v2_000017	1509	2269	1305	2140	1295	1733	1906	2208	1715	1570	1639	2295
Caust.v2_000018	1173	918	977	1090	835	1023	1155	1427	847	1072	872	1428
Caust.v2_000020	1536	702.999	1308	816.999	750	909.999	930.999	1110.999	678.999	693	705.999	1365.999
Caust.v2_000021	1	2	1	2	5	0	2	3	4	4	11	3
Caust.v2_000022	566	634	604	733	665	637	623	773	644	580	594	672
Caust.v2_000023	17	9	20	6	12	9	14	13.1804	27	15	17	30
Caust.v2_000024	14	0	11	8	11	3	12	7.81964	10	7	10	13
Caust.v2_000025	13	15	12	10	10	7	10	18	21	6	12	23
Caust.v2_000026	2683	1607	1737	1897	1337	1965	1657	2261	1867	1851	1379	1873
Caust.v2_000027	9	10	8	4	3	15	3	9	9	4	3	3
Caust.v2_000028	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000029	599	601	550	946	565	547	646	676	580	477	586	866
Caust.v2_000030	116	97	119	112	181	87	31	71	123	107	91	61
Caust.v2_000031	421	663	469	846	554	289	287	431	424	330	421	522
Caust.v2_000033	17	7	6	7	10	11	21	18	5	4	16	12
Caust.v2_000034	1490	647	690	866	382	902	946	1278	839	826	621	1592
Caust.v2_000035	1752	2422	2017	3110	2441	2101	1954	2532	2066	1945	1944	2723
Caust.v2_000036	66	60	54	42	31	58	89	65	43	46	57	74
Caust.v2_000037	2089	1218	1747	1558	1226	1974	1953	2414	1587	1356	1337	2379
Caust.v2_000038	795	336	665	518	430	609	814	834	478	531	486	946
Caust.v2_000039	22674	19783	21787	19824	18250	16818	11360	19335	17129	14564	15481	16251
Caust.v2_000040	623	657	640	651	560	571	707	894	515	597	628	862
Caust.v2_000041	889	640	664	821	508	812	945	1057	635	666	646	1231
Caust.v2_000042	255	140	291	199	144	220	203	276	198	145	159	250
Caust.v2_000043	1174	794	1107	1076	717	1082	1327	1450	870	939	985	2093
Caust.v2_000044	1604	895	1318	1588	844	1468	1902	1935	1082	1288	1301	2429
Caust.v2_000045	463	10379	3486	24925	7541	4701	5463	9132	713	20882	5084	5191
Caust.v2_000046	1269	626	1081	997	562	1962	2095	2035	1491	1061	806	3596
Caust.v2_000047	2434	1191	1845	1767	1152	2327	2816	3136	1593	1741	1667	4080
Caust.v2_000048	9749.998	11769.028	9671.003	12114.028	12381.03	7806	4273.003	7968	9769.004	7737.005	8938.003	4779.997
Caust.v2_000049	1361	1155	1241	1291	951	1176	1102	1475	968	952	995	1512
Caust.v2_000050	1094.41	564.279	770.444	831.632	684.325	986.103	951.837	1356.36	713	921.496	735.335	1444.46
Caust.v2_000051	406	261	214.942	439	179	273	272.867	351.871	365	256.965	345	302
Caust.v2_000053	0	0	3.05799	0	0	0	2.1327	2.12934	0	1.03467	0	0
Caust.v2_000054	1945	1845	2273	2448	1842	1937	1237	2025	2002	1960	2447	1893
Caust.v2_000055	1226	717	826	1149	706	838	976	1270	846	860	856	1050
Caust.v2_000056	215	71	130	238	86	133	200	317	247	186	169	170
Caust.v2_000058	2	2	2	9	7	2	6	7	7	5	2	1
Caust.v2_000059	223	140	223	193	190	221	251	333	168	129	172	466
Caust.v2_000060	50	54	73	115	82	45	21	41	54	58	75	37
Caust.v2_000061	1052	670.00021	760	1011	656	687	1033	1170.00022	659.0003	770.00038	667	1269
Caust.v2_000062	3887	3720	4122	5964	4864	2915	3315	5479	2826	5140	3111	3893
Caust.v2_000063	5436	5485	5087	6743	5470	6720	16288	23862	12876	8814	25927	44550
Caust.v2_000064	1837	3947	1699	3500	3219	2517	1804	3710	2087	2675	3432	2054
Caust.v2_000065	1564	1282	1394	1493	1164	1321	1329	1749	1319	1298	1295	1475
Caust.v2_000066	1196	863	1091	1215	811	1188	1487	1852	925	1044	1002	2150
Caust.v2_000067	2301	1838	1979	2701	1873	2028	2194	2977	1719	1791	1798	3300
Caust.v2_000068	963	644	821	955	676	850	899	1133	744	784	797	1251
Caust.v2_000069	2807	2467	2067	3307	2080	2190	2740	3590	2557	2467	3029	3113
Caust.v2_000070	1129	878	1065	1074	1003	1097	1206	1438	918	952	870	1521
Caust.v2_000071	3918	2929	3340	3218	2321	3180	3461	4305	3058	3177	2849	3234
Caust.v2_000072	1427	1147	1256	1290	997	1191	1256	1655	1077	1185	1181	1295
Caust.v2_000073	1470	1171	1266	1371	1074	1419	1493	1806	1207	1176	1206	1694
Caust.v2_000074	153	150	134	132	158	125	64	149	143	98	132	73
Caust.v2_000075	3959	2844.00002	3899.9998	2292.00002	3099.9998	2031	946.00002	1935.00002	1821	2132.99998	2038	1749
Caust.v2_000076	3465	2800	2970	2375	2266	2409	1453	2057	2502	2293	2585	1883
Caust.v2_000077	607	482	522	559	410	561	545	653	463	475	459	732
Caust.v2_000078	3804	2896	3598	3977	2718	3365	3650	4262	3025	2978	3113	4536
Caust.v2_000079	974	449	768	761	448	992	1120	1408	692	778	604	1189
Caust.v2_000080	3374	1023	1841	1938	941	2071	1984	2618	1802	2102	1418	3104
Caust.v2_000081	158	56	123	90	45	117	148	161	96	129	94	250
Caust.v2_000082	1354	733	1004	1024	560	1093	1408	1595	744	766	918	1940
Caust.v2_000083	253	120	157	141	72	155	199	203	106	158	156	308
Caust.v2_000084	412.119	222	339.839	256.61	142.337	310.961	313.386	356.368	230.847	269.541	250.168	450.735
Caust.v2_000085	14.8807	5	16.1609	6.39045	6.66276	1.03946	9.61435	10.5979	3.15277	2.45925	10.8318	12.2654
Caust.v2_000086	5	9	7	3	0	5	5	2.03382	8	6	4	3
Caust.v2_000087	220	495	337	615	352	205	76	164	254	219	282	146
Caust.v2_000088	21	11	9	5	9	20	9	14	17	22	15	7
Caust.v2_000090	375	278	312	345	287	314	279	365	270	278	276	344
Caust.v2_000091	700	448	722	481	484	526	493	588	676	478	611	690
Caust.v2_000092	1796	981	1314	1166	869	1351	1435	1681	1134	1092	904	1753
Caust.v2_000093	1381	1076	1207	1305	813	1025	1208	1550	1056	1051	981	1488
Caust.v2_000094	86	95	100	116	69	107	194	172	138	76	114	213
Caust.v2_000095	862	597	815	874	629	807	1060	1053	556	650	620	1402
Caust.v2_000096	972	261	773	526	214	1044	1935	2004	627	580	573	3114
Caust.v2_000098	243	189.9999	291	219.9999	177.9999	204.9999	147	180	237	152.0001	152.0001	164.0001
Caust.v2_000099	1824	1684	2188	2051	1458	1690	2080	2642	1441	1690	1493	2645
Caust.v2_000100	278	211	264	207	225	183	134	156	226	204	210	106
Caust.v2_000101	1673	3068	1416	2857	1553	1338	1433	1791	1744	1343	1510	1552
Caust.v2_000102	1385	2397	1165	2231	1246	1128	970	1114	1466	1109	1111	986
Caust.v2_000103	772	2594	1304	2118	1109	857	772	729	1378	919	1252	441
Caust.v2_000104	445	714	439	656	433	355	260	249	456	395	310	249
Caust.v2_000105	2948	4010	3164	4248	3493	2465	1967	2521	2234	2676	2873	2327
Caust.v2_000106	401	499	358	548	476	410	265	450	454	384	419	338
Caust.v2_000110	0	1	0	1	0	4	0	3	0	0	0	0
Caust.v2_000111	5	3	2	3	3	6	1	3	0	3	2	1
Caust.v2_000114	20	12	16	17	10	14	6	14	15	8	12	11
Caust.v2_000115	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000116	2324	1557	1864	1984	1451	1851	2309	2413	1533	1677	1600	3076
Caust.v2_000117	6964	7195	7110	8776	7419	6110	4939	7232	7529	5196	6778	6788
Caust.v2_000118	399	87	272	241	87	344	787	574	234	196	237	1320
Caust.v2_000119	4453	1916	3055	3000	1593	3779	5288	5415	2803	2580	2818	7612
Caust.v2_000120	47	43	43	70	70	417	17	19	437	45	45	20
Caust.v2_000123	2	3	2	6	3	3	1	16	4	2	1	0
Caust.v2_000124	125	43	80	53	95	76	106	39	123	42	74	97
Caust.v2_000125	283	196	256	158	204	663	43	116	762	194	230	118
Caust.v2_000127	3	6	2	0	1	4	0	0	2	2	5	2
Caust.v2_000128	908	441	653	603	376	716	951	979	490	552	637	1100
Caust.v2_000129	192	113	82	195	110	123	163	185	90	124	94	240
Caust.v2_000130	1217	393	806	855	285	1207	1647	1590	632	977	666	2357
Caust.v2_000131	78	20	40	48	27	40	36	70	36	28	30	77
Caust.v2_000132	1	2	1	7	2	3	5	8	11	2	3	2
Caust.v2_000136	4365	4075	3222	7031	3171	3494	4141	5422	4261	4712	3958	3994
Caust.v2_000137	10	9	4	20	10	4	2	4	19	7	6	2
Caust.v2_000138	518	1150	742	1386	1121	493	531	418	505	683	616	329
Caust.v2_000139	14	41	40	58	25	12	20	16	28	28	24	9
Caust.v2_000140	1	13	13	15	16	4	9	12	6	7	5	3
Caust.v2_000142	33	30	39	34	38	33	23	42	27	22	29	43
Caust.v2_000143	1130	1211	1200	1521	1314	1162	952	1438	1255	1017	1251	1115
Caust.v2_000144	620	305	488	417	290	525	803	721	400	460	415	942
Caust.v2_000145	1219.61	1303.36	978.733	1781.73	961.6	628.144	566.906	795.025	853.65	966.161	1221.46	612.602
Caust.v2_000146	4003	6482	4440	12440	14476	3289	2634	6325	9394	6250	5880	1678
Caust.v2_000147	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_000148	937	887	715	1088	661	619	514	648	626	679	772	520.016
Caust.v2_000149	222	304	237	375	236	152	167	202	192	115	267	207
Caust.v2_000150	3	3	4	2	1	1	6	6	3	4	6	2
Caust.v2_000151	3	6	4	3	2	1	2	4	1	1	6	1
Caust.v2_000152	1531	1030	1138	1612	944	1278	1630	2025	938	1238	1066	2541
Caust.v2_000153	1182	949	1257	1300	1343	914	703	1109	1029	990	864	740
Caust.v2_000154	131	194	128	196	156	113	135	96	200	93	185	105
Caust.v2_000155	211	238	178	240	214	165	162	120	255	128	192	124
Caust.v2_000156	759	1022	671	1160	994	562	786	869	570	571	643	948
Caust.v2_000157	7	5	7	11	21	5	2	6	3	6	5	0
Caust.v2_000158	831	875	944	779	789	832	895	985	748	708	727	1070
Caust.v2_000159	0	0	0	3	0	0	0	0	1	0	0	0
Caust.v2_000160	148	183	180	233	172	225	267	255	195	119	222	342
Caust.v2_000161	2148.996	2641.001	2486	3492	2309	2705.999	3928.003	4886.005	2836.999	2692.001	4083.001	3790.998
Caust.v2_000163	173	53	119	109	57	68	404	133	75	137	106	530
Caust.v2_000164	560	342	366	482	321	450	482	576	342	319	331	826
Caust.v2_000165	561	447	564	560	477	480	610	811	477	389	539	534
Caust.v2_000166	918	317	666	645	243	1075	2269	2294	577	922	504	3793
Caust.v2_000167	215	856	591	572	743	504	188	639	689	372	1004	274
Caust.v2_000168	2289.999	1950.999	2010.999	2090.001	1974	1253.001	717	1017	1169.001	1235.001	1232.001	809.001
Caust.v2_000169	471	175	292	263	212	289	294	386	252	234	247	306
Caust.v2_000170	43	63	58	32	21	52	20	24	85	27	39	7
Caust.v2_000171	26	24	38	46	26	31	20	43	40	25	40	31
Caust.v2_000173	115	76	95	420	39	38	26	42	38	55	50	47
Caust.v2_000174	68	86	62	55	35	50	79	75	44	79	36	97
Caust.v2_000175	452	230	320	355	204	352	515	648	267	324	319	679
Caust.v2_000182	5	2	4	3	6	6	1	5	3	1	1	1
Caust.v2_000184	188	159	406	135	275	76	66	87	145	165	123	29
Caust.v2_000187	177	213	139	218	248	104	65	100	105	103	121	58
Caust.v2_000189	3498	4135	2803	3406	3852	2039	1580	2133	1718	1725	2407	1203
Caust.v2_000190	1030	744	1059	841	803	1113	1064	1144	1213	690	788	1195
Caust.v2_000191	1520	705	1231	1193	600	1389	2979	2640	904	1032	1075	4231
Caust.v2_000192	654	653	539	719	593	1194	370	721	2217	764	687	347
Caust.v2_000193	53.9991	66.0105	36.9896	73.976	51.3089	34.1145	55.8714	140.434	30.9989	39.9487	90.8556	143.891
Caust.v2_000194	1076	900.989	1020.01	1035.02	747.691	1092.89	1394.13	1594.57	934.001	847.051	1090.14	1607.11
Caust.v2_000195	1	0	0	0	2	4	1	0	4	0	3	0
Caust.v2_000197	2096	1401	1818	2289	1426	1697	2390	2695	1718	1818	1722	2918
Caust.v2_000198	4858	8922	7104	10082	8715	2886	3038	4268	4691	4754	5906	3762
Caust.v2_000199	165	404	261	474	471	115	138	181	210	216	238	107
Caust.v2_000200	425	481	464	1017	554	968	333	996	888	560	847	294
Caust.v2_000201	397	307	355	327	286	387	229	332	346	314	276	286
Caust.v2_000202	342	186	208	253	176	214	147	212	225.786	234	190	199
Caust.v2_000204	2	0	5	3	0	2	1	2	3.21432	4	2	1
Caust.v2_000207	30	17	18	29	23	23	15	35	27	20	21	38
Caust.v2_000209	3	2	0	0	0	4	1	1	5	1	1	0
Caust.v2_000210	195	129	101	166	93	109	98	154	135	124	114	161
Caust.v2_000226	6	8	15	7	9	13	2	2	12	10	11	3
Caust.v2_000227	20	9	5	17	7	2	11	9	4	8	2	12
Caust.v2_000228	1664.004	1395.996	1221.999	1699.003	1079	1220.001	890.0002	1270.9991	1366.997	1318.998	1222.998	968.9996
Caust.v2_000241	381	264	321	334	274	412	335	439	328	208	305	553
Caust.v2_000242	678	711	709	739	520	587	779	824	661	701	623	833
Caust.v2_000243	949	440	770	713	397	845	1299	1262	560	675	641	1646
Caust.v2_000244	503	330	406	394	327	399	496	615	329	323	338	647
Caust.v2_000245	12	10	9	14	4	4	3	2	6	6	6	2
Caust.v2_000247	7	4	6	16	7	10	7	11	13	7	10	9
Caust.v2_000250	13	7	39	15	10	9	9	8	4	10	4	10
Caust.v2_000253	475	321	409	389	264	430	360	356	483	507	279	299
Caust.v2_000254	235	241	183	214	188	153	133	164	158	144	161	158
Caust.v2_000255	1221	1268	1292	1541	1267	1086	906	1065	1049	1037	1047	1032
Caust.v2_000256	576	373	484	520	474	622	645	748	538	455	382	640
Caust.v2_000257	4320	3823	3990	3455	3250	3685	3499	4223	3987	2931	3533	5154
Caust.v2_000258	573	299	425	376	327	401	454	545	334	364	357	544
Caust.v2_000259	1401	1142.002	1510.002	1131.998	876.0002	1204	1212.998	1568.998	924.0002	890.0002	1028.0002	1240
Caust.v2_000261	26	52	22	40	30	14	15	12	31	15	37	19
Caust.v2_000262	11	34	14	35	17	6	4	9	17	10	19	14
Caust.v2_000263	2145	3742	1469	2756	1776	1318	1307	1634	1922	1302	2511	1677
Caust.v2_000264	2862	1794	2455	2311	1718	2099	1943	2436	1729	1828	1952	2226
Caust.v2_000265	1322	1085	1360	1975	1038	1430	1184	2048	1041	1052	1397	1710
Caust.v2_000266	551	431	462	454	379	466	532	623	361	404	347	520
Caust.v2_000281	35	32	48	36	31	39	62	25	44	41	36	36
Caust.v2_000282	594	472	547	496	410	506	421	539	607	341	484	493
Caust.v2_000283	326	553	298	328	279	556	2445	233	890	335	222	275
Caust.v2_000284	476.0002	353.0002	353	428.0004	321.0001	285	364.0004	427.9997	372.9998	267.9996	281.0005	409.0005
Caust.v2_000285	368	557	370	376	420	372	397	568	376	311	236	867
Caust.v2_000286	437	423	395	457	382	362	450	502	362	277	394	443
Caust.v2_000288	0	0	0	0	0	1	1	0	0	0	1	0
Caust.v2_000292	0	0	0	0	1	0	0	0	0	0	1	0
Caust.v2_000293	8	7	8	18	2	7	5	9	17	10	15	4
Caust.v2_000294	4733	1833	2447	4059	1514	3806	6187	6268	3000	3113	2739	18157
Caust.v2_000295	16	8	7	11	12	8	0	1	20	3	4	10
Caust.v2_000297	5	5	2	0	0	7	2	9	8	1	5	1
Caust.v2_000298	774	433	595	627	377	635	1091	999	412	585	563	1887
Caust.v2_000299	442	352	356	361	347	343	407	506	334	280	346	543
Caust.v2_000300	56	43	46	51	50	62	54	101	36	45	58	60
Caust.v2_000301	1229	1171	1152	1351	1116	1175	1289	1572	1277	1031	1385	1443
Caust.v2_000302	1212	2092	1607	2161	1796	1602	1204	2250	1752	1565	2245	1437
Caust.v2_000303	105	133	136	115	109	195	54.9999897796	65.00002	218	90	123	71
Caust.v2_000304	1733	775	954	1345	823	1153	1560	1651	1031	988	841	2890
Caust.v2_000305	0	0	1	1	0	0	1	0	0	0	0	0
Caust.v2_000307	52	33	39	38	16	34	44	51	29	41	17	99
Caust.v2_000308	202	206	172	307	211	266	356	340	341	176	277	594
Caust.v2_000309	432	268	401	328	249	395	451	492	282	300	295	434
