GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0007052	mitotic spindle organization	61	22	5.68	1.6e-07	BP
GO:0071103	DNA conformation change	88	25	8.19	2.1e-07	BP
GO:0030261	chromosome condensation	43	17	4	3.0e-06	BP
GO:0000281	mitotic cytokinesis	54	16	5.03	1.9e-05	BP
GO:0007307	eggshell chorion gene amplification	21	9	1.96	5.2e-05	BP
GO:0009205	purine ribonucleoside triphosphate metab...	89	21	8.29	0.00035	BP
GO:0006120	mitochondrial electron transport, NADH t...	26	9	2.42	0.00036	BP
GO:0034645	cellular macromolecule biosynthetic proc...	1224	123	113.97	0.00048	BP
GO:0044703	multi-organism reproductive process	740	96	68.9	0.00052	BP
GO:0006607	NLS-bearing protein import into nucleus	13	6	1.21	0.00061	BP
GO:0016321	female meiosis chromosome segregation	13	6	1.21	0.00061	BP
GO:0035044	sperm aster formation	3	3	0.28	0.00080	BP
GO:0031054	pre-miRNA processing	3	3	0.28	0.00080	BP
GO:0006272	leading strand elongation	6	4	0.56	0.00096	BP
GO:0009167	purine ribonucleoside monophosphate meta...	92	20	8.57	0.00118	BP
GO:0016070	RNA metabolic process	1236	144	115.09	0.00143	BP
GO:0007088	regulation of mitotic nuclear division	49	14	4.56	0.00183	BP
GO:0006270	DNA replication initiation	13	7	1.21	0.00194	BP
GO:0009150	purine ribonucleotide metabolic process	150	25	13.97	0.00198	BP
GO:0007100	mitotic centrosome separation	11	5	1.02	0.00206	BP
GO:0006325	chromatin organization	317	48	29.52	0.00225	BP
GO:0007140	male meiotic nuclear division	56	11	5.21	0.00307	BP
GO:0035186	syncytial blastoderm mitotic cell cycle	19	7	1.77	0.00308	BP
GO:1900087	positive regulation of G1/S transition o...	8	4	0.74	0.00383	BP
GO:0000915	actomyosin contractile ring assembly	18	6	1.68	0.00443	BP
GO:0007346	regulation of mitotic cell cycle	158	36	14.71	0.00546	BP
GO:0018105	peptidyl-serine phosphorylation	42	11	3.91	0.00555	BP
GO:2000112	regulation of cellular macromolecule bio...	773	92	71.98	0.00565	BP
GO:0030422	production of siRNA involved in post-tra...	9	4	0.84	0.00640	BP
GO:0042023	DNA endoreduplication	16	6	1.49	0.00669	BP
GO:0007279	pole cell formation	14	5	1.3	0.00674	BP
GO:0000916	actomyosin contractile ring contraction	14	5	1.3	0.00674	BP
GO:0006999	nuclear pore organization	9	4	0.84	0.00693	BP
GO:0051092	positive regulation of NF-kappaB transcr...	5	3	0.47	0.00695	BP
GO:0007378	amnioserosa formation	5	3	0.47	0.00695	BP
GO:0007455	eye-antennal disc morphogenesis	30	8	2.79	0.00779	BP
GO:0009948	anterior/posterior axis specification	116	18	10.8	0.00846	BP
GO:0051231	spindle elongation	13	5	1.21	0.00858	BP
GO:0007144	female meiosis I	5	3	0.47	0.00863	BP
GO:0035046	pronuclear migration	2	2	0.19	0.00865	BP
GO:0031887	lipid droplet transport along microtubul...	2	2	0.19	0.00865	BP
GO:1903562	microtubule bundle formation involved in...	2	2	0.19	0.00865	BP
