GO.ID	Term	Annotated	Significant	Expected	weightFisher	Ontology
GO:0006120	mitochondrial electron transport, NADH t...	26	9	1.45	6.2e-06	BP
GO:0009205	purine ribonucleoside triphosphate metab...	89	20	4.97	8.4e-06	BP
GO:0009167	purine ribonucleoside monophosphate meta...	92	19	5.13	3.1e-05	BP
GO:0009150	purine ribonucleotide metabolic process	150	24	8.37	5.0e-05	BP
GO:0016310	phosphorylation	462	32	25.78	0.00086	BP
GO:0007378	amnioserosa formation	5	3	0.28	0.00158	BP
GO:0007406	negative regulation of neuroblast prolif...	27	6	1.51	0.00313	BP
GO:0015985	energy coupled proton transport, down el...	19	5	1.06	0.00318	BP
GO:0035072	ecdysone-mediated induction of salivary ...	12	4	0.67	0.00329	BP
GO:0045665	negative regulation of neuron differenti...	15	4	0.84	0.00506	BP
GO:2000647	negative regulation of stem cell prolife...	30	6	1.67	0.00545	BP
GO:0007464	R3/R4 cell fate commitment	15	4	0.84	0.00794	BP
GO:0035217	labial disc development	3	2	0.17	0.00896	BP
GO:0006123	mitochondrial electron transport, cytoch...	3	2	0.17	0.00896	BP
GO:0006583	melanin biosynthetic process from tyrosi...	3	2	0.17	0.00896	BP
GO:0034645	cellular macromolecule biosynthetic proc...	1224	66	68.29	0.01120	BP
GO:0050768	negative regulation of neurogenesis	52	12	2.9	0.01178	BP
GO:0009168	purine ribonucleoside monophosphate bios...	37	7	2.06	0.01331	BP
GO:0034969	histone arginine methylation	5	3	0.28	0.01716	BP
GO:0045468	regulation of R8 cell spacing in compoun...	4	2	0.22	0.01727	BP
GO:0035157	negative regulation of fusion cell fate ...	4	2	0.22	0.01727	BP
GO:0042776	proton motive force-driven mitochondrial...	4	2	0.22	0.01727	BP
GO:0019919	peptidyl-arginine methylation, to asymme...	4	2	0.22	0.01727	BP
GO:0009608	response to symbiont	4	2	0.22	0.01727	BP
GO:0097254	renal tubular secretion	4	2	0.22	0.01727	BP
GO:0007455	eye-antennal disc morphogenesis	30	5	1.67	0.02250	BP
GO:0007474	imaginal disc-derived wing vein specific...	41	6	2.29	0.02474	BP
GO:0016348	imaginal disc-derived leg joint morphoge...	12	3	0.67	0.02596	BP
GO:0006633	fatty acid biosynthetic process	32	6	1.79	0.02633	BP
GO:0007440	foregut morphogenesis	7	3	0.39	0.02757	BP
GO:0051092	positive regulation of NF-kappaB transcr...	5	2	0.28	0.02773	BP
GO:0035224	genital disc anterior/posterior pattern ...	5	2	0.28	0.02773	BP
GO:0003401	axis elongation	5	2	0.28	0.02773	BP
GO:0007313	maternal specification of dorsal/ventral...	5	2	0.28	0.02773	BP
GO:0007473	wing disc proximal/distal pattern format...	5	2	0.28	0.02773	BP
GO:0007425	epithelial cell fate determination, open...	5	2	0.28	0.02773	BP
