PL_N_1906	PL_N_1908	PL_N_1909	PL_P_1912	PL_P_1915	PL_P_1920	PL_SL_1926	PL_SL_1927	PL_SL_1930	PL_SM_1936	PL_SM_1939	PL_SM_1940
LOC106783577	3	49	1	3	9	9	12	5	11	5	8	8
LOC106783578	918	1233	501	730	545	598	536	579	539	925	844	514
LOC106783579	201.034	241.362	55.5719	205.383	102.323	74.8863	179.603	67.6808	65.8793	201.96	281.699	275.86
LOC106783580	795.0535	309.22777	606.1126	529.27856	686.4695	284.10387	533.43647	266.0001	219.0799	667.4987	633.11539	596.1225
LOC106783581	74	98	5	69	65	40	57	38	47	50	96	107
LOC106783582	1817	1215.98	1161.8	1542.3	1012.84	789.134	1070.26	1445.11	540.041	1282.38	2862.46	1627.76
LOC106783583	845.2006	909.766739	248.806	1029.0671	919.32914	573.16877	945.8379	350.3205	524.3193	1041.8827	1451.0286	1268.88294
LOC106783584	12	7	2	6	4	18	3	9	10	13	4	11
LOC106783585	1095.032	1904.694	832.589	1098.839	1646.864	1315.038	1758.963	1455.817	1476.609	803.4938	1192.278	1485.188
LOC106783586	248.674	308.775	197.66	248.161	212.438	253.517	239.682	250.515	242.43	237.61	242.466	283.932
LOC106783587	1007.28	1037.15	684.87	961.57	712.545	712.013	936.123	818.114	794.083	854.764	925.03	1083.65
LOC106783588	65.1822	190.381	50.1319	131.765	94.7684	130.425	84.8288	140.981	150.767	74.9061	89.7382	110.619
LOC106783589	666	1399	535	639	873	927	672	936	1036	507	691	890
LOC106783590	693	1134	749	582	867	925	481	1141	914	481	587	691
LOC106783591	109	608	51	169	213	359	256	361	381	106	223	335
LOC106783592	231.818	839.619	148.868	320.235	289.232	385.575	308.171	422.019	455.233	235.094	324.262	377.381
LOC106783593	290	162	247	228	214	249	271	228	193	243	286	317
LOC106783594	1238.68	1591.98	918.708	1312.61	1385.72	1249.5	1272.79	1456.75	1355.07	1164.33	1502.24	1441.4
LOC106783595	45	17	7	19.1137	16.0738	11.0251	37.0863	10	14	38.2129	20	42
LOC106783596	498.043	240.534	307.209	570.215	405.142	272.032	462.062	251.133	249.213	468.807	505.048	524.606
LOC106783597	1563.7654139122	902.0198	939.43200677	1501.88201894	1031.46	951.999400204181	1404.21900003063	1059.64950146719	680.0225652157	1435.5099	1302.7775445	1312.957
