target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	993.196	24682	2269.52
NM_001011562.1	863	605.279	119.318	18.0027
NM_001011563.1	2084	1826.2	739	36.956
NM_001011564.2	1326	1068.2	569	48.6462
NM_001011565.1	3023	2765.2	163.603	5.40323
NM_001011566.1	1503	1245.2	0	0
NM_001011567.1	4030	3772.2	5.68597	0.137657
NM_001011568.1	2077	1819.2	19.5933	0.983595
NM_001011570.1	582	324.614	4551	1280.35
NM_001011571.1	2093	1835.2	2.68217	0.133473
NM_001011572.1	2346	2088.2	34261	1498.36
NM_001011573.1	3160	2902.2	0	0
NM_001011574.1	1940	1682.2	61	3.31163
NM_001011575.1	2163	1905.2	59.0775	2.83185
NM_001011576.1	1195	937.196	50	4.87223
NM_001011577.1	2389	2131.2	711.661	30.4957
NM_001011578.1	5441	5183.2	1527	26.9048
NM_001011579.1	1430	1172.2	163	12.6992
NM_001011580.1	1544	1286.2	9.47392	0.672683
NM_001011581.1	2439	2181.2	261.524	10.9498
NM_001011583.2	635	377.464	114963	27814.4
NM_001011584.1	1606	1348.2	42.8547	2.90291
NM_001011585.1	1638	1380.2	71.1275	4.70636
NM_001011586.1	2205	1947.2	0	0
NM_001011587.1	496	238.767	0	0
NM_001011588.1	724	466.373	27	5.28711
NM_001011589.1	624	366.48	363	90.4573
NM_001011590.1	574	316.628	2	0.576858
NM_001011591.1	584	326.614	0	0
NM_001011592.1	1590	1332.2	2952.28	202.384
NM_001011593.1	548	290.668	1	0.314189
NM_001011594.1	4195	3937.2	26.6442	0.618021
NM_001011595.1	2818	2560.2	52	1.85489
NM_001011596.1	4100	3842.2	172.34	4.09632
NM_001011597.1	2673	2415.2	42.0481	1.58994
NM_001011598.1	1624	1366.2	7060	471.932
NM_001011599.1	1942	1684.2	5.41221	0.293474
NM_001011600.1	2052	1794.2	143	7.27871
NM_001011601.1	1830	1572.2	42	2.43967
NM_001011602.1	2795	2537.2	513	18.4651
NM_001011603.1	1683	1425.2	623.416	39.9477
NM_001011604.3	685	427.412	3421.24	731.012
NM_001011605.1	1448	1190.2	535	41.051
NM_001011606.1	1757	1499.2	3	0.182747
NM_001011608.1	1873	1615.2	422	23.8603
NM_001011610.1	1612	1354.2	20.6073	1.38972
NM_001011614.1	688	430.412	4045	858.266
NM_001011615.1	664	406.43	1880	422.435
NM_001011616.2	680	422.412	4230	914.517
NM_001011617.1	374	120.306	5273	4002.76
NM_001011619.1	1559	1301.2	347.444	24.3854
NM_001011620.1	957	699.196	2.10638	0.275122
NM_001011621.1	3254	2996.2	2.26962	0.0691783
NM_001011622.1	1529	1271.2	22	1.58051
