OrthoGroup	Function	Contrast	Source	DETot
OG0000034	Immune	GramNegative	P.lanio	1
OG0000138	Immune	GramNegative	A.melifera, B.terrestris, C.australensis, P.lanio	4
OG0000187	Immune	GramNegative	P.lanio	1
OG0000191	Immune	GramNegative	P.lanio	1
OG0000268	Immune	GramNegative	B.terrestris	1
OG0000399	Immune	GramNegative	Aculeata, AgeControlled, Anthophila, Apinae	4
OG0000446	Immune	GramNegative	Apinae	1
OG0000493	Immune	GramNegative	A.melifera, P.lanio	2
OG0000699	Immune	GramNegative	Aculeata, Anthophila, Apinae	3
OG0000928	Immune	GramNegative	A.melifera, B.terrestris	2
OG0000946	Immune	GramNegative	B.terrestris	1
OG0001290	Immune	GramNegative	A.melifera, B.terrestris	2
OG0001412	Immune	GramNegative	A.melifera	1
OG0002135	Immune	GramNegative	P.lanio	1
OG0002409	Immune	GramNegative	B.terrestris	1
OG0002678	Immune	GramNegative	P.lanio	1
OG0002707	Immune	GramNegative	B.terrestris	1
OG0003875	Immune	GramNegative	P.lanio	1
OG0003959	Immune	GramNegative	A.melifera	1
OG0004091	Immune	GramNegative	A.melifera	1
OG0004307	Immune	GramNegative	A.melifera	1
OG0004507	Immune	GramNegative	P.lanio	1
OG0004610	Immune	GramNegative	A.melifera, B.terrestris	2
OG0004717	Immune	GramNegative	A.melifera	1
OG0004768	Immune	GramNegative	C.australensis	1
OG0004983	Immune	GramNegative	Apinae	1
OG0005039	Immune	GramNegative	P.lanio	1
OG0005230	Immune	GramNegative	A.melifera	1
OG0005356	Immune	GramNegative	P.lanio	1
OG0007012	Immune	GramNegative	B.terrestris	1
OG0008269	Immune	GramNegative	P.lanio	1
OG0008585	Immune	GramNegative	C.australensis	1
OG0009097	Immune	GramNegative	A.melifera	1
OG0009345	Immune	GramNegative	B.terrestris	1
OG0009651	Immune	GramNegative	A.melifera	1
OG0009885	Immune	GramNegative	A.melifera	1
OG0000013	None Immune	GramNegative	P.lanio	1
OG0000041	None Immune	GramNegative	A.melifera	1
OG0000048	None Immune	GramNegative	B.terrestris	1
OG0000051	None Immune	GramNegative	A.melifera, P.lanio	2
OG0000056	None Immune	GramNegative	P.lanio	1
OG0000059	None Immune	GramNegative	B.terrestris	1
OG0000070	None Immune	GramNegative	P.lanio	1
OG0000099	None Immune	GramNegative	A.melifera	1
OG0000114	None Immune	GramNegative	P.lanio	1
OG0000127	None Immune	GramNegative	B.terrestris	1
OG0000130	None Immune	GramNegative	A.melifera	1
OG0000137	None Immune	GramNegative	P.lanio	1
OG0000175	None Immune	GramNegative	P.lanio	1
OG0000190	None Immune	GramNegative	P.lanio	1
OG0000231	None Immune	GramNegative	B.terrestris	1
OG0000248	None Immune	GramNegative	A.melifera	1
OG0000252	None Immune	GramNegative	B.terrestris	1
OG0000253	None Immune	GramNegative	P.lanio	1
OG0000264	None Immune	GramNegative	P.lanio	1
OG0000272	None Immune	GramNegative	B.terrestris	1
OG0000290	None Immune	GramNegative	A.melifera	1
OG0000293	None Immune	GramNegative	A.melifera	1
OG0000294	None Immune	GramNegative	A.melifera, C.australensis	2
OG0000307	None Immune	GramNegative	A.melifera, C.australensis	2
OG0000315	None Immune	GramNegative	P.lanio	1
OG0000319	None Immune	GramNegative	B.terrestris	1
OG0000323	None Immune	GramNegative	A.melifera	1
OG0000334	None Immune	GramNegative	P.lanio	1
OG0000342	None Immune	GramNegative	B.terrestris	1
OG0000347	None Immune	GramNegative	A.melifera	1
OG0000359	None Immune	GramNegative	P.lanio	1
OG0000363	None Immune	GramNegative	P.lanio	1
OG0000372	None Immune	GramNegative	B.terrestris	1
OG0000383	None Immune	GramNegative	A.melifera	1
OG0000396	None Immune	GramNegative	B.terrestris	1
OG0000430	None Immune	GramNegative	P.lanio	1
OG0000440	None Immune	GramNegative	P.lanio	1
OG0000453	None Immune	GramNegative	P.lanio	1
OG0000468	None Immune	GramNegative	P.lanio	1
OG0000475	None Immune	GramNegative	B.terrestris	1
OG0000478	None Immune	GramNegative	A.melifera	1
OG0000479	None Immune	GramNegative	P.lanio	1
OG0000498	None Immune	GramNegative	B.terrestris	1
OG0000501	None Immune	GramNegative	A.melifera	1
OG0000509	None Immune	GramNegative	C.australensis	1
OG0000518	None Immune	GramNegative	A.melifera	1
OG0000543	None Immune	GramNegative	P.lanio	1
OG0000547	None Immune	GramNegative	P.lanio	1
OG0000553	None Immune	GramNegative	A.melifera	1
OG0000555	None Immune	GramNegative	P.lanio	1
OG0000558	None Immune	GramNegative	A.melifera	1
OG0000569	None Immune	GramNegative	B.terrestris	1
OG0000589	None Immune	GramNegative	P.lanio	1
OG0000596	None Immune	GramNegative	P.lanio	1
OG0000603	None Immune	GramNegative	B.terrestris, C.australensis	2
OG0000613	None Immune	GramNegative	A.melifera	1
OG0000619	None Immune	GramNegative	P.lanio	1
OG0000624	None Immune	GramNegative	P.lanio	1
OG0000629	None Immune	GramNegative	A.melifera	1
OG0000676	None Immune	GramNegative	P.lanio	1
OG0000678	None Immune	GramNegative	P.lanio	1
OG0000698	None Immune	GramNegative	A.melifera	1
OG0000703	None Immune	GramNegative	B.terrestris	1
OG0000736	None Immune	GramNegative	P.lanio	1
OG0000747	None Immune	GramNegative	B.terrestris	1
OG0000749	None Immune	GramNegative	P.lanio	1
OG0000751	None Immune	GramNegative	A.melifera	1
OG0000753	None Immune	GramNegative	P.lanio	1
OG0000768	None Immune	GramNegative	A.melifera	1
OG0000772	None Immune	GramNegative	P.lanio	1
OG0000773	None Immune	GramNegative	A.melifera, P.lanio	2
OG0000781	None Immune	GramNegative	A.melifera	1
OG0000799	None Immune	GramNegative	A.melifera	1
OG0000813	None Immune	GramNegative	P.lanio	1
OG0000823	None Immune	GramNegative	P.lanio	1
OG0000855	None Immune	GramNegative	B.terrestris	1
OG0000863	None Immune	GramNegative	A.melifera	1
OG0000868	None Immune	GramNegative	P.lanio	1
OG0000869	None Immune	GramNegative	B.terrestris	1
OG0000884	None Immune	GramNegative	A.melifera	1
OG0000888	None Immune	GramNegative	P.lanio	1
OG0000898	None Immune	GramNegative	P.lanio	1
OG0000926	None Immune	GramNegative	P.lanio	1
OG0000930	None Immune	GramNegative	P.lanio	1
OG0000935	None Immune	GramNegative	P.lanio	1
OG0000936	None Immune	GramNegative	P.lanio	1
OG0000941	None Immune	GramNegative	P.lanio	1
OG0000954	None Immune	GramNegative	Anthophila	1
OG0000971	None Immune	GramNegative	P.lanio	1
OG0000977	None Immune	GramNegative	A.melifera, B.terrestris	2
OG0000978	None Immune	GramNegative	P.lanio	1
OG0000993	None Immune	GramNegative	A.melifera	1
OG0000994	None Immune	GramNegative	B.terrestris	1
OG0001000	None Immune	GramNegative	A.melifera	1
OG0001007	None Immune	GramNegative	P.lanio	1
OG0001013	None Immune	GramNegative	A.melifera	1
OG0001026	None Immune	GramNegative	P.lanio	1
OG0001030	None Immune	GramNegative	P.lanio	1
OG0001044	None Immune	GramNegative	B.terrestris	1
OG0001048	None Immune	GramNegative	B.terrestris	1
OG0001058	None Immune	GramNegative	A.melifera	1
