Orthogroup	Species	GeneID	Function
OG0000001	Amel	LOC102654074	None Immune
OG0000001	Amel	LOC107965761	None Immune
OG0000001	Amel	LOC102655218	None Immune
OG0000001	Amel	LOC724673	None Immune
OG0000001	Amel	LOC107965760	None Immune
OG0000002	Amel	Or35	None Immune
OG0000002	Amel	Or51	None Immune
OG0000002	Amel	Or52	None Immune
OG0000002	Amel	Or53	None Immune
OG0000002	Amel	Or56	None Immune
OG0000002	Amel	Or57	None Immune
OG0000002	Amel	Or58	None Immune
OG0000002	Amel	LOC102653703	None Immune
OG0000002	Amel	LOC102653637	None Immune
OG0000002	Amel	LOC102655435	None Immune
OG0000002	Amel	LOC102656907	None Immune
OG0000002	Amel	Or55	None Immune
OG0000003	Amel	LOC113218652	None Immune
OG0000009	Amel	LOC408453	Putative Immune
OG0000009	Amel	LOC410492	Putative Immune
OG0000009	Amel	LOC725621	Putative Immune
OG0000009	Amel	LOC408452	Putative Immune
OG0000011	Amel	LOC100578685	None Immune
OG0000011	Amel	LOC107965436	None Immune
OG0000011	Amel	LOC100578751	None Immune
OG0000011	Amel	LOC113218541	None Immune
OG0000011	Amel	LOC100578886	None Immune
OG0000013	Amel	LOC413959	None Immune
OG0000013	Amel	LOC409897	None Immune
OG0000013	Amel	LOC725051	None Immune
OG0000013	Amel	LOC551061	None Immune
OG0000013	Amel	LOC410269	None Immune
OG0000016	Amel	LOC413833	Putative Immune
OG0000017	Amel	LOC725052	None Immune
OG0000017	Amel	LOC100577755	None Immune
OG0000017	Amel	LOC100576212	None Immune
OG0000017	Amel	LOC100576246	None Immune
OG0000017	Amel	LOC100576839	None Immune
OG0000017	Amel	LOC100576282	None Immune
OG0000017	Amel	LOC724911	None Immune
OG0000017	Amel	LOC102656838	None Immune
OG0000017	Amel	LOC100577024	None Immune
OG0000017	Amel	LOC724202	None Immune
OG0000017	Amel	LOC724462	None Immune
OG0000017	Amel	LOC724590	None Immune
OG0000017	Amel	LOC100576992	None Immune
OG0000017	Amel	LOC102654183	None Immune
OG0000017	Amel	LOC100576940	None Immune
OG0000017	Amel	LOC113219164	None Immune
OG0000018	Amel	LOC100578724	None Immune
OG0000018	Amel	LOC102654216	None Immune
OG0000018	Amel	LOC102655559	None Immune
OG0000018	Amel	LOC102654530	None Immune
OG0000018	Amel	LOC102655285	None Immune
OG0000018	Amel	LOC100579011	None Immune
OG0000018	Amel	LOC107964732	None Immune
OG0000018	Amel	LOC107965011	None Immune
OG0000018	Amel	LOC100578842	None Immune
OG0000018	Amel	LOC102656567	None Immune
OG0000018	Amel	LOC102654782	None Immune
OG0000018	Amel	LOC102653979	None Immune
OG0000020	Amel	LOC411519	Immune
OG0000020	Amel	LOC552766	Immune
OG0000020	Amel	LOC408388	Immune
OG0000020	Amel	LOC724291	Immune
OG0000020	Amel	LOC410614	Immune
OG0000020	Amel	LOC412886	Immune
OG0000020	Amel	LOC550827	Immune
OG0000021	Amel	Or107	None Immune
OG0000021	Amel	Or109	None Immune
OG0000021	Amel	LOC102653865	None Immune
OG0000021	Amel	LOC100577888	None Immune
OG0000021	Amel	LOC102653716	None Immune
OG0000025	Amel	LOC102656830	None Immune
OG0000031	Amel	LOC102656271	None Immune
OG0000031	Amel	LOC107965763	None Immune
OG0000031	Amel	LOC107966034	None Immune
OG0000031	Amel	LOC113219362	None Immune
OG0000034	Amel	Arp1	Immune
OG0000034	Amel	LOC551176	Immune
OG0000034	Amel	LOC551369	Immune
OG0000034	Amel	LOC725404	Immune
OG0000034	Amel	LOC551438	Immune
OG0000034	Amel	LOC552637	Immune
OG0000036	Amel	Or115	None Immune
OG0000038	Amel	LOC725272	None Immune
OG0000038	Amel	LOC726542	None Immune
OG0000038	Amel	LOC726692	None Immune
OG0000038	Amel	LOC725414	None Immune
OG0000038	Amel	LOC552116	None Immune
OG0000039	Amel	LOC725037	None Immune
OG0000039	Amel	LOC113218639	None Immune
OG0000041	Amel	LOC726768	None Immune
OG0000041	Amel	LOC411250	None Immune
OG0000041	Amel	LOC412313	None Immune
OG0000041	Amel	LOC550801	None Immune
OG0000042	Amel	LOC100577548	Immune
OG0000042	Amel	LOC410559	Immune
OG0000042	Amel	LOC408782	Immune
OG0000042	Amel	LOC410994	Immune
OG0000042	Amel	LOC410996	Immune
OG0000044	Amel	LOC411564	Putative Immune
OG0000045	Amel	LOC413056	None Immune
OG0000046	Amel	Or63	None Immune
OG0000046	Amel	LOC410603	None Immune
OG0000046	Amel	LOC107963999	None Immune
OG0000046	Amel	LOC100578045	None Immune
OG0000047	Amel	LOC724869	None Immune
OG0000047	Amel	LOC726447	None Immune
OG0000047	Amel	LOC726487	None Immune
OG0000047	Amel	LOC724633	None Immune
OG0000047	Amel	LOC725344	None Immune
OG0000048	Amel	LOC409203	None Immune
OG0000048	Amel	LOC727593	None Immune
OG0000048	Amel	LOC107965199	None Immune
OG0000050	Amel	Hbg3	Putative Immune
OG0000050	Amel	AGLU2	Putative Immune
OG0000050	Amel	Hbg2	Putative Immune
OG0000051	Amel	LOC725420	None Immune
OG0000051	Amel	LOC725346	None Immune
OG0000051	Amel	LOC102654427	None Immune
OG0000051	Amel	LOC725456	None Immune
OG0000053	Amel	LOC100577496	None Immune
OG0000053	Amel	LOC102653640	None Immune
OG0000054	Amel	LOC102654211	Putative Immune
OG0000054	Amel	LOC113218712	Putative Immune
OG0000054	Amel	LOC412166	Putative Immune
OG0000054	Amel	LOC552417	Putative Immune
OG0000054	Amel	LOC724226	Putative Immune
OG0000054	Amel	LOC100576797	Putative Immune
OG0000054	Amel	LOC551527	Putative Immune
OG0000055	Amel	nAChRa8	None Immune
OG0000055	Amel	nAChRa3	None Immune
OG0000055	Amel	nAChRa1	None Immune
OG0000055	Amel	nAChRa4	None Immune
OG0000056	Amel	LOC724757	None Immune
OG0000056	Amel	LOC725230	None Immune
OG0000056	Amel	LOC102655073	None Immune
OG0000056	Amel	LOC406132	None Immune
OG0000058	Amel	LOC725647	None Immune
OG0000059	Amel	Dscam	None Immune
OG0000059	Amel	Abscam	None Immune
OG0000059	Amel	LOC408670	None Immune
OG0000059	Amel	LOC408688	None Immune
OG0000060	Amel	LOC100577142	None Immune
OG0000061	Amel	LOC102656429	None Immune
OG0000064	Amel	LOC410417	None Immune
OG0000065	Amel	LOC100577331	Putative Immune
OG0000065	Amel	LOC725725	Putative Immune
OG0000065	Amel	LOC100577577	Putative Immune
OG0000065	Amel	LOC724199	Putative Immune
OG0000065	Amel	LOC113218574	Putative Immune
OG0000066	Amel	LOC724678	None Immune
OG0000066	Amel	LOC725308	None Immune
OG0000066	Amel	LOC725450	None Immune
OG0000066	Amel	LOC726468	None Immune
OG0000067	Amel	LOC724274	Putative Immune
OG0000067	Amel	LOC724367	Putative Immune
OG0000067	Amel	LOC724449	Putative Immune
OG0000067	Amel	LOC724488	Putative Immune
