target_id	length	eff_length	est_counts	tpm
XM_014742228.1	1554	1296.01	55.9421	2.05907
XM_014742229.1	6556	6298.01	55.5719	0.420915
XM_014742230.1	4471	4213.01	0	0
XM_014742231.1	4411	4153.01	41.4136	0.475688
XM_014742232.1	4408	4150.01	11.6247	0.133621
XM_014742233.1	4891	4633.01	372.245	3.83273
XM_014742234.1	4493	4235.01	81.8157	0.921562
XM_014742235.1	4485	4227.01	99.0136	1.11739
XM_014742236.1	3695	3437.01	5	0.0693955
XM_014742237.1	1518	1260.01	0	0
XM_014742238.1	3386	3128.01	1161.8	17.7176
XM_014742251.1	7242	6984.01	494.165	3.37527
XM_014742253.1	7131	6873.01	161.545	1.12122
XM_014742254.1	7168	6910.01	176.879	1.22107
XM_014742255.1	3032	2774.01	197.66	3.39901
XM_014742257.1	4261	4003.01	50.1319	0.597407
XM_014742258.1	2579	2321.01	535	10.9956
XM_014742259.1	2635	2377.01	749	15.0312
XM_014742261.1	1661	1403.01	51	1.73401
XM_014742262.1	1886	1628.01	148.868	4.362
XM_014742263.1	2997	2739.01	247	4.30175
XM_014742264.1	8489	8231.01	918.708	5.32435
XM_014742265.1	6058	5800.01	307.209	2.52666
XM_014742266.1	7981	7723.01	258.295	1.59541
XM_014742267.1	8003	7745.01	51.9411	0.319913
XM_014742268.1	8071	7813.01	333.785	2.03794
XM_014742269.1	8038	7780.01	113.356	0.695034
XM_014742270.1	7972	7714.01	85.8156	0.530675
XM_014742271.1	7966	7708.01	0	0
XM_014742272.1	1397	1139.01	1	0.0418807
XM_014742273.1	7858	7600.01	0.00740677	4.64898e-05
XM_014742274.1	7843	7585.01	96.2319	0.605209
XM_014742275.1	2899	2641.01	875.432	15.8123
XM_014742276.1	2982	2724.01	0	0
XM_014742277.1	3017	2759.01	293.662	5.07734
XM_014742278.1	2715	2457.01	713.906	13.8604
XM_014742279.1	4101	3843.01	297.273	3.69
XM_014742280.1	3880	3622.01	6.29295	0.0828795
XM_014742281.1	3871	3613.01	3.76504	0.0497098
XM_014742282.1	3862	3604.01	192.84	2.55242
XM_014742283.1	3853	3595.01	117.535	1.55959
XM_014742284.1	3988	3730.01	13.8513	0.177142
XM_014742285.1	4349	4091.01	222.691	2.59665
XM_014742286.1	3979	3721.01	16.0002	0.205119
XM_014742287.1	4290	4032.01	881	10.4231
XM_014742288.1	4341	4083.01	215.58	2.51866
XM_014742289.1	3970	3712.01	367.918	4.72807
XM_014742290.1	3961	3703.01	425.527	5.48169
XM_014742292.1	2677	2419.01	911	17.9648
XM_014742293.1	2670	2412.01	3436	67.9541
XM_014742294.1	2544	2286.01	3308.02	69.029
XM_014742295.1	2486	2228.01	250.984	5.37366
XM_014742296.1	1436	1178.01	513	20.7735
XM_014742298.1	1299	1041.01	5694	260.918
XM_014742299.1	3917	3659.01	81.627	1.06417
XM_014742300.1	1091	833.013	750	42.9489
XM_014742301.1	1315	1057.01	284	12.8168
XM_014742302.1	6470	6212.01	296.187	2.27445
XM_014742303.1	6345	6087.01	0.0798852	0.000626044
XM_014742304.1	5857	5599.01	18.7331	0.159603
XM_014742305.1	2013	1755.01	201.095	5.46593
XM_014742306.1	1341	1083.01	187.905	8.2765
XM_014742307.1	3657	3399.01	0	0
XM_014742308.1	2104	1846.01	649	16.7707
XM_014742310.1	7688	7430.01	129	0.828214
XM_014742311.1	1983	1725.01	0	0
XM_014742312.1	2301	2043.01	68.4821	1.599
XM_014742313.1	2034	1776.01	19.5179	0.52424
XM_014742314.1	3170	2912.01	82.3629	1.34921
XM_014742316.1	3031	2773.01	0	0
XM_014742317.1	2378	2120.01	470.819	10.594
XM_014742318.1	2658	2400.01	537.181	10.677
XM_014742319.1	3246	2988.01	637.643	10.1798
XM_014742320.1	3243	2985.01	626.357	10.0096
XM_014742321.1	2681	2423.01	154.798	3.04756
XM_014742322.1	2952	2694.01	3.35413	0.0593912
XM_014742323.1	2567	2309.01	49.8479	1.02982
XM_014742324.1	2297	2039.01	214.999	5.0299
XM_014742325.1	3118	2860.01	21.0912	0.351784
XM_014742326.1	2083	1825.01	0.000640254	1.67351e-05
XM_014742327.1	1375	1117.01	1186	50.6488
XM_014742328.1	1082	824.013	258	14.9358
XM_014742329.1	3506	3248.01	12.9148	0.189676
XM_014742330.1	3503	3245.01	0	0
XM_014742331.1	3479	3221.01	416.085	6.16215
XM_014742332.1	1816	1558.01	303	9.27714
XM_014742333.1	1920	1662.01	130	3.73122
XM_014742334.1	3534	3276.01	27.9148	0.406472
XM_014742335.1	2545	2287.01	124	2.5864
XM_014742336.1	633	375.123	176	22.3811
XM_014742340.1	1676	1418.01	519	17.4594
XM_014742341.1	868	610.013	6	0.469196
XM_014742342.1	3491	3233.01	225	3.31984
XM_014742343.1	1296	1038.01	440.483	20.2427
XM_014742344.1	1349	1091.01	124.517	5.44428
XM_014742346.1	2315	2057.01	352	8.16297
XM_014742347.1	1228	970.013	0	0
XM_014742348.1	1216	958.013	0	0
XM_014742349.1	1189	931.013	4.7259	0.242143
XM_014742350.1	1177	919.013	9.93516	0.515698
XM_014742351.1	1129	871.013	0	0
XM_014742352.1	1090	832.013	10.3389	0.592773
XM_014742353.1	4864	4606.01	51	0.528187
XM_014742354.1	4389	4131.01	600.904	6.9389
XM_014742355.1	2275	2017.01	1340	31.6912
XM_014742356.1	927	669.013	89	6.34597
