GeneID	Function	Orthogroup
1	18-w	Recognition	OG0006701
2	5-HT1	Background	OG0007222
3	5-HT2alpha	Background	OG0004986
4	5-HT2beta	Background	OG0002881
5	5-ht7	Background	OG0001398
6	A4	Putative Immune	OG0001052
7	Abscam	Background	OG0000059
8	Ac3	Background	OG0004211
9	AChE-2	Background	OG0002580
10	Acph-1	Background	OG0000466
11	ACSF2	Background	OG0006469
12	Adar	Background	OG0001158
13	Adk1	Background	OG0008135
14	AGLU2	Putative Immune	OG0000050
15	Akhr	Background	OG0007415
16	Amel_8916	Background	OG0000284
17	Amih	Background	OG0006538
18	Ancr-1	Putative Immune	Unassigned
19	Ant	Background	OG0006757
20	Antp	Background	OG0003151
21	Apamin	Background	OG0010240
22	Apd-1	Putative Immune	OG0009340
23	Apd-2	Putative Immune	OG0009876
24	apd-3	Background	OG0008311
25	Apd-3	Putative Immune	Unassigned
26	Apid1	Effector	OG0011065
27	Apime-ASTA	Putative Immune	OG0001783
28	Argk	Background	OG0004536
29	arm	Background	OG0007491
30	Arp1	Signalling	OG0000034
31	ATP5G2	Background	OG0007370
32	aub	Signalling	OG0000522
33	B-gluc1	Recognition	OG0004415
34	bantam	Background	Unassigned
35	BBIP1	Background	OG0009571
36	Blop	Background	OG0002450
37	Br-c	Background	OG0003580
38	Brd7	Background	OG0004749
39	brp	Background	OG0000512
40	Burs	Background	OG0004689
41	c-mos	Background	OG0004787
42	C1q-VP	Background	OG0008840
43	Cac	Background	OG0001268
44	cact1	Signalling	OG0000699
45	cad	Background	Unassigned
46	Calpb	Background	OG0006642
47	Camkii	Background	OG0006447
48	Cat	Background	OG0006946
49	Cbs	Background	OG0004849
50	Cdc37	Background	OG0002952
51	Cdk5	Background	OG0001625
52	Chmp1	Background	OG0006378
53	Coq7	Background	OG0007146
54	Cox6b1	Background	OG0009306
55	Cox6c	Background	OG0009313
56	Cpap3-b	Background	OG0007558
57	Cpap3-c	Background	OG0003816
58	Cpap3-d	Background	OG0003818
59	CPF1	Background	OG0008708
60	CPF2	Background	OG0009022
61	CPR1	Background	OG0000115
62	CPR11	Background	OG0000248
63	CPR12	Background	OG0000390
64	CPR13	Background	OG0000390
65	CPR14	Putative Immune	OG0007765
66	CPR16	Background	OG0000471
67	CPR17	Background	OG0002104
68	CPR18	Background	OG0000155
69	CPR19	Putative Immune	OG0004829
70	CPR2	Background	OG0000115
71	CPR21	Background	OG0000155
72	CPR22	Background	OG0000155
73	CPR27	Background	OG0008835
74	CPR28	Background	OG0002602
75	CPR3	Background	OG0009342
76	CPR4	Background	OG0000115
77	CPR5	Background	OG0008542
78	CPR6	Background	OG0003301
79	crh-BP	Background	OG0008939
80	Cry2	Background	OG0002260
81	Cryl1	Background	OG0005232
82	Crz	Background	OG0007761
83	Crzr	Putative Immune	OG0002361
84	Csd	Background	OG0000369
85	CSP1	Putative Immune	OG0000176
86	CSP2	Background	OG0003411
87	CSP3	Background	OG0000765
88	CSP4	Background	OG0008984
89	CSP6	Putative Immune	OG0005678
90	CTL5	Background	OG0002120
91	CUTA	Background	OG0005889
92	Cyp314a1	Background	OG0009019
93	Cyp4g11	Background	OG0000509
94	CYP6AQ1	Putative Immune	OG0000110
95	Cyp6as5	Putative Immune	OG0000144
96	CytC	Signalling	OG0005039
97	Dat	Background	OG0005437
98	Dcr-1	Recognition	OG0007441
99	Def1	Effector	OG0000635
100	Def2	Effector	OG0008855
101	DHRS4	Background	OG0002046
102	Dl	Signalling	OG0000609
103	Dll	Background	OG0003540
104	Dnmt1a	Background	OG0001022
105	Dnmt3	Background	OG0007413
106	Dop1	Background	OG0006304
107	Dop3	Background	OG0001156
108	DopR2	Background	OG0008904
109	Dscam	Background	OG0000059
110	Dsx	Background	Unassigned
111	E74	Background	OG0002077
112	E75	Putative Immune	OG0004576
113	Eaat-2	Background	OG0001077
114	ecd	Background	OG0003978
115	Ecr	Background	OG0001415
116	Ef-1a-f1	Background	OG0000114
117	EF1a-F2	Background	OG0000114
118	egh	Background	OG0000890
119	Eif3h	Background	OG0008023
120	Eif4g	Background	OG0004737
121	Emc	Background	OG0003112
122	EphR	Background	OG0007108
123	Err	Background	OG0000698
124	Est-6	Background	OG0000319
125	Eth	Background	OG0000669
126	Ets97D-like	Background	OG0004724
127	eve	Background	OG0005888
128	Eyg	Background	OG0003308
129	Fabp	Putative Immune	OG0006941
130	FAR1	Putative Immune	OG0004236
131	Fem	Background	OG0000369
132	Fibroin1	Background	OG0010241
133	Fibroin2	Background	OG0010242
134	Fibroin3	Background	OG0010243
135	Fibroin4	Background	Unassigned
136	For	Background	OG0006862
137	Foxp	Background	OG0003562
138	Fstl5	Background	OG0008720
139	Gat-1B	Background	OG0001922
140	Gat-a	Background	OG0005249
141	Gb15078	Background	OG0008790
142	Gfat2	Background	OG0002594
143	GlnS	Background	OG0004373
144	Glob1	Background	OG0001287
145	GluCl	Background	OG0004678
146	Glurb	Background	OG0000969
147	Gpdh	Background	OG0000392
148	Gr10	Background	OG0009219
149	Grd	Background	OG0000284
150	Grp	Putative Immune	OG0000433
151	Gstcd	Background	OG0001810
152	GstD1	Background	OG0000363
153	GstS1	Background	OG0000224
154	GstS4	Background	OG0008541
155	Gtpx1	Background	OG0009021
156	Gycbeta1	Background	OG0003066
157	H	Background	OG0001300
158	Hb	Background	OG0000910
159	Hbg2	Putative Immune	OG0000050
160	Hbg3	Putative Immune	OG0000050
161	Hex110	Putative Immune	OG0005009
162	Hex70a	Putative Immune	OG0000151
163	HEX70b	Background	OG0000151
164	Hex70c	Background	OG0000151
165	Hiscl1	Background	OG0008964
166	Ho	Background	OG0002751
167	Hsc70-3	Background	OG0000068
168	Hsc70-4	Putative Immune	OG0000068
169	Hsc70-5	Background	OG0006467
170	Hsp90	Putative Immune	OG0000456
171	IF-2mt	Background	OG0001309
172	ILP-2	Background	OG0002622
173	Imd	Signalling	OG0005749
174	Ing3	Background	OG0007658
175	InR-2	Background	OG0003984
176	INTS8	Background	OG0001265
177	Ip3k	Background	OG0008539
178	JHBP-1	Background	OG0008374
179	Jhe	Background	OG0000319
180	Jtb	Background	OG0003391
181	Kakusei	Background	Unassigned
182	KAT2A	Background	OG0001646
183	Kr	Background	OG0006197
184	Kr-h1	Background	OG0004247
185	Ks-1	Background	Unassigned
186	LCCH3	Background	OG0007433
187	Lin-52	Background	OG0004078
188	LOC100187599	Background	OG0009261
189	LOC100188904	Background	OG0008415
190	LOC100188940	Background	OG0009298
191	LOC100217360	Background	OG0008937
192	LOC100302106	Putative Immune	OG0009251
193	LOC100379261	Background	OG0006396
194	LOC100576080	Background	OG0010782
195	LOC100576082	Background	OG0005880
196	LOC100576085	Background	OG0004339
197	LOC100576088	Background	OG0009284
198	LOC100576093	Background	OG0008332
199	LOC100576096	Background	OG0003900
200	LOC100576097	Background	OG0000423
201	LOC100576098	Background	OG0005398
202	LOC100576099	Background	OG0004944
203	LOC100576100	Background	OG0006442
204	LOC100576101	Background	OG0009654
205	LOC100576103	Background	Unassigned
206	LOC100576104	Background	OG0008567
207	LOC100576105	Background	Unassigned
208	LOC100576106	Background	OG0009357
209	LOC100576110	Background	OG0007816
210	LOC100576115	Background	OG0005058
211	LOC100576116	Background	OG0003012
212	LOC100576118	Background	OG0008704
213	LOC100576120	Background	Unassigned
214	LOC100576121	Background	OG0004554
215	LOC100576122	Background	Unassigned
216	LOC100576125	Background	OG0001395
217	LOC100576126	Background	OG0008285
218	LOC100576128	Background	OG0006424
219	LOC100576129	Background	OG0005795
220	LOC100576130	Background	OG0002204
221	LOC100576131	Background	OG0007890
222	LOC100576132	Background	OG0003360
223	LOC100576134	Background	OG0004604
224	LOC100576135	Background	OG0002668
225	LOC100576136	Background	OG0009911
226	LOC100576139	Background	Unassigned
227	LOC100576140	Background	OG0006251
228	LOC100576143	Background	OG0003403
229	LOC100576146	Background	OG0007815
230	LOC100576147	Background	OG0003780
231	LOC100576150	Background	OG0007894
232	LOC100576151	Background	OG0003013
233	LOC100576152	Background	OG0007063
234	LOC100576153	Background	OG0009119
235	LOC100576155	Background	OG0002868
236	LOC100576157	Background	OG0009120
237	LOC100576159	Background	OG0008789
238	LOC100576161	Background	Unassigned
239	LOC100576162	Background	OG0003793
240	LOC100576163	Background	OG0002863
241	LOC100576164	Background	Unassigned
242	LOC100576165	Background	OG0005793
243	LOC100576167	Background	OG0000282
244	LOC100576169	Background	OG0002398
245	LOC100576170	Background	OG0009888
246	LOC100576172	Background	OG0009923
247	LOC100576173	Background	Unassigned
248	LOC100576174	Background	OG0002653
249	LOC100576176	Background	OG0002128
250	LOC100576179	Background	OG0003898
251	LOC100576182	Background	OG0001821
252	LOC100576183	Background	Unassigned
253	LOC100576184	Background	OG0009353
254	LOC100576185	Background	OG0005810
255	LOC100576186	Background	OG0009069
256	LOC100576187	Background	OG0003189
257	LOC100576189	Background	Unassigned
258	LOC100576192	Background	OG0003059
259	LOC100576193	Background	OG0008563
260	LOC100576194	Background	OG0008473
261	LOC100576195	Background	OG0007868
262	LOC100576196	Background	OG0003508
263	LOC100576198	Background	OG0009355
264	LOC100576207	Background	Unassigned
265	LOC100576212	Background	OG0000017
266	LOC100576215	Background	OG0004643
267	LOC100576216	Background	OG0001016
268	LOC100576217	Background	OG0007626
269	LOC100576220	Background	OG0004997
270	LOC100576221	Background	Unassigned
271	LOC100576222	Background	OG0005959
272	LOC100576223	Background	OG0009199
273	LOC100576224	Putative Immune	OG0000189
274	LOC100576225	Background	OG0008312
