GeneID	Function	Orthogroup
18-w	Recognition	OG0006701
5-HT1	Background	OG0007222
5-HT2alpha	Background	OG0004986
5-HT2beta	Background	OG0002881
5-ht7	Background	OG0001398
A4	Putative Immune	OG0001052
Abscam	Background	OG0000059
Ac3	Background	OG0004211
AChE-2	Background	OG0002580
Acph-1	Background	OG0000466
ACSF2	Background	OG0006469
Adar	Background	OG0001158
Adk1	Background	OG0008135
AGLU2	Putative Immune	OG0000050
Akhr	Background	OG0007415
Amel_8916	Background	OG0000284
Amih	Background	OG0006538
Ancr-1	Putative Immune	Unassigned
Ant	Background	OG0006757
Antp	Background	OG0003151
Apamin	Background	OG0010240
Apd-1	Putative Immune	OG0009340
Apd-2	Putative Immune	OG0009876
apd-3	Background	OG0008311
Apd-3	Putative Immune	Unassigned
Apid1	Effector	Unassigned
Apime-ASTA	Putative Immune	OG0001783
Argk	Background	OG0004536
arm	Background	OG0007491
Arp1	Signalling	OG0000034
ATP5G2	Background	OG0007370
aub	Signalling	OG0000522
B-gluc1	Recognition	OG0004415
bantam	Background	Unassigned
BBIP1	Background	OG0009571
Blop	Background	OG0002450
Br-c	Background	OG0003580
Brd7	Background	OG0004749
brp	Background	OG0000512
Burs	Background	OG0004689
c-mos	Background	OG0004787
C1q-VP	Background	OG0008840
Cac	Background	OG0001268
cact1	Signalling	OG0000699
cad	Background	Unassigned
Calpb	Background	OG0006642
Camkii	Background	OG0006447
Cat	Background	OG0006946
Cbs	Background	OG0004849
Cdc37	Background	OG0002952
Cdk5	Background	OG0001625
Chmp1	Background	OG0006378
Coq7	Background	OG0007146
Cox6b1	Background	OG0009306
Cox6c	Background	OG0009313
Cpap3-b	Background	OG0007558
Cpap3-c	Background	OG0003816
Cpap3-d	Background	OG0003818
CPF1	Background	OG0008708
CPF2	Background	OG0009022
CPR1	Background	OG0000115
CPR11	Background	OG0000248
CPR12	Background	OG0000390
CPR13	Background	OG0000390
CPR14	Putative Immune	OG0007765
CPR16	Background	OG0000471
CPR17	Background	OG0002104
CPR18	Background	OG0000155
CPR19	Putative Immune	OG0004829
CPR2	Background	OG0000115
CPR21	Background	OG0000155
CPR22	Background	OG0000155
CPR27	Background	OG0008835
CPR28	Background	OG0002602
CPR3	Background	OG0009342
CPR4	Background	OG0000115
CPR5	Background	OG0008542
CPR6	Background	OG0003301
crh-BP	Background	OG0008939
Cry2	Background	OG0002260
Cryl1	Background	OG0005232
Crz	Background	OG0007761
Crzr	Putative Immune	OG0002361
Csd	Background	OG0000369
CSP1	Putative Immune	OG0000176
CSP2	Background	OG0003411
CSP3	Background	OG0000765
CSP4	Background	OG0008984
CSP6	Putative Immune	OG0005678
CTL5	Background	OG0002120
CUTA	Background	OG0005889
Cyp314a1	Background	OG0009019
Cyp4g11	Background	OG0000509
CYP6AQ1	Putative Immune	OG0000110
Cyp6as5	Putative Immune	OG0000144
CytC	Signalling	OG0005039
Dat	Background	OG0005437
Dcr-1	Recognition	OG0007441
Def1	Effector	OG0000635
Def2	Effector	OG0008855
DHRS4	Background	OG0002046
Dl	Signalling	OG0000609
Dll	Background	OG0003540
Dnmt1a	Background	OG0001022
Dnmt3	Background	OG0007413
Dop1	Background	OG0006304
Dop3	Background	OG0001156
DopR2	Background	OG0008904
Dscam	Background	OG0000059
Dsx	Background	Unassigned
E74	Background	OG0002077
E75	Putative Immune	OG0004576
Eaat-2	Background	OG0001077
ecd	Background	OG0003978
Ecr	Background	OG0001415
Ef-1a-f1	Background	OG0000114
EF1a-F2	Background	OG0000114
egh	Background	OG0000890
Eif3h	Background	OG0008023
Eif4g	Background	OG0004737
Emc	Background	OG0003112
EphR	Background	OG0007108
Err	Background	OG0000698
Est-6	Background	OG0000319
Eth	Background	OG0000669
Ets97D-like	Background	OG0004724
eve	Background	OG0005888
Eyg	Background	OG0003308
Fabp	Putative Immune	OG0006941
FAR1	Putative Immune	OG0004236
Fem	Background	OG0000369
Fibroin1	Background	OG0010241
Fibroin2	Background	OG0010242
Fibroin3	Background	OG0010243
Fibroin4	Background	Unassigned
For	Background	OG0006862
Foxp	Background	OG0003562
Fstl5	Background	OG0008720
Gat-1B	Background	OG0001922
Gat-a	Background	OG0005249
Gb15078	Background	OG0008790
Gfat2	Background	OG0002594
GlnS	Background	OG0004373
Glob1	Background	OG0001287
GluCl	Background	OG0004678
Glurb	Background	OG0000969
Gpdh	Background	OG0000392
Gr10	Background	OG0009219
Grd	Background	OG0000284
Grp	Putative Immune	OG0000433
Gstcd	Background	OG0001810
GstD1	Background	OG0000363
GstS1	Background	OG0000224
GstS4	Background	OG0008541
Gtpx1	Background	OG0009021
Gycbeta1	Background	OG0003066
H	Background	OG0001300
Hb	Background	OG0000910
Hbg2	Putative Immune	OG0000050
Hbg3	Putative Immune	OG0000050
Hex110	Putative Immune	OG0005009
Hex70a	Putative Immune	OG0000151
HEX70b	Background	OG0000151
Hex70c	Background	OG0000151
Hiscl1	Background	OG0008964
Ho	Background	OG0002751
Hsc70-3	Background	OG0000068
Hsc70-4	Putative Immune	OG0000068
Hsc70-5	Background	OG0006467
Hsp90	Putative Immune	OG0000456
IF-2mt	Background	OG0001309
ILP-2	Background	OG0002622
Imd	Signalling	OG0005749
Ing3	Background	OG0007658
InR-2	Background	OG0003984
INTS8	Background	OG0001265
Ip3k	Background	OG0008539
JHBP-1	Background	OG0008374
Jhe	Background	OG0000319
Jtb	Background	OG0003391
Kakusei	Background	Unassigned
KAT2A	Background	OG0001646
Kr	Background	OG0006197
Kr-h1	Background	OG0004247
Ks-1	Background	Unassigned
LCCH3	Background	OG0007433
Lin-52	Background	OG0004078
LOC100187599	Background	OG0009261
LOC100188904	Background	OG0008415
LOC100188940	Background	OG0009298
LOC100217360	Background	OG0008937
LOC100302106	Putative Immune	OG0009251
LOC100379261	Background	OG0006396
LOC100576080	Background	OG0010782
LOC100576082	Background	OG0005880
LOC100576085	Background	OG0004339
LOC100576088	Background	OG0009284
LOC100576093	Background	OG0008332
LOC100576096	Background	OG0003900
LOC100576097	Background	OG0000423
LOC100576098	Background	OG0005398
LOC100576099	Background	OG0004944
LOC100576100	Background	OG0006442
LOC100576101	Background	OG0009654
LOC100576103	Background	Unassigned
LOC100576104	Background	OG0008567
LOC100576105	Background	Unassigned
LOC100576106	Background	OG0009357
LOC100576110	Background	OG0007816
LOC100576115	Background	OG0005058
LOC100576116	Background	OG0003012
LOC100576118	Background	OG0008704
LOC100576120	Background	Unassigned
LOC100576121	Background	OG0004554
LOC100576122	Background	Unassigned
LOC100576125	Background	OG0001395
LOC100576126	Background	OG0008285
LOC100576128	Background	OG0006424
LOC100576129	Background	OG0005795
LOC100576130	Background	OG0002204
LOC100576131	Background	OG0007890
LOC100576132	Background	OG0003360
LOC100576134	Background	OG0004604
LOC100576135	Background	OG0002668
LOC100576136	Background	OG0009911
LOC100576139	Background	Unassigned
LOC100576140	Background	OG0006251
LOC100576143	Background	OG0003403
LOC100576146	Background	OG0007815
LOC100576147	Background	OG0003780
LOC100576150	Background	OG0007894
LOC100576151	Background	OG0003013
LOC100576152	Background	OG0007063
LOC100576153	Background	OG0009119
LOC100576155	Background	OG0002868
LOC100576157	Background	OG0009120
LOC100576159	Background	OG0008789
LOC100576161	Background	Unassigned
LOC100576162	Background	OG0003793
LOC100576163	Background	OG0002863
LOC100576164	Background	Unassigned
LOC100576165	Background	OG0005793
LOC100576167	Background	OG0000282
LOC100576169	Background	OG0002398
LOC100576170	Background	OG0009888
LOC100576172	Background	OG0009923
LOC100576173	Background	Unassigned
LOC100576174	Background	OG0002653
LOC100576176	Background	OG0002128
LOC100576179	Background	OG0003898
LOC100576182	Background	OG0001821
LOC100576183	Background	Unassigned
LOC100576184	Background	OG0009353
LOC100576185	Background	OG0005810
LOC100576186	Background	OG0009069
LOC100576187	Background	OG0003189
LOC100576189	Background	Unassigned
LOC100576192	Background	OG0003059
