target_id	length	eff_length	est_counts	tpm
NM_001280889.2	1545	1284.49	16094.6	741.304
NM_001280894.1	1381	1120.49	4555.05	240.51
NM_001280909.1	291	56.248	2518	2648.48
NM_001280911.1	7738	7477.49	20532	162.451
NM_001280916.1	1360	1099.49	485.224	26.1095
NM_001280918.1	1638	1377.49	623.217	26.7669
NM_001280921.1	1476	1215.49	730	35.5319
NM_001280924.1	1251	990.492	66.6524	3.98119
NM_001280926.1	1557	1296.49	1468	66.9891
NM_001280933.1	1873	1612.49	13499	495.281
NM_001280936.1	1406	1145.49	901	46.5351
NM_001285398.1	1134	873.492	8350.73	565.605
NM_001286444.1	969	708.492	3232.13	269.899
NM_001287563.1	1107	846.492	198.972	13.9065
NM_001304440.1	5067	4806.49	161.397	1.98662
NM_001308306.1	3681	3420.49	456.855	7.90202
NM_001308307.1	2113	1852.49	655	20.9186
NM_001331111.1	4730	4469.49	11	0.145607
XM_003392812.4	1315	1054.49	469	26.3134
XM_003392813.4	2070	1809.49	453	14.8112
XM_003392814.4	2620	2359.49	459	11.5091
XM_003392815.4	953	692.632	1390	118.73
XM_003392816.4	2707	2446.49	625.603	15.1287
XM_003392817.4	2519	2258.49	1494.86	39.1589
XM_003392820.4	881	620.699	514.79	49.0678
XM_003392823.4	1322	1061.49	106.064	5.91154
XM_003392825.4	1052	791.492	2362.43	176.588
XM_003392827.4	663	402.921	2697	396.012
XM_003392828.4	733	472.75	2506.98	313.738
XM_003392829.4	601	340.998	1967.02	341.276
XM_003392833.3	518	258.187	3242	742.892
XM_003392834.4	3424	3163.49	744	13.9141
XM_003392835.4	1812	1551.49	867	33.0611
XM_003392836.4	2565	2304.49	1505.1	38.64
XM_003392838.4	843	582.699	1446.64	146.88
XM_003392839.4	619	358.998	115.363	19.0118
XM_003392840.4	1378	1117.49	579	30.6536
XM_003392841.4	3696	3435.49	180.622	3.1105
XM_003392844.4	5548	5287.49	0	0
XM_003392845.4	1516	1255.49	2546	119.975
XM_003392849.4	4893	4632.49	65.6453	0.838372
XM_003392850.4	2892	2631.49	19033	427.911
XM_003392854.4	8415	8154.49	329	2.38697
XM_003392855.4	2753	2492.49	133.26	3.16312
XM_003392856.4	17877	17616.5	109	0.366062
XM_003392877.4	8284	8023.49	0	0
XM_003392880.4	1406	1145.49	7602.72	392.667
XM_003392883.4	2861	2600.49	376	8.55422
XM_003392884.4	2186	1925.49	1191	36.5947
XM_003392885.4	720	459.75	139.343	17.9312
XM_003392887.4	4596	4335.49	3243.07	44.2553
XM_003392890.4	3508	3247.49	412.492	7.51476
XM_003392894.4	1287	1026.49	3243.52	186.943
XM_003392895.4	771	510.75	1024	118.615
XM_003392896.4	3301	3040.49	488	9.49563
XM_003392897.4	627	366.961	7803	1258.03
XM_003392899.4	1955	1694.49	444.432	15.5172
XM_003392903.4	1132	871.492	1530.48	103.899
XM_003392904.4	7180	6919.49	385.093	3.2926
XM_003392906.4	3855	3594.49	199.299	3.28031
XM_003392907.4	1803	1542.49	5903	226.411
XM_003392909.4	3367	3106.49	3207	61.0768
XM_003392911.4	5721	5460.49	0	0
XM_003392912.3	9120	8859.49	90	0.60101
XM_003392913.4	3649	3388.49	22128.3	386.357
XM_003392915.4	1934	1673.49	330.022	11.6672
XM_003392916.4	497	237.236	3	0.748149
XM_003392917.4	551	290.998	8.65429	1.7595
XM_003392920.4	476	216.372	3	0.820291
XM_003392921.4	1428	1167.49	18.3457	0.929669
XM_003392922.4	427	167.98	52	18.3144
XM_003392929.3	935	674.632	221	19.3809
XM_003392930.4	819	558.699	788	83.4443
XM_003392931.4	4325	4064.49	2903.16	42.2584
XM_003392932.4	14091	13830.5	2163.66	9.2555
XM_003392933.4	1515	1254.49	250	11.7902
XM_003392935.4	1401	1140.49	157	8.14433
XM_003392936.4	9199	8938.49	90.8779	0.601509
