target_id	length	eff_length	est_counts	tpm
NM_001280889.2	1545	1284.59	9477.81	380.097
NM_001280894.1	1381	1120.59	24637.2	1132.65
NM_001280899.1	999	738.592	5	0.348753
NM_001280901.1	942	681.661	0	0
NM_001280904.1	984	723.592	10	0.711965
NM_001280909.1	291	55.5644	114353	106024
NM_001280911.1	7738	7477.59	15058	103.743
NM_001280916.1	1360	1099.59	469.335	21.9889
NM_001280918.1	1638	1377.59	468.703	17.5279
NM_001280921.1	1476	1215.59	306	12.9684
NM_001280924.1	1251	990.592	97.7029	5.08118
NM_001280926.1	1557	1296.59	867	34.4483
NM_001280933.1	1873	1612.59	8976	286.755
NM_001280936.1	1406	1145.59	744	33.4576
NM_001285398.1	1134	873.592	3098.76	182.739
NM_001286444.1	969	708.592	2427.8	176.51
NM_001287563.1	1107	846.592	48.0858	2.92614
NM_001287565.1	1166	905.592	28.1985	1.60415
NM_001304440.1	5067	4806.59	227.7	2.4405
NM_001308306.1	3681	3420.59	406.304	6.1193
NM_001308307.1	2113	1852.59	449	12.4859
NM_001331111.1	4730	4469.59	20	0.230523
NM_001353392.1	3997	3736.59	166.047	2.28933
XM_003392812.4	1315	1054.59	487	23.7901
XM_003392813.4	2070	1809.59	609	17.3376
XM_003392814.4	2620	2359.59	469	10.2397
XM_003392815.4	953	692.592	1381	102.723
XM_003392816.4	2707	2446.59	484.208	10.1958
XM_003392817.4	2519	2258.59	1570.76	35.8281
XM_003392820.4	881	620.915	438.798	36.407
XM_003392823.4	1322	1061.59	105.066	5.09866
XM_003392825.4	1052	791.592	2612.81	170.043
XM_003392827.4	663	403.051	3328	425.379
XM_003392828.4	733	473.01	2661	289.819
XM_003392829.4	601	341.087	1499	226.406
XM_003392833.3	518	258.32	3364	670.888
XM_003392834.4	3424	3163.59	798	12.995
XM_003392835.4	1812	1551.59	935	31.0446
XM_003392836.4	2565	2304.59	1445.73	32.3182
XM_003392838.4	843	582.915	1292.66	114.244
XM_003392839.4	619	359.051	270.338	38.7885
XM_003392840.4	1378	1117.59	547	25.2148
XM_003392841.4	3696	3435.59	368.187	5.52101
XM_003392844.4	5548	5287.59	12.9386	0.126061
XM_003392845.4	1516	1255.59	2438	100.032
XM_003392846.4	2989	2728.59	636	12.008
XM_003392849.4	4893	4632.59	63.3867	0.704899
XM_003392850.4	2892	2631.59	16626	325.478
XM_003392854.4	8415	8154.59	454	2.86818
XM_003392855.4	2753	2492.59	302.418	6.25041
XM_003392856.4	17877	17616.6	162	0.473746
XM_003392877.4	8284	8023.59	3.13703e-06	2.0142e-08
XM_003392880.4	1406	1145.59	7093.41	318.99
XM_003392883.4	2861	2600.59	425	8.41916
XM_003392884.4	2186	1925.59	1002	26.8075
XM_003392885.4	720	460.01	123.316	13.8103
XM_003392887.4	4596	4335.59	2701.63	32.1018
XM_003392890.4	3508	3247.59	376.831	5.97774
XM_003392894.4	1287	1026.59	2845.49	142.794
XM_003392895.4	771	510.915	1034	104.262
XM_003392896.4	3301	3040.59	585	9.91174
XM_003392897.4	627	367.051	9272	1301.37
XM_003392899.4	1955	1694.59	644.763	19.6014
XM_003392903.4	1132	871.592	1535.83	90.7781
XM_003392904.4	7180	6919.59	174.44	1.29873
XM_003392906.4	3855	3594.59	175.595	2.5166
XM_003392907.4	1803	1542.59	5272	176.066
XM_003392909.4	3367	3106.59	2609	43.2655
XM_003392911.4	5721	5460.59	0	0
XM_003392912.3	9120	8859.59	0	0
XM_003392913.4	3649	3388.59	15651.7	237.954
XM_003392915.4	1934	1673.59	340.662	10.4864
XM_003392916.4	497	237.496	5.19658	1.12723
XM_003392917.4	551	291.24	10.6878	1.89056
XM_003392920.4	476	216.609	5	1.18917
XM_003392921.4	1428	1167.59	33.3122	1.46982
XM_003392922.4	427	168.396	33.8034	10.3415
XM_003392929.3	935	674.661	247	18.861
XM_003392930.4	819	558.915	738	68.0241
XM_003392931.4	4325	4064.59	2612.23	33.1091
XM_003392932.4	14091	13830.6	1799.67	6.70353
XM_003392933.4	1515	1254.59	254	10.43
XM_003392935.4	1401	1140.59	211	9.53025
XM_003392936.4	9199	8938.59	189.456	1.09192
XM_003392937.4	860	599.915	1374	117.991
XM_003392939.4	1049	788.592	284.061	18.5572
XM_003392940.4	872	611.915	160.741	13.5328
XM_003392941.4	1142	881.592	946	55.281
XM_003392944.3	1950	1689.59	500	15.2455
XM_003392945.4	834	573.915	720	64.6305
XM_003392946.4	752	491.915	457.258	47.8876
XM_003392947.4	1144	883.592	203	11.8358
XM_003392950.4	2610	2349.59	127.344	2.79216
XM_003392951.4	1370	1109.59	1064	49.4004
XM_003392954.4	2305	2044.59	1560.16	39.311
XM_003392957.3	1899	1638.59	0	0
XM_003392958.4	1422	1161.59	267	11.8416
XM_003392959.4	1544	1283.59	100.806	4.04588
XM_003392960.4	1317	1056.59	13.8087	0.673282
XM_003392961.4	834	573.915	1783	160.05
XM_003392962.4	750	489.915	148	15.563
XM_003392963.4	1591	1330.59	829	32.0968
XM_003392967.4	428	169.379	385	117.099
XM_003392969.4	1389	1128.59	526	24.0105
XM_003392972.3	1978	1717.59	519	15.5668
XM_003392974.4	4422	4161.59	150	1.85688
XM_003392980.4	3242	2981.59	315.318	5.4482
XM_003392982.4	4770	4509.59	2480.77	28.3401
XM_003392984.4	2249	1988.59	773.363	20.035
XM_003392985.4	3256	2995.59	1399.69	24.0715
XM_003392987.4	2124	1863.59	1112	30.7402
XM_003392988.4	2202	1941.59	140.919	3.73907
XM_003392990.4	3830	3569.59	2353.49	33.9661
XM_003392992.4	1069	808.592	268	17.0749
XM_003392994.4	4376	4115.59	1560.92	19.5389
XM_003392996.3	1067	806.592	742.357	47.4145
XM_003392997.4	1127	866.592	153.836	9.14527
XM_003392999.4	5026	4765.59	74	0.799958
XM_003393000.3	6070	5809.59	431	3.82194
