target_id	length	eff_length	est_counts	tpm
NM_001280889.2	1545	1284.03	23178.5	1104.23
NM_001280894.1	1381	1120.03	3862.02	210.929
NM_001280909.1	291	57.7547	138	146.165
NM_001280911.1	7738	7477.03	22427	183.482
NM_001280916.1	1360	1099.03	495.074	27.5557
NM_001280918.1	1638	1377.03	528.935	23.4969
NM_001280921.1	1476	1215.03	479	24.1157
NM_001280924.1	1251	990.034	68.1398	4.2102
NM_001280933.1	1873	1612.03	11490	436.012
NM_001280936.1	1406	1145.03	839	44.8225
NM_001285398.1	1134	873.034	6889.9	482.763
NM_001286444.1	969	708.034	4076.39	352.188
NM_001287563.1	1107	846.034	140.005	10.123
NM_001287565.1	1166	905.034	0	0
NM_001304440.1	5067	4806.03	176.699	2.24905
NM_001308306.1	3681	3420.03	461.965	8.26286
NM_001308307.1	2113	1852.03	779	25.73
NM_001331111.1	4730	4469.03	11	0.150567
NM_001353392.1	3997	3736.03	147.009	2.40705
XM_003392813.4	2070	1809.03	524	17.7189
XM_003392814.4	2620	2359.03	454	11.7726
XM_003392816.4	2707	2446.03	576.565	14.4191
XM_003392817.4	2519	2258.03	1526.52	41.3546
XM_003392820.4	881	620.034	584.359	57.6522
XM_003392825.4	1052	791.034	2215.95	171.363
XM_003392827.4	663	402.091	2662	404.982
XM_003392828.4	733	472.091	2612.56	338.526
XM_003392829.4	601	340.203	1878.44	337.762
XM_003392833.3	518	257.409	3082	732.422
XM_003392834.4	3424	3163.03	623	12.0486
XM_003392835.4	1812	1551.03	863	34.0362
XM_003392838.4	843	582.034	1391.46	146.242
XM_003392839.4	619	358.168	95.5448	16.3182
XM_003392840.4	1378	1117.03	462	25.3004
XM_003392844.4	5548	5287.03	0	0
XM_003392845.4	1516	1255.03	2503	121.999
XM_003392846.4	2989	2728.03	638	14.3062
XM_003392849.4	4893	4632.03	87.9878	1.16199
XM_003392850.4	2892	2631.03	20789	483.347
XM_003392854.4	8415	8154.03	355	2.66323
XM_003392855.4	2753	2492.03	151.724	3.72436
XM_003392877.4	8284	8023.03	0	0
XM_003392880.4	1406	1145.03	6835.01	365.151
XM_003392883.4	2861	2600.03	348	8.18752
XM_003392884.4	2186	1925.03	1063	33.779
XM_003392885.4	720	459.091	164.296	21.8917
XM_003392887.4	4596	4335.03	2820.36	39.7983
XM_003392890.4	3508	3247.03	193.09	3.63768
XM_003392895.4	771	510.091	999	119.804
XM_003392896.4	3301	3040.03	520	10.4635
XM_003392897.4	627	366.168	7066	1180.44
XM_003392899.4	1955	1694.03	472.633	17.0669
XM_003392903.4	1132	871.034	1590.6	111.707
XM_003392904.4	7180	6919.03	239	2.11302
XM_003392906.4	3855	3594.03	239.557	4.07736
XM_003392907.4	1803	1542.03	5758	228.418
XM_003392909.4	3367	3106.03	3241	63.83
XM_003392911.4	5721	5460.03	0	0
XM_003392912.3	9120	8859.03	13.4234	0.0926892
XM_003392913.4	3649	3388.03	14600.7	263.619
XM_003392915.4	1934	1673.03	433.981	15.8679
XM_003392916.4	497	236.557	8.06441	2.0854
XM_003392917.4	551	290.327	16	3.3712
XM_003392920.4	476	215.666	5	1.41821
XM_003392921.4	1428	1167.03	19	0.995915
XM_003392922.4	427	167.495	82.9356	30.2895
XM_003392929.3	935	674.034	221	20.0568
XM_003392930.4	819	558.091	790	86.5912
XM_003392931.4	4325	4064.03	2022.3	30.4397
XM_003392932.4	14091	13830	1940.12	8.5814
XM_003392933.4	1515	1254.03	225	10.9755
XM_003392935.4	1401	1140.03	226	12.1267
XM_003392936.4	9199	8938.03	193.788	1.32629
XM_003392937.4	860	599.034	1694	172.987
XM_003392939.4	1049	788.034	248.219	19.2682
XM_003392940.4	872	611.034	199.272	19.9496
XM_003392944.3	1950	1689.03	415	15.0301
XM_003392945.4	834	573.091	1075	114.746
XM_003392946.4	752	491.091	448.273	55.8383
XM_003392947.4	1144	883.034	162	11.2225
XM_003392950.4	2610	2349.03	117	3.04683
XM_003392951.4	1370	1109.03	888	48.9802
XM_003392954.4	2305	2044.03	4054	121.324
XM_003392957.3	1899	1638.03	0	0
XM_003392958.4	1422	1161.03	197	10.3794
XM_003392961.4	834	573.091	1310	139.83
XM_003392962.4	750	489.091	116	14.5084
XM_003392963.4	1591	1330.03	898	41.3015
XM_003392969.4	1389	1128.03	506	27.4398
XM_003392972.3	1978	1717.03	447	15.925
XM_003392974.4	4422	4161.03	85	1.2496
XM_003392980.4	3242	2981.03	358.443	7.35538
XM_003392982.4	4770	4509.03	4534.68	61.5199
XM_003392985.4	3256	2995.03	1953.74	39.9041
XM_003392987.4	2124	1863.03	1218	39.9925
XM_003392988.4	2202	1941.03	90.4273	2.84983
XM_003392990.4	3830	3569.03	2038.63	34.9413
XM_003392992.4	1069	808.034	276	20.8945
XM_003392994.4	4376	4115.03	1688.18	25.0956
XM_003392996.3	1067	806.034	635.347	48.2181
XM_003392997.4	1127	866.034	149.296	10.5455
XM_003392999.4	5026	4765.03	48	0.616208
XM_003393000.3	6070	5809.03	434	4.57023
XM_003393003.4	2793	2532.03	607.913	14.6867
XM_003393005.4	1212	951.034	3926.09	252.532
XM_003393011.4	2018	1757.03	664.502	23.1349
XM_003393012.4	2682	2421.03	5247.64	132.591
XM_003393013.4	2682	2421.03	2525.9	63.8215
XM_003393014.4	5272	5011.03	776	9.47298
XM_003393016.4	1797	1536.03	109	4.34088
XM_003393019.4	1665	1404.03	857	37.3384
XM_003393020.4	2309	2048.03	8903.87	265.946
XM_003393021.4	1993	1732.03	5889	207.988
XM_003393022.4	735	474.091	6713	866.177
XM_003393025.4	2258	1997.03	567	17.368
XM_003393027.4	5667	5406.03	528	5.97458
XM_003393028.4	2360	2099.03	640	18.6515
XM_003393029.4	1310	1049.03	499	29.098
XM_003393030.4	6422	6161.03	810.763	8.04993
XM_003393032.4	6619	6358.03	370.319	3.56291
XM_003393035.4	9493	9232.03	382.039	2.53141
XM_003393036.4	9524	9263.03	7.02319e-07	4.63802e-09
XM_003393039.4	4385	4124.03	1044	15.4857
XM_003393041.4	843	582.034	438	46.0339
XM_003393042.4	17058	16797	103	0.375108
XM_003393049.4	2228	1967.03	812.624	25.2714
XM_003393050.4	919	658.034	12090	1123.91
XM_003393056.4	4485	4224.03	650.74	9.42393
XM_003393058.4	2926	2665.03	821.774	18.8626
XM_003393062.4	2703	2442.03	350.797	8.78731
XM_003393063.4	2915	2654.03	28.0055	0.645489
XM_003393066.4	991	730.034	88.2588	7.39549
XM_003393067.4	453	193.027	25	7.9227
XM_003393071.4	3119	2858.03	3582.67	76.6817
XM_003393076.4	1203	942.034	850	55.1956
XM_003393080.4	624	363.168	291.826	49.155
XM_003393081.4	2498	2237.03	3587	98.0869
XM_003393082.4	614	353.168	421	72.921
XM_003393088.4	13216	12955	349	1.64793
XM_003393090.4	4921	4660.03	0	0
XM_003393092.4	2080	1819.03	330.709	11.1213
XM_003393093.4	689	428.091	1880	268.642
XM_003393094.4	5477	5216.03	5.452	0.0639392
XM_003393097.4	3241	2980.03	235.432	4.83277
XM_003393098.4	1338	1077.03	5	0.283983
XM_003393110.4	683	422.091	112	16.2317
XM_003393111.4	3233	2972.03	4	0.08233
XM_003393116.4	3440	3179.03	25	0.481057
XM_003393117.4	3111	2850.03	41.064	0.88138
XM_003393120.4	3854	3593.03	63	1.07258
XM_003393122.4	6628	6367.03	141.637	1.3608
XM_003393123.4	1400	1139.03	3	0.161115
XM_003393125.4	3521	3260.03	659.775	12.3801
XM_003393126.4	3034	2773.03	610	13.4563
XM_003393127.4	1357	1096.03	161	8.98574
XM_003393128.4	1581	1320.03	599	27.7584
XM_003393129.4	675	414.091	1026.23	151.6
XM_003393131.4	7821	7560.03	835.324	6.75901
XM_003393132.4	4619	4358.03	306.343	4.30001
XM_003393133.3	781	520.091	10871	1278.62
XM_003393138.4	1243	982.034	31288.6	1949
XM_003393141.4	3051	2790.03	471	10.3267
XM_003393142.4	4975	4714.03	858	11.1339
XM_003393143.4	1607	1346.03	694	31.5396
XM_003393145.4	4349	4088.03	0	0
XM_003393147.3	1257	996.034	18	1.10548
XM_003393149.4	2563	2302.03	543.114	14.4322
XM_003393150.4	2504	2243.03	613.397	16.7285
XM_003393151.4	9686	9425.03	1261.55	8.1879
XM_003393153.4	1848	1587.03	428.373	16.5116
XM_003393155.4	1556	1295.03	194.06	9.16657
XM_003393159.4	1125	864.034	214.095	15.1575
XM_003393160.4	2765	2504.03	522	12.7521
XM_003393162.4	2706	2445.03	364.201	9.11189
XM_003393167.4	3523	3262.03	621.501	11.6548
XM_003393168.4	2625	2364.03	1287	33.3025
XM_003393169.4	3403	3142.03	909.09	17.699
XM_003393182.4	2091	1830.03	984	32.8918
XM_003393188.4	12087	11826	499.985	2.58625
XM_003393195.4	5322	5061.03	1371	16.5711
XM_003393197.4	1814	1553.03	46.0636	1.81438
XM_003393198.4	2007	1746.03	204.924	7.17946
XM_003393199.4	1888	1627.03	84.9334	3.19326
XM_003393200.4	2578	2317.03	85.7295	2.26334
XM_003393202.4	21660	21399	1498	4.28223
XM_003393203.3	6249	5988.03	739.253	7.55198
XM_003393204.4	1305	1044.03	468.727	27.4636
XM_003393208.4	1184	923.034	4422	293.058
XM_003393211.4	1795	1534.03	1029	41.0329
XM_003393212.4	2502	2241.03	467	12.7474
XM_003393214.4	543	282.327	6	1.30002
XM_003393215.4	2833	2572.03	247.122	5.87743
XM_003393216.4	4665	4404.03	257.767	3.58037
XM_003393224.3	1018	757.034	284.714	23.0062
XM_003393225.4	1598	1337.03	238.286	10.9021
XM_003393226.4	7186	6925.03	891	7.8706
XM_003393228.4	775	514.091	140	16.6587
XM_003393230.4	3427	3166.03	83	1.60367
XM_003393231.4	3208	2947.03	7.21399e-05	1.49742e-06
XM_003393233.3	7585	7324.03	1182	9.87232
XM_003393234.4	5799	5538.03	12.2263	0.135049
XM_003393236.4	1968	1707.03	246.755	8.84253
XM_003393239.4	6075	5814.03	583	6.13399
XM_003393241.3	1757	1496.03	552.003	22.5711
XM_003393242.4	1762	1501.03	1629.31	66.3994
XM_003393244.4	756	495.091	19.0277	2.351
XM_003393247.4	2391	2130.03	378.437	10.8682
XM_003393248.4	1743	1482.03	801.23	33.0713
XM_003393249.4	2219	1958.03	558.625	17.4523
XM_003393250.4	3246	2985.03	0	0
XM_003393251.4	1356	1095.03	1272.06	71.061
XM_003393253.4	774	513.091	866	103.247
XM_003393254.4	1455	1194.03	232.865	11.93
XM_003393257.4	2411	2150.03	1515	43.1042
XM_003393259.4	7699	7438.03	416.525	3.42558
XM_003393260.4	7650	7389.03	297.571	2.46351
XM_003393262.3	1562	1301.03	3727	175.236
XM_003393268.4	1974	1713.03	107.761	3.8481
XM_003393269.4	10121	9860.03	1356.86	8.41801
XM_003393270.4	3986	3725.03	88.4981	1.4533
XM_003393272.4	4630	4369.03	25.8889	0.362477
XM_003393284.4	2193	1932.03	23.4987	0.744015
XM_003393285.4	9127	8866.03	0.00857176	5.91416e-05
XM_003393286.4	4409	4148.03	166.227	2.45138
XM_003393288.4	2865	2604.03	3.3385	0.0784255
XM_003393289.4	2751	2490.03	0	0
XM_003393292.4	631	370.168	126143	20845.7
XM_003393293.4	621	360.168	130871	22227.5
XM_003393295.4	628	367.168	173386	28886.9
XM_003393296.3	5258	4997.03	2358.58	28.8729
XM_003393301.4	2690	2429.03	7535	189.759
XM_003393304.4	9098	8837.03	171.532	1.18738
XM_003393305.4	7215	6954.03	1331	11.7083
XM_003393306.4	3563	3302.03	95.5551	1.77021
XM_003393307.4	3661	3400.03	25.1127	0.451817
XM_003393309.4	5624	5363.03	25.5374	0.291285
XM_003393311.4	5660	5399.03	893.264	10.1208
XM_003393312.4	2621	2360.03	976.143	25.3016
XM_003393313.4	2574	2313.03	208.143	5.50468
XM_003393314.4	714	453.091	178	24.0318
XM_003393315.4	8109	7848.03	521.847	4.06756
XM_003393323.4	1604	1343.03	3881	176.77
XM_003393324.4	756	495.091	1421	175.574
XM_003393325.4	4260	3999.03	70.2581	1.07472
XM_003393326.4	4572	4311.03	1.74188	0.0247166
XM_003393329.4	2547	2286.03	8167.88	218.564
XM_003393331.4	2776	2515.03	24452.7	594.751
XM_003393334.4	4688	4427.03	1283.94	17.7413
XM_003393335.4	3628	3367.03	89.764	1.63082
XM_003393336.4	3522	3261.03	482.481	9.0506
XM_003393337.4	1451	1190.03	259	13.3135
XM_003393340.4	2172	1911.03	846	27.0803
XM_003393343.4	3478	3217.03	1846	35.1017
XM_003393344.4	2074	1813.03	859.366	28.9951
XM_003393345.4	1481	1220.03	144.478	7.24404
XM_003393346.4	5054	4793.03	7	0.0893387
XM_003393348.4	3805	3544.03	274.794	4.74309
XM_003393349.4	1959	1698.03	17.5411	0.631921
XM_003393353.4	945	684.034	430	38.4541
XM_003393358.4	1778	1517.03	236.156	9.52261
XM_003393359.4	1348	1087.03	457	25.7173
XM_003393360.4	4932	4671.03	0	0
XM_003393366.4	1098	837.034	0	0
XM_003393367.4	9349	9088.03	545.583	3.67234
XM_003393369.3	7177	6916.03	42	0.371488
XM_003393371.3	5009	4748.03	26.3235	0.339142
XM_003393372.3	2502	2241.03	4	0.109185
XM_003393373.3	4376	4115.03	9	0.133789
XM_003393375.4	1224	963.034	18.1708	1.15421
XM_003393377.4	3819	3558.03	0	0
XM_003393380.4	1532	1271.03	730	35.1332
XM_003393385.4	1473	1212.03	3	0.151411
XM_003393390.4	4430	4169.03	0.0305103	0.000447676
XM_003393395.4	3020	2759.03	670.749	14.8715
XM_003393396.4	2039	1778.03	382.149	13.1475
XM_003393398.4	2816	2555.03	991.022	23.7268
XM_003393399.4	1477	1216.03	765.446	38.5054
XM_003393400.4	2766	2505.03	455.696	11.1279
XM_003393402.4	7599	7338.03	107	0.891982
XM_003393403.4	2031	1770.03	674.901	23.3244
XM_003393404.4	1761	1500.03	1694	69.0819
XM_003393405.4	1742	1481.03	684.062	28.2542
XM_003393407.4	1787	1526.03	474	19.0006
XM_003393413.4	751	490.091	84	10.4847
XM_003393414.4	1880	1619.03	5682.35	214.696
XM_003393421.4	5478	5217.03	28.0162	0.328502
XM_003393422.3	3131	2870.03	7	0.149198
XM_003393423.4	3340	3079.03	1132.63	22.5022
XM_003393424.4	2375	2114.03	110.625	3.20107
XM_003393426.4	2456	2195.03	153	4.26385
XM_003393429.4	2649	2388.03	7	0.179312
XM_003393436.4	1276	1015.03	1237.21	74.5618
XM_003393438.4	1786	1525.03	355	14.2397
XM_003393439.4	3155	2894.03	927	19.5942
XM_003393443.3	1582	1321.03	713.824	33.0544
XM_003393445.4	873	612.034	4603	460.063
XM_003393447.4	1206	945.034	313	20.2604
XM_003393448.4	587	326.237	605	113.442
XM_003393451.4	8558	8297.03	460	3.39146
XM_003393457.3	4306	4045.03	230.941	3.49246
XM_003393470.4	6011	5750.03	1507	16.0323
XM_003393476.4	3283	3022.03	660	13.3597
XM_003393478.4	3130	2869.03	3015.93	64.304
XM_003393483.4	1631	1370.03	0	0
XM_003393484.4	1004	743.034	140	11.5258
XM_003393486.4	2394	2133.03	1	0.0286784
XM_003393487.4	1020	759.034	234521	18900.5
XM_003393489.4	2238	1977.03	294.496	9.11206
XM_003393491.4	1239	978.034	722	45.1581
XM_003393492.4	1946	1685.03	636	23.0888
XM_003393493.4	1010	749.034	531	43.3656
XM_003393494.4	1884	1623.03	246.294	9.28277
XM_003393495.4	1849	1588.03	1230.04	47.3819
XM_003393497.4	1222	961.034	1084	68.999
XM_003393502.4	1420	1159.03	650.065	34.3094
XM_003393503.4	2630	2369.03	214	5.52579
XM_003393508.4	5867	5606.03	372.107	4.06036
XM_003393509.4	2700	2439.03	364.582	9.14387
XM_003393510.4	2141	1880.03	1776.88	57.8154
XM_003393511.4	8241	7980.03	47.3937	0.363302
XM_003393512.4	1077	816.034	198	14.8426
XM_003393514.3	4692	4431.03	5041	69.5927
XM_003393516.4	775	514.091	366.217	43.5763
XM_003393521.4	9922	9661.03	116.087	0.735043
XM_003393527.4	16203	15942	901.18	3.45796
XM_003393528.4	5512	5251.03	3.7915	0.044169
XM_003393533.4	806	545.091	492	55.2138
XM_003393534.3	780	519.091	250.228	29.4879
XM_003393535.4	565	304.268	304.671	61.2529
XM_003393536.4	8076	7815.03	0	0
XM_003393538.4	2338	2077.03	407.076	11.989
XM_003393539.4	1379	1118.03	1080.41	59.1133
XM_003393541.4	1992	1731.03	2288	80.8542
XM_003393545.4	3191	2930.03	423	8.8312
XM_003393546.3	1826	1565.03	937	36.6242
XM_003393551.4	15378	15117	1749.25	7.07845
XM_003393553.4	3083	2822.03	1290.84	27.981
XM_003393557.4	6476	6215.03	136	1.33859
XM_003393558.4	2467	2206.03	6444.13	178.692
XM_003393559.4	4793	4532.03	614.051	8.28826
XM_003393560.4	1121	860.034	267.288	19.0115
XM_003393561.4	3175	2914.03	242.962	5.1003
XM_003393562.4	6109	5848.03	899.759	9.4117
XM_003393564.4	1113	852.034	394	28.2873
XM_003393566.4	2034	1773.03	642	22.1498
XM_003393567.4	3985	3724.03	174.737	2.87027
XM_003393569.4	1515	1254.03	173	8.43896
XM_003393570.4	4580	4319.03	444	6.28852
XM_003393571.4	2096	1835.03	390	13.0009
XM_003393573.4	2067	1806.03	149.851	5.07558
XM_003393575.3	1017	756.034	5746	464.918
XM_003393579.4	6457	6196.03	1636.51	16.1568
XM_003393580.4	2434	2173.03	239.731	6.74854
XM_003393582.4	2598	2337.03	1275.09	33.3755
XM_003393583.4	2879	2618.03	500.478	11.694
XM_003393584.3	2213	1952.03	347	10.8741
XM_003393585.4	5140	4879.03	42.563	0.533643
XM_003393589.3	708	447.091	7964	1089.65
XM_003393590.4	2767	2506.03	1550	37.8353
XM_003393591.4	912	651.034	813	76.3905
XM_003393592.4	1700	1439.03	480.447	20.4233
XM_003393593.4	8987	8726.03	9.99957	0.0700997
XM_003393597.4	2846	2585.03	3949	93.4486
XM_003393599.4	2024	1763.03	32	1.1103
XM_003393602.4	4243	3982.03	1179.22	18.1151
XM_003393603.4	4901	4640.03	178.469	2.35285
XM_003393605.4	2009	1748.03	694	24.2863
XM_003393606.4	4632	4371.03	933.15	13.0593
XM_003393607.4	1793	1532.03	124	4.95114
XM_003393608.4	875	614.034	0	0
XM_003393609.3	1123	862.034	28	1.98694
XM_003393611.3	1001	740.034	601	49.6792
XM_003393614.3	1755	1494.03	3340	136.753
XM_003393616.4	7418	7157.03	1013.44	8.66196
XM_003393620.4	4285	4024.03	307.363	4.67242
XM_003393621.3	3296	3035.03	3427.44	69.081
XM_003393622.4	2731	2470.03	1.74537e-08	4.32252e-10
XM_003393623.4	2898	2637.03	304.104	7.05438
XM_003393625.4	1780	1519.03	6438	259.26
XM_003393628.4	3335	3074.03	663.063	13.1947
XM_003393631.4	1947	1686.03	482.896	17.5202
XM_003393636.4	14557	14296	6832.36	29.2353
XM_003393637.4	2783	2522.03	568.656	13.7927
XM_003393638.4	2718	2457.03	2181.07	54.3014
XM_003393639.4	3648	3387.03	1756.97	31.7319
XM_003393643.4	5108	4847.03	0	0
XM_003393644.4	5084	4823.03	63.2862	0.802677
XM_003393646.4	3051	2790.03	742.981	16.29
XM_003393647.4	7810	7549.03	3166	25.655
XM_003393651.4	1135	874.034	1336.14	93.5135
XM_003393652.4	2452	2191.03	1946	54.3308
XM_003393653.4	2424	2163.03	862.484	24.3916
XM_003393654.4	3751	3490.03	7798	136.68
XM_003393655.4	12842	12581	1147.39	5.5789
XM_003393656.4	2253	1992.03	1265.1	38.849
XM_003393657.3	2449	2188.03	19992.1	558.93
XM_003393658.4	2411	2150.03	4255.62	121.079
XM_003393661.4	4822	4561.03	1363.62	18.2887
XM_003393663.4	1094	833.034	527	38.699
XM_003393664.4	2568	2307.03	383.283	10.1629
XM_003393666.4	3569	3308.03	146.42	2.70759
XM_003393667.4	3104	2843.03	204.337	4.39659
XM_003393669.4	5071	4810.03	546.54	6.95066
XM_003393670.4	985	724.034	435	36.7521
XM_003393671.4	3573	3312.03	1204.82	22.2526
XM_003393673.4	4177	3916.03	0	0
XM_003393674.3	2411	2150.03	7	0.199161
XM_003393680.4	6706	6445.03	157.362	1.49358
XM_003393687.4	7349	7088.03	5119.33	44.1814
XM_003393692.4	2918	2657.03	230	5.29521
XM_003393693.3	1591	1330.03	54.5847	2.5105
XM_003393697.4	7187	6926.03	1316	11.6231
XM_003393700.4	7232	6971.03	1094	9.60002
XM_003393701.4	1675	1414.03	54.6858	2.36574
XM_003393702.4	7042	6781.03	469.07	4.23149
XM_003393703.3	4451	4190.03	699	10.205
XM_003393704.4	1567	1306.03	617.291	28.9127
XM_003393708.3	687	426.091	1405.95	201.846
XM_003393709.3	847	586.034	18.0466	1.88375
XM_003393711.4	2441	2180.03	697.955	19.5847
XM_003393712.4	5038	4777.03	148.505	1.90166
XM_003393713.4	2440	2179.03	167.198	4.69373
XM_003393714.4	3140	2879.03	507.15	10.7756
XM_003393718.4	954	693.034	12820	1131.58
XM_003393721.4	7020	6759.03	380.781	3.44622
XM_003393722.4	2717	2456.03	4588.72	114.29
XM_003393723.4	2562	2301.03	1273.69	33.8605
XM_003393725.4	9684	9423.03	722.011	4.68711
XM_003393727.4	1053	792.034	1265	97.701
XM_003393728.3	4420	4159.03	2556.48	37.6012
XM_003393729.4	6667	6406.03	3481.32	33.2435
XM_003393730.3	1676	1415.03	1770	76.5171
XM_003393736.4	6318	6057.03	66.0878	0.667442
XM_003393739.4	5079	4818.03	119.075	1.51183
XM_003393741.4	14201	13940	0.0112789	4.94944e-05
XM_003393744.4	1461	1200.03	396	20.1862
XM_003393745.4	1042	781.034	6880.76	538.913
XM_003393746.4	15111	14850	150.639	0.620529
XM_003393747.4	1404	1143.03	388	20.7647
XM_003393748.4	1951	1690.03	488	17.6635
XM_003393749.4	979	718.034	7345.95	625.828
XM_003393750.4	1111	850.034	1659	119.388
XM_003393752.4	1531	1270.03	231	11.1262
XM_003393753.3	1831	1570.03	70	2.72735
XM_003393754.3	3632	3371.03	1.00309	0.0182023
XM_003393757.4	3756	3495.03	413.174	7.23159
XM_003393759.4	9411	9150.03	1739.61	11.63
XM_003393760.4	2255	1994.03	1609.42	49.3729
XM_003393761.4	2472	2211.03	401.252	11.1013
XM_003393762.4	776	515.091	2174.49	258.241
XM_003393763.4	8996	8735.03	4589	32.137
XM_003393764.4	1188	927.034	91	6.00479
XM_003393765.4	2542	2281.03	479.327	12.8544
XM_003393769.4	942	681.034	2962.37	266.086
XM_003393770.4	976	715.034	971.635	83.1244
XM_003393771.4	735	474.091	47	6.0644
XM_003393772.4	2093	1832.03	937	31.2866
XM_003393775.4	2914	2653.03	8	0.184459
XM_003393777.4	5262	5001.03	337.126	4.12368
XM_003393778.4	2010	1749.03	301.212	10.5348
XM_003393779.4	2602	2341.03	253.162	6.61519
XM_003393781.4	1000	739.034	21.3205	1.76476
XM_003393782.4	4499	4238.03	807.21	11.6513
XM_003393784.4	3436	3175.03	48.9336	0.942781
XM_003393786.4	1404	1143.03	332	17.7677
XM_003393794.4	2074	1813.03	28	0.944722
XM_003393795.4	5729	5468.03	741.941	8.30023
XM_003393797.4	1727	1466.03	634	26.4544
XM_003393798.3	1325	1064.03	1332	76.5774
XM_003393800.3	1918	1657.03	55.8799	2.06289
XM_003393807.4	2414	2153.03	72.0477	2.04702
XM_003393808.3	655	394.091	544	84.4412
XM_003393818.4	1909	1648.03	2256.48	83.7565
XM_003393819.4	1684	1423.03	5286	227.229
XM_003393820.4	5006	4745.03	1654	21.323
XM_003393821.4	2633	2372.03	15.2797	0.394045
XM_003393825.4	2530	2269.03	431.316	11.628
XM_003393827.4	939	678.034	64.1569	5.78821
XM_003393828.4	2817	2556.03	235.879	5.64514
XM_003393830.3	1616	1355.03	759.357	34.2805
XM_003393831.4	2907	2646.03	566.506	13.0967
XM_003393832.4	3496	3235.03	797	15.0706
XM_003393833.4	1505	1244.03	5499	270.398
