TranscriptID	GeneID	ProteinID	Description
XM_014742228.1	LOC106794088	XP_014597714.1	PREDICTED:_Polistes_canadensis_acyl-CoA-binding_domain-containing_protein_5_(LOC106794088),_transcript_variant_X2,_mRNA
XM_014742229.1	LOC106783579	XP_014597715.1	PREDICTED:_Polistes_canadensis_protein_PF14_0175-like_(LOC106783579),_mRNA
XM_014742230.1	LOC106783580	XP_014597716.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783580_(LOC106783580),_transcript_variant_X1,_mRNA
XM_014742231.1	LOC106783580	XP_014597717.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783580_(LOC106783580),_transcript_variant_X2,_mRNA
XM_014742232.1	LOC106783580	XP_014597718.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783580_(LOC106783580),_transcript_variant_X3,_mRNA
XM_014742233.1	LOC106783580	XP_014597719.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783580_(LOC106783580),_transcript_variant_X4,_mRNA
XM_014742234.1	LOC106783580	XP_014597720.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783580_(LOC106783580),_transcript_variant_X5,_mRNA
XM_014742235.1	LOC106783580	XP_014597721.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783580_(LOC106783580),_transcript_variant_X6,_mRNA
XM_014742236.1	LOC106783581	XP_014597722.1	PREDICTED:_Polistes_canadensis_adenylate_kinase_isoenzyme_5_(LOC106783581),_mRNA
XM_014742237.1	LOC106794088	XP_014597723.1	PREDICTED:_Polistes_canadensis_acyl-CoA-binding_domain-containing_protein_5_(LOC106794088),_transcript_variant_X3,_mRNA
XM_014742238.1	LOC106783582	XP_014597724.1	PREDICTED:_Polistes_canadensis_tubulin-specific_chaperone_cofactor_E-like_protein_(LOC106783582),_mRNA
XM_014742239.1	LOC106783583	XP_014597725.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X1,_mRNA
XM_014742240.1	LOC106783583	XP_014597726.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X2,_mRNA
XM_014742241.1	LOC106783583	XP_014597727.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X3,_mRNA
XM_014742242.1	LOC106783583	XP_014597728.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X4,_mRNA
XM_014742243.1	LOC106783583	XP_014597729.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X5,_mRNA
XM_014742244.1	LOC106783583	XP_014597730.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X6,_mRNA
XM_014742245.1	LOC106783583	XP_014597731.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X7,_mRNA
XM_014742246.1	LOC106783583	XP_014597732.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X8,_mRNA
XM_014742247.1	LOC106783583	XP_014597733.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X9,_mRNA
XM_014742248.1	LOC106783583	XP_014597734.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X10,_mRNA
XM_014742249.1	LOC106783583	XP_014597735.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X11,_mRNA
XM_014742250.1	LOC106783583	XP_014597736.1	PREDICTED:_Polistes_canadensis_R3H_domain-containing_protein_1_(LOC106783583),_transcript_variant_X12,_mRNA
XM_014742251.1	LOC106783585	XP_014597737.1	PREDICTED:_Polistes_canadensis_activating_signal_cointegrator_1_complex_subunit_3_(LOC106783585),_transcript_variant_X1,_mRNA
XM_014742252.1	LOC106783584	XP_014597738.1	PREDICTED:_Polistes_canadensis_uncharacterized_LOC106783584_(LOC106783584),_transcript_variant_X1,_mRNA
XM_014742253.1	LOC106783585	XP_014597739.1	PREDICTED:_Polistes_canadensis_activating_signal_cointegrator_1_complex_subunit_3_(LOC106783585),_transcript_variant_X2,_mRNA
XM_014742254.1	LOC106783585	XP_014597740.1	PREDICTED:_Polistes_canadensis_activating_signal_cointegrator_1_complex_subunit_3_(LOC106783585),_transcript_variant_X3,_mRNA
