target_id	length	eff_length	est_counts	tpm
NM_001280889.2	1545	1280.24	16151.9	664.505
NM_001280894.1	1381	1116.24	6818.22	321.722
NM_001280899.1	999	734.242	2	0.143469
NM_001280901.1	942	677.314	0	0
NM_001280904.1	984	719.314	4	0.292893
NM_001280906.1	1638	1373.24	505.25	19.3788
NM_001280909.1	291	55.4337	22542	21418.3
NM_001280911.1	7738	7473.24	22357	157.569
NM_001280916.1	1360	1095.24	560.225	26.9414
NM_001280918.1	1638	1373.24	777.412	29.8175
NM_001280921.1	1476	1211.24	813	35.3531
NM_001280924.1	1251	986.242	103.746	5.5406
NM_001280926.1	1557	1292.24	2417	98.5146
NM_001280930.1	1683	1418.24	1381	51.2874
NM_001280933.1	1873	1608.24	11895	389.566
NM_001280936.1	1406	1141.24	959	44.2597
NM_001285398.1	1134	869.242	11746.7	711.773
NM_001286444.1	969	704.314	2835.26	212.029
NM_001287563.1	1107	842.242	211.93	13.2533
NM_001287565.1	1166	901.242	7.85978	0.459343
NM_001304440.1	5067	4802.24	161.284	1.76894
NM_001308306.1	3681	3416.24	497.252	7.66648
NM_001308307.1	2113	1848.24	730	20.8033
NM_001331111.1	4730	4465.24	20	0.235913
NM_001353392.1	3997	3732.24	151.722	2.14114
XM_003392812.4	1315	1050.24	562	28.1848
XM_003392813.4	2070	1805.24	462	13.4795
XM_003392814.4	2620	2355.24	447	9.99631
XM_003392815.4	953	688.314	1629	124.653
XM_003392816.4	2707	2442.24	793.16	17.1057
XM_003392817.4	2519	2254.24	1855.94	43.3641
XM_003392820.4	881	616.314	686.16	58.6396
XM_003392823.4	1322	1057.24	79.8475	3.97791
XM_003392825.4	1052	787.242	2651.1	177.372
XM_003392827.4	663	398.494	3336	440.932
XM_003392828.4	733	468.373	2912.55	327.529
XM_003392829.4	601	336.528	1831.45	286.643
XM_003392833.3	518	253.806	3515	729.443
XM_003392834.4	3424	3159.24	726	12.1038
XM_003392835.4	1812	1547.24	938	31.931
XM_003392836.4	2565	2300.24	1520.26	34.8106
XM_003392837.4	3721	3456.24	1180.7	17.9931
XM_003392838.4	843	578.373	1457.5	132.73
XM_003392839.4	619	354.494	139.502	20.7271
XM_003392840.4	1378	1113.24	735	34.7749
XM_003392841.4	3696	3431.24	173.899	2.66939
XM_003392844.4	5548	5283.24	0	0
XM_003392845.4	1516	1251.24	3022	127.21
XM_003392846.4	2989	2724.24	683	13.2051
XM_003392849.4	4893	4628.24	81.3887	0.926223
XM_003392850.4	2892	2627.24	23975	480.647
XM_003392854.4	8415	8150.24	330	2.13261
XM_003392855.4	2753	2488.24	125.375	2.65391
XM_003392856.4	17877	17612.2	72	0.215321
XM_003392877.4	8284	8019.24	0	0
XM_003392880.4	1406	1141.24	7902.18	364.701
XM_003392883.4	2861	2596.24	310	6.28904
XM_003392884.4	2186	1921.24	1326	36.3521
XM_003392885.4	720	455.373	124.867	14.4427
XM_003392887.4	4596	4331.24	3595.95	43.7289
XM_003392888.4	3752	3487.24	4960	74.9147
XM_003392890.4	3508	3243.24	573.703	9.31698
XM_003392894.4	1287	1022.24	3120.45	160.78
XM_003392895.4	771	506.373	1193	124.09
XM_003392896.4	3301	3036.24	534	9.26344
XM_003392897.4	627	362.494	7794	1132.47
XM_003392899.4	1955	1690.24	533.094	16.612
XM_003392903.4	1132	867.242	1261.85	76.6365
XM_003392904.4	7180	6915.24	234.162	1.78352
XM_003392906.4	3855	3590.24	216	3.16882
XM_003392907.4	1803	1538.24	6007	205.684
XM_003392909.4	3367	3102.24	3596	61.0536
XM_003392911.4	5721	5456.24	4.54349e-05	4.38595e-07
XM_003392912.3	9120	8855.24	0	0
XM_003392913.4	3649	3384.24	26058.6	405.562
XM_003392915.4	1934	1669.24	336.784	10.6267
XM_003392916.4	497	233.05	8.21635	1.85694
XM_003392917.4	551	286.619	16.6502	3.05973
XM_003392920.4	476	212.229	4	0.992711
XM_003392921.4	1428	1163.24	36.3498	1.64588
XM_003392922.4	427	164.397	47.7837	15.3092
XM_003392929.3	935	670.314	278	21.8441
XM_003392930.4	819	554.373	935	88.8336
XM_003392931.4	4325	4060.24	3782.39	49.0661
XM_003392932.4	14091	13826.2	2623.09	9.99256
XM_003392933.4	1515	1250.24	213	8.97332
XM_003392935.4	1401	1136.24	172	7.97306
XM_003392936.4	9199	8934.24	171.402	1.01047
XM_003392937.4	860	595.314	1847	163.414
XM_003392939.4	1049	784.242	289.56	19.4472
XM_003392940.4	872	607.314	169.003	14.6571
XM_003392941.4	1142	877.242	1266.76	76.0577
XM_003392944.3	1950	1685.24	501	15.6582
XM_003392945.4	834	569.373	1212	112.118
XM_003392946.4	752	487.373	448.261	48.4437
XM_003392947.4	1144	879.242	149	8.92577
XM_003392950.4	2610	2345.24	120	2.69501
XM_003392951.4	1370	1105.24	1054	50.2286
XM_003392954.4	2305	2040.24	4010.35	103.531
XM_003392957.3	1899	1634.24	5.23878	0.168842
XM_003392958.4	1422	1157.24	233	10.6047
XM_003392959.4	1544	1279.24	121.379	4.99758
XM_003392960.4	1317	1052.24	0	0
XM_003392961.4	834	569.373	2168	200.553
XM_003392962.4	750	485.373	190	20.618
XM_003392963.4	1591	1326.24	912	36.2193
XM_003392967.4	428	165.397	477	151.9
XM_003392969.4	1389	1124.24	485	22.7222
XM_003392972.3	1978	1713.24	556	17.0932
XM_003392974.4	4422	4157.24	64.3173	0.814874
XM_003392980.4	3242	2977.24	276.87	4.89812
XM_003392982.4	4770	4505.24	7268.53	84.976
XM_003392983.4	2457	2192.24	1050	25.2272
XM_003392984.4	2249	1984.24	743.497	19.7357
XM_003392985.4	3256	2991.24	3017.81	53.1384
XM_003392987.4	2124	1859.24	1805	51.1339
XM_003392988.4	2202	1937.24	88.5685	2.40804
XM_003392990.4	3830	3565.24	2568.96	37.952
XM_003392992.4	1069	804.242	356	23.3148
XM_003392994.4	4376	4111.24	3712.28	47.5593
XM_003392996.3	1067	802.242	534.054	35.0628
XM_003392997.4	1127	862.242	132.284	8.08065
XM_003392999.4	5026	4761.24	28	0.309746
XM_003393000.3	6070	5805.24	325	2.9487
XM_003393003.4	2793	2528.24	702.83	14.642
XM_003393005.4	1212	947.242	4296.17	238.885
XM_003393010.4	2013	1748.24	42.1713	1.27053
XM_003393011.4	2018	1753.24	885.055	26.5886
XM_003393012.4	2682	2417.24	6288.62	137.026
XM_003393013.4	2682	2417.24	5180.41	112.879
XM_003393014.4	5272	5007.24	1055	11.0974
XM_003393016.4	1797	1532.24	90.9016	3.12472
XM_003393019.4	1665	1400.24	981	36.9006
XM_003393020.4	2309	2044.24	7887.09	203.213
XM_003393021.4	1993	1728.24	6926	211.079
XM_003393022.4	735	470.373	6718	752.255
XM_003393023.4	1984	1719.24	2567.52	78.6581
XM_003393025.4	2258	1993.24	576	15.2205
XM_003393027.4	5667	5402.24	574	5.59636
XM_003393028.4	2360	2095.24	699	17.5716
XM_003393029.4	1310	1045.24	492	24.7922
XM_003393030.4	6422	6157.24	1037.03	8.87098
XM_003393032.4	6619	6354.24	471.538	3.9086
XM_003393035.4	9493	9228.24	638.699	3.6454
XM_003393036.4	9524	9259.24	2.46185e-07	1.4004e-09
XM_003393039.4	4385	4120.24	1259	16.0942
XM_003393041.4	843	578.373	471	42.8924
XM_003393042.4	17058	16793.2	112	0.351278
XM_003393049.4	2228	1963.24	889.451	23.8625
XM_003393050.4	919	654.314	15896	1279.58
XM_003393056.4	4485	4220.24	957.987	11.9561
XM_003393058.4	2926	2661.24	809.649	16.0243
XM_003393062.4	2703	2438.24	219.653	4.7449
XM_003393063.4	2915	2650.24	63.0165	1.25238
XM_003393066.4	991	726.242	108.977	7.9035
XM_003393067.4	453	189.608	36	10.0003
XM_003393068.4	1558	1293.24	440.024	17.9211
XM_003393071.4	3119	2854.24	3224.58	59.5045
XM_003393076.4	1203	938.242	1003	56.3059
XM_003393080.4	624	359.494	332.292	48.685
XM_003393081.4	2498	2233.24	2578	60.8016
XM_003393082.4	614	349.494	478	72.037
XM_003393088.4	13216	12951.2	326	1.32579
XM_003393090.4	4921	4656.24	0	0
XM_003393092.4	2080	1815.24	333.993	9.69104
XM_003393093.4	689	424.373	1991	247.111
XM_003393094.4	5477	5212.24	2.13408e-07	2.15652e-09
XM_003393097.4	3241	2976.24	199.556	3.53154
XM_003393098.4	1338	1073.24	0	0
XM_003393110.4	683	418.373	99	12.4635
XM_003393111.4	3233	2968.24	8	0.141957
XM_003393116.4	3440	3175.24	26	0.431285
XM_003393117.4	3111	2846.24	41.8224	0.773936
XM_003393118.4	4945	4680.24	8574.66	96.4975
XM_003393120.4	3854	3589.24	59	0.865799
XM_003393122.4	6628	6363.24	56.1972	0.465161
XM_003393123.4	1400	1135.24	5	0.231979
XM_003393124.3	5126	4861.24	63	0.682592
XM_003393125.4	3521	3256.24	853.696	13.8087
XM_003393126.4	3034	2769.24	606.805	11.5413
XM_003393127.4	1357	1092.24	199	9.59626
XM_003393128.4	1581	1316.24	628	25.1299
XM_003393129.4	675	410.373	1101.3	141.35
XM_003393131.4	7821	7556.24	699.89	4.87856
XM_003393132.4	4619	4354.24	265.817	3.21542
XM_003393133.3	781	516.373	13335	1360.18
XM_003393136.4	1392	1127.24	6047.45	282.568
XM_003393137.4	1462	1197.24	7700.55	338.772
XM_003393138.4	1243	978.242	61618.7	3317.68
XM_003393141.4	3051	2786.24	461	8.71464
XM_003393142.4	4975	4710.24	971	10.8578
XM_003393143.4	1607	1342.24	503	19.7381
XM_003393145.4	4349	4084.24	0	0
XM_003393147.3	1257	992.242	41.3781	2.19644
XM_003393148.4	8377	8112.24	0	0
XM_003393149.4	2563	2298.24	586.714	13.4462
XM_003393150.4	2504	2239.24	705.235	16.5882
XM_003393151.4	9686	9421.24	2061.42	11.5246
XM_003393153.4	1848	1583.24	697.683	23.2102
XM_003393155.4	1556	1291.24	130.668	5.33001
XM_003393159.4	1125	860.242	255.378	15.6361
XM_003393160.4	2765	2500.24	738	15.5468
XM_003393162.4	2706	2441.24	344.168	7.42552
XM_003393167.4	3523	3258.24	406.383	6.56931
XM_003393168.4	2625	2360.24	1759	39.2534
XM_003393169.4	3403	3138.24	1409.07	23.6491
XM_003393182.4	2091	1826.24	1122	32.3595
XM_003393188.4	12087	11822.2	697.704	3.10841
XM_003393193.4	1032	767.242	1	0.0686492
XM_003393194.4	1000	735.242	0	0
XM_003393195.4	5322	5057.24	2014	20.9755
XM_003393197.4	1814	1549.24	52.0386	1.76919
XM_003393198.4	2007	1742.24	208.239	6.29536
XM_003393199.4	1888	1623.24	170.648	5.53713
XM_003393200.4	2578	2313.24	91.4861	2.08306
XM_003393201.4	873	608.314	436	37.7508
XM_003393202.4	21660	21395.2	1660	4.08657
XM_003393203.3	6249	5984.24	1019.8	8.97582
XM_003393204.4	1305	1040.24	470.798	23.8379
XM_003393208.4	1184	919.242	4649	266.377
XM_003393211.4	1795	1530.24	1490	51.2854
XM_003393212.4	2502	2237.24	552	12.9955
XM_003393213.4	1625	1360.24	1326.35	51.3582
XM_003393214.4	543	278.675	4	0.756013
XM_003393215.4	2833	2568.24	340.365	6.98033
XM_003393216.4	4665	4400.24	333.123	3.98746
XM_003393219.4	954	689.314	1165	89.0177
XM_003393224.3	1018	753.242	248.583	17.3822
XM_003393225.4	1598	1333.24	314.417	12.4212
XM_003393226.4	7186	6921.24	1537	11.6965
XM_003393228.4	775	510.373	152	15.6864
XM_003393230.4	3427	3162.24	101	1.68226
XM_003393231.4	3208	2943.24	0.0267388	0.000478501
XM_003393233.3	7585	7320.24	1886	13.5701
XM_003393234.4	5799	5534.24	3.82849	0.0364366
XM_003393236.4	1968	1703.24	286.387	8.85614
XM_003393239.4	6075	5810.24	799	7.24303
XM_003393241.3	1757	1492.24	533.545	18.8321
XM_003393242.4	1762	1497.24	1094.15	38.4905
XM_003393244.4	756	491.373	19.8097	2.12341
XM_003393247.4	2391	2126.24	551.599	13.664
XM_003393248.4	1743	1478.24	959.501	34.1875
XM_003393249.4	2219	1954.24	567.945	15.3072
XM_003393250.4	3246	2981.24	13.1428	0.232198
XM_003393251.4	1356	1091.24	1431.46	69.0916
XM_003393253.4	774	509.373	971	100.404
XM_003393254.4	1455	1190.24	206.386	9.13297
XM_003393255.4	961	696.314	308.721	23.3522
XM_003393257.4	2411	2146.24	1365	33.4982
XM_003393259.4	7699	7434.24	389.644	2.76057
XM_003393260.4	7650	7385.24	612.95	4.37148
XM_003393262.3	1562	1297.24	4424	179.623
XM_003393265.4	3493	3228.24	21653.5	353.289
XM_003393267.4	889	624.314	635.338	53.6005
XM_003393268.4	1974	1709.24	146.634	4.51855
XM_003393269.4	10121	9856.24	2396.14	12.8047
XM_003393270.4	3986	3721.24	202.909	2.87197
XM_003393272.4	4630	4365.24	10.8485	0.130896
XM_003393284.4	2193	1928.24	65.6126	1.79223
XM_003393285.4	9127	8862.24	95.9838	0.570455
XM_003393286.4	4409	4144.24	193.892	2.46424
XM_003393288.4	2865	2600.24	26.6691	0.54021
XM_003393289.4	2751	2486.24	0	0
XM_003393290.3	4430	4165.24	24	0.303486
XM_003393292.4	631	366.494	154358	22183.5
XM_003393293.4	621	356.494	169964	25111.5
XM_003393295.4	628	363.494	243911	35342.9
XM_003393296.3	5258	4993.24	4294.57	45.3006
XM_003393301.4	2690	2425.24	8780	190.681
XM_003393304.4	9098	8833.24	269.702	1.60817
XM_003393305.4	7215	6950.24	1527	11.572
XM_003393306.4	3563	3298.24	138.487	2.21153
XM_003393307.4	3661	3396.24	25.2092	0.390955
XM_003393309.4	5624	5359.24	0	0
XM_003393311.4	5660	5395.24	1057.4	10.3228
XM_003393312.4	2621	2356.24	719.802	16.0902
XM_003393313.4	2574	2309.24	277.114	6.32058
