target_id	length	eff_length	est_counts	tpm
XM_014742228.1	1554	1293.63	32.3861	1.23075
XM_014742229.1	6556	6295.63	179.603	1.40248
XM_014742230.1	4471	4210.63	0	0
XM_014742231.1	4411	4150.63	12.9512	0.153398
XM_014742232.1	4408	4147.63	6.50137	0.0770598
XM_014742233.1	4891	4630.63	346.922	3.68312
XM_014742234.1	4493	4232.63	59.7299	0.693753
XM_014742235.1	4485	4224.63	107.332	1.24901
XM_014742236.1	3695	3434.63	57	0.815865
XM_014742237.1	1518	1257.63	0	0
XM_014742238.1	3386	3125.63	1070.26	16.8335
XM_014742239.1	5072	4811.63	0	0
XM_014742240.1	4807	4546.63	4.66386	0.0504289
XM_014742241.1	4821	4560.63	9.22398	0.0994299
XM_014742242.1	4775	4514.63	0	0
XM_014742243.1	4772	4511.63	0	0
XM_014742244.1	4862	4601.63	0	0
XM_014742245.1	4558	4297.63	5.79901	0.0663358
XM_014742246.1	4654	4393.63	5.24865	0.0587283
XM_014742247.1	5293	5032.63	619.313	6.04977
XM_014742248.1	5313	5052.63	26.2014	0.254935
XM_014742249.1	4567	4306.63	173.749	1.98339
XM_014742250.1	4345	4084.63	101.639	1.22329
XM_014742251.1	7242	6981.63	188.552	1.32769
XM_014742252.1	781	520.684	0	0
XM_014742253.1	7131	6870.63	539.261	3.85857
XM_014742254.1	7168	6907.63	1031.15	7.33862
XM_014742255.1	3032	2771.63	239.682	4.25131
XM_014742256.1	2703	2442.63	936.123	18.8408
XM_014742257.1	4261	4000.63	84.8288	1.04241
XM_014742258.1	2579	2318.63	672	14.2482
XM_014742259.1	2635	2374.63	481	9.958
XM_014742260.1	595	334.84	3	0.440462
XM_014742261.1	1661	1400.63	256	8.98543
XM_014742262.1	1886	1625.63	308.171	9.31951
XM_014742263.1	2997	2736.63	271	4.86829
XM_014742264.1	8489	8228.63	1272.79	7.60419
XM_014742265.1	6058	5797.63	462.062	3.91808
XM_014742266.1	7981	7720.63	441.843	2.81345
XM_014742267.1	8003	7742.63	91.6833	0.582137
XM_014742268.1	8071	7810.63	667.027	4.19838
XM_014742269.1	8038	7777.63	185.753	1.17412
XM_014742270.1	7972	7711.63	17.9127	0.114193
XM_014742271.1	7966	7705.63	0	0
XM_014742272.1	1397	1136.63	0	0
XM_014742273.1	7858	7597.63	0	0
XM_014742274.1	7843	7582.63	3.06303e-08	1.98589e-10
XM_014742275.1	2899	2638.63	1295.21	24.1315
XM_014742276.1	2982	2721.63	0	0
XM_014742277.1	3017	2756.63	282.755	5.04261
XM_014742278.1	2715	2454.63	261.038	5.22806
XM_014742279.1	4101	3840.63	466.438	5.97055
XM_014742280.1	3880	3619.63	0.0930087	0.00126323
XM_014742281.1	3871	3610.63	0.142465	0.00193976
XM_014742282.1	3862	3601.63	86.4309	1.17976
XM_014742283.1	3853	3592.63	138.187	1.89094
XM_014742284.1	3988	3727.63	1.22106	0.0161038
XM_014742285.1	4349	4088.63	75.0023	0.90182
XM_014742286.1	3979	3718.63	0.483917	0.00639752
XM_014742287.1	4290	4029.63	1250	15.2499
XM_014742288.1	4341	4080.63	210.495	2.53593
XM_014742289.1	3970	3709.63	820.896	10.8788
XM_014742290.1	3961	3700.63	354.509	4.7095
XM_014742291.1	821	560.684	454	39.8072
XM_014742292.1	2677	2416.63	924	18.7968
XM_014742293.1	2670	2409.63	2712	55.3302
XM_014742294.1	2544	2283.63	3968.96	85.4426
XM_014742295.1	2486	2225.63	274.035	6.05308
XM_014742296.1	1436	1175.63	756	31.6136
XM_014742297.1	1753	1492.63	36	1.18569
XM_014742298.1	1299	1038.63	8269	391.394
XM_014742299.1	3917	3656.63	128.969	1.73391
XM_014742300.1	1091	830.634	958	56.6995
XM_014742301.1	1315	1054.63	540	25.1719
XM_014742302.1	6470	6209.63	217.331	1.7206
XM_014742303.1	6345	6084.63	91.802	0.741723
XM_014742304.1	5857	5596.63	27.8667	0.244784
XM_014742305.1	2013	1752.63	453.807	12.7293
XM_014742306.1	1341	1080.63	310.193	14.1116
XM_014742307.1	3657	3396.63	0	0
XM_014742308.1	2104	1843.63	733	19.5458
XM_014742309.1	4576	4315.63	655.808	7.4706
XM_014742310.1	7688	7427.63	295	1.95252
XM_014742311.1	1983	1722.63	0	0
XM_014742312.1	2301	2040.63	60.0835	1.44749
XM_014742313.1	2034	1773.63	49.9165	1.38358
XM_014742314.1	3170	2909.63	220	3.71713
XM_014742315.1	626	365.77	544	73.1163
XM_014742316.1	3031	2770.63	0	0
XM_014742317.1	2378	2117.63	1008.91	23.4221
XM_014742318.1	2658	2397.63	2211.09	45.3364
XM_014742319.1	3246	2985.63	936.745	15.4244
XM_014742320.1	3243	2982.63	782.255	12.8935
XM_014742321.1	2681	2420.63	180.687	3.66962
XM_014742322.1	2952	2691.63	28.086	0.512977
XM_014742323.1	2567	2306.63	72.227	1.53938
XM_014742324.1	2297	2036.63	349.231	8.42992
XM_014742325.1	3118	2857.63	13.8576	0.2384
XM_014742326.1	2083	1822.63	100.769	2.71802
XM_014742327.1	1375	1114.63	536	23.6405
XM_014742328.1	1082	821.634	360	21.5401
XM_014742329.1	3506	3245.63	0	0
XM_014742330.1	3503	3242.63	0	0
XM_014742331.1	3479	3218.63	511	7.805
XM_014742332.1	1816	1555.63	1000	31.6021
XM_014742333.1	1920	1659.63	197	5.83549
XM_014742334.1	3534	3273.63	58.7377	0.882085
XM_014742335.1	2545	2284.63	284	6.11119
XM_014742336.1	633	372.752	205	27.037
XM_014742337.1	1711	1450.63	525.776	17.8183
XM_014742338.1	1574	1313.63	89.224	3.33911
XM_014742339.1	2200	1939.63	681	17.2604
XM_014742340.1	1676	1415.63	672	23.3368
XM_014742341.1	868	607.684	5	0.404498
XM_014742342.1	3491	3230.63	419	6.37603
XM_014742343.1	1296	1035.63	635.514	30.1677
XM_014742344.1	1349	1088.63	109.486	4.94427
XM_014742345.1	1863	1602.63	630.558	19.3426
XM_014742346.1	2315	2054.63	816	19.5245
XM_014742347.1	1228	967.634	0	0
XM_014742348.1	1216	955.634	0	0
XM_014742349.1	1189	928.634	0	0
XM_014742350.1	1177	916.634	10.2569	0.550104
XM_014742351.1	1129	868.634	0	0
XM_014742352.1	1090	829.634	13.7431	0.814369
XM_014742353.1	4864	4603.63	77	0.822269
XM_014742354.1	4389	4128.63	774.359	9.22061
XM_014742355.1	2275	2014.63	911	22.2303
XM_014742356.1	927	666.652	146	10.7666
XM_014742357.1	1208	947.634	332.152	17.2314
XM_014742358.1	2753	2492.63	0	0
XM_014742359.1	573	312.856	294.362	46.2554
XM_014742360.1	849	588.684	1	0.0835106
XM_014742361.1	849	588.684	1	0.0835106
XM_014742362.1	1641	1380.63	0	0
XM_014742363.1	1295	1034.63	369	17.5333
XM_014742364.1	1418	1157.63	151	6.41253
XM_014742365.1	1507	1246.63	8	0.315482
XM_014742366.1	1145	884.634	3.55132	0.197356
XM_014742367.1	3850	3589.63	0	0
XM_014742368.1	3851	3590.63	23.368	0.319944
XM_014742369.1	3513	3252.63	640.924	9.68712
XM_014742370.1	3441	3180.63	15.7469	0.243392
XM_014742371.1	1483	1222.63	180.117	7.24238
XM_014742372.1	3442	3181.63	0	0
XM_014742373.1	3854	3593.63	65.2303	0.892358
XM_014742374.1	3842	3581.63	279.675	3.83881
XM_014742375.1	3261	3000.63	69.9552	1.14612
XM_014742376.1	3240	2979.63	0	0
XM_014742377.1	3762	3501.63	6.12939	0.0860539
XM_014742378.1	844	583.684	845.638	71.2247
XM_014742379.1	5477	5216.63	3.81087e-08	3.59135e-10
XM_014742380.1	5247	4986.63	66.4902	0.655502
XM_014742381.1	1482	1221.63	150.649	6.06247
XM_014742382.1	5228	4967.63	69.7721	0.690488
XM_014742383.1	5474	5213.63	7.04434e-08	6.64237e-10
XM_014742384.1	1854	1593.63	1560	48.1238
