target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	995.629	25777	2263.01
NM_001011562.1	863	607.698	29.9354	4.30575
NM_001011563.1	2084	1828.63	824	39.387
NM_001011564.2	1326	1070.63	340	27.7582
NM_001011565.1	3023	2767.63	88.1087	2.78267
NM_001011566.1	1503	1247.63	39.3333	2.75566
NM_001011567.1	4030	3774.63	8.23545	0.190706
NM_001011568.1	2077	1821.63	11.4738	0.550553
NM_001011570.1	582	326.939	8319	2224.11
NM_001011571.1	2093	1837.63	11.2559	0.535392
NM_001011572.1	2346	2090.63	38798	1622.12
NM_001011573.1	3160	2904.63	0	0
NM_001011574.1	1940	1684.63	177	9.18375
NM_001011575.1	2163	1907.63	73.8352	3.38315
NM_001011576.1	1195	939.629	55	5.11631
NM_001011577.1	2389	2133.63	865.28	35.4477
NM_001011578.1	5441	5185.63	235	3.96111
NM_001011579.1	1430	1174.63	85	6.32513
NM_001011580.1	1544	1288.63	6.28828	0.426535
NM_001011581.1	2439	2183.63	0	0
NM_001011582.1	356	107.309	30	24.4364
NM_001011583.2	635	379.902	79116	18203
NM_001011584.1	1606	1350.63	34.1406	2.20946
NM_001011585.1	1638	1382.63	87.4786	5.53028
NM_001011586.1	2205	1949.63	0	0
NM_001011587.1	496	241.103	0	0
NM_001011588.1	724	468.773	13	2.424
NM_001011589.1	624	368.902	234	55.4441
NM_001011590.1	574	318.939	4	1.09624
NM_001011591.1	584	328.939	1	0.265727
NM_001011592.1	1590	1334.63	3517.29	230.356
NM_001011593.1	548	292.949	0	0
NM_001011594.1	4195	3939.63	25.6341	0.568739
NM_001011595.1	2818	2562.63	57.8635	1.97365
NM_001011596.1	4100	3844.63	380.693	8.65507
NM_001011597.1	2673	2417.63	28.2468	1.02125
NM_001011598.1	1624	1368.63	1738	110.998
NM_001011599.1	1942	1686.63	8	0.414592
NM_001011600.1	2052	1796.63	295	14.3521
NM_001011601.1	1830	1574.63	21	1.16571
NM_001011602.1	2795	2539.63	437	15.0405
NM_001011603.1	1683	1427.63	785.277	48.0793
NM_001011604.3	685	429.82	3.27035	0.665056
NM_001011605.1	1448	1192.63	363	26.6043
NM_001011606.1	1757	1501.63	6	0.349252
NM_001011607.2	381	129.485	209453	141389
NM_001011608.1	1873	1617.63	314	16.9669
NM_001011610.1	1612	1356.63	11.29	0.727419
NM_001011611.2	369	118.543	1998.79	1473.81
NM_001011612.1	304	69.4307	1142.21	1437.95
NM_001011613.1	710	454.805	4462	857.542
NM_001011614.1	688	432.82	2907	587.068
NM_001011615.1	664	408.834	27380	5853.79
NM_001011616.2	680	424.82	9777	2011.65
NM_001011617.1	374	123.064	10177	7228.35
NM_001011618.1	523	268.016	184.064	60.0286
NM_001011619.1	1559	1303.63	140.99	9.45336
NM_001011620.1	957	701.629	1.07026	0.133332
NM_001011621.1	3254	2998.63	7.20335	0.209973
NM_001011622.1	1529	1273.63	11	0.75492
NM_001011623.1	3376	3120.63	1.81827	0.0509292
NM_001011624.1	4969	4713.63	24.8034	0.459946
NM_001011625.2	1940	1684.63	0	0
NM_001011626.2	755	499.738	2227.24	389.56
NM_001011627.1	2520	2264.63	509	19.6459
NM_001011628.2	1386	1130.63	339.715	26.2631
NM_001011629.1	14440	14184.6	1298.02	7.99858
NM_001011630.1	630	374.902	992.505	231.401
NM_001011631.1	1741	1485.63	10.1637	0.59799
NM_001011632.2	2009	1753.63	3.75104	0.186967
NM_001011633.1	1533	1277.63	173.353	11.8598
NM_001011634.2	3754	3498.63	226.882	5.66831
NM_001011635.1	1447	1191.63	172	12.6165
NM_001011636.1	570	314.939	596	165.414
NM_001011637.1	1369	1113.63	3.03515	0.238226
NM_001011638.1	584	328.939	133	35.3417
NM_001011639.2	1806	1550.63	0	0
NM_001011640.1	991	735.629	2199	261.287
NM_001011641.1	970	714.629	222.474	27.2114
NM_001011643.1	2378	2122.63	46.1289	1.89955
NM_001011644.2	1200	944.629	46.1306	4.26853
NM_001011650.1	2242	1986.63	8	0.351985
NM_001011652.2	969	713.629	99	12.1259
NM_001011653.2	898	642.676	81.7762	11.1221
NM_001011654.2	749	493.773	252.506	44.6987
NM_001012429.1	672	416.834	487.714	102.271
NM_001012615.1	1097	841.629	101	10.4894
NM_001012627.1	3153	2897.63	13.2233	0.398885
NM_001012962.1	3606	3350.63	48	1.25218
NM_001012963.1	502	247.078	0	0
NM_001013006.1	2991	2735.63	0	0
NM_001013359.2	1964	1708.63	372.12	19.0364
NM_001013361.1	4113	3857.63	456	10.3323
NM_001014429.1	1427	1171.63	1455	108.548
NM_001014430.1	438	183.891	0	0
NM_001014983.1	3250	2994.63	0	0
NM_001014991.1	7242	6986.63	450.216	5.63253
NM_001014992.2	2498	2242.63	491.965	19.1746
NM_001014993.1	1386	1130.63	3.07973	0.238091
NM_001014994.1	1892	1636.63	1173.3	62.663
NM_001024697.1	1793	1537.63	521	29.6167
NM_001032361.1	3585	3329.63	0	0
NM_001037318.2	2515	2259.63	2.21142	0.085543
NM_001039968.1	1349	1093.63	31.3125	2.50264
NM_001040203.1	644	388.889	29.7609	6.68915
NM_001040204.1	793	537.738	79.5323	12.9278
NM_001040205.1	698	442.805	317	62.5746
NM_001040206.1	682	426.82	3522	721.266
NM_001040207.1	1179	923.629	433	40.9771
NM_001040208.1	582	326.939	302	80.7405
NM_001040209.1	588	332.939	177.54	46.6103
NM_001040220.1	483	228.257	1	0.382936
NM_001040221.1	459	204.524	101.986	43.5857
NM_001040223.1	555	299.949	6	1.74846
NM_001040224.1	399	146.238	18	10.7588
NM_001040225.1	407	153.914	13.0561	7.4146
NM_001040226.1	432	177.997	83	40.7582
NM_001040227.1	724	468.773	1470	274.098
NM_001040229.1	453	198.58	12.5255	5.51329
NM_001040230.1	13107	12851.6	63.2251	0.430014
NM_001040231.1	363	113.277	0	0
NM_001040233.1	1647	1391.63	11702.9	735.057
NM_001040234.1	1500	1244.63	2994.65	210.309
NM_001040235.2	6077	5821.63	0	0
NM_001040236.1	1767	1511.63	113594	6568.42
NM_001040237.1	5107	4851.63	459.683	8.28174
NM_001040255.1	1893	1637.63	170.833	9.11814
NM_001040256.1	767	511.738	0	0
NM_001040257.1	1554	1298.63	0	0
NM_001040258.1	1250	994.629	8456.61	743.167
NM_001040259.1	1743	1487.63	187922	11041.6
NM_001040262.2	438	183.891	6	2.85194
NM_001040263.1	1550	1294.63	733	49.4891
NM_001040264.1	1600	1344.63	176	11.4409
NM_001040265.1	1689	1433.63	144.157	8.78921
NM_001040266.2	1599	1343.63	4.10882	0.267294
NM_001040267.1	1895	1639.63	276.477	14.7389
NM_001040269.1	1397	1141.63	3.21506	0.246159
NM_001040270.1	509	254.07	292	100.457
NM_001040277.1	2150	1894.63	25.944	1.19692
NM_001040681.1	2499	2243.63	210	8.18124
NM_001042458.1	1737	1481.63	161.502	9.52775
NM_001042460.1	1794	1538.63	115.616	6.56802
NM_001077808.1	5328	5072.63	69.6361	1.19992
NM_001077809.1	1344	1088.63	0	0
NM_001077810.1	354	105.616	757	626.497
NM_001077811.1	1287	1031.63	0	0
NM_001077812.1	1470	1214.63	0	0
NM_001077813.1	3226	2970.63	187.51	5.5173
NM_001077814.1	387	134.961	9.67558	6.26642
NM_001077815.1	1855	1599.63	35.9076	1.96209
NM_001077816.1	1530	1274.63	0	0
NM_001077817.1	1194	938.629	7	0.651861
NM_001077818.1	1707	1451.63	0	0
NM_001077819.1	378	126.733	10.722	7.39499
NM_001077820.1	351	103.08	610	517.255
NM_001077821.1	4097	3841.63	0	0
NM_001077822.1	1533	1277.63	0	0
NM_001077823.2	516	261.025	90.0442	30.1525
NM_001077824.1	1842	1586.63	0	0
NM_001077825.1	1158	902.629	2	0.193674
NM_001078661.1	315	76.3796	7.89385	9.03362
NM_001079560.1	1607	1351.63	1	0.0646686
NM_001079561.1	1701	1445.63	0	0
NM_001080094.2	2123	1867.63	7	0.327611
NM_001080095.1	1590	1334.63	0	0
NM_001080110.1	2703	2447.63	109.673	3.91658
NM_001080205.1	2713	2457.63	300.226	10.6778
NM_001083630.1	1713	1457.63	174.322	10.4533
NM_001085344.1	515	260.025	13314	4475.52
NM_001085345.1	1491	1235.63	13716	970.265
NM_001085346.1	509	254.07	24174.6	8316.81
NM_001097154.2	1766	1510.63	2276.99	131.751
NM_001098167.1	767	511.738	328.762	56.1545
NM_001098214.1	1863	1607.63	0	0
NM_001098215.2	2635	2379.63	26.1899	0.962
NM_001098217.1	2187	1931.63	6.09065	0.275607
NM_001098218.1	2148	1892.63	84.1575	3.88667
NM_001098219.1	2139	1883.63	23.7389	1.10158
NM_001098220.1	1806	1550.63	0	0
NM_001098221.1	1763	1507.63	1.53119	0.0887738
NM_001098223.1	1436	1180.63	82	6.07088
NM_001098224.2	1333	1077.63	842	68.2958
NM_001098228.1	1286	1030.63	245	20.7785
NM_001098229.1	1284	1028.63	206	17.5049
NM_001098232.1	1146	890.629	173.54	17.0316
NM_001098234.1	462	207.475	34	14.324
NM_001098717.1	2199	1943.63	39	1.75389
NM_001101023.1	3033	2777.63	93.496	2.94218
NM_001104949.1	3122	2866.63	5.12902	0.156392
NM_001110712.2	754	498.738	65	11.3918
NM_001110764.1	2606	2350.63	261	9.70526
NM_001111255.1	2504	2248.63	0	0
NM_001112670.1	3330	3074.63	464.43	13.2032
NM_001112671.1	3001	2745.63	555.56	17.6864
NM_001112672.2	1701	1445.63	21.1862	1.281
NM_001113285.1	2779	2523.63	8.30351	0.287599
NM_001113739.1	1509	1253.63	836.367	58.3148
NM_001114188.1	1950	1694.63	0	0
NM_001114198.1	730	474.773	1633.93	300.815
NM_001115078.1	2659	2403.63	6.61724	0.240636
NM_001123013.2	6157	5901.63	148.035	2.19252
NM_001126243.2	2949	2693.63	1815.78	58.9219
NM_001126244.1	1674	1418.63	79	4.86754
NM_001131037.1	1164	908.629	0	0
NM_001131038.1	2722	2466.63	404	14.3162
NM_001134227.1	1704	1448.63	1076.38	64.9469
NM_001134333.1	282	57.1136	0.548815	0.839919
NM_001134371.1	591	335.927	236	61.407
NM_001134668.1	2541	2285.63	902	34.4946
NM_001134669.1	584	328.939	0	0
NM_001134722.1	105	28.2857	0	0
NM_001134828.1	1495	1239.63	1161.42	81.8934
NM_001134934.1	3281	3025.63	5.10142	0.147376
NM_001134935.1	2337	2081.63	0	0
NM_001134936.1	1992	1736.63	0	0
NM_001134940.1	1464	1208.63	0	0
NM_001134942.1	1621	1365.63	259	16.5775
NM_001134943.1	1434	1178.63	7	0.519125
NM_001134947.1	1760	1504.63	120	6.97112
NM_001134948.1	3181	2925.63	427.822	12.7819
NM_001134949.1	3346	3090.63	2606.84	73.7256
NM_001134950.1	2295	2039.63	97.2883	4.16927
NM_001135735.1	1032	776.629	6611	744.054
NM_001135905.1	488	233.193	332.393	124.591
NM_001135909.1	320	79.7227	1920	2105.09
NM_001136187.1	614	358.915	480	116.896
NM_001136206.1	1002	746.629	5	0.585351
NM_001136207.1	930	674.653	3	0.38868
NM_001136208.1	1008	752.629	0	0
NM_001136209.1	1029	773.629	31	3.50251
NM_001141964.1	2248	1992.63	7332	321.623
NM_001142436.1	1295	1039.63	269.909	22.6929
NM_001142461.1	824	568.738	248	38.1145
NM_001142561.1	1943	1687.63	93.9724	4.86715
NM_001142607.1	642	386.889	104	23.4962
NM_001142609.1	1671	1415.63	149.349	9.22154
NM_001142637.1	999	743.629	28	3.29119
NM_001142656.2	710	454.805	0	0
NM_001142693.1	1386	1130.63	1	0.0773091
NM_001143878.1	1377	1121.63	0	0
NM_001143879.1	1428	1172.63	0	0
NM_001143880.1	1470	1214.63	0	0
NM_001143921.1	2102	1846.63	549.386	26.0045
NM_001144839.2	596	340.927	564.381	144.698
NM_001145735.2	1347	1091.63	37.9374	3.03769
NM_001145736.1	2424	2168.63	15.248	0.614579
NM_001145737.1	2433	2177.63	0	0
NM_001145738.1	2787	2531.63	31.5364	1.08884
NM_001145739.1	2553	2297.63	1	0.0380427
NM_001145740.1	3633	3377.63	154	3.98529
NM_001159303.1	1404	1148.63	0	0
NM_001159355.1	2782	2526.63	212.87	7.36418
NM_001160048.1	2747	2491.63	4409	154.671
NM_001160050.1	2417	2161.63	40386	1633.05
NM_001160052.1	2920	2664.63	6104.79	200.256
NM_001160064.1	2844	2588.63	7924	267.563
NM_001160072.1	2237	1981.63	1491	65.7667
NM_001160270.1	698	442.805	1529.03	301.824
NM_001160405.2	2980	2724.63	496.807	15.9379
NM_001161709.2	856	600.698	509	74.0649
NM_001161787.1	927	671.653	3732.65	485.762
NM_001161788.1	843	587.718	259.346	38.571
NM_001161831.1	683	427.82	1120.75	228.981
NM_001162398.1	165	32.6407	161	431.138
NM_001162513.1	4073	3817.63	36.4038	0.833496
NM_001162516.1	1758	1502.63	7.22205	0.420107
NM_001163463.1	481	226.289	510	196.996
NM_001163712.1	1155	899.629	759.916	73.8335
NM_001163714.1	1566	1310.63	1861.13	124.122
NM_001163715.1	854	598.718	505	73.7258
NM_001163716.1	900	644.676	788.594	106.921
NM_001163717.1	2152	1896.63	203.011	9.35594
NM_001164008.1	2209	1953.63	82	3.66879
NM_001164809.1	503	248.078	27	9.51318
NM_001164810.1	871	615.698	298	42.3058
NM_001165904.1	5715	5459.63	1.02532	0.0164152
NM_001165905.1	6135	5879.63	6.62332	0.0984638
NM_001165906.1	3754	3498.63	653.056	16.3156
NM_001167709.1	732	476.773	148	27.1332
NM_001167720.1	599	343.927	0	0
NM_001167836.1	1455	1199.63	81.0573	5.90603
NM_001167893.1	1135	879.629	278	27.6246
NM_001168336.1	1053	797.629	168	18.4102
NM_001168425.1	1144	888.629	414	40.7222
NM_001168700.1	993	737.629	0	0
NM_001170972.1	1128	872.629	304	30.4505
NM_001170973.1	1131	875.629	7540	752.666
NM_001170974.1	1454	1198.63	4203.04	306.5
NM_001171006.1	3549	3293.63	249.33	6.61685
NM_001171051.1	4101	3845.63	60.9942	1.38635
NM_001171108.1	1209	953.629	0	0
NM_001171169.1	1520	1264.63	1143.49	79.035
NM_001172378.1	1201	945.629	511	47.2336
NM_001172379.1	1114	858.629	436	44.3846
NM_001172389.1	1026	770.629	2018.98	229.001
NM_001172403.1	1330	1074.63	1600	130.14
NM_001172404.1	2427	2171.63	1487.47	59.8705
NM_001172405.1	228	40.5275	106.341	229.351
NM_001172406.1	908	652.676	307	41.1142
NM_001172718.1	2641	2385.63	416.712	15.2681
