target_id	length	eff_length	est_counts	tpm
Caust.v2_017684-RA	486	221.608	164	21.1912
Caust.v2_017683-RA	387	125.934	735	167.126
Caust.v2_017681-RA	1743	1477.46	1331	25.7965
Caust.v2_014750-RA	3774	3508.46	19.0513	0.155491
Caust.v2_018382-RA	1734	1468.46	411.938	8.03281
Caust.v2_018380-RA	7836	7570.46	4	0.0151299
Caust.v2_021948-RA	516	251.324	18	2.05086
Caust.v2_016598-RA	1107	841.457	567.614	19.316
Caust.v2_016597-RA	1311	1045.46	1157.45	31.7024
Caust.v2_016598-RB	1107	841.457	567.614	19.316
Caust.v2_016599-RA	258	38.0983	14	10.5225
Caust.v2_016601-RA	294	54.1723	42	22.2008
Caust.v2_018332-RA	417	154.179	0	0
Caust.v2_018329-RA	3876	3610.46	41.5685	0.329685
Caust.v2_019455-RA	2721	2455.46	179.906	2.09803
Caust.v2_017592-RA	1668	1402.46	1	0.0204177
Caust.v2_022015-RA	618	352.948	16.1379	1.30928
Caust.v2_016262-RA	3312	3046.46	1102	10.3582
Caust.v2_016260-RA	669	403.834	5	0.354539
Caust.v2_016263-RA	6081	5815.46	1232	6.0663
Caust.v2_016261-RA	1890	1624.46	241.053	4.24914
Caust.v2_020608-RA	375	115.101	190	47.2684
Caust.v2_011685-RA	10707	10441.5	12	0.0329092
Caust.v2_011676-RA	561	296.108	0	0
Caust.v2_011674-RA	2949	2683.46	4121.29	43.978
Caust.v2_011692-RA	954	688.487	90.2507	3.75364
Caust.v2_011676-RC	756	490.634	468	27.314
Caust.v2_011678-RA	1872	1606.46	6.67302	0.118946
Caust.v2_011690-RA	1476	1210.46	39282	929.269
Caust.v2_011680-RA	1158	892.457	240	7.70054
Caust.v2_011676-RB	756	490.634	468	27.314
Caust.v2_012699-RA	582	317.063	20	1.80627
Caust.v2_012705-RA	744	478.665	4	0.23929
Caust.v2_020418-RA	1068	802.457	0	0
Caust.v2_010071-RA	561	296.108	108	10.4441
Caust.v2_010085-RA	753	487.645	198	11.6268
Caust.v2_010080-RA	4215	3949.46	154	1.11656
Caust.v2_010082-RA	1452	1186.46	8	0.193079
Caust.v2_010065-RA	1548	1282.46	654	14.6027
Caust.v2_010079-RC	2280	2014.46	268.333	3.81429
Caust.v2_010077-RA	873	607.528	919	43.3158
Caust.v2_010075-RA	1236	970.457	151.826	4.4799
Caust.v2_010076-RA	255	37.1871	731	562.888
Caust.v2_010063-RA	1956	1690.46	377.052	6.38696
Caust.v2_010069-RA	1194	928.457	842.623	25.9877
Caust.v2_010079-RA	2280	2014.46	268.333	3.81429
Caust.v2_010066-RA	2379	2113.46	3143	42.5842
Caust.v2_010079-RB	2280	2014.46	268.333	3.81429
Caust.v2_010067-RA	6006	5740.46	1980.68	9.88016
Caust.v2_010078-RA	762	496.634	417	24.0434
Caust.v2_010070-RA	1386	1120.46	624	15.9473
Caust.v2_010068-RA	846	580.554	2085	102.84
Caust.v2_010067-RB	5664	5398.46	497.323	2.63795
Caust.v2_010069-RB	861	595.554	103	4.95237
Caust.v2_010083-RA	405	142.708	2.78661	0.559146
Caust.v2_010073-RA	3789	3523.46	295.158	2.39874
Caust.v2_010063-RB	543	278.201	94.948	9.77293
Caust.v2_010069-RC	861	595.554	103	4.95237
Caust.v2_022129-RA	606	340.985	1215.46	102.071
Caust.v2_018144-RA	648	382.894	4	0.299143
Caust.v2_018142-RA	1713	1447.46	59.4745	1.17658
Caust.v2_018616-RA	2406	2140.46	2067	27.6523
Caust.v2_018617-RA	1476	1210.46	509.577	12.0547
Caust.v2_019811-RA	822	556.579	1602	82.4201
Caust.v2_008733-RA	2061	1795.46	1374	21.9134
Caust.v2_008711-RD	1050	784.457	10.75	0.392407
Caust.v2_008716-RA	2760	2494.46	784	8.99989
Caust.v2_008718-RA	2004	1738.46	315	5.18852
Caust.v2_008713-RC	2985	2719.46	358.667	3.77664
Caust.v2_008713-RA	2985	2719.46	358.667	3.77664
Caust.v2_008727-RA	1377	1111.46	242	6.23476
Caust.v2_008736-RA	2124	1858.46	87	1.34049
Caust.v2_008724-RA	1863	1597.46	467	8.37114
Caust.v2_008729-RB	2958	2692.46	142	1.51021
Caust.v2_008729-RA	2958	2692.46	142	1.51021
Caust.v2_008711-RC	1050	784.457	10.75	0.392407
Caust.v2_008711-RA	1050	784.457	10.75	0.392407
Caust.v2_008719-RA	1380	1114.46	32	0.822212
Caust.v2_008735-RA	4020	3754.46	1691	12.8971
Caust.v2_008713-RB	2985	2719.46	358.667	3.77664
Caust.v2_008732-RC	1548	1282.46	557.791	12.4545
Caust.v2_008714-RA	1881	1615.46	939	16.6444
Caust.v2_008732-RA	1614	1348.46	200.104	4.24929
Caust.v2_008726-RA	486	221.608	304	39.2813
Caust.v2_008732-RB	1614	1348.46	200.104	4.24929
Caust.v2_008730-RA	3675	3409.46	92	0.77268
Caust.v2_008734-RA	1017	751.457	712	27.1314
Caust.v2_008731-RA	3294	3028.46	1073	10.1455
Caust.v2_008711-RB	1050	784.457	10.75	0.392407
Caust.v2_019966-RA	1950	1684.46	11.9984	0.203967
Caust.v2_012988-RA	24711	24445.5	3667	4.29546
Caust.v2_012982-RA	531	266.224	440	47.3263
Caust.v2_012983-RA	546	281.195	321.734	32.7632
Caust.v2_012983-RB	525	260.258	8.26649	0.909524
Caust.v2_012994-RA	1260	994.457	88	2.53393
Caust.v2_018737-RA	1107	841.457	9.15871	0.311673
Caust.v2_013194-RA	1287	1021.46	5.97852	0.167599
Caust.v2_013214-RA	555	290.146	122	12.0404
Caust.v2_013206-RA	1071	805.457	1647	58.5529
Caust.v2_013217-RA	1884	1618.46	0	0
Caust.v2_013214-RB	1461	1195.46	217	5.19784
Caust.v2_013210-RA	657	391.885	212	15.4908
Caust.v2_013199-RA	1128	862.457	2487.2	82.5792
Caust.v2_016495-RA	2208	1942.46	212	3.12523
Caust.v2_016494-RA	1767	1501.46	41	0.78193
Caust.v2_017094-RA	2574	2308.46	256	3.17552
Caust.v2_017093-RA	1200	934.457	295	9.03982
Caust.v2_018368-RA	963	697.472	1808	74.2282
Caust.v2_018368-RB	1881	1615.46	1078	19.1082
Caust.v2_018723-RA	1308	1042.46	1216.01	33.4022
Caust.v2_018722-RA	1224	958.457	197.017	5.8861
Caust.v2_021208-RA	708	442.735	0	0
Caust.v2_010950-RA	930	664.501	238	10.256
Caust.v2_010927-RA	2127	1861.46	815	12.5372
Caust.v2_010917-RA	1116	850.457	36	1.21212
Caust.v2_010943-RA	774	508.624	7269	409.237
Caust.v2_010918-RA	1569	1303.46	747	16.4105
Caust.v2_010945-RA	339	84.5595	38	12.8682
Caust.v2_010929-RA	1884	1618.46	539	9.53641
Caust.v2_010930-RA	7608	7342.46	3167	12.351
Caust.v2_010942-RA	2310	2044.46	1468	20.561
Caust.v2_010924-RA	297	55.8814	7	3.58697
Caust.v2_010925-RA	5697	5431.46	1222	6.44246
Caust.v2_010946-RA	1773	1507.46	125	2.37445
Caust.v2_010926-RA	2073	1807.46	953	15.0981
Caust.v2_010931-RA	315	67.1681	519	221.259
Caust.v2_010949-RA	627	361.91	158.5	12.5408
Caust.v2_010942-RB	2118	1852.46	0	0
Caust.v2_010949-RB	627	361.91	158.5	12.5408
Caust.v2_010948-RA	1620	1354.46	9	0.190272
Caust.v2_010941-RA	519	254.307	585	65.8709
Caust.v2_010928-RA	627	361.91	1681	133.004
Caust.v2_014956-RA	1587	1321.46	33	0.715086
Caust.v2_018016-RA	1431	1165.46	37	0.909081
Caust.v2_018174-RA	783	517.602	0	0
Caust.v2_018175-RA	10200	9934.46	80.4609	0.23192
Caust.v2_018176-RA	942	676.501	189.639	8.02707
Caust.v2_020859-RA	2205	1939.46	40	0.590578
Caust.v2_022008-RA	546	281.195	0	0
Caust.v2_007800-RA	2010	1744.46	114	1.87129
Caust.v2_007817-RA	2955	2689.46	632	6.72899
Caust.v2_007798-RA	3093	2827.46	1793	18.1586
Caust.v2_007793-RA	4515	4249.46	156	1.05121
Caust.v2_007810-RA	10932	10666.5	808	2.16914
Caust.v2_007807-RA	861	595.554	550	26.4447
Caust.v2_007813-RA	564	299.108	104	9.95639
Caust.v2_007809-RA	348	91.9022	4865	1515.84
Caust.v2_007811-RC	4053	3787.46	356.25	2.69342
Caust.v2_007811-RB	4053	3787.46	356.25	2.69342
Caust.v2_007796-RA	3924	3658.46	451.79	3.53619
Caust.v2_007814-RA	591	326.028	718	63.0618
Caust.v2_007811-RA	4053	3787.46	356.25	2.69342
Caust.v2_007805-RA	2319	2053.46	861	12.0065
Caust.v2_007782-RB	396	134.246	3175	677.237
Caust.v2_007782-RA	396	134.246	3175	677.237
Caust.v2_007811-RD	4053	3787.46	356.25	2.69342
Caust.v2_007800-RC	2010	1744.46	114	1.87129
Caust.v2_007801-RA	210	28.8196	214	212.629
Caust.v2_007799-RA	2808	2542.46	330	3.7167
Caust.v2_007803-RA	4212	3946.46	644	4.67278
Caust.v2_007804-RA	1413	1147.46	1003	25.03
Caust.v2_007800-RB	2010	1744.46	114	1.87129
Caust.v2_007801-RB	210	28.8196	214	212.629
Caust.v2_007791-RA	2286	2020.46	1292	18.3109
Caust.v2_007782-RC	321	71.1444	0	0
Caust.v2_007787-RA	927	661.501	0	0
Caust.v2_007783-RA	1674	1408.46	2335	47.4723
Caust.v2_007810-RB	10932	10666.5	808	2.16914
Caust.v2_007801-RC	522	257.28	1613	179.525
Caust.v2_007788-RA	1047	781.457	8	0.293145
Caust.v2_007802-RA	1404	1138.46	778	19.5686
Caust.v2_007792-RA	921	655.501	338	14.7652
Caust.v2_007816-RA	936	670.501	460	19.6452
Caust.v2_020081-RA	1170	904.457	138.75	4.39281
Caust.v2_018226-RB	1230	964.457	179	5.31456
Caust.v2_018225-RA	465	200.91	31.0086	4.41956
Caust.v2_018226-RA	1230	964.457	179	5.31456
Caust.v2_018498-RA	654	388.885	703.306	51.7869
Caust.v2_013860-RA	1035	769.457	3	0.111644
Caust.v2_013865-RA	366	107.109	3	0.802037
Caust.v2_013875-RA	1356	1090.46	8.08979	0.212435
Caust.v2_014568-RA	675	409.817	122	8.52446
Caust.v2_014569-RB	2067	1801.46	259.774	4.12923
Caust.v2_014569-RC	2067	1801.46	259.774	4.12923
Caust.v2_014569-RA	2067	1801.46	259.774	4.12923
Caust.v2_014570-RA	1656	1390.46	785	16.1662
Caust.v2_017569-RA	2607	2341.46	2806	34.3162
Caust.v2_017567-RA	1773	1507.46	192	3.64715
Caust.v2_018242-RA	789	523.602	20	1.09377
Caust.v2_018537-RA	1167	901.457	419	13.3096
Caust.v2_015866-RA	294	54.1723	0	0
Caust.v2_015866-RC	321	71.1444	152.107	61.2216
Caust.v2_015866-RB	384	123.154	10.8934	2.53285
Caust.v2_015865-RA	1581	1315.46	155	3.37405
Caust.v2_015868-RA	1086	820.457	3	0.104704
Caust.v2_006010-RA	546	281.195	250	25.4583
Caust.v2_006032-RA	1119	853.457	4	0.134207
Caust.v2_006002-RA	1998	1732.46	2402	39.7016
Caust.v2_006031-RA	444	180.315	249	39.5426
Caust.v2_005989-RA	1968	1702.46	69.5	1.16898
Caust.v2_006012-RA	558	293.14	588	57.4381
Caust.v2_006020-RA	1122	856.457	2185	73.0538
Caust.v2_006004-RJ	1623	1357.46	193.667	4.08532
Caust.v2_006004-RE	1908	1642.46	404.549	7.05301
Caust.v2_006037-RC	4326	4060.46	343.405	2.42175
Caust.v2_006017-RA	3429	3163.46	2404	21.7605
Caust.v2_006040-RA	2145	1879.46	3232	49.242
Caust.v2_006025-RA	2022	1756.46	331	5.39619
Caust.v2_006004-RG	1002	736.457	478.21	18.5938
Caust.v2_006037-RB	654	388.885	0.974899	0.0717852
Caust.v2_006037-RD	3723	3457.46	9.61604	0.079641
Caust.v2_006020-RB	1047	781.457	0	0
Caust.v2_006025-RB	2022	1756.46	331	5.39619
