target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	994.37	49168	2399.78
NM_001011562.1	863	606.435	164.457	13.1615
NM_001011563.1	2084	1827.37	2861	75.9851
NM_001011564.2	1326	1069.37	582	26.4139
NM_001011565.1	3023	2766.37	182.647	3.20435
NM_001011566.1	1503	1246.37	29.4313	1.14604
NM_001011567.1	4030	3773.37	8.40276	0.108076
NM_001011568.1	2077	1820.37	31.0804	0.828637
NM_001011570.1	582	325.743	7166	1067.67
NM_001011571.1	2093	1836.37	24.7032	0.652874
NM_001011572.1	2346	2089.37	75770	1760.02
NM_001011573.1	3160	2903.37	0	0
NM_001011574.1	1940	1683.37	54	1.55687
NM_001011575.1	2163	1906.37	69.4194	1.7673
NM_001011576.1	1195	938.37	217	11.2233
NM_001011577.1	2389	2132.37	1409.91	32.0897
NM_001011578.1	5441	5184.37	5751	53.8374
NM_001011579.1	1430	1173.37	6	0.248172
NM_001011580.1	1544	1287.37	10.5828	0.398965
NM_001011581.1	2439	2182.37	730.022	16.2347
NM_001011583.2	635	378.708	209387	26833.8
NM_001011584.1	1606	1349.37	129.321	4.65129
NM_001011585.1	1638	1381.37	91.5409	3.21619
NM_001011586.1	2205	1948.37	0	0
NM_001011587.1	496	239.978	0	0
NM_001011588.1	724	467.561	21	2.1798
NM_001011589.1	624	367.708	837	110.474
NM_001011590.1	574	317.764	19	2.90192
NM_001011591.1	584	327.743	0	0
NM_001011592.1	1590	1333.37	4772.02	173.695
NM_001011593.1	548	291.794	3	0.498978
NM_001011594.1	4195	3938.37	27.0931	0.333872
NM_001011595.1	2818	2561.37	64	1.21268
NM_001011596.1	4100	3843.37	252.893	3.19346
NM_001011597.1	2673	2416.37	44.6034	0.895862
NM_001011598.1	1624	1367.37	8128	288.492
NM_001011599.1	1942	1685.37	4	0.115186
NM_001011600.1	2052	1795.37	180	4.86581
NM_001011601.1	1830	1573.37	17	0.524391
NM_001011602.1	2795	2538.37	610	11.663
NM_001011603.1	1683	1426.37	1340.59	45.6141
NM_001011604.3	685	428.591	5165.6	584.945
NM_001011605.1	1448	1191.37	423	17.2318
NM_001011606.1	1757	1500.37	4	0.129389
NM_001011608.1	1873	1616.37	638	19.1565
NM_001011610.1	1612	1355.37	0	0
NM_001011614.1	688	431.591	5799	652.106
NM_001011615.1	664	407.591	116479	13869.5
NM_001011616.2	680	423.591	26353	3019.4
NM_001011617.1	374	121.332	55212	22084.9
NM_001011619.1	1559	1302.37	459.867	17.137
NM_001011620.1	957	700.394	3.16147	0.219071
NM_001011621.1	3254	2997.37	10.9768	0.177735
NM_001011622.1	1529	1272.37	0	0
NM_001011623.1	3376	3119.37	2.59423	0.0403625
NM_001011624.1	4969	4712.37	61.7905	0.636384
NM_001011625.2	1940	1683.37	0	0
NM_001011626.2	755	498.546	3524.62	343.118
NM_001011627.1	2520	2263.37	1715	36.7744
NM_001011628.2	1386	1129.37	1136.18	48.8258
NM_001011629.1	14440	14183.4	3390.45	11.6015
NM_001011630.1	630	373.708	2200.65	285.795
NM_001011631.1	1741	1484.37	52.1984	1.70668
NM_001011632.2	2009	1752.37	1.17981	0.0326756
NM_001011633.1	1533	1276.37	652.722	24.8192
NM_001011634.2	3754	3497.37	85.9559	1.19281
NM_001011635.1	1447	1190.37	299	12.1906
NM_001011636.1	570	313.764	2272	351.432
NM_001011637.1	1369	1112.37	11.9611	0.521864
NM_001011639.2	1806	1549.37	7	0.21927
NM_001011640.1	991	734.37	6893	455.544
NM_001011641.1	970	713.394	232.3	15.8037
NM_001011643.1	2378	2121.37	54.352	1.24347
NM_001011644.2	1200	943.37	79.4471	4.08727
NM_001011650.1	2242	1985.37	13	0.317789
NM_001011652.2	969	712.394	88	5.99514
NM_001011653.2	898	641.394	45.3518	3.43168
NM_001011654.2	749	492.546	619.658	61.058
NM_001012429.1	672	415.591	928.033	108.376
NM_001012615.1	1097	840.37	117	6.75697
NM_001012627.1	3153	2896.37	22.5758	0.378292
NM_001012962.1	3606	3349.37	59	0.85492
NM_001012963.1	502	245.946	3	0.591995
NM_001013006.1	2991	2734.37	83.5903	1.48366
NM_001013359.2	1964	1707.37	1053.11	29.9353
NM_001013361.1	4113	3856.37	512	6.44359
NM_001014429.1	1427	1170.37	1625	67.3856
NM_001014430.1	438	182.597	0	0
NM_001014983.1	3250	2993.37	0	0
NM_001014991.1	7242	6985.37	547.709	3.80538
NM_001014992.2	2498	2241.37	694.654	15.0415
NM_001014993.1	1386	1129.37	6680.77	287.096
NM_001014994.1	1892	1635.37	1104.67	32.7834
NM_001024697.1	1793	1536.37	1628	51.4275
NM_001032361.1	3585	3328.37	0	0
NM_001037318.2	2515	2258.37	6.01682	0.129303
NM_001039968.1	1349	1092.37	22.5391	1.00139
NM_001040204.1	793	536.511	97.9453	8.86016
NM_001040221.1	459	203.301	1185.31	282.963
NM_001040225.1	407	152.398	8.92936	2.84367
NM_001040226.1	432	176.681	116	31.8643
NM_001040229.1	453	197.381	15.1066	3.71448
NM_001040230.1	13107	12850.4	86.2852	0.32588
NM_001040231.1	363	111.382	0	0
NM_001040233.1	1647	1390.37	24243.2	846.244
NM_001040235.2	6077	5820.37	0	0
NM_001040236.1	1767	1510.37	108843	3497.47
NM_001040237.1	5107	4850.37	753.165	7.53619
NM_001040255.1	1893	1636.37	293.54	8.70609
NM_001040256.1	767	510.546	584.442	55.5577
NM_001040257.1	1554	1297.37	124.597	4.661
NM_001040258.1	1250	993.37	18060.6	882.384
NM_001040259.1	1743	1486.37	252744	8252.6
NM_001040262.2	438	182.597	20	5.31585
NM_001040263.1	1550	1293.37	587	22.0268
NM_001040264.1	1600	1343.37	461	16.6549
NM_001040265.1	1689	1432.37	120.971	4.09887
NM_001040266.2	1599	1342.37	2.1621	0.0781702
NM_001040267.1	1895	1638.37	333.629	9.88301
NM_001040269.1	1397	1140.37	4.81189	0.204789
NM_001040277.1	2150	1893.37	40.686	1.04291
NM_001040681.1	2499	2242.37	228	4.93474
NM_001042458.1	1737	1480.37	139.751	4.58164
NM_001042460.1	1794	1537.37	163.8	5.17098
NM_001077808.1	5328	5071.37	161.796	1.54838
NM_001077809.1	1344	1087.37	0	0
NM_001077810.1	354	103.566	1746	818.206
NM_001077811.1	1287	1030.37	0	0
NM_001077812.1	1470	1213.37	0	0
NM_001077813.1	3226	2969.37	172.358	2.81711
NM_001077815.1	1855	1598.37	33.7518	1.02484
NM_001077816.1	1530	1273.37	0	0
NM_001077817.1	1194	937.37	2.8836	0.1493
NM_001077818.1	1707	1450.37	0	0
NM_001077819.1	378	125.002	70.7685	27.4765
NM_001077821.1	4097	3840.37	1	0.0126376
NM_001077822.1	1533	1276.37	0	0
NM_001077823.2	516	259.895	685.924	128.09
NM_001077824.1	1842	1585.37	0	0
NM_001077825.1	1158	901.37	3	0.161531
NM_001079560.1	1607	1350.37	4	0.143762
NM_001079561.1	1701	1444.37	0	0
NM_001080094.2	2123	1866.37	8	0.208031
NM_001080095.1	1590	1333.37	2.11693	0.0770536
NM_001080110.1	2703	2446.37	353.325	7.00952
NM_001080205.1	2713	2456.37	425.096	8.39905
NM_001083630.1	1713	1456.37	281.205	9.37106
NM_001085345.1	1491	1234.37	65113	2560.11
NM_001085346.1	509	252.938	84063.1	16129.8
NM_001097154.2	1766	1509.37	3771.38	121.267
NM_001098167.1	767	510.546	671.382	63.8222
NM_001098214.1	1863	1606.37	0	0
NM_001098215.2	2635	2378.37	73.7903	1.50576
NM_001098217.1	2187	1930.37	30.7818	0.77391
NM_001098218.1	2148	1891.37	82.7647	2.12376
NM_001098219.1	2139	1882.37	21.3585	0.550684
NM_001098220.1	1806	1549.37	0	0
NM_001098221.1	1763	1506.37	3.06242	0.0986667
NM_001098223.1	1436	1179.37	161	6.62541
NM_001098224.2	1333	1076.37	750	33.8171
NM_001098228.1	1286	1029.37	988.045	46.5845
NM_001098229.1	1284	1027.37	179	8.45596
NM_001098232.1	1146	889.37	488.559	26.6607
NM_001098234.1	462	206.288	53.3616	12.5543
NM_001098717.1	2199	1942.37	74	1.849
NM_001101023.1	3033	2776.37	212.635	3.71702
NM_001104949.1	3122	2865.37	161.545	2.73621
NM_001110712.2	754	497.546	224	21.85
NM_001110764.1	2606	2349.37	720	14.8737
NM_001112670.1	3330	3073.37	506.619	8.00025
NM_001112672.2	1701	1444.37	34.9509	1.1744
NM_001113285.1	2779	2522.37	0	0
NM_001113739.1	1509	1252.37	1352.99	52.4323
NM_001114188.1	1950	1693.37	0	0
NM_001114198.1	730	473.546	6544.44	670.73
NM_001115078.1	2659	2402.37	45.0872	0.910857
NM_001123013.2	6157	5900.37	117.033	0.962641
NM_001126243.2	2949	2692.37	5056.33	91.146
NM_001126244.1	1674	1417.37	683	23.387
NM_001131037.1	1164	907.37	0	0
NM_001131038.1	2722	2465.37	723	14.2329
NM_001134227.1	1704	1447.37	2078.47	69.695
NM_001134371.1	591	334.732	275	39.8724
NM_001134668.1	2541	2284.37	1251	26.5783
NM_001134669.1	584	327.743	0	0
NM_001134722.1	105	30.2477	0	0
NM_001134828.1	1495	1238.37	1528	59.8839
NM_001134934.1	3281	3024.37	12.3085	0.197519
NM_001134940.1	1464	1207.37	0	0
NM_001134942.1	1621	1364.37	378	13.4461
NM_001134943.1	1434	1177.37	7	0.288551
NM_001134947.1	1760	1503.37	447.166	14.4358
NM_001134948.1	3181	2924.37	680.702	11.297
NM_001134949.1	3346	3089.37	2460.81	38.6585
NM_001134950.1	2295	2038.37	162.023	3.85773
NM_001135735.1	1032	775.37	13231	828.172
NM_001135905.1	488	232.018	405.981	84.9223
NM_001136187.1	614	357.721	817	110.845
NM_001136206.1	1002	745.37	10	0.651126
NM_001136207.1	930	673.394	2	0.144144
NM_001136208.1	1008	751.37	4	0.258371
NM_001141964.1	2248	1991.37	9773.42	238.194
NM_001142436.1	1295	1038.37	459.891	21.4951
NM_001142461.1	824	567.511	339	28.9909
NM_001142561.1	1943	1686.37	355.845	10.241
NM_001142607.1	642	385.67	241	30.3276
NM_001142609.1	1671	1414.37	1203.04	41.2815
NM_001142637.1	999	742.37	74	4.8378
NM_001142656.2	710	453.561	17.7617	1.90057
NM_001142693.1	1386	1129.37	2	0.085947
NM_001143878.1	1377	1120.37	0	0
NM_001143879.1	1428	1171.37	0	0
NM_001143880.1	1470	1213.37	0	0
NM_001143921.1	2102	1845.37	1076.02	28.2993
NM_001144839.2	596	339.732	2143.65	306.235
NM_001145735.2	1347	1090.37	35.7635	1.59185
NM_001145736.1	2424	2167.37	57.8365	1.29511
NM_001145737.1	2433	2176.37	0	0
NM_001145738.1	2787	2530.37	36.6472	0.7029
NM_001145739.1	2553	2296.37	2	0.0422693
NM_001145740.1	3633	3376.37	160	2.29989
NM_001159303.1	1404	1147.37	0	0
NM_001159355.1	2782	2525.37	531.8	10.2202
NM_001160048.1	2747	2490.37	7773	151.482
NM_001160050.1	2417	2160.37	63576	1428.24
NM_001160052.1	2920	2663.37	26160.9	476.715
NM_001160064.1	2844	2587.37	23370	438.366
NM_001160072.1	2237	1980.37	2379	58.3022
NM_001160270.1	698	441.561	2170.39	238.553
NM_001160405.2	2980	2723.37	883.334	15.7418
NM_001161709.2	856	599.435	609	49.3074
NM_001162398.1	165	33.2591	159	232.019
NM_001162513.1	4073	3816.37	7.81322	0.099361
NM_001162516.1	1758	1501.37	24.5903	0.794902
NM_001163463.1	481	225.086	699	150.718
NM_001163712.1	1155	898.37	1809.26	97.7421
NM_001163714.1	1566	1309.37	3440.11	127.511
NM_001163715.1	854	597.435	1363	110.724
NM_001163716.1	900	643.394	2545.06	191.981
NM_001163717.1	2152	1895.37	416.393	10.6622
NM_001164008.1	2209	1952.37	192	4.77283
NM_001164809.1	503	246.946	27	5.30638
NM_001164810.1	871	614.414	560	44.2347
NM_001165904.1	5715	5458.37	2.76564	0.0245906
NM_001165905.1	6135	5878.37	55.96	0.462016
NM_001165906.1	3754	3497.37	899.729	12.4855
NM_001167709.1	732	475.546	388	39.5983
NM_001167720.1	599	342.721	0	0
NM_001167836.1	1455	1198.37	64.4984	2.61213
NM_001167893.1	1135	878.37	2813	155.428
NM_001168336.1	1053	796.37	226	13.7731
NM_001168425.1	1144	887.37	596	32.5971
NM_001168700.1	993	736.37	0	0
NM_001170972.1	1128	871.37	836	46.563
NM_001170973.1	1131	874.37	16220	900.311
NM_001170974.1	1454	1197.37	4121.7	167.065
NM_001171006.1	3549	3292.37	447.034	6.58975
NM_001171051.1	4101	3844.37	212.296	2.68011
NM_001171108.1	1209	952.37	0	0
NM_001171169.1	1520	1263.37	1792.4	68.856
NM_001172378.1	1201	944.37	1806	92.8138
NM_001172379.1	1114	857.37	1754	99.2883
NM_001172389.1	1026	769.37	5370.09	338.753
NM_001172404.1	2427	2170.37	2004.99	44.8349
NM_001172406.1	908	651.394	506	37.7002
NM_001172718.1	2641	2384.37	723.382	14.7242
NM_001174139.1	720	463.561	0	0
NM_001174140.1	599	342.721	0	0
NM_001174141.1	1037	780.37	381.916	23.7522
NM_001174142.1	773	516.529	1	0.0939599
NM_001174143.1	884	627.394	5272.37	407.851
NM_001174145.1	871	614.414	424	33.492
NM_001177490.1	1091	834.37	4139	240.754
NM_001177903.1	404	149.524	0	0
NM_001178021.1	842	585.435	2552.49	211.603
NM_001178022.1	816	559.511	0	0
NM_001178023.1	1095	838.37	0	0
NM_001178024.1	1194	937.37	974	50.4295
NM_001178025.1	2265	2008.37	122.621	2.96318
NM_001178026.1	2037	1780.37	5644.66	153.874
NM_001178027.1	830	573.511	7614	644.329
NM_001178028.1	1029	772.37	46.3042	2.90959
NM_001178047.1	1538	1281.37	519.676	19.6832
NM_001178048.1	1331	1074.37	1643	74.2199
NM_001178067.1	626	369.708	1017	133.505
NM_001178069.1	1627	1370.37	7.4072	0.262333
NM_001185079.1	3029	2772.37	540.5	9.46196
NM_001185105.1	3075	2818.37	1234.15	21.2523
NM_001185144.1	565	308.764	11729	1843.62
NM_001185145.1	1666	1409.37	20277.5	698.275
NM_001185146.1	1648	1391.37	41020.5	1430.85
NM_001190421.1	2277	2020.37	88.3227	2.12167
NM_001190920.1	1626	1369.37	6.89425	0.244345
NM_001190921.1	1401	1144.37	77.8382	3.30113
NM_001191048.2	6581	6324.37	1221.07	9.37041
NM_001193290.1	1551	1294.37	0	0
NM_001202460.1	1962	1705.37	0	0
NM_001204249.1	2202	1945.37	14.1494	0.352999
NM_001204751.1	3810	3553.37	622.018	8.4957
NM_001205062.1	1790	1533.37	2375.19	75.1776
NM_001205223.1	2006	1749.37	304.296	8.44213
NM_001206466.1	2688	2431.37	233.5	4.66093
NM_001206467.1	2688	2431.37	233.5	4.66093
NM_001206969.1	2536	2279.37	61.7356	1.31449
NM_001206970.1	1154	897.37	36.8285	1.99182
NM_001206973.1	2299	2042.37	233.472	5.54801
NM_001214904.1	3024	2767.37	345.352	6.05664
NM_001220486.1	2644	2387.37	427	8.6805
NM_001220487.1	2747	2490.37	70	1.36418
NM_001242386.1	3284	3027.37	298	4.77736
NM_001242387.1	7402	7145.37	1412.7	9.5954
NM_001242431.1	1343	1086.37	584	26.0899
NM_001242432.1	2433	2176.37	891.104	19.8716
NM_001242433.1	2514	2257.37	3658	78.6462
NM_001242434.1	1729	1472.37	300.769	9.9141
NM_001242435.1	3041	2784.37	185.749	3.23769
NM_001242436.1	2828	2571.37	3069.22	57.9295
NM_001242437.1	2866	2609.37	25.4548	0.473446
NM_001242440.1	1971	1714.37	231	6.5395
NM_001242441.1	1971	1714.37	231	6.5395
NM_001242456.1	2803	2546.37	166.889	3.18085
NM_001242457.1	535	278.823	185.079	32.2156
NM_001242458.1	3602	3345.37	1877	27.2306
NM_001242465.1	1635	1378.37	2291.58	80.6875
NM_001242467.1	1154	897.37	844	45.6465
NM_001242468.1	2560	2303.37	185.588	3.91041
NM_001242469.1	571	314.764	8567.43	1321
NM_001242470.1	1756	1499.37	215.042	6.96069
NM_001242513.1	1263	1006.37	3846	185.476
NM_001242514.1	1790	1533.37	1470	46.5272
NM_001242515.1	3238	2981.37	723.431	11.7765
NM_001242516.1	3351	3094.37	237.955	3.73215
NM_001242517.1	2333	2076.37	288.594	6.74559
NM_001242518.1	5170	4913.37	1532.41	15.1367
NM_001242519.1	1741	1484.37	2786.64	91.1119
NM_001242520.1	1212	955.37	1054	53.5434
NM_001242522.1	2268	2011.37	2327	56.1489
NM_001242523.1	2658	2401.37	42.5117	0.859183
NM_001242526.1	2334	2077.37	513	11.9851
NM_001242527.1	1268	1011.37	718	34.4549
NM_001242542.1	1798	1541.37	472	14.8618
NM_001242544.1	937	680.394	1980	141.235
NM_001242554.1	1848	1591.37	288.728	8.80552
NM_001242555.1	2075	1818.37	272.886	7.28342
NM_001242556.1	1877	1620.37	182.99	5.48087
NM_001242557.1	1847	1590.37	0	0
NM_001242574.1	10144	9887.37	2170.48	10.654
NM_001242576.1	2969	2712.37	2.95095	0.0528019
NM_001242577.1	1283	1026.37	261	12.3417
NM_001242578.1	1330	1073.37	139.845	6.32318
NM_001242579.1	1701	1444.37	1758	59.0714
NM_001242656.1	1337	1080.37	23005.6	1033.47
NM_001242657.1	1242	985.37	3137.44	154.53
NM_001242958.1	1544	1287.37	5	0.188497
NM_001242959.1	1418	1161.37	1	0.0417894
NM_001242960.1	1536	1279.37	2	0.0758701
NM_001242961.1	1364	1107.37	5	0.219136
NM_001242962.1	1569	1312.37	5	0.184906
NM_001242963.1	1352	1095.37	13	0.575996
NM_001242964.1	1388	1131.37	2.97967	0.12782
NM_001242965.1	1354	1097.37	2	0.0884532
NM_001242966.1	1269	1012.37	7	0.33558
NM_001242967.1	1354	1097.37	0	0
NM_001242968.1	1396	1139.37	5	0.212982
NM_001242969.1	1242	985.37	0	0
NM_001242970.1	1355	1098.37	41.1162	1.81678
NM_001242971.1	1446	1189.37	10	0.408056
NM_001242972.1	1221	964.37	0	0
NM_001242973.1	1221	964.37	9	0.452935
NM_001242975.1	1227	970.37	1.95304	0.0976812
NM_001242976.1	1231	974.37	5	0.249048
NM_001242977.1	1221	964.37	2	0.100652
NM_001242978.1	1239	982.37	0	0
NM_001242980.1	1227	970.37	1	0.0500149
NM_001242981.1	1224	967.37	1	0.05017
NM_001242982.1	1230	973.37	0	0
NM_001242983.1	5482	5225.37	557.473	5.17778
NM_001242984.1	1194	937.37	0	0
NM_001242985.1	1293	1036.37	1	0.0468298
NM_001242986.1	1226	969.37	7	0.350466
NM_001242987.1	1176	919.37	2	0.105579
NM_001242988.1	1174	917.37	0	0
NM_001242989.1	1203	946.37	77	3.94881
NM_001242990.1	1092	835.37	0	0
NM_001242991.1	1092	835.37	0	0
NM_001242993.1	1574	1317.37	38	1.39995
NM_001242997.1	1195	938.37	112.834	5.83586
NM_001242998.1	1492	1235.37	3	0.117859
NM_001242999.1	2663	2406.37	22	0.443708
NM_001246251.2	2460	2203.37	6.71247	0.147854
NM_001246667.1	5073	4816.37	182.514	1.83913
NM_001252019.1	6272	6015.37	250.811	2.02358
NM_001252424.1	1575	1318.37	11.4263	0.420635
NM_001252426.1	1941	1684.37	0	0
NM_001252428.1	1113	856.37	12.5535	0.711441
NM_001252432.1	1008	751.37	0	0
NM_001256032.1	3561	3304.37	466.719	6.85494
NM_001256034.1	7969	7712.37	77.7076	0.489004
NM_001256035.1	4018	3761.37	170.499	2.19995
NM_001256037.1	10767	10510.4	804.014	3.71264
NM_001256038.1	2047	1790.37	282	7.6444
NM_001256039.1	6033	5776.37	85.4549	0.71799
NM_001256040.1	10114	9857.37	1062.63	5.23186
NM_001265585.1	1302	1045.37	0	0
NM_001270813.1	928	671.394	7631	551.621
NM_001270814.1	496	239.978	2414	488.205
NM_001270815.1	989	732.37	4	0.265074
NM_001270817.1	773	516.529	2	0.18792
NM_001270818.1	980	723.37	28	1.8786
NM_001270819.1	1615	1358.37	32	1.14332
NM_001270820.1	885	628.394	275	21.2392
NM_001270821.1	1558	1301.37	12	0.447525
NM_001270822.1	1840	1583.37	34	1.04216
NM_001270823.1	804	547.511	38	3.36843
NM_001270824.1	462	206.288	16	3.7643
NM_001270825.1	865	608.414	77.5627	6.18714
NM_001270826.1	1183	926.37	1	0.0523905
NM_001270827.1	1201	944.37	132	6.78373
NM_001270828.1	976	719.394	0	0
NM_001270829.1	1181	924.37	598	31.3973
NM_001270830.1	1123	866.37	1234	69.1271
NM_001270831.1	750	493.546	33	3.24507
NM_001270832.1	765	508.546	217.198	20.7282
NM_001270833.1	606	349.721	53.8021	7.46646
NM_001276427.1	1431	1174.37	40.5706	1.67665
NM_001277299.1	5618	5361.37	611	5.53098
NM_001277300.1	1954	1697.37	1046	29.9083
NM_001277301.1	7263	7006.37	1478	10.2381
NM_001278325.1	2201	1944.37	310.798	7.75776
NM_001278326.1	3007	2750.37	408.995	7.21711
NM_001278327.1	2360	2103.37	437.484	10.0945
NM_001278328.1	1954	1697.37	568.677	16.2602
NM_001278329.1	3778	3521.37	139.117	1.91737
NM_001278330.1	3672	3415.37	1082	15.3754
NM_001278331.1	6994	6737.37	417.537	3.00774
NM_001278333.1	1754	1497.37	929.927	30.1409
NM_001278334.1	2023	1766.37	250.154	6.87326
NM_001278335.1	6666	6409.37	1173.17	8.88344
NM_001278336.1	2762	2505.37	14.9695	0.289984
NM_001278338.1	2410	2153.37	24.054	0.542133
NM_001278679.1	2847	2590.37	539	10.0987
NM_001278680.1	597	340.732	49.6599	7.07343
NM_001278681.1	3437	3180.37	1711.2	26.1132
