target_id	length	eff_length	est_counts	tpm
Caust.v2_017682-RA	354	96.0573	278	112.936
Caust.v2_017684-RA	486	219.825	239	42.4266
Caust.v2_017683-RA	387	124.729	685	214.309
Caust.v2_017681-RA	1743	1475.2	1514	40.049
Caust.v2_014758-RA	216	30.4377	22	28.2051
Caust.v2_014750-RA	3774	3506.2	19	0.211463
Caust.v2_014755-RA	597	329.907	1	0.118284
Caust.v2_014749-RA	5652	5384.2	7.34402	0.0532268
Caust.v2_014757-RA	318	69.1281	1	0.564499
Caust.v2_018382-RA	1734	1466.2	686.314	18.2661
Caust.v2_018380-RA	7836	7568.2	0	0
Caust.v2_021948-RA	516	249.412	10	1.56459
Caust.v2_021016-RA	1929	1661.2	28.2429	0.663445
Caust.v2_016600-RA	291	53.1312	0	0
Caust.v2_016598-RA	1107	839.202	548.668	25.5129
Caust.v2_016597-RA	1311	1043.2	663.996	24.8379
Caust.v2_016598-RB	1107	839.202	548.668	25.5129
Caust.v2_016596-RA	414	149.955	126.554	32.933
Caust.v2_016599-RA	258	39.5059	22.5	22.2248
Caust.v2_016601-RA	294	54.7059	36.746	26.2116
Caust.v2_018332-RA	417	152.805	0	0
Caust.v2_018329-RA	3876	3608.2	13	0.140595
Caust.v2_021597-RA	216	30.4377	0	0
Caust.v2_019455-RA	2721	2453.2	102.066	1.62355
Caust.v2_017592-RA	1668	1400.2	1	0.0278693
Caust.v2_022015-RA	618	350.833	5.55033	0.617357
Caust.v2_016262-RA	3312	3044.2	1523	19.5229
Caust.v2_016260-RA	669	401.728	1	0.0971371
Caust.v2_016263-RA	6081	5813.2	1225	8.22315
Caust.v2_016261-RA	1890	1622.2	248.507	5.97793
Caust.v2_019468-RA	387	124.729	123	38.4818
Caust.v2_019469-RA	201	29.5277	0	0
Caust.v2_020610-RA	24	9.88889	0	0
Caust.v2_020609-RA	48	21.1667	57	105.085
Caust.v2_020608-RA	375	113.953	188	64.3796
Caust.v2_011685-RA	10707	10439.2	5	0.0186905
Caust.v2_011676-RA	561	294.05	0	0
Caust.v2_011674-RA	2949	2681.2	3081.19	44.8442
Caust.v2_011692-RA	954	686.288	29	1.64896
Caust.v2_011676-RC	756	488.639	349.5	27.9111
Caust.v2_011678-RA	1872	1604.2	7	0.170277
Caust.v2_011690-RA	1476	1208.2	23657	764.077
Caust.v2_011679-RA	549	282.108	6	0.829954
Caust.v2_011689-RA	294	54.7059	0	0
Caust.v2_011680-RA	1158	890.202	164	7.18907
Caust.v2_011675-RA	732	464.677	16.4449	1.38101
Caust.v2_011681-RA	195	29.1011	0	0
Caust.v2_011695-RA	2475	2207.2	533.743	9.43642
Caust.v2_011676-RB	756	488.639	349.5	27.9111
Caust.v2_020810-RA	3054	2786.2	9.1123	0.127624
Caust.v2_021644-RA	270	43.5745	645	577.624
Caust.v2_012697-RB	516	249.412	707	110.616
Caust.v2_012697-RA	975	707.246	236.824	13.0669
Caust.v2_012715-RA	723	455.677	0	0
Caust.v2_012703-RA	630	362.804	6	0.645351
Caust.v2_012700-RA	1116	848.202	3	0.138019
Caust.v2_012697-RC	516	249.412	707	110.616
Caust.v2_012697-RD	516	249.412	707	110.616
Caust.v2_012699-RA	582	314.971	10	1.23893
Caust.v2_012705-RA	744	476.658	16	1.30988
Caust.v2_020418-RA	1068	800.202	0	0
Caust.v2_010071-RA	561	294.05	44	5.83914
Caust.v2_010085-RA	753	485.649	170.211	13.6768
Caust.v2_010080-RA	4215	3947.2	167	1.65099
Caust.v2_010082-RA	1452	1184.2	13	0.428385
Caust.v2_010065-RA	1548	1280.2	506	15.4237
