target_id	length	eff_length	est_counts	tpm
Caust.v2_017682-RA	354	95.0301	262	83.8077
Caust.v2_017684-RA	486	219.592	138	19.1032
Caust.v2_017683-RA	387	124.098	576	141.092
Caust.v2_017681-RA	1743	1475.42	1317	27.134
Caust.v2_014758-RA	216	30.1324	7	7.06169
Caust.v2_014750-RA	3774	3506.42	16	0.138707
Caust.v2_014755-RA	597	329.951	3	0.276386
Caust.v2_014749-RA	5652	5384.42	31.4944	0.177802
Caust.v2_014757-RA	318	67.7743	4	1.79407
Caust.v2_018382-RA	1734	1466.42	425.769	8.8259
Caust.v2_018380-RA	7836	7568.42	6	0.0240985
Caust.v2_021948-RA	516	249.293	25	3.04841
Caust.v2_021016-RA	1929	1661.42	5.17629	0.0947071
Caust.v2_016600-RA	291	51.6712	2	1.17659
Caust.v2_016598-RA	1107	839.423	715	25.8922
Caust.v2_016597-RA	1311	1043.42	904.578	26.353
Caust.v2_016598-RB	1107	839.423	715	25.8922
Caust.v2_016596-RA	414	149.251	145.61	29.6564
Caust.v2_016599-RA	258	37.8644	32.5	26.0913
Caust.v2_016601-RA	294	53.1917	72.2665	41.2988
Caust.v2_018332-RA	417	152.075	0	0
Caust.v2_018329-RA	3876	3608.42	0	0
Caust.v2_021597-RA	216	30.1324	0	0
Caust.v2_019455-RA	2721	2453.42	72.7074	0.900845
Caust.v2_017592-RA	1668	1400.42	0	0
Caust.v2_022015-RA	618	350.915	4.45778	0.386154
Caust.v2_016262-RA	3312	3044.42	1254	12.5209
Caust.v2_016260-RA	669	401.867	2	0.151283
Caust.v2_016263-RA	6081	5813.42	1280	6.69302
Caust.v2_016261-RA	1890	1622.42	289.403	5.42228
Caust.v2_019468-RA	387	124.098	69	16.9017
Caust.v2_019469-RA	201	29.6957	0	0
Caust.v2_020610-RA	24	9.7	0	0
Caust.v2_020609-RA	48	17.6939	47	80.7456
Caust.v2_020608-RA	375	113.298	166	44.5381
Caust.v2_011685-RA	10707	10439.4	18	0.0524131
Caust.v2_011676-RA	561	294.045	0	0
Caust.v2_011674-RA	2949	2681.42	4386.58	49.7284
Caust.v2_011692-RA	954	686.484	75	3.32104
Caust.v2_011676-RC	756	488.669	357	22.2074
Caust.v2_011678-RA	1872	1604.42	14	0.265249
Caust.v2_011690-RA	1476	1208.42	25541	642.485
Caust.v2_011679-RA	549	282.063	3	0.32331
Caust.v2_011689-RA	294	53.1917	0	0
Caust.v2_011680-RA	1158	890.423	178	6.07669
Caust.v2_011675-RA	732	464.709	24.3328	1.59168
Caust.v2_011681-RA	195	29.8044	1	1.01991
Caust.v2_011695-RA	2475	2207.42	1343.72	18.5041
Caust.v2_011676-RB	756	488.669	357	22.2074
Caust.v2_020810-RA	3054	2786.42	19.7721	0.215699
Caust.v2_021644-RA	270	42.0092	786	568.751
Caust.v2_012697-RB	516	249.293	455.667	55.5623
Caust.v2_012697-RA	975	707.469	188.373	8.09384
Caust.v2_012715-RA	723	455.709	0	0
Caust.v2_012703-RA	630	362.892	2	0.167531
Caust.v2_012700-RA	1116	848.423	4	0.143315
Caust.v2_012697-RC	516	249.293	455.667	55.5623
Caust.v2_012697-RD	516	249.293	455.667	55.5623
Caust.v2_012699-RA	582	315.006	5	0.482498
Caust.v2_012705-RA	744	476.689	11	0.701457
Caust.v2_020418-RA	1068	800.423	0	0
Caust.v2_010071-RA	561	294.045	62	6.40947
Caust.v2_010085-RA	753	485.669	164.206	10.2776
Caust.v2_010080-RA	4215	3947.42	141	1.0858
Caust.v2_010082-RA	1452	1184.42	3	0.0769942
Caust.v2_010065-RA	1548	1280.42	485	11.5142
Caust.v2_010079-RC	2280	2012.42	321	4.84875
Caust.v2_010077-RA	873	605.54	980	49.1957
Caust.v2_010075-RA	1236	968.423	202.065	6.34264
Caust.v2_010076-RA	255	36.983	852	700.295
Caust.v2_010063-RA	1956	1688.42	252.248	4.5414
Caust.v2_010069-RA	1194	926.423	1183.94	38.8476
Caust.v2_010079-RA	2280	2012.42	321	4.84875
Caust.v2_010066-RA	2379	2111.42	2364	34.0342
Caust.v2_010079-RB	2280	2012.42	321	4.84875
Caust.v2_010067-RA	6006	5738.42	1946.44	10.3108
Caust.v2_010078-RA	762	494.669	272	16.7147
Caust.v2_010070-RA	1386	1118.42	510	13.8614
Caust.v2_010074-RA	798	530.647	18.9853	1.08757
Caust.v2_010068-RA	846	578.565	969	50.9115
Caust.v2_010067-RB	5664	5396.42	438.561	2.4704
Caust.v2_010069-RB	861	593.54	1103.5	56.5153
Caust.v2_010083-RA	405	140.741	0.563377	0.121681
Caust.v2_010072-RA	276	44.438	486	332.45
Caust.v2_010073-RA	3789	3521.42	216.632	1.87003
Caust.v2_010063-RB	543	276.093	71.7521	7.89994
Caust.v2_010069-RC	861	593.54	1103.5	56.5153
Caust.v2_022129-RA	606	338.93	2229.76	199.982
Caust.v2_021677-RA	450	184.143	0	0
Caust.v2_018144-RA	648	380.884	0	0
Caust.v2_018142-RA	1713	1445.42	136.858	2.87819
Caust.v2_019833-RA	261	38.7468	1158	908.483
Caust.v2_018616-RA	2406	2138.42	1722	24.4784
Caust.v2_018617-RA	1476	1208.42	409.548	10.3022
Caust.v2_019811-RA	822	554.601	4	0.219242
Caust.v2_008733-RA	2061	1793.42	1324	22.4414
Caust.v2_008711-RD	1050	782.423	2.66227	0.103432
Caust.v2_008716-RA	2760	2492.42	771	9.40322
Caust.v2_008718-RA	2004	1736.42	356	6.23216
Caust.v2_008713-RC	2985	2717.42	367.333	4.1091
Caust.v2_008713-RA	2985	2717.42	367.333	4.1091
Caust.v2_008727-RA	1377	1109.42	143	3.91816
Caust.v2_008715-RD	2157	1889.42	1142	18.373
Caust.v2_008723-RA	240	33.3922	49	44.6062
Caust.v2_008736-RA	2124	1856.42	92	1.50645
Caust.v2_008724-RA	1863	1595.42	383	7.29738
Caust.v2_008715-RC	2490	2222.42	171.667	2.34803
Caust.v2_008729-RB	2958	2690.42	6	0.0677914
Caust.v2_008729-RA	2958	2690.42	6	0.0677914
Caust.v2_008725-RA	237	32.7795	149	138.174
Caust.v2_008711-RC	1050	782.423	2.66227	0.103432
Caust.v2_008711-RA	1050	782.423	2.66227	0.103432
Caust.v2_008719-RA	1380	1112.42	77	2.10409
Caust.v2_008735-RA	4020	3752.42	1519	12.3052
Caust.v2_008713-RB	2985	2717.42	367.333	4.1091
Caust.v2_008732-RC	1548	1280.42	495.592	11.7656
Caust.v2_008712-RA	768	500.658	0	0
Caust.v2_008714-RA	1881	1613.42	1084	20.4232
Caust.v2_008717-RA	1497	1229.42	0	0
Caust.v2_008715-RE	2157	1889.42	1142	18.373
Caust.v2_008732-RA	1614	1346.42	371.704	8.39188
Caust.v2_008728-RA	201	29.6957	337	344.97
Caust.v2_008715-RA	2490	2222.42	171.667	2.34803
Caust.v2_008726-RA	486	219.592	254	35.1609
Caust.v2_008732-RB	1614	1346.42	371.704	8.39188
Caust.v2_008730-RA	3675	3407.42	51	0.454975
Caust.v2_008734-RA	1017	749.423	622	25.2294
Caust.v2_008715-RB	2490	2222.42	171.667	2.34803
Caust.v2_008731-RA	3294	3026.42	677	6.79991
Caust.v2_008711-RB	1050	782.423	2.66227	0.103432
Caust.v2_021760-RA	429	163.689	3	0.557116
Caust.v2_019966-RA	1950	1682.42	12.0395	0.217529
Caust.v2_012988-RA	24711	24443.4	4093	5.09007
Caust.v2_012982-RA	531	264.168	320.155	36.8404
Caust.v2_012987-RA	699	431.796	14	0.985583
Caust.v2_012986-RA	753	485.669	6	0.375539
Caust.v2_012993-RA	252	36.1806	0	0
Caust.v2_012983-RA	546	279.069	227.677	24.8
Caust.v2_012983-RB	525	258.202	18.1675	2.13884
Caust.v2_012990-RA	27609	27341.4	11773	13.0891
Caust.v2_012992-RA	507	240.356	59	7.46175
Caust.v2_012994-RA	1260	992.423	122.5	3.75217
Caust.v2_012985-RA	234	32.3345	4	3.76043
Caust.v2_018736-RA	333	78.3747	0	0
Caust.v2_018735-RA	207	29.756	0	0
Caust.v2_018737-RA	1107	839.423	9.07473	0.328622
Caust.v2_019969-RA	282	47.1032	0	0
Caust.v2_013216-RA	759	491.669	0	0
Caust.v2_013194-RA	1287	1019.42	0	0
Caust.v2_013207-RA	198	29.6424	14	14.3568
Caust.v2_013214-RA	555	288.057	66	6.96481
Caust.v2_013206-RA	1071	803.423	3053	115.512
Caust.v2_013217-RA	1884	1616.42	0	0
Caust.v2_013214-RB	1461	1193.42	121	3.08201
Caust.v2_013198-RA	495	228.496	88	11.7071
Caust.v2_013202-RA	174	30.3079	122	122.362
Caust.v2_013212-RA	198	29.6424	48	49.2234
Caust.v2_013196-RA	441	175.362	1	0.173344
Caust.v2_013210-RA	657	389.884	193	15.0475
Caust.v2_013208-RA	618	350.915	9	0.779622
Caust.v2_013199-RA	1128	860.423	2261.14	79.8839
Caust.v2_016495-RA	2208	1940.42	185	2.89814
Caust.v2_016494-RA	1767	1499.42	81	1.64212
Caust.v2_017092-RA	309	61.8624	31	15.2328
Caust.v2_017094-RA	2574	2306.42	340	4.48109
Caust.v2_017091-RA	867	599.54	700	35.4915
Caust.v2_017090-RB	681	413.85	166.642	12.2401
Caust.v2_017093-RA	1200	932.423	281	9.16088
Caust.v2_017090-RA	696	428.805	149.358	10.588
Caust.v2_018368-RA	963	695.484	2050.59	89.6261
Caust.v2_018368-RB	1881	1613.42	647.691	12.2029
Caust.v2_018721-RA	141	32.8106	278	257.558
