target_id	length	eff_length	est_counts	tpm
NM_001280889.2	1545	1284.69	24302.9	767.365
NM_001280894.1	1381	1120.69	6900.83	249.78
NM_001280899.1	999	738.685	10	0.549137
NM_001280901.1	942	681.685	0	0
NM_001280904.1	984	723.685	6	0.336311
NM_001280906.1	1638	1377.69	400.708	11.7983
NM_001280909.1	291	60.1107	301	203.121
NM_001280911.1	7738	7477.69	30303	164.384
NM_001280916.1	1360	1099.69	797.085	29.4019
NM_001280918.1	1638	1377.69	758.049	22.3196
NM_001280921.1	1476	1215.69	656	21.8888
NM_001280924.1	1251	990.685	146.247	5.98812
NM_001280926.1	1557	1296.69	2098	65.6313
NM_001280930.1	1683	1422.69	1969	56.1406
NM_001280933.1	1873	1612.69	17971	452.025
NM_001280936.1	1406	1145.69	1099	38.911
NM_001285398.1	1134	873.685	6750.15	313.4
NM_001286444.1	969	708.685	4421.29	253.067
NM_001287563.1	1107	846.685	203.461	9.74763
NM_001287565.1	1166	905.685	6.19195	0.277325
NM_001304440.1	5067	4806.69	264.982	2.2362
NM_001308306.1	3681	3420.69	531.346	6.30092
NM_001308307.1	2113	1852.69	1003	21.9603
NM_001331111.1	4730	4469.69	17	0.154281
NM_001353392.1	3997	3736.69	208.352	2.26178
XM_003392812.4	1315	1054.69	818	31.4608
XM_003392813.4	2070	1809.69	761	17.0577
XM_003392814.4	2620	2359.69	667	11.466
XM_003392815.4	953	692.685	2308	135.157
XM_003392816.4	2707	2446.69	818.584	13.5714
XM_003392817.4	2519	2258.69	1795.33	32.2426
XM_003392820.4	881	620.812	905.058	59.1366
XM_003392823.4	1322	1061.69	104.496	3.9925
XM_003392825.4	1052	791.685	3292.19	168.683
XM_003392827.4	663	402.855	4071	409.914
XM_003392828.4	733	472.812	4135.36	354.784
XM_003392829.4	601	340.93	3552.64	422.694
XM_003392833.3	518	258.078	4671	734.174
XM_003392834.4	3424	3163.69	891	11.4242
XM_003392835.4	1812	1551.69	1302	34.0367
XM_003392836.4	2565	2304.69	1805.93	31.7856
XM_003392837.4	3721	3460.69	1560.63	18.2927
XM_003392838.4	843	582.812	2094.56	145.782
XM_003392839.4	619	358.93	75.4411	8.52585
XM_003392840.4	1378	1117.69	630	22.8645
