target_id	length	eff_length	est_counts	tpm
Caust.v2_017684-RA	486	226.78	82	13.826
Caust.v2_017683-RA	387	130.397	538	157.762
Caust.v2_017681-RA	1743	1482.67	1175	30.3026
Caust.v2_014750-RA	3774	3513.67	16	0.174119
Caust.v2_018382-RA	1734	1473.67	178	4.61856
Caust.v2_018380-RA	7836	7575.67	5	0.0252369
Caust.v2_021948-RA	516	256.532	22	3.2792
Caust.v2_016598-RA	1107	846.671	780.5	35.2489
Caust.v2_016597-RA	1311	1050.67	1580.62	57.5239
Caust.v2_016598-RB	1107	846.671	780.5	35.2489
Caust.v2_016599-RA	258	38.852	9	8.85761
Caust.v2_016601-RA	294	56.282	24.516	16.6558
Caust.v2_018332-RA	417	158.977	0	0
Caust.v2_018329-RA	3876	3615.67	0	0
Caust.v2_019455-RA	2721	2460.67	130.565	2.0289
Caust.v2_017592-RA	1668	1407.67	0	0
Caust.v2_022015-RA	618	358.141	2.9148	0.311201
Caust.v2_016262-RA	3312	3051.67	1001	12.5425
Caust.v2_016260-RA	669	409.024	3	0.280453
Caust.v2_016263-RA	6081	5820.67	1500	9.85384
Caust.v2_016261-RA	1890	1629.67	263.97	6.19358
Caust.v2_020608-RA	375	119.361	237	75.9228
Caust.v2_011685-RA	10707	10446.7	3	0.0109807
Caust.v2_011676-RA	561	301.336	0	0
Caust.v2_011674-RA	2949	2688.67	4350.7	61.8741
Caust.v2_011692-RA	954	693.699	78.9204	4.35016
Caust.v2_011676-RC	756	495.841	430	33.1599
Caust.v2_011678-RA	1872	1611.67	8	0.189802
Caust.v2_011690-RA	1476	1215.67	7291	229.329
Caust.v2_011680-RA	1158	897.671	188	8.00807
Caust.v2_011695-RA	2475	2214.67	1968.18	33.9816
Caust.v2_011676-RB	756	495.841	430	33.1599
Caust.v2_012697-RB	516	256.532	263.667	39.3007
Caust.v2_012697-RA	975	714.671	53.5423	2.86469
Caust.v2_012700-RA	1116	855.671	9	0.402182
Caust.v2_012697-RC	516	256.532	263.667	39.3007
Caust.v2_012697-RD	516	256.532	263.667	39.3007
Caust.v2_012699-RA	582	322.272	19	2.25433
Caust.v2_012705-RA	744	483.851	8	0.632216
Caust.v2_020418-RA	1068	807.671	0	0
Caust.v2_010071-RA	561	301.336	103	13.0699
Caust.v2_010085-RA	753	492.851	301.574	23.3973
Caust.v2_010080-RA	4215	3954.67	157	1.51802
Caust.v2_010082-RA	1452	1191.67	4	0.128349
Caust.v2_010065-RA	1548	1287.67	696	20.6677
Caust.v2_010079-RC	2280	2019.67	282	5.33895
Caust.v2_010077-RA	873	612.794	1035	64.5822
Caust.v2_010075-RA	1236	975.671	139.453	5.46525
Caust.v2_010076-RA	255	37.8062	700	707.981
Caust.v2_010063-RA	1956	1695.67	411.821	9.28655
Caust.v2_010069-RA	1194	933.671	317.654	13.0091
Caust.v2_010079-RA	2280	2019.67	282	5.33895
Caust.v2_010066-RA	2379	2118.67	2658	47.971
Caust.v2_010079-RB	2280	2019.67	282	5.33895
Caust.v2_010067-RA	6006	5745.67	1881.62	12.5222
Caust.v2_010078-RA	762	501.841	376	28.649
Caust.v2_010070-RA	1386	1125.67	712	24.1855
Caust.v2_010068-RA	846	585.807	321	20.9526
Caust.v2_010067-RB	5664	5403.67	678.375	4.8003
Caust.v2_010069-RB	861	600.794	58	3.69138
Caust.v2_010083-RA	405	147.388	0.314773	0.0816622
Caust.v2_010073-RA	3789	3528.67	339.405	3.67786
Caust.v2_010063-RB	543	283.372	99.1785	13.3828
Caust.v2_010069-RC	861	600.794	58	3.69138
Caust.v2_022129-RA	606	346.177	1342.26	148.261
Caust.v2_018144-RA	648	388.065	0	0
Caust.v2_018142-RA	1713	1452.67	23.4209	0.616487
Caust.v2_018616-RA	2406	2145.67	1947	34.6968
Caust.v2_018617-RA	1476	1215.67	353.753	11.1268
Caust.v2_019811-RA	822	561.818	4	0.27224
Caust.v2_008733-RA	2061	1800.67	1587	33.7
Caust.v2_008711-RD	1050	789.671	3	0.145265
Caust.v2_008716-RA	2760	2499.67	933	14.272
Caust.v2_008718-RA	2004	1743.67	285	6.24982
Caust.v2_008713-RC	2985	2724.67	385	5.40299
Caust.v2_008713-RA	2985	2724.67	385	5.40299
Caust.v2_008727-RA	1377	1116.67	445	15.2378
Caust.v2_008715-RD	2157	1896.67	1013	20.4223
Caust.v2_008736-RA	2124	1863.67	85	1.74396
Caust.v2_008724-RA	1863	1602.67	514	12.2633
Caust.v2_008715-RC	2490	2229.67	194.667	3.3384
Caust.v2_008729-RB	2958	2697.67	3.5	0.0496097
Caust.v2_008729-RA	2958	2697.67	3.5	0.0496097
Caust.v2_008711-RC	1050	789.671	3	0.145265
Caust.v2_008711-RA	1050	789.671	3	0.145265
Caust.v2_008719-RA	1380	1119.67	34	1.16112
Caust.v2_008735-RA	4020	3759.67	2031	20.656
Caust.v2_008713-RB	2985	2724.67	385	5.40299
Caust.v2_008732-RC	1548	1287.67	309.247	9.18305
Caust.v2_008714-RA	1881	1620.67	1065	25.1271
Caust.v2_008717-RA	1497	1236.67	3	0.0927586
