target_id	length	eff_length	est_counts	tpm
XM_014742228.1	1554	1296.47	0	0
XM_014742229.1	6556	6298.47	65.8793	0.388816
XM_014742230.1	4471	4213.47	0	0
XM_014742231.1	4411	4153.47	23.7065	0.212172
XM_014742232.1	4408	4150.47	0	0
XM_014742233.1	4891	4633.47	122.544	0.98314
XM_014742234.1	4493	4235.47	29.0046	0.254563
XM_014742235.1	4485	4227.47	43.8248	0.385363
XM_014742236.1	3695	3437.47	47	0.508264
XM_014742237.1	1518	1260.47	0	0
XM_014742238.1	3386	3128.47	540.041	6.41689
XM_014742251.1	7242	6984.47	495.883	2.63922
XM_014742253.1	7131	6873.47	338.941	1.83307
XM_014742254.1	7168	6910.47	641.785	3.45233
XM_014742255.1	3032	2774.47	242.43	3.24815
XM_014742257.1	4261	4003.47	150.767	1.39991
XM_014742258.1	2579	2321.47	1036	16.5893
XM_014742259.1	2635	2377.47	914	14.291
XM_014742261.1	1661	1403.47	381	10.0914
XM_014742262.1	1886	1628.47	455.233	10.3916
XM_014742263.1	2997	2739.47	193	2.61891
XM_014742264.1	8489	8231.47	1355.07	6.11948
XM_014742265.1	6058	5800.47	249.213	1.59712
XM_014742266.1	7981	7723.47	184.423	0.88763
XM_014742267.1	8003	7745.47	22.6912	0.108903
XM_014742268.1	8071	7813.47	170.634	0.811804
XM_014742269.1	8038	7780.47	202.035	0.965276
XM_014742270.1	7972	7714.47	100.239	0.483016
XM_014742271.1	7966	7708.47	0	0
XM_014742272.1	1397	1139.47	0	0
XM_014742273.1	7858	7600.47	4.05517e-05	1.98335e-07
XM_014742274.1	7843	7585.47	0.000324664	1.59104e-06
XM_014742275.1	2899	2641.47	757.652	10.6624
XM_014742276.1	2982	2724.47	93.0887	1.27012
XM_014742277.1	3017	2759.47	209.642	2.82411
XM_014742278.1	2715	2457.47	540.618	8.17772
XM_014742279.1	4101	3843.47	366.046	3.54032
XM_014742280.1	3880	3622.47	0.00793359	8.14133e-05
XM_014742281.1	3871	3613.47	1.75249e-07	1.80286e-09
XM_014742282.1	3862	3604.47	45.0006	0.464095
XM_014742283.1	3853	3595.47	0.00107844	1.11499e-05
XM_014742284.1	3988	3730.47	0.27645	0.00275476
XM_014742285.1	4349	4091.47	235.905	2.14332
XM_014742286.1	3979	3721.47	0.111917	0.00111792
XM_014742287.1	4290	4032.47	1614	14.8786
XM_014742288.1	4341	4083.47	169.889	1.54656
XM_014742289.1	3970	3712.47	1024.74	10.2608
XM_014742290.1	3961	3703.47	449.067	4.50746
XM_014742292.1	2677	2419.47	1347	20.6956
XM_014742293.1	2670	2412.47	3832	59.0464
XM_014742294.1	2544	2286.47	5655.84	91.9521
XM_014742295.1	2486	2228.47	546.162	9.11056
XM_014742296.1	1436	1178.47	954	30.0926
XM_014742298.1	1299	1041.47	9590	342.296
XM_014742299.1	3917	3659.47	99.4076	1.00979
XM_014742300.1	1091	833.47	1144	51.023
XM_014742301.1	1315	1057.47	1130	39.7229
XM_014742302.1	6470	6212.47	50.7898	0.303908
