target_id	length	eff_length	est_counts	tpm
NM_001280889.2	1545	1281.95	22748.2	866.089
NM_001280894.1	1381	1117.95	14681.9	640.981
NM_001280909.1	291	55.235	58168	51399.1
NM_001280911.1	7738	7474.95	25585	167.056
NM_001280916.1	1360	1096.95	577.068	25.676
NM_001280918.1	1638	1374.95	580.95	20.6223
NM_001280921.1	1476	1212.95	519	20.8838
NM_001280924.1	1251	987.949	104.521	5.16361
NM_001280926.1	1557	1293.95	1111	41.9066
NM_001280933.1	1873	1609.95	10534	319.35
NM_001280936.1	1406	1142.95	730	31.1732
NM_001285398.1	1134	870.949	4041.45	226.48
NM_001286444.1	969	706.021	2772.46	191.661
NM_001287563.1	1107	843.949	77.7037	4.49377
NM_001304440.1	5067	4803.95	194.967	1.98084
NM_001308306.1	3681	3417.95	360.674	5.15033
NM_001308307.1	2113	1849.95	852	22.4784
NM_001331111.1	4730	4466.95	36	0.393348
XM_003392812.4	1315	1051.95	450	20.8787
XM_003392813.4	2070	1806.95	503	13.5865
XM_003392814.4	2620	2356.95	499	10.3332
XM_003392815.4	953	690.021	1507	106.595
XM_003392816.4	2707	2443.95	561.772	11.219
XM_003392817.4	2519	2255.95	1532.16	33.1483
XM_003392820.4	881	618.278	897.435	70.8443
XM_003392823.4	1322	1058.95	42.8653	1.97568
XM_003392825.4	1052	788.949	2472.88	152.982
XM_003392827.4	663	400.326	2995	365.147
XM_003392828.4	733	470.326	2795.63	290.112
XM_003392829.4	601	338.436	2590.37	373.569
XM_003392833.3	518	255.598	3466	661.846
XM_003392834.4	3424	3160.95	645	9.95928
XM_003392835.4	1812	1548.95	698	21.994
XM_003392836.4	2565	2301.95	1386.89	29.4058
XM_003392838.4	843	580.278	1433.98	120.612
XM_003392839.4	619	356.436	256.022	35.0575
XM_003392840.4	1378	1114.95	585	25.6086
XM_003392841.4	3696	3432.95	289.051	4.10954
XM_003392844.4	5548	5284.95	0	0
XM_003392845.4	1516	1252.95	2843	110.746
XM_003392849.4	4893	4629.95	39.735	0.418874
XM_003392850.4	2892	2628.95	21974	407.955
XM_003392854.4	8415	8151.95	391	2.341
XM_003392855.4	2753	2489.95	207.129	4.0601
XM_003392856.4	17877	17613.9	98	0.271553
XM_003392877.4	8284	8020.95	0	0
XM_003392880.4	1406	1142.95	7844.03	334.964
XM_003392883.4	2861	2597.95	387	7.27053
XM_003392884.4	2186	1922.95	1192	30.2548
XM_003392885.4	720	457.326	160.562	17.1357
XM_003392887.4	4596	4332.95	3274.06	36.8798
XM_003392890.4	3508	3244.95	349.573	5.25794
XM_003392894.4	1287	1023.95	3324.22	158.452
XM_003392895.4	771	508.278	1029	98.8098
XM_003392896.4	3301	3037.95	502	8.06508
XM_003392897.4	627	364.364	9193	1231.42
XM_003392899.4	1955	1691.95	501	14.4523
XM_003392903.4	1132	868.949	1560.78	87.6663
XM_003392904.4	7180	6916.95	190.903	1.34705
XM_003392906.4	3855	3591.95	142.255	1.93297
XM_003392907.4	1803	1539.95	6027	191.021
XM_003392909.4	3367	3103.95	3316	52.1418
XM_003392911.4	5721	5457.95	11.0934	0.0992023
XM_003392912.3	9120	8856.95	13.0942	0.0721574
XM_003392913.4	3649	3385.95	22671.8	326.807
XM_003392915.4	1934	1670.95	391.435	11.4336
XM_003392916.4	497	234.743	10.5074	2.18467
XM_003392917.4	551	288.436	9.44785	1.59871
XM_003392920.4	476	213.991	5	1.14041
XM_003392921.4	1428	1164.95	14.5522	0.609686
XM_003392922.4	427	165.948	36.4926	10.7329
XM_003392929.3	935	672.021	246	17.8664
XM_003392930.4	819	556.278	804	70.5424
XM_003392931.4	4325	4061.95	3142.77	37.7627
XM_003392932.4	14091	13827.9	2227.9	7.86365
XM_003392933.4	1515	1251.95	277	10.7989
XM_003392935.4	1401	1137.95	184	7.89188
XM_003392936.4	9199	8935.95	141.77	0.774333
XM_003392937.4	860	597.278	1900	155.261
XM_003392939.4	1049	785.949	225.028	13.9742
XM_003392940.4	872	609.278	201.053	16.1058
XM_003392941.4	1142	878.949	1086.9	60.3549
XM_003392944.3	1950	1686.95	456	13.1932
XM_003392945.4	834	571.278	997	85.1792
XM_003392946.4	752	489.278	401	40.0013
XM_003392947.4	1144	880.949	193	10.6928
XM_003392950.4	2610	2346.95	108	2.24598
XM_003392951.4	1370	1106.95	1115	49.1624
XM_003392954.4	2305	2041.95	2895.33	69.2053
XM_003392957.3	1899	1635.95	0	0
XM_003392958.4	1422	1158.95	231	9.72822
XM_003392959.4	1544	1280.95	109.978	4.19045
XM_003392960.4	1317	1053.95	22.1925	1.02771
