target_id	length	eff_length	est_counts	tpm
NM_001280889.2	1545	1284.88	18933.5	806.403
NM_001280894.1	1381	1120.88	4105.65	200.451
NM_001280899.1	999	738.881	5	0.370323
NM_001280901.1	942	682.024	0	0
NM_001280904.1	984	723.954	5	0.377958
NM_001280909.1	291	57.9339	100	94.4608
NM_001280911.1	7738	7477.88	30262	221.464
NM_001280916.1	1360	1099.88	542.768	27.0056
NM_001280918.1	1638	1377.88	661.512	26.2731
NM_001280921.1	1476	1215.88	747	33.6213
NM_001280924.1	1251	990.881	94.5869	5.22389
NM_001280926.1	1557	1296.88	2402	101.358
NM_001280933.1	1873	1612.88	14058	476.985
NM_001280936.1	1406	1145.88	1021	48.7608
NM_001285398.1	1134	873.881	5310.65	332.568
NM_001286444.1	969	708.954	3293.01	254.191
NM_001287563.1	1107	846.881	82.3316	5.32021
NM_001287565.1	1166	905.881	10.5926	0.639905
NM_001304440.1	5067	4806.88	217.46	2.47572
NM_001308306.1	3681	3420.88	506.246	8.09857
NM_001308307.1	2113	1852.88	994	29.3578
NM_001331111.1	4730	4469.88	9	0.110187
NM_001353392.1	3997	3736.88	169.244	2.4785
XM_003392812.4	1315	1054.88	646	33.513
XM_003392813.4	2070	1809.88	546	16.5093
XM_003392814.4	2620	2359.88	535	12.4065
XM_003392815.4	953	693.024	1783	140.795
XM_003392816.4	2707	2446.88	558.962	12.5013
XM_003392817.4	2519	2258.88	1641.84	39.776
XM_003392820.4	881	621.09	638.774	56.283
XM_003392823.4	1322	1061.88	90.9292	4.68611
XM_003392825.4	1052	791.881	2384.06	164.756
XM_003392827.4	663	403.09	3139	426.162
XM_003392828.4	733	473.09	2969.9	343.545
XM_003392829.4	601	341.203	2316.1	371.474
XM_003392833.3	518	258.563	3666	775.909
XM_003392834.4	3424	3163.88	741	12.8169
XM_003392835.4	1812	1551.88	988	34.8404
XM_003392836.4	2565	2304.88	1592.19	37.8035
XM_003392838.4	843	583.09	1511.1	141.822
XM_003392839.4	619	359.169	134.9	20.5541
XM_003392840.4	1378	1117.88	602	29.4704
XM_003392841.4	3696	3435.88	233.786	3.72362
XM_003392844.4	5548	5287.88	0	0
XM_003392845.4	1516	1255.88	2851	124.232
XM_003392846.4	2989	2728.88	599	12.0123
XM_003392849.4	4893	4632.88	64.3208	0.759775
XM_003392850.4	2892	2631.88	25037	520.596
XM_003392854.4	8415	8154.88	374	2.5098
