target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1002.83	47898	2327.53
NM_001011562.1	863	614.854	213.41	16.9141
NM_001011563.1	2084	1835.83	2182	57.9199
NM_001011565.1	3023	2774.83	174.054	3.0567
NM_001011566.1	1503	1254.83	0	0
NM_001011568.1	2077	1828.83	31.5045	0.839469
NM_001011570.1	582	334.2	8996	1311.74
NM_001011571.1	2093	1844.83	15.2831	0.403701
NM_001011572.1	2346	2097.83	83729	1944.96
NM_001011574.1	1940	1691.83	273	7.86341
NM_001011575.1	2163	1914.83	96.0792	2.44514
NM_001011576.1	1195	946.834	265	13.6389
NM_001011577.1	2389	2140.83	1403.35	31.944
NM_001011578.1	5441	5192.83	2081	19.5287
NM_001011581.1	2439	2190.83	1.75243	0.0389797
NM_001011583.2	635	387.069	239017	30091.7
NM_001011584.1	1606	1357.83	1056.14	37.9036
NM_001011585.1	1638	1389.83	190.854	6.69184
NM_001011586.1	2205	1956.83	0	0
NM_001011587.1	496	248.34	0	0
NM_001011588.1	724	475.943	64	6.55287
NM_001011590.1	574	326.244	5	0.74685
NM_001011592.1	1590	1341.83	6240.34	226.629
NM_001011593.1	548	300.287	0	0
NM_001011594.1	4195	3946.83	7.54504	0.0931577
NM_001011595.1	2818	2569.83	105.903	2.00821
NM_001011596.1	4100	3851.83	659.361	8.34185
NM_001011597.1	2673	2424.83	116.102	2.33327
NM_001011598.1	1624	1375.83	15414	545.953
NM_001011600.1	2052	1803.83	513	13.8588
NM_001011602.1	2795	2546.83	531	10.1601
NM_001011603.1	1683	1434.83	1762.75	59.868
NM_001011604.3	685	437.003	5675.49	632.886
NM_001011605.1	1448	1199.83	507	20.5917
NM_001011606.1	1757	1508.83	6	0.193783
NM_001011608.1	1873	1624.83	461	13.8261
NM_001011614.1	688	439.974	25891	2867.66
NM_001011616.2	680	432.003	65552	7394.44
NM_001011620.1	957	708.834	5.20506	0.357839
NM_001011623.1	3376	3127.83	0	0
NM_001011624.1	4969	4720.83	59.4538	0.613715
NM_001011625.2	1940	1691.83	0	0
NM_001011626.2	755	506.911	2730.19	262.462
NM_001011627.1	2520	2271.83	1708	36.6368
NM_001011628.2	1386	1137.83	1008.46	43.1901
NM_001011629.1	14440	14191.8	1197.6	4.11226
NM_001011630.1	630	382.069	1928.17	245.929
NM_001011631.1	1741	1492.83	23.6882	0.773262
NM_001011632.2	2009	1760.83	7.46629	0.20663
NM_001011633.1	1533	1284.83	3305.28	125.362
NM_001011634.2	3754	3505.83	272.021	3.78109
NM_001011635.1	1447	1198.83	303	12.3166
NM_001011636.1	570	322.277	2087	315.573
NM_001011637.1	1369	1120.83	5.87775	0.25555
NM_001011639.2	1806	1557.83	8	0.250251
NM_001011641.1	970	721.834	301.723	20.3693
NM_001011643.1	2378	2129.83	109.767	2.51149
NM_001011644.2	1200	951.834	78.408	4.01426
NM_001011650.1	2242	1993.83	14	0.342173
NM_001011652.2	969	720.834	101	6.82798
NM_001011653.2	898	649.834	89.3321	6.69903
NM_001011654.2	749	500.911	515.545	50.1548
NM_001012429.1	672	424.003	1146.75	131.798
NM_001012962.1	3606	3357.83	96	1.39322
NM_001012963.1	502	254.34	2	0.383197
NM_001013006.1	2991	2742.83	1.63191	0.0289937
NM_001013359.2	1964	1715.83	1608.89	45.6939
NM_001013361.1	4113	3864.83	493	6.21616
NM_001014983.1	3250	3001.83	2	0.0324675
NM_001014991.1	7242	6993.83	245.586	1.71118
NM_001014992.2	2498	2249.83	576.415	12.4851
NM_001014993.1	1386	1137.83	6.36536	0.272615
