target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1000.37	36890	1803.01
NM_001011562.1	863	612.369	187.333	14.9572
NM_001011563.1	2084	1833.37	2207	58.8574
NM_001011564.2	1326	1075.37	665	30.2352
NM_001011565.1	3023	2772.37	233.103	4.11099
NM_001011566.1	1503	1252.37	0	0
NM_001011568.1	2077	1826.37	21.4985	0.57553
NM_001011570.1	582	331.698	4772	703.408
NM_001011571.1	2093	1842.37	9.28048	0.246288
NM_001011572.1	2346	2095.37	110880	2587.27
NM_001011574.1	1940	1689.37	93	2.69158
NM_001011575.1	2163	1912.37	118.768	3.03653
NM_001011576.1	1195	944.369	142	7.35183
NM_001011577.1	2389	2138.37	1232.75	28.1865
NM_001011578.1	5441	5190.37	1992	18.7646
NM_001011579.1	1430	1179.37	124	5.14068
NM_001011580.1	1544	1293.37	11.6954	0.442119
NM_001011581.1	2439	2188.37	0	0
NM_001011583.2	635	384.616	236781	30100.1
NM_001011584.1	1606	1355.37	563.183	20.3161
NM_001011585.1	1638	1387.37	110.333	3.88833
NM_001011586.1	2205	1954.37	8.02948	0.200877
NM_001011587.1	496	245.862	0	0
NM_001011588.1	724	473.422	44	4.54416
NM_001011590.1	574	323.774	452	68.2568
NM_001011592.1	1590	1339.37	4362.99	159.27
NM_001011593.1	548	297.784	0	0
NM_001011594.1	4195	3944.37	18.2179	0.225824
NM_001011595.1	2818	2567.37	72.8026	1.38646
NM_001011596.1	4100	3849.37	694.382	8.81978
NM_001011597.1	2673	2422.37	105	2.11933
NM_001011598.1	1624	1373.37	9063	322.651
NM_001011599.1	1942	1691.37	9.83413	0.28428
NM_001011600.1	2052	1801.37	222	6.02558
NM_001011601.1	1830	1579.37	19	0.588192
NM_001011602.1	2795	2544.37	843	16.1993
NM_001011603.1	1683	1432.37	1674.15	57.1462
NM_001011604.3	685	434.452	9454.63	1064.02
NM_001011605.1	1448	1197.37	478	19.5186
NM_001011606.1	1757	1506.37	8	0.259661
NM_001011608.1	1873	1622.37	866	26.0986
NM_001011610.1	1612	1361.37	32.5324	1.16839
NM_001011614.1	688	437.452	24443	2731.95
NM_001011616.2	680	429.495	63275	7203.16
NM_001011619.1	1559	1308.37	387.553	14.4827
NM_001011620.1	957	706.369	4.2958	0.297345
NM_001011621.1	3254	3003.37	7.22184	0.117568
NM_001011622.1	1529	1278.37	27	1.03266
NM_001011623.1	3376	3125.37	0	0
NM_001011624.1	4969	4718.37	75.976	0.787288
NM_001011625.2	1940	1689.37	0	0
NM_001011626.2	755	504.406	3186.99	308.923
NM_001011627.1	2520	2269.37	1183	25.4876
NM_001011628.2	1386	1135.37	1113.06	47.9327
NM_001011629.1	14440	14189.4	2363.53	8.14418
NM_001011630.1	630	379.616	1438.27	185.244
NM_001011631.1	1741	1490.37	38.8299	1.27386
NM_001011632.2	2009	1758.37	0	0
NM_001011633.1	1533	1282.37	314.776	12.0015
NM_001011634.2	3754	3503.37	40.6815	0.567754
NM_001011635.1	1447	1196.37	447	18.268
NM_001011636.1	570	319.774	3506	536.066
NM_001011637.1	1369	1118.37	20.2391	0.88482
NM_001011639.2	1806	1555.37	4	0.125741
NM_001011641.1	970	719.369	211.372	14.3663
NM_001011643.1	2378	2127.37	69.3182	1.59314
NM_001011644.2	1200	949.369	61.3035	3.15718
NM_001011650.1	2242	1991.37	21	0.515604
NM_001011652.2	969	718.369	124	8.43962
NM_001011653.2	898	647.369	89.2231	6.73867
NM_001011654.2	749	498.406	738.894	72.4849
NM_001012429.1	672	421.523	1092.36	126.705
NM_001012962.1	3606	3355.37	76	1.10745
NM_001012963.1	502	251.837	0	0
NM_001013006.1	2991	2740.37	33.8038	0.603122
NM_001013359.2	1964	1713.37	340.576	9.7188
NM_001013361.1	4113	3862.37	625	7.9118
NM_001014429.1	1427	1176.37	1348	56.0267
NM_001014430.1	438	188.385	2.66854	0.69259
NM_001014983.1	3250	2999.37	0	0
NM_001014991.1	7242	6991.37	591.379	4.13573
NM_001014992.2	2498	2247.37	663.217	14.4288
NM_001014993.1	1386	1135.37	3832.47	165.041
NM_001014994.1	1892	1641.37	1457.65	43.4205
NM_001024697.1	1793	1542.37	1333	42.2562
NM_001037318.2	2515	2264.37	4.44561	0.0959916
NM_001039968.1	1349	1098.37	12.5284	0.557692
NM_001040204.1	793	542.389	111.425	10.0443
NM_001040225.1	407	158.057	23.1533	7.16225
NM_001040226.1	432	182.503	129	34.5597
NM_001040230.1	13107	12856.4	142.338	0.541315
NM_001040231.1	363	116.745	0	0
NM_001040233.1	1647	1396.37	57108.8	1999.64
NM_001040235.2	6077	5826.37	0	0
NM_001040236.1	1767	1516.37	95601	3082.52
NM_001040237.1	5107	4856.37	806.113	8.11583
NM_001040256.1	767	516.389	349.235	33.0666
NM_001040258.1	1250	999.369	15583.4	762.405
NM_001040259.1	1743	1492.37	160642	5262.98
NM_001040262.2	438	188.385	24	6.22893
NM_001040264.1	1600	1349.37	239	8.65996
NM_001040265.1	1689	1438.37	207.124	7.04058
NM_001040266.2	1599	1348.37	0	0
NM_001040267.1	1895	1644.37	216.677	6.44261
NM_001040269.1	1397	1146.37	2.78926	0.118963
NM_001040277.1	2150	1899.37	31.611	0.813726
NM_001042458.1	1737	1486.37	329.655	10.8438
NM_001042460.1	1794	1543.37	196.124	6.21311
NM_001077808.1	5328	5077.37	83.9305	0.808221
