target_id	length	eff_length	est_counts	tpm
Caust.v2_017684-RA	486	227.818	293	50.2444
Caust.v2_017683-RA	387	131.851	708	209.777
Caust.v2_017681-RA	1743	1483.49	1263	33.2605
Caust.v2_014750-RA	3774	3514.49	21	0.233435
Caust.v2_018382-RA	1734	1474.49	561	14.8638
Caust.v2_018380-RA	7836	7576.49	4	0.0206253
Caust.v2_021948-RA	516	257.514	8	1.21366
Caust.v2_016598-RA	1107	847.486	572	26.3677
Caust.v2_016597-RA	1311	1051.49	1066.75	39.634
Caust.v2_016598-RB	1107	847.486	572	26.3677
Caust.v2_016599-RA	258	41.4923	16.5	15.5355
Caust.v2_016601-RA	294	58.5165	35.7469	23.8654
Caust.v2_018332-RA	417	160.188	0	0
Caust.v2_018329-RA	3876	3616.49	9.90973e-07	1.07049e-08
Caust.v2_019455-RA	2721	2461.49	140.698	2.23305
Caust.v2_017592-RA	1668	1408.49	0	0
Caust.v2_022015-RA	618	359.112	7.12221	0.774807
Caust.v2_016262-RA	3312	3052.49	1099	14.0654
Caust.v2_016260-RA	669	410.018	2	0.190562
Caust.v2_016263-RA	6081	5821.49	1342	9.0059
Caust.v2_016261-RA	1890	1630.49	276.048	6.61417
Caust.v2_020608-RA	375	120.726	169	54.6883
Caust.v2_011685-RA	10707	10447.5	8	0.0299148
Caust.v2_011676-RA	561	302.262	0	0
Caust.v2_011674-RA	2949	2689.49	4549.02	66.078
Caust.v2_011692-RA	954	694.59	76	4.27458
Caust.v2_011676-RC	756	496.808	364.5	28.6627
Caust.v2_011678-RA	1872	1612.49	1.67476	0.0405757
Caust.v2_011690-RA	1476	1216.49	31371	1007.46
Caust.v2_011680-RA	1158	898.486	245	10.6528
Caust.v2_011695-RA	2475	2215.49	1077.9	19.0072
Caust.v2_011676-RB	756	496.808	364.5	28.6627
Caust.v2_012697-RB	516	257.514	370.667	56.2329
Caust.v2_012697-RA	975	715.59	121.466	6.6313
Caust.v2_012700-RA	1116	856.486	2	0.0912259
Caust.v2_012697-RC	516	257.514	370.667	56.2329
Caust.v2_012697-RD	516	257.514	370.667	56.2329
Caust.v2_012699-RA	582	323.153	1	0.120893
Caust.v2_012705-RA	744	484.878	0	0
Caust.v2_020418-RA	1068	808.486	0	0
Caust.v2_010071-RA	561	302.262	55	7.10867
Caust.v2_010085-RA	753	493.828	124	9.80967
Caust.v2_010080-RA	4215	3955.49	165	1.62964
Caust.v2_010082-RA	1452	1192.49	4	0.131043
Caust.v2_010065-RA	1548	1288.49	453	13.7349
Caust.v2_010079-RC	2280	2020.49	254.667	4.92408
Caust.v2_010077-RA	873	613.711	764	48.6338
Caust.v2_010075-RA	1236	976.486	215.189	8.60921
Caust.v2_010076-RA	255	40.4787	565	545.294
Caust.v2_010063-RA	1956	1696.49	287.122	6.61187
Caust.v2_010069-RA	1194	934.486	658.685	27.5368
Caust.v2_010079-RA	2280	2020.49	254.667	4.92408
Caust.v2_010066-RA	2379	2119.49	2004	36.9382
Caust.v2_010079-RB	2280	2020.49	254.667	4.92408
Caust.v2_010067-RA	6006	5746.49	2255.31	15.3325
Caust.v2_010078-RA	762	502.798	229	17.7931
Caust.v2_010070-RA	1386	1126.49	527	18.2765
Caust.v2_010068-RA	846	586.711	1399	93.1541
Caust.v2_010067-RB	5664	5404.49	53.6929	0.388125
Caust.v2_010069-RB	861	601.711	304	19.7376
Caust.v2_010083-RA	405	148.78	3.84612	1.00992
Caust.v2_010073-RA	3789	3529.49	240.834	2.66572
Caust.v2_010063-RB	543	284.332	69.8781	9.60115
Caust.v2_010069-RC	861	601.711	304	19.7376
Caust.v2_022129-RA	606	347.119	1861.54	209.509
Caust.v2_018144-RA	648	389.051	3	0.301248
Caust.v2_018142-RA	1713	1453.49	59.6988	1.60459
Caust.v2_018616-RA	2406	2146.49	1555	28.3016
Caust.v2_018617-RA	1476	1216.49	478.461	15.3655
Caust.v2_019811-RA	822	562.734	3	0.20827
Caust.v2_008733-RA	2061	1801.49	1103	23.9196
Caust.v2_008711-RD	1050	790.486	4.5	0.222396
Caust.v2_008716-RA	2760	2500.49	747	11.6709
Caust.v2_008718-RA	2004	1744.49	246	5.50904
Caust.v2_008713-RC	2985	2725.49	386	5.53289
Caust.v2_008713-RA	2985	2725.49	386	5.53289
Caust.v2_008727-RA	1377	1117.49	237	8.28542
Caust.v2_008715-RD	2157	1897.49	1007	20.7329
Caust.v2_008736-RA	2124	1864.49	119	2.49342
Caust.v2_008724-RA	1863	1603.49	421	10.2571
Caust.v2_008715-RC	2490	2230.49	137.333	2.40539
Caust.v2_008729-RB	2958	2698.49	10.5	0.152012
Caust.v2_008729-RA	2958	2698.49	10.5	0.152012
Caust.v2_008711-RC	1050	790.486	4.5	0.222396
Caust.v2_008711-RA	1050	790.486	4.5	0.222396
Caust.v2_008719-RA	1380	1120.49	52	1.81303
Caust.v2_008735-RA	4020	3760.49	1559	16.1961
Caust.v2_008713-RB	2985	2725.49	386	5.53289
Caust.v2_008732-RC	1548	1288.49	404.211	12.2557
Caust.v2_008714-RA	1881	1621.49	1151	27.7313
Caust.v2_008717-RA	1497	1237.49	1	0.0315695
Caust.v2_008715-RE	2157	1897.49	1007	20.7329
Caust.v2_008732-RA	1614	1354.49	292.395	8.43341
Caust.v2_008715-RA	2490	2230.49	137.333	2.40539
Caust.v2_008726-RA	486	227.818	261	44.757
Caust.v2_008732-RB	1614	1354.49	292.395	8.43341
Caust.v2_008730-RA	3675	3415.49	63	0.720604
