target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	999.439	26404	1782.63
NM_001011562.1	863	611.572	79.3865	8.75885
NM_001011563.1	2084	1832.44	1734	63.8511
NM_001011565.1	3023	2771.44	122.247	2.97633
NM_001011566.1	1503	1251.44	35.3385	1.9054
NM_001011567.1	4030	3778.44	1.279	0.0228406
NM_001011568.1	2077	1825.44	8.6975	0.321496
NM_001011570.1	582	330.744	6131	1250.8
NM_001011571.1	2093	1841.44	14.4907	0.530983
NM_001011572.1	2346	2094.44	55550	1789.64
NM_001011573.1	3160	2908.44	0	0
NM_001011574.1	1940	1688.44	78	3.11715
NM_001011575.1	2163	1911.44	93.1582	3.28859
NM_001011576.1	1195	943.439	170.317	12.1813
NM_001011577.1	2389	2137.44	929.422	29.3405
NM_001011578.1	5441	5189.44	636	8.26961
NM_001011581.1	2439	2187.44	3.35983	0.103641
NM_001011583.2	635	383.71	132916	23373.5
NM_001011584.1	1606	1354.44	143.941	7.1709
NM_001011585.1	1638	1386.44	151.882	7.39188
NM_001011586.1	2205	1953.44	0	0
NM_001011587.1	496	244.963	0	0
NM_001011588.1	724	472.683	7	0.999256
NM_001011589.1	624	372.71	288	52.1399
NM_001011590.1	574	322.755	1	0.209062
NM_001011591.1	584	332.744	0	0
NM_001011592.1	1590	1338.44	3181.4	160.387
NM_001011593.1	548	296.797	0	0
NM_001011594.1	4195	3943.44	42.8387	0.733009
NM_001011595.1	2818	2566.44	64.3509	1.69189
NM_001011596.1	4100	3848.44	268.994	4.71635
NM_001011597.1	2673	2421.44	59.9413	1.67032
NM_001011598.1	1624	1372.44	6013	295.629
NM_001011600.1	2052	1800.44	301	11.2807
NM_001011602.1	2795	2543.44	591	15.6789
NM_001011603.1	1683	1431.44	958.391	45.1771
NM_001011604.3	685	433.683	4.79264	0.745678
NM_001011605.1	1448	1196.44	521	29.383
NM_001011606.1	1757	1505.44	3	0.134464
NM_001011608.1	1873	1621.44	283	11.777
