target_id	length	eff_length	est_counts	tpm
NM_001280889.2	1545	1288.19	14368.5	591.349
NM_001280894.1	1381	1124.19	3979.99	187.695
NM_001280909.1	291	58.7484	21505	19406.9
NM_001280911.1	7738	7481.19	21899	155.191
NM_001280916.1	1360	1103.19	529.183	25.4312
NM_001280918.1	1638	1381.19	565.295	21.6987
NM_001280921.1	1476	1219.19	1497	65.0971
NM_001280924.1	1251	994.195	125.357	6.68481
NM_001280933.1	1873	1616.19	13047	427.986
NM_001280936.1	1406	1149.19	1138	52.5003
NM_001285398.1	1134	877.195	3883.57	234.719
NM_001286444.1	969	712.195	1832.95	136.447
NM_001287563.1	1107	850.195	196.186	12.2338
NM_001304440.1	5067	4810.19	235.376	2.59425
NM_001308306.1	3681	3424.19	562.129	8.70343
NM_001308307.1	2113	1856.19	901	25.7344
NM_001331111.1	4730	4473.19	7	0.0829647
XM_003392813.4	2070	1813.19	635	18.567
XM_003392814.4	2620	2363.19	665	14.9188
XM_003392816.4	2707	2450.19	808.564	17.4955
XM_003392817.4	2519	2262.19	2183.33	51.1684
XM_003392820.4	881	624.195	848.038	72.0291
XM_003392825.4	1052	795.195	3216.86	214.473
XM_003392827.4	663	406.195	3488	455.255
XM_003392828.4	733	476.195	2304.32	256.549
XM_003392829.4	601	344.231	1645.68	253.46
XM_003392833.3	518	261.317	2988	606.214
XM_003392834.4	3424	3167.19	1075	17.9948
XM_003392835.4	1812	1555.19	1080	36.8173
XM_003392838.4	843	586.195	1410.76	127.592
XM_003392839.4	619	362.231	201.239	29.4536
XM_003392840.4	1378	1121.19	831	39.2946
XM_003392844.4	5548	5291.19	0	0
XM_003392845.4	1516	1259.19	2582	108.712
XM_003392849.4	4893	4636.19	79.6768	0.911136
XM_003392850.4	2892	2635.19	27815	559.602
XM_003392854.4	8415	8158.19	443	2.87887
XM_003392855.4	2753	2496.19	241.191	5.12267
XM_003392877.4	8284	8027.19	89.5179	0.591234
XM_003392880.4	1406	1149.19	7361.92	339.633
XM_003392883.4	2861	2604.19	434	8.83546
XM_003392884.4	2186	1929.19	1374	37.7593
XM_003392885.4	720	463.195	109.491	12.5322
XM_003392887.4	4596	4339.19	4817.97	58.8664
