Orthogroup	Species	GeneID
OG0000001	Amel	LOC102654074
OG0000001	Amel	LOC107965761
OG0000001	Amel	LOC102655218
OG0000001	Amel	LOC724673
OG0000001	Amel	LOC107965760
OG0000002	Amel	Or35
OG0000002	Amel	Or51
OG0000002	Amel	Or52
OG0000002	Amel	Or53
OG0000002	Amel	Or56
OG0000002	Amel	Or57
OG0000002	Amel	Or58
OG0000002	Amel	LOC102653703
OG0000002	Amel	LOC102653637
OG0000002	Amel	LOC102655435
OG0000002	Amel	LOC102656907
OG0000002	Amel	Or55
OG0000003	Amel	LOC113218652
OG0000009	Amel	LOC408453
OG0000009	Amel	LOC410492
OG0000009	Amel	LOC725621
OG0000009	Amel	LOC408452
OG0000011	Amel	LOC100578685
OG0000011	Amel	LOC107965436
OG0000011	Amel	LOC100578751
OG0000011	Amel	LOC113218541
OG0000011	Amel	LOC100578886
OG0000013	Amel	LOC413959
OG0000013	Amel	LOC409897
OG0000013	Amel	LOC725051
OG0000013	Amel	LOC551061
OG0000013	Amel	LOC410269
OG0000016	Amel	LOC413833
OG0000017	Amel	LOC725052
OG0000017	Amel	LOC100577755
OG0000017	Amel	LOC100576212
OG0000017	Amel	LOC100576246
OG0000017	Amel	LOC100576839
OG0000017	Amel	LOC100576282
OG0000017	Amel	LOC724911
OG0000017	Amel	LOC102656838
OG0000017	Amel	LOC100577024
OG0000017	Amel	LOC724202
OG0000017	Amel	LOC724462
OG0000017	Amel	LOC724590
OG0000017	Amel	LOC100576992
OG0000017	Amel	LOC102654183
OG0000017	Amel	LOC100576940
OG0000017	Amel	LOC113219164
OG0000018	Amel	LOC100578724
OG0000018	Amel	LOC102654216
OG0000018	Amel	LOC102655559
OG0000018	Amel	LOC102654530
OG0000018	Amel	LOC102655285
OG0000018	Amel	LOC100579011
OG0000018	Amel	LOC107964732
OG0000018	Amel	LOC107965011
OG0000018	Amel	LOC100578842
OG0000018	Amel	LOC102656567
OG0000018	Amel	LOC102654782
OG0000018	Amel	LOC102653979
OG0000020	Amel	LOC411519
OG0000020	Amel	LOC552766
OG0000020	Amel	LOC408388
OG0000020	Amel	LOC724291
OG0000020	Amel	LOC410614
OG0000020	Amel	LOC412886
OG0000020	Amel	LOC550827
OG0000021	Amel	Or107
OG0000021	Amel	Or109
OG0000021	Amel	LOC102653865
OG0000021	Amel	LOC100577888
OG0000021	Amel	LOC102653716
OG0000025	Amel	LOC102656830
OG0000031	Amel	LOC102656271
OG0000031	Amel	LOC107965763
OG0000031	Amel	LOC107966034
OG0000031	Amel	LOC113219362
OG0000034	Amel	Arp1
OG0000034	Amel	LOC551176
OG0000034	Amel	LOC551369
OG0000034	Amel	LOC725404
OG0000034	Amel	LOC551438
OG0000034	Amel	LOC552637
OG0000036	Amel	Or115
OG0000038	Amel	LOC725272
OG0000038	Amel	LOC726542
OG0000038	Amel	LOC726692
OG0000038	Amel	LOC725414
OG0000038	Amel	LOC552116
OG0000039	Amel	LOC725037
OG0000039	Amel	LOC113218639
OG0000041	Amel	LOC726768
OG0000041	Amel	LOC411250
OG0000041	Amel	LOC412313
OG0000041	Amel	LOC550801
OG0000042	Amel	LOC100577548
OG0000042	Amel	LOC410559
OG0000042	Amel	LOC408782
OG0000042	Amel	LOC410994
OG0000042	Amel	LOC410996
OG0000044	Amel	LOC411564
OG0000045	Amel	LOC413056
OG0000046	Amel	Or63
OG0000046	Amel	LOC410603
OG0000046	Amel	LOC107963999
OG0000046	Amel	LOC100578045
OG0000047	Amel	LOC724869
OG0000047	Amel	LOC726447
OG0000047	Amel	LOC726487
OG0000047	Amel	LOC724633
OG0000047	Amel	LOC725344
OG0000048	Amel	LOC409203
OG0000048	Amel	LOC727593
OG0000048	Amel	LOC107965199
OG0000050	Amel	Hbg3
OG0000050	Amel	AGLU2
OG0000050	Amel	Hbg2
OG0000051	Amel	LOC725420
OG0000051	Amel	LOC725346
OG0000051	Amel	LOC102654427
OG0000051	Amel	LOC725456
OG0000053	Amel	LOC100577496
OG0000053	Amel	LOC102653640
OG0000054	Amel	LOC102654211
