target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	985.777	28021	2572.35
NM_001011562.1	863	597.799	24.0544	3.64138
NM_001011563.1	2084	1818.78	811	40.3522
NM_001011565.1	3023	2757.78	139.827	4.58836
NM_001011566.1	1503	1237.78	34.8388	2.54711
NM_001011567.1	4030	3764.78	20.1827	0.485138
NM_001011568.1	2077	1811.78	21.4578	1.07178
NM_001011570.1	582	317.108	9987	2850.06
NM_001011571.1	2093	1827.78	13.5361	0.670186
NM_001011572.1	2346	2080.78	7409	322.225
NM_001011573.1	3160	2894.78	0	0
NM_001011574.1	1940	1674.78	157	8.48337
NM_001011575.1	2163	1897.78	62.6599	2.98793
NM_001011576.1	1195	929.777	29	2.82257
NM_001011577.1	2389	2123.78	749.365	31.9308
NM_001011578.1	5441	5175.78	281	4.91311
NM_001011581.1	2439	2173.78	1.67364	0.0696742
NM_001011583.2	635	370.008	56110	13723.2
NM_001011584.1	1606	1340.78	13.4086	0.905007
NM_001011585.1	1638	1372.78	53.5136	3.52769
NM_001011586.1	2205	1939.78	0	0
NM_001011587.1	496	231.456	0	0
NM_001011588.1	724	458.875	8	1.57769
NM_001011589.1	624	359.022	286	72.0894
NM_001011590.1	574	309.131	2	0.585482
NM_001011591.1	584	319.108	0	0
NM_001011592.1	1590	1324.78	4128.66	282.028
NM_001011593.1	548	283.218	0	0
NM_001011594.1	4195	3929.78	30.2708	0.697079
NM_001011595.1	2818	2552.78	53.5179	1.8972
NM_001011596.1	4100	3834.78	379.298	8.9509
NM_001011597.1	2673	2407.78	39.3497	1.47894
NM_001011598.1	1624	1358.78	4426	294.774
NM_001011600.1	2052	1786.78	320	16.2071
NM_001011602.1	2795	2529.78	468	16.7413
NM_001011603.1	1683	1417.78	806.032	51.4482
NM_001011604.3	685	419.908	1.53423	0.330646
NM_001011605.1	1448	1182.78	537	41.0863
NM_001011606.1	1757	1491.78	8	0.485302
NM_001011608.1	1873	1607.78	444	24.991
NM_001011614.1	688	422.908	3019	646.016
NM_001011615.1	664	398.952	496	112.509
NM_001011616.2	680	414.908	2097	457.375
NM_001011620.1	957	691.777	6.10185	0.798217
NM_001011623.1	3376	3110.78	1.55592	0.0452631
NM_001011624.1	4969	4703.78	25.13	0.483472
NM_001011625.2	1940	1674.78	2.12524	0.114836
NM_001011626.2	755	489.875	3027.11	559.202
NM_001011627.1	2520	2254.78	558	22.3953
NM_001011628.2	1386	1120.78	376.117	30.369
NM_001011629.1	14440	14174.8	1442.29	9.20793
NM_001011630.1	630	365.008	953.999	236.522
NM_001011631.1	1741	1475.78	24.3346	1.49221
NM_001011632.2	2009	1743.78	5.3231	0.276248
NM_001011633.1	1533	1267.78	93.423	6.66864
NM_001011634.2	3754	3488.78	271.348	7.03848
NM_001011635.1	1447	1181.78	105	8.04044
NM_001011636.1	570	305.142	636	188.617
NM_001011637.1	1369	1103.78	0	0
NM_001011639.2	1806	1540.78	1	0.0587335
NM_001011640.1	991	725.777	3405	424.561
NM_001011641.1	970	704.777	187.665	24.0968
NM_001011643.1	2378	2112.78	58	2.48428
NM_001011644.2	1200	934.777	30.7035	2.97239
NM_001011650.1	2242	1976.78	20	0.915584
NM_001011652.2	969	703.777	68	8.74379
NM_001011653.2	898	632.777	58.9245	8.42696
NM_001011654.2	749	483.875	274.858	51.4044
NM_001012429.1	672	406.923	433.535	96.4136
NM_001012615.1	1097	831.777	95	10.3358
NM_001012627.1	3153	2887.78	9.43267	0.295595
NM_001012962.1	3606	3340.78	39	1.05644
NM_001012963.1	502	237.388	0	0
NM_001013006.1	2991	2725.78	0	0
NM_001013359.2	1964	1698.78	85.5868	4.55928
NM_001013361.1	4113	3847.78	561	13.1941
NM_001014983.1	3250	2984.78	0	0
NM_001014991.1	7242	6976.78	390.451	5.06452
NM_001014992.2	2498	2232.78	445.078	18.0392
NM_001014993.1	1386	1120.78	5.72299	0.462094
NM_001014994.1	1892	1626.78	1335.56	74.295
NM_001032361.1	3585	3319.78	0	0
NM_001037318.2	2515	2249.78	6.07583	0.244395
NM_001040221.1	459	194.77	139.791	64.9503
NM_001040225.1	407	144.327	5.42219	3.39981
NM_001040229.1	453	188.847	6	2.87519
NM_001040230.1	13107	12841.8	77.1995	0.544021
NM_001040231.1	363	104.239	0	0
NM_001040233.1	1647	1381.78	8811.03	577.052
NM_001040235.2	6077	5811.78	0	0
NM_001040236.1	1767	1501.78	139616	8413.09
NM_001040237.1	5107	4841.78	378.886	7.08157
NM_001040255.1	1893	1627.78	192.974	10.7283
NM_001040256.1	767	501.857	776.201	139.965
NM_001040257.1	1554	1288.78	14.4766	1.01652
NM_001040258.1	1250	984.777	9260.74	851.008
NM_001040259.1	1743	1477.78	240211	14709.9
NM_001040263.1	1550	1284.78	792	55.7858
NM_001040265.1	1689	1423.78	167.079	10.6196
NM_001040266.2	1599	1333.78	0	0
NM_001040267.1	1895	1629.78	242.653	13.4736
NM_001040269.1	1397	1131.78	2.88405	0.230604
NM_001040277.1	2150	1884.78	34.2459	1.64427
NM_001042458.1	1737	1471.78	458.745	28.2069
NM_001042460.1	1794	1528.78	97.6479	5.78022
NM_001077808.1	5328	5062.78	93.5946	1.67297
NM_001077809.1	1344	1078.78	0	0
NM_001077810.1	354	96.6265	798	747.364
NM_001077811.1	1287	1021.78	0	0
NM_001077813.1	3226	2960.78	133.329	4.07517
NM_001077815.1	1855	1589.78	42.852	2.43927
NM_001077816.1	1530	1264.78	0	0
NM_001077817.1	1194	928.777	7.53451	0.734124
NM_001077818.1	1707	1441.78	0	0
NM_001077819.1	378	117.367	9.88736	7.62361
NM_001077821.1	4097	3831.78	1	0.023617
NM_001077822.1	1533	1267.78	0	0
NM_001077823.2	516	251.325	592.503	213.344
NM_001077824.1	1842	1576.78	0	0
NM_001077825.1	1158	892.777	1	0.101364
NM_001079560.1	1607	1341.78	1	0.0674443
NM_001079561.1	1701	1435.78	15.7492	0.992655
NM_001080094.2	2123	1857.78	11	0.535827
NM_001080095.1	1590	1324.78	1.33409	0.0911317
NM_001080110.1	2703	2437.78	201.936	7.49626
NM_001080205.1	2713	2447.78	328.861	12.1581
NM_001083630.1	1713	1447.78	146.372	9.1492
NM_001085345.1	1491	1225.78	5199	383.826
NM_001097154.2	1766	1500.78	2274.03	137.122
NM_001098167.1	767	501.857	498.889	89.9599
NM_001098214.1	1863	1597.78	0	0
NM_001098215.2	2635	2369.78	10.9312	0.417432
NM_001098217.1	2187	1921.78	11.1183	0.523552
NM_001098218.1	2148	1882.78	87.3128	4.19667
NM_001098219.1	2139	1873.78	44.9098	2.16895
NM_001098220.1	1806	1540.78	0	0
NM_001098221.1	1763	1497.78	0	0
NM_001098223.1	1436	1170.78	77	5.95172
NM_001098224.2	1333	1067.78	1013	85.8529
NM_001098228.1	1286	1020.78	24.6209	2.18273
NM_001098229.1	1284	1018.78	318	28.2471
NM_001098232.1	1146	880.777	427.147	43.8871
NM_001098234.1	462	197.749	37.2559	17.0493
NM_001098717.1	2199	1933.78	84	3.93096
NM_001101023.1	3033	2767.78	143.22	4.68272
NM_001104949.1	3122	2856.78	1.96686	0.062305
NM_001110712.2	754	488.875	49	9.07034
NM_001110764.1	2606	2340.78	280	10.8249
NM_001112670.1	3330	3064.78	348.042	10.2768
NM_001113285.1	2779	2513.78	3.83856	0.138187
NM_001113739.1	1509	1243.78	1376.11	100.123
NM_001114188.1	1950	1684.78	0	0
NM_001114198.1	730	464.875	3144.9	612.204
NM_001115078.1	2659	2393.78	40.7966	1.54229
NM_001126243.2	2949	2683.78	3390.77	114.334
NM_001126244.1	1674	1408.78	84	5.39589
NM_001131037.1	1164	898.777	0	0
NM_001131038.1	2722	2456.78	310	11.4188
NM_001134227.1	1704	1438.78	1367.99	86.0431
NM_001134371.1	591	326.085	210	58.2794
NM_001134668.1	2541	2275.78	808	32.1298
NM_001134828.1	1495	1229.78	1162.7	85.5589
NM_001134934.1	3281	3015.78	3.51178	0.105379
NM_001134940.1	1464	1198.78	0	0
NM_001134942.1	1621	1355.78	303	20.2246
NM_001134943.1	1434	1168.78	14	1.08398
NM_001134947.1	1760	1494.78	128	7.74925
NM_001134948.1	3181	2915.78	404.969	12.5688
NM_001134949.1	3346	3080.78	1957.62	57.5034
NM_001134950.1	2295	2029.78	103.008	4.59249
NM_001135735.1	1032	766.777	5874	693.251
NM_001135905.1	488	223.506	235	95.1491
NM_001136187.1	614	349.06	523	135.59
NM_001141964.1	2248	1982.78	6346.68	289.667
NM_001142436.1	1295	1029.78	313.893	27.5844
NM_001142461.1	824	558.819	316	51.1731
NM_001142561.1	1943	1677.78	104.246	5.62276
NM_001142607.1	642	376.981	48	11.5225
NM_001142609.1	1671	1405.78	196.244	12.633
NM_001142656.2	710	444.892	0	0
NM_001143878.1	1377	1111.78	0	0
NM_001143879.1	1428	1162.78	0	0
NM_001143880.1	1470	1204.78	0	0
NM_001143921.1	2102	1836.78	860.231	42.3823
NM_001144839.2	596	331.073	534.469	146.092
NM_001145735.2	1347	1081.78	51.2856	4.29026
NM_001145736.1	2424	2158.78	23.599	0.989262
NM_001145737.1	2433	2167.78	0	0
NM_001145738.1	2787	2521.78	35.7118	1.28154
NM_001145739.1	2553	2287.78	1.35583	0.0536312
NM_001145740.1	3633	3367.78	67	1.80035
NM_001159303.1	1404	1138.78	1.02684	0.0816
NM_001159355.1	2782	2516.78	324.335	11.662
NM_001160048.1	2747	2481.78	4161	151.726
NM_001160050.1	2417	2151.78	41418	1741.88
NM_001160052.1	2920	2654.78	4096.66	139.646
NM_001160064.1	2844	2578.78	6358	223.117
NM_001160072.1	2237	1971.78	1744	80.0414
NM_001160270.1	698	432.908	1569.14	328.013
NM_001160405.2	2980	2714.78	528.529	17.6182
NM_001161709.2	856	590.799	536	82.1015
NM_001162513.1	4073	3807.78	57.6721	1.37063
NM_001162516.1	1758	1492.78	44.1477	2.67632
NM_001163712.1	1155	889.777	122.124	12.4207
NM_001163714.1	1566	1300.78	2248.21	156.408
NM_001163715.1	854	588.799	443	68.0867
NM_001163716.1	900	634.777	825.104	117.629
NM_001163717.1	2152	1886.78	91.473	4.38731
NM_001164008.1	2209	1943.78	123	5.72644
NM_001164809.1	503	238.379	18	6.83328
NM_001164810.1	871	605.799	373	55.7194
NM_001165904.1	5715	5449.78	1	0.0166053
NM_001165905.1	6135	5869.78	39.7333	0.612575
NM_001165906.1	3754	3488.78	809.969	21.0098
NM_001167709.1	732	466.875	221	42.8368
NM_001167720.1	599	334.073	0	0
NM_001167893.1	1135	869.777	89	9.25994
NM_001168336.1	1053	787.777	155	17.8055
NM_001168425.1	1144	878.777	437	45.0017
NM_001168700.1	993	727.777	0	0
NM_001170973.1	1131	865.777	9211	962.779
NM_001170974.1	1454	1188.78	3254.37	247.738
NM_001171006.1	3549	3283.78	190.997	5.26354
NM_001171051.1	4101	3835.78	71.7631	1.69307
NM_001171108.1	1209	943.777	23.4775	2.25117
NM_001171169.1	1520	1254.78	974.715	70.297
NM_001172378.1	1201	935.777	373	36.0713
NM_001172379.1	1114	848.777	392	41.7944
NM_001172389.1	1026	760.777	1752.2	208.427
NM_001172404.1	2427	2161.78	1415.3	59.2465
NM_001172718.1	2641	2375.78	332.035	12.6475
NM_001174140.1	599	334.073	1	0.270885
NM_001174141.1	1037	771.777	3.94459	0.462526
NM_001174143.1	884	618.777	3095.9	452.771
NM_001174145.1	871	605.799	55	8.21599
NM_001177490.1	1091	825.777	2814	308.381
NM_001177903.1	404	141.548	0	0
NM_001178023.1	1095	829.777	0	0
NM_001178024.1	1194	928.777	493	48.0354
NM_001178025.1	2265	1999.78	49.8267	2.25479
NM_001178026.1	2037	1771.78	3217.42	164.333
NM_001178027.1	830	564.799	4411	706.755
NM_001178028.1	1029	763.777	16.5093	1.95608
NM_001178047.1	1538	1272.78	775.708	55.1534
NM_001178048.1	1331	1065.78	972	82.5327
NM_001178067.1	626	361.022	382	95.7538
NM_001178069.1	1627	1361.78	4.83224	0.321121
NM_001185079.1	3029	2763.78	426.5	13.965
NM_001185105.1	3075	2809.78	1149.18	37.0119
NM_001185144.1	565	300.153	7673	2313.39
NM_001185145.1	1666	1400.78	10686.6	690.396
NM_001185146.1	1648	1382.78	15162.4	992.294
NM_001190421.1	2277	2011.78	150.158	6.75453
NM_001190920.1	1626	1360.78	6.102	0.405799
NM_001191048.2	6581	6315.78	1202.13	17.2247
NM_001193290.1	1551	1285.78	278.147	19.5765
NM_001202460.1	1962	1696.78	13.5507	0.722709
NM_001204249.1	2202	1936.78	28.5076	1.33201
NM_001205062.1	1790	1524.78	9398.44	557.796
