target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1001.86	38167	1594.58
NM_001011562.1	863	613.943	201.571	13.7424
NM_001011563.1	2084	1834.86	1265	28.8571
NM_001011565.1	3023	2773.86	170.997	2.58028
NM_001011566.1	1503	1253.86	0	0
NM_001011568.1	2077	1827.86	9.53833	0.218421
NM_001011570.1	582	333.224	12660	1590.23
NM_001011571.1	2093	1843.86	24.3459	0.552667
NM_001011572.1	2346	2096.86	36744	733.469
NM_001011574.1	1940	1690.86	371	9.18398
NM_001011575.1	2163	1913.86	86.2968	1.88734
NM_001011576.1	1195	945.857	72	3.18618
NM_001011577.1	2389	2139.86	1504.06	29.42
NM_001011578.1	5441	5191.86	394	3.17642
NM_001011581.1	2439	2189.86	0	0
NM_001011583.2	635	386.106	221068	23965.3
NM_001011584.1	1606	1356.86	53.7727	1.65879
NM_001011585.1	1638	1388.86	218.109	6.57326
NM_001011586.1	2205	1955.86	0	0
NM_001011587.1	496	247.492	0	0
NM_001011588.1	724	475.011	21	1.85046
NM_001011590.1	574	325.249	5	0.643455
NM_001011592.1	1590	1340.86	6832.84	213.296
NM_001011593.1	548	299.265	0	0
NM_001011594.1	4195	3945.86	35.4613	0.376164
NM_001011595.1	2818	2568.86	147	2.3952
NM_001011596.1	4100	3850.86	729.588	7.93021
NM_001011597.1	2673	2423.86	87.0791	1.50373
NM_001011598.1	1624	1374.86	4300	130.911
NM_001011600.1	2052	1802.86	458	10.6333
NM_001011602.1	2795	2545.86	653	10.736
NM_001011603.1	1683	1433.86	935.901	27.3205
NM_001011604.3	685	436.046	4373.45	419.813
NM_001011605.1	1448	1198.86	408	14.2448
NM_001011606.1	1757	1507.86	2	0.055518
NM_001011608.1	1873	1623.86	579	14.9243
NM_001011614.1	688	439.046	9182	875.37
NM_001011616.2	680	431.056	77715	7546.31
NM_001011620.1	957	707.876	1.00979	0.0597087
NM_001011623.1	3376	3126.86	0	0
NM_001011624.1	4969	4719.86	16.6446	0.147607
NM_001011625.2	1940	1690.86	0	0
NM_001011626.2	755	505.999	4917.23	406.757
NM_001011627.1	2520	2270.86	324	5.97199
NM_001011628.2	1386	1136.86	551.52	20.3058
NM_001011629.1	14440	14190.9	2043.58	6.02763
NM_001011630.1	630	381.125	1387.08	152.335
NM_001011631.1	1741	1491.86	34.7948	0.976228
NM_001011632.2	2009	1759.86	2.30701	0.0548702
NM_001011633.1	1533	1283.86	4603.49	150.084
NM_001011634.2	3754	3504.86	228.432	2.72804
NM_001011635.1	1447	1197.86	274	9.57436
NM_001011636.1	570	321.257	1458	189.963
NM_001011637.1	1369	1119.86	5.23556	0.195688
NM_001011639.2	1806	1556.86	5	0.134427
NM_001011641.1	970	720.876	293.867	17.063
NM_001011643.1	2378	2128.86	62.1671	1.2223
NM_001011644.2	1200	950.857	79.8362	3.51438
NM_001011650.1	2242	1992.86	8	0.168027
NM_001011652.2	969	719.876	107	6.22143
NM_001011653.2	898	648.927	62.6162	4.03883
NM_001011654.2	749	499.999	410.172	34.3369
NM_001012429.1	672	423.056	526.79	52.1199
NM_001012962.1	3606	3356.86	35	0.436415
NM_001012963.1	502	253.436	0	0
NM_001013006.1	2991	2741.86	1.77401	0.0270817
NM_001013359.2	1964	1714.86	4278.42	104.429
NM_001013361.1	4113	3863.86	586	6.34805
NM_001014983.1	3250	3000.86	0	0
NM_001014991.1	7242	6992.86	848.404	5.07823
NM_001014992.2	2498	2248.86	639.727	11.9069
NM_001014993.1	1386	1136.86	0	0
NM_001014994.1	1892	1642.86	1592.89	40.5837
NM_001037318.2	2515	2265.86	10.1363	0.187246
NM_001040225.1	407	159.63	44.5817	11.6898
NM_001040230.1	13107	12857.9	114.163	0.371639
NM_001040231.1	363	118.591	0	0
NM_001040233.1	1647	1397.86	87996.5	2634.92
