GeneID	TranscriptID	ProteinID
Def	NM_001280909.1	NP_001267838.1
F1	NM_001280904.1	NP_001267833.1
F2	NM_001280901.1	NP_001267830.1
F2	XM_048410654.1	XP_048266611.1
F3	NM_001280899.1	NP_001267828.1
fem	NM_001280924.1	NP_001267853.1
fem	XM_012318563.3	XP_012173953.1
fem	XM_048414581.1	XP_048270538.1
Kr-h1	NM_001280921.1	NP_001267850.1
LOC100628631	XM_003400304.4	XP_003400352.2
LOC100628631	XM_012315440.3	XP_012170830.1
LOC100628631	XM_012315441.3	XP_012170831.1
LOC100631054	XM_012318728.3	XP_012174118.1
LOC100631054	XM_012318729.3	XP_012174119.1
LOC100631054	XM_012318730.3	XP_012174120.1
LOC100631054	XM_012318731.3	XP_012174121.1
LOC100631054	XM_012318732.3	XP_012174122.1
LOC100631054	XM_048405549.1	XP_048261506.1
LOC100631054	XM_048405550.1	XP_048261507.1
LOC100631058	XM_012320211.3	XP_012175601.1
LOC100631058	XM_048411167.1	XP_048267124.1
LOC100631058	XM_048411171.1	XP_048267128.1
LOC100631058	XM_048411177.1	XP_048267134.1
LOC100631058	XM_048411183.1	XP_048267140.1
LOC100631059	XM_012318721.3	XP_012174111.1
LOC100631060	XM_012315218.3	XP_012170608.2
LOC100631060	XM_012315219.3	XP_012170609.2
LOC100631060	XM_012315221.3	XP_012170611.2
LOC100631060	XM_012315222.3	XP_012170612.2
LOC100631060	XM_048410667.1	XP_048266624.1
LOC100631060	XM_048410668.1	XP_048266625.1
LOC100631060	XM_048410669.1	XP_048266626.1
LOC100631060	XM_048410670.1	XP_048266627.1
LOC100631061	XM_048406978.1	XP_048262935.1
LOC100631064	XM_003402785.4	XP_003402833.1
LOC100631064	XM_012319286.3	XP_012174676.1
LOC100631064	XM_012319287.3	XP_012174677.1
LOC100631065	XM_003400908.4	XP_003400956.1
LOC100631066	XM_012308701.3	XP_012164091.1
LOC100631066	XM_012308702.3	XP_012164092.1
LOC100631067	XM_048409031.1	XP_048264988.1
LOC100631067	XR_007225268.1	
LOC100631070	XR_007223848.1	
LOC100631072	XM_020865750.2	XP_020721409.2
LOC100631072	XM_020865751.2	XP_020721410.2
LOC100631073	XM_048410922.1	XP_048266879.1
LOC100631077	XM_012316284.3	XP_012171674.1
LOC100631077	XM_048412009.1	XP_048267966.1
LOC100631078	XM_003394653.4	XP_003394701.1
LOC100631080	XM_003399641.3	XP_003399689.1
LOC100631080	XM_012314816.3	XP_012170206.1
LOC100631082	XM_003402146.3	XP_003402194.1
LOC100631082	XM_012318236.3	XP_012173626.1
LOC100631082	XM_012318237.3	XP_012173627.1
LOC100631082	XM_020867559.2	XP_020723218.1
LOC100631082	XM_020867560.2	XP_020723219.1
LOC100631082	XM_020867561.2	XP_020723220.1
LOC100631082	XM_048414123.1	XP_048270080.1
LOC100631084	XM_012318108.3	XP_012173498.1
LOC100631084	XM_020867374.2	XP_020723033.1
LOC100631086	XM_012316807.2	XP_012172197.1
LOC100631087	XM_003401454.4	XP_003401502.1
LOC100631088	XM_003394476.4	XP_003394524.2
LOC100631089	XM_003402727.4	XP_003402775.1
LOC100631090	XM_003400723.4	XP_003400771.1
LOC100631090	XM_048412028.1	XP_048267985.1
LOC100631090	XM_048412029.1	XP_048267986.1
LOC100631091	XM_003402794.4	XP_003402842.1
LOC100631091	XM_012319258.3	XP_012174648.1
LOC100631091	XM_012319259.3	XP_012174649.1
LOC100631091	XM_012319261.3	XP_012174651.1
LOC100631091	XM_012319262.3	XP_012174652.1
LOC100631091	XM_048404480.1	XP_048260437.1
LOC100631091	XM_048404482.1	XP_048260439.1
LOC100631092	XM_012320822.3	XP_012176212.1
LOC100631093	XM_020863231.2	XP_020718890.1
LOC100631094	XM_003394153.4	XP_003394201.1
LOC100631095	XM_012316809.2	XP_012172199.1
LOC100642190	XM_003392890.4	XP_003392938.1
LOC100642190	XM_012308562.3	XP_012163952.1
LOC100642190	XM_012308609.2	XP_012163999.1
LOC100642191	XM_003393131.4	XP_003393179.1
LOC100642191	XM_048407826.1	XP_048263783.1
LOC100642192	XM_020864816.2	XP_020720475.2
LOC100642192	XM_048407643.1	XP_048263600.1
LOC100642192	XM_048407648.1	XP_048263605.1
LOC100642192	XM_048407650.1	XP_048263607.1
LOC100642193	XM_003393599.4	XP_003393647.1
LOC100642194	XM_048414335.1	XP_048270292.1
LOC100642195	XM_012320362.2	XP_012175752.1
LOC100642195	XM_012320363.3	XP_012175753.1
LOC100642195	XM_012320364.3	XP_012175754.1
LOC100642195	XM_012320365.3	XP_012175755.1
LOC100642195	XM_012320367.3	XP_012175757.1
LOC100642195	XM_048413628.1	XP_048269585.1
LOC100642195	XM_048413643.1	XP_048269600.1
LOC100642196	XM_048414609.1	XP_048270566.1
LOC100642196	XM_048414610.1	XP_048270567.1
LOC100642196	XM_048414611.1	XP_048270568.1
LOC100642196	XM_048414612.1	XP_048270569.1
LOC100642196	XM_048414613.1	XP_048270570.1
LOC100642197	XM_012320737.3	XP_012176127.2
LOC100642198	XM_012307700.3	XP_012163090.2
LOC100642198	XM_020862737.2	XP_020718396.2
LOC100642198	XM_020862743.2	XP_020718402.2
LOC100642198	XM_048405265.1	XP_048261222.1
LOC100642198	XM_048405266.1	XP_048261223.1
LOC100642198	XM_048405267.1	XP_048261224.1
LOC100642198	XM_048405268.1	XP_048261225.1
LOC100642198	XM_048405269.1	XP_048261226.1
LOC100642199	XM_003394788.4	XP_003394836.1
LOC100642200	XM_048405244.1	XP_048261201.1
LOC100642200	XM_048405245.1	XP_048261202.1
LOC100642201	XM_003395115.4	XP_003395163.1
LOC100642202	XM_048405579.1	XP_048261536.1
LOC100642203	XM_003395359.4	XP_003395407.1
LOC100642203	XM_048406008.1	XP_048261965.1
LOC100642204	XM_003395854.4	XP_003395902.1
LOC100642204	XM_012309269.3	XP_012164659.1
LOC100642204	XM_020863429.2	XP_020719088.1
LOC100642204	XM_048406890.1	XP_048262847.1
LOC100642204	XR_007224447.1	
LOC100642205	XM_003396015.4	XP_003396063.2
LOC100642206	XM_003396176.4	XP_003396224.1
LOC100642207	XM_003396258.4	XP_003396306.1
LOC100642208	XM_048407649.1	XP_048263606.1
LOC100642209	XM_003396659.4	XP_003396707.1
LOC100642211	XM_003397069.4	XP_003397117.2
LOC100642211	XM_012311038.3	XP_012166428.2
LOC100642211	XM_020864289.2	XP_020719948.2
LOC100642211	XM_020864290.2	XP_020719949.2
LOC100642211	XM_048408099.1	XP_048264056.1
LOC100642211	XM_048408100.1	XP_048264057.1
LOC100642211	XR_007224963.1	
LOC100642212	XM_003397311.4	XP_003397359.1
LOC100642212	XM_012311246.2	XP_012166636.1
LOC100642212	XM_012311247.2	XP_012166637.1
LOC100642212	XM_012311248.3	XP_012166638.1
LOC100642212	XM_012311249.3	XP_012166639.1
LOC100642212	XM_012311251.2	XP_012166641.1
LOC100642212	XM_048408300.1	XP_048264257.1
LOC100642212	XM_048408301.1	XP_048264258.1
LOC100642212	XM_048408302.1	XP_048264259.1
LOC100642213	XM_003397388.4	XP_003397436.1
LOC100642213	XM_020864799.2	XP_020720458.1
LOC100642214	XM_012311768.3	XP_012167158.2
LOC100642216	XM_048408485.1	XP_048264442.1
LOC100642217	XM_048409601.1	XP_048265558.1
LOC100642217	XM_048409602.1	XP_048265559.1
LOC100642218	XM_003398113.4	XP_003398161.1
LOC100642218	XM_003398114.4	XP_003398162.1
LOC100642219	XM_003398190.4	XP_003398238.1
LOC100642219	XM_020864922.2	XP_020720581.1
LOC100642219	XM_048409029.1	XP_048264986.1
LOC100642219	XM_048409030.1	XP_048264987.1
LOC100642220	XM_003398275.4	XP_003398323.1
LOC100642221	XM_003398356.4	XP_003398404.1
LOC100642223	XM_003399008.4	XP_003399056.1
LOC100642224	XM_012315525.3	XP_012170915.1
LOC100642225	XM_012316260.3	XP_012171650.2
LOC100642225	XM_012316261.3	XP_012171651.2
LOC100642226	XM_003400855.4	XP_003400903.1
LOC100642226	XM_012316321.3	XP_012171711.1
LOC100642226	XM_012316322.3	XP_012171712.1
LOC100642226	XM_012316323.3	XP_012171713.2
LOC100642226	XM_012316324.3	XP_012171714.1
LOC100642226	XM_020866542.2	XP_020722201.1
LOC100642226	XM_048412015.1	XP_048267972.1
LOC100642226	XM_048412016.1	XP_048267973.1
LOC100642226	XR_007226333.1	
LOC100642226	XR_007226334.1	
LOC100642227	XM_012316980.3	XP_012172370.2
LOC100642227	XM_048412504.1	XP_048268461.1
LOC100642228	XM_012317690.3	XP_012173080.2
LOC100642228	XM_048413264.1	XP_048269221.1
LOC100642228	XM_048413265.1	XP_048269222.1
LOC100642228	XM_048413266.1	XP_048269223.1
LOC100642229	XM_012317788.3	XP_012173178.1
LOC100642229	XM_012317789.3	XP_012173179.1
LOC100642229	XM_012317790.3	XP_012173180.1
LOC100642229	XM_048413197.1	XP_048269154.1
LOC100642229	XR_007226761.1	
LOC100642230	XM_048413747.1	XP_048269704.1
LOC100642230	XM_048413748.1	XP_048269705.1
LOC100642230	XM_048413749.1	XP_048269706.1
LOC100642232	XM_048413631.1	XP_048269588.1
LOC100642233	XM_012319701.3	XP_012175091.2
LOC100642234	XM_003403221.4	XP_003403269.3
LOC100642234	XM_048409427.1	XP_048265384.1
LOC100642235	XM_048407792.1	XP_048263749.1
LOC100642235	XM_048407794.1	XP_048263751.1
LOC100642235	XM_048407799.1	XP_048263756.1
LOC100642235	XM_048407803.1	XP_048263760.1
LOC100642235	XM_048407808.1	XP_048263765.1
LOC100642235	XM_048407812.1	XP_048263769.1
LOC100642236	XM_003393288.4	XP_003393336.1
LOC100642236	XM_003393289.4	XP_003393337.1
LOC100642236	XM_048410075.1	XP_048266032.1
LOC100642237	XM_012320290.3	XP_012175680.3
LOC100642239	XM_012320921.3	XP_012176311.1
LOC100642239	XM_020868497.2	XP_020724156.1
LOC100642239	XM_048404626.1	XP_048260583.1
LOC100642239	XM_048404627.1	XP_048260584.1
LOC100642239	XM_048404628.1	XP_048260585.1
LOC100642239	XM_048404629.1	XP_048260586.1
LOC100642239	XM_048404630.1	XP_048260587.1
LOC100642240	XM_003394549.4	XP_003394597.1
LOC100642240	XM_012321161.3	XP_012176551.1
LOC100642240	XM_012321162.3	XP_012176552.1
LOC100642240	XM_012321163.3	XP_012176553.1
LOC100642240	XM_048404259.1	XP_048260216.1
LOC100642240	XM_048404260.1	XP_048260217.1
LOC100642240	XM_048404261.1	XP_048260218.1
LOC100642241	XM_003394954.4	XP_003395002.1
LOC100642241	XM_048405352.1	XP_048261309.1
LOC100642242	XM_048405570.1	XP_048261527.1
LOC100642243	XM_012309076.3	XP_012164466.1
LOC100642244	XM_003395441.4	XP_003395489.1
LOC100642244	XM_048406204.1	XP_048262161.1
LOC100642244	XM_048406205.1	XP_048262162.1
LOC100642244	XM_048406206.1	XP_048262163.1
LOC100642244	XM_048406207.1	XP_048262164.1
LOC100642245	XM_003395523.4	XP_003395571.1
LOC100642245	XM_012308620.3	XP_012164010.1
LOC100642245	XM_012308621.3	XP_012164011.1
LOC100642245	XM_012308622.3	XP_012164012.1
LOC100642245	XM_012308624.3	XP_012164014.1
LOC100642245	XM_012308625.3	XP_012164015.1
LOC100642245	XM_048406214.1	XP_048262171.1
LOC100642246	XM_003395608.4	XP_003395656.1
LOC100642247	XM_003395933.4	XP_003395981.1
LOC100642247	XM_012309199.3	XP_012164589.1
LOC100642248	XM_020863421.2	XP_020719080.2
LOC100642249	XM_003396574.4	XP_003396622.1
LOC100642250	XM_003396823.4	XP_003396871.1
LOC100642251	XM_003396902.3	XP_003396950.1
LOC100642252	XM_003397233.4	XP_003397281.1
LOC100642252	XM_020864122.2	XP_020719781.1
LOC100642252	XM_020864123.2	XP_020719782.1
LOC100642253	XM_020864649.2	XP_020720308.1
LOC100642254	XM_003398443.4	XP_003398491.1
LOC100642255	XM_003398526.3	XP_003398574.1
LOC100642255	XM_048409604.1	XP_048265561.1
LOC100642256	XM_020865306.2	XP_020720965.2
