target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	996.065	31902	2048.79
NM_001011562.1	863	608.103	75.7342	7.96676
NM_001011563.1	2084	1829.06	1528	53.4393
NM_001011565.1	3023	2768.06	103.292	2.38703
NM_001011566.1	1503	1248.06	0	0
NM_001011568.1	2077	1822.06	16.1033	0.56535
NM_001011570.1	582	327.472	10997	2148.16
NM_001011571.1	2093	1838.06	6.34617	0.22086
NM_001011572.1	2346	2091.06	44994	1376.43
NM_001011574.1	1940	1685.06	19	0.721279
NM_001011575.1	2163	1908.06	49.4317	1.65721
NM_001011576.1	1195	940.065	56	3.81063
NM_001011577.1	2389	2134.06	1171.12	35.1041
NM_001011578.1	5441	5186.06	546	6.73474
NM_001011581.1	2439	2184.06	1.7051	0.0499403
NM_001011583.2	635	380.382	121218	20385.1
NM_001011584.1	1606	1351.06	160.274	7.58844
NM_001011585.1	1638	1383.06	358.635	16.5873
NM_001011586.1	2205	1950.06	0	0
NM_001011587.1	496	241.665	4.44339	1.17616
NM_001011588.1	724	469.312	19	2.58975
NM_001011590.1	574	319.501	6	1.20128
NM_001011592.1	1590	1335.06	4612.31	220.995
NM_001011593.1	548	293.527	0	0
NM_001011594.1	4195	3940.06	14.5793	0.2367
NM_001011595.1	2818	2563.06	128.686	3.21172
NM_001011596.1	4100	3845.06	462.534	7.69495
NM_001011597.1	2673	2418.06	63	1.66663
NM_001011598.1	1624	1369.06	6055	282.915
NM_001011600.1	2052	1797.06	241	8.57866
NM_001011602.1	2795	2540.06	457	11.509
NM_001011603.1	1683	1428.06	1475.25	66.0823
NM_001011604.3	685	430.312	3700.66	550.126
NM_001011605.1	1448	1193.06	208	11.1523
NM_001011606.1	1757	1502.06	0	0
NM_001011608.1	1873	1618.06	241	9.52768
NM_001011614.1	688	433.312	9248	1365.25
NM_001011616.2	680	425.324	22520	3387
NM_001011620.1	957	702.065	5.13081	0.467493
NM_001011623.1	3376	3121.06	1	0.0204957
NM_001011624.1	4969	4714.06	25.0943	0.340523
NM_001011625.2	1940	1685.06	0	0
NM_001011626.2	755	500.214	3635.63	464.933
NM_001011627.1	2520	2265.06	784	22.1412
NM_001011628.2	1386	1131.06	590.842	33.4157
NM_001011629.1	14440	14185.1	1144.43	5.16087
NM_001011630.1	630	375.382	1012.93	172.613
NM_001011631.1	1741	1486.06	42.7351	1.83956
NM_001011632.2	2009	1754.06	1.4386	0.052464
NM_001011633.1	1533	1278.06	5075.22	254.02
NM_001011634.2	3754	3499.06	113.438	2.07383
NM_001011635.1	1447	1192.06	243	13.0399
NM_001011636.1	570	315.51	768	155.709
NM_001011637.1	1369	1114.06	15.2122	0.87347
NM_001011639.2	1806	1551.06	3	0.123725
NM_001011641.1	970	715.065	265.717	23.7706
NM_001011643.1	2378	2123.06	34	1.02443
NM_001011644.2	1200	945.065	79	5.34726
NM_001011650.1	2242	1987.06	11	0.354117
NM_001011652.2	969	714.065	88	7.88336
NM_001011653.2	898	643.084	34.2986	3.41173
NM_001011654.2	749	494.214	243.087	31.464
NM_001012429.1	672	417.336	695.741	106.642
NM_001012962.1	3606	3351.06	80	1.52712
NM_001012963.1	502	247.658	0	0
NM_001013006.1	2991	2736.06	147.962	3.45931
NM_001013359.2	1964	1709.06	1535.41	57.469
NM_001013361.1	4113	3858.06	404	6.69851
NM_001014983.1	3250	2995.06	0	0
NM_001014991.1	7242	6987.06	251.039	2.29833
NM_001014992.2	2498	2243.06	385.45	10.9924
NM_001014993.1	1386	1131.06	21.4018	1.2104
NM_001014994.1	1892	1637.06	2084.26	81.4429
NM_001037318.2	2515	2260.06	27.0833	0.766562
NM_001040225.1	407	154.096	10.0688	4.17978
NM_001040230.1	13107	12852.1	33.1182	0.164839
NM_001040231.1	363	113.449	0	0
NM_001040233.1	1647	1392.06	36661.8	1684.69
NM_001040235.2	6077	5822.06	0	0
NM_001040236.1	1767	1512.06	151482	6408.51
NM_001040237.1	5107	4852.06	1011.89	13.3405
NM_001040256.1	767	512.199	145.266	18.1423
NM_001040258.1	1250	995.065	9397.32	604.114
NM_001040259.1	1743	1488.06	213555	9180.24
NM_001040265.1	1689	1434.06	98.5872	4.39762
NM_001040266.2	1599	1344.06	1.03102	0.0490699
NM_001040267.1	1895	1640.06	392.716	15.3173
NM_001040269.1	1397	1142.06	0	0
NM_001040277.1	2150	1895.06	50.5836	1.70746
NM_001042458.1	1737	1482.06	170.045	7.33946
NM_001042460.1	1794	1539.06	99.9349	4.15362
NM_001077808.1	5328	5073.06	115.179	1.45235
NM_001077809.1	1344	1089.06	0	0
NM_001077810.1	354	105.589	736	445.887
NM_001077813.1	3226	2971.06	294.015	6.3303
NM_001077815.1	1855	1600.06	38.2929	1.5309
NM_001077816.1	1530	1275.06	0	0
NM_001077817.1	1194	939.065	0	0
NM_001077818.1	1707	1452.06	0	0
