target_id	length	eff_length	est_counts	tpm
Caust.v2_017684-RA	486	226.948	178	23.9435
Caust.v2_017683-RA	387	130.955	611	142.434
Caust.v2_017681-RA	1743	1482.7	1297	26.7042
Caust.v2_014750-RA	3774	3513.7	12	0.104258
Caust.v2_018382-RA	1734	1473.7	869.55	18.0127
Caust.v2_018380-RA	7836	7575.7	1	0.00402968
Caust.v2_021948-RA	516	256.696	27	3.21098
Caust.v2_016598-RA	1107	846.702	880.5	31.7462
Caust.v2_016597-RA	1311	1050.7	1771.96	51.4836
Caust.v2_016598-RB	1107	846.702	880.5	31.7462
Caust.v2_016599-RA	258	40.86	8	5.97703
Caust.v2_016601-RA	294	57.9028	34.7922	18.3432
Caust.v2_018332-RA	417	159.314	0	0
Caust.v2_018329-RA	3876	3615.7	28	0.236406
Caust.v2_019455-RA	2721	2460.7	171.99	2.13371
Caust.v2_017592-RA	1668	1407.7	2	0.0433723
Caust.v2_022015-RA	618	358.314	0.923517	0.0786817
Caust.v2_016262-RA	3312	3051.7	1201	12.0142
Caust.v2_016260-RA	669	409.191	6	0.447629
Caust.v2_016263-RA	6081	5820.7	1676	8.79006
Caust.v2_016261-RA	1890	1629.7	353.815	6.62768
Caust.v2_020608-RA	375	119.989	431.381	109.752
Caust.v2_011685-RA	10707	10446.7	12	0.0350667
Caust.v2_011676-RA	561	301.441	0	0
Caust.v2_011674-RA	2949	2688.7	5845.57	66.3709
Caust.v2_011692-RA	954	693.716	139.012	6.11737
Caust.v2_011676-RC	756	495.977	533	32.8064
Caust.v2_011678-RA	1872	1611.7	4.99989	0.0947041
Caust.v2_011690-RA	1476	1215.7	14750	370.389
Caust.v2_011680-RA	1158	897.702	249	8.4676
Caust.v2_011676-RB	756	495.977	533	32.8064
Caust.v2_012699-RA	582	322.422	4	0.378729
Caust.v2_012705-RA	744	484.007	21	1.32453
Caust.v2_020418-RA	1068	807.702	0	0
Caust.v2_010071-RA	561	301.441	117	11.8489
Caust.v2_010085-RA	753	492.977	270.564	16.7547
Caust.v2_010080-RA	4215	3954.7	197	1.52071
Caust.v2_010082-RA	1452	1191.7	12	0.307402
Caust.v2_010065-RA	1548	1287.7	885	20.9807
Caust.v2_010079-RC	2280	2019.7	332.333	5.02319
Caust.v2_010077-RA	873	612.858	1275	63.5101
Caust.v2_010075-RA	1236	975.702	209.841	6.56548
Caust.v2_010076-RA	255	39.7752	991	760.596
Caust.v2_010063-RA	1956	1695.7	435.883	7.84718
Caust.v2_010069-RA	1194	933.702	1212.61	39.6466
Caust.v2_010079-RA	2280	2019.7	332.333	5.02319
Caust.v2_010066-RA	2379	2118.7	3450	49.7098
Caust.v2_010079-RB	2280	2019.7	332.333	5.02319
Caust.v2_010067-RA	6006	5745.7	2318.45	12.3182
Caust.v2_010078-RA	762	501.977	397	24.1435
Caust.v2_010070-RA	1386	1125.7	808	21.912
Caust.v2_010068-RA	846	585.871	2123	110.622
Caust.v2_010067-RB	5664	5403.7	762.548	4.30793
Caust.v2_010069-RB	861	600.871	366.5	18.6203
Caust.v2_010083-RA	405	147.806	8.62484	1.78137
Caust.v2_010073-RA	3789	3528.7	443.604	3.83772
Caust.v2_010063-RB	543	283.534	88.117	9.4874
Caust.v2_010069-RC	861	600.871	366.5	18.6203
Caust.v2_022129-RA	606	346.336	1201.49	105.905
Caust.v2_018144-RA	648	388.255	0	0
Caust.v2_018142-RA	1713	1452.7	92.6884	1.94779
Caust.v2_018616-RA	2406	2145.7	2520	35.8529
Caust.v2_018617-RA	1476	1215.7	505.637	12.6971
Caust.v2_019811-RA	822	561.882	0	0
Caust.v2_008733-RA	2061	1800.7	1984	33.6351
Caust.v2_008711-RD	1050	789.702	4.5	0.173957
Caust.v2_008716-RA	2760	2499.7	1172	14.3131
Caust.v2_008718-RA	2004	1743.7	405	7.09048
Caust.v2_008713-RC	2985	2724.7	474.333	5.31444
Caust.v2_008713-RA	2985	2724.7	474.333	5.31444
Caust.v2_008727-RA	1377	1116.7	369	10.0875
Caust.v2_008736-RA	2124	1863.7	175	2.86652
Caust.v2_008724-RA	1863	1602.7	580	11.0476
Caust.v2_008729-RB	2958	2697.7	7	0.0792131
Caust.v2_008729-RA	2958	2697.7	7	0.0792131
Caust.v2_008711-RC	1050	789.702	4.5	0.173957
Caust.v2_008711-RA	1050	789.702	4.5	0.173957
Caust.v2_008719-RA	1380	1119.7	52	1.41773
Caust.v2_008735-RA	4020	3759.7	2279	18.5048
Caust.v2_008713-RB	2985	2724.7	474.333	5.31444
Caust.v2_008732-RC	1548	1287.7	502.987	11.9243
Caust.v2_008714-RA	1881	1620.7	1253	23.6016
Caust.v2_008732-RA	1614	1353.7	371.006	8.36665
Caust.v2_008726-RA	486	226.948	447	60.1278
Caust.v2_008732-RB	1614	1353.7	371.006	8.36665
Caust.v2_008730-RA	3675	3414.7	55	0.491703
Caust.v2_008734-RA	1017	756.702	820	33.0813
Caust.v2_008731-RA	3294	3033.7	1601	16.1106
Caust.v2_008711-RB	1050	789.702	4.5	0.173957
Caust.v2_019966-RA	1950	1689.7	6.61051	0.119431
Caust.v2_012988-RA	24711	24450.7	3234	4.03777
Caust.v2_012982-RA	531	271.601	633.609	71.2169
Caust.v2_012983-RA	546	286.511	429.391	45.7514
Caust.v2_012983-RB	525	265.633	0	0
Caust.v2_012994-RA	1260	999.702	95	2.90099
Caust.v2_018737-RA	1107	846.702	8.24656	0.297328
Caust.v2_013194-RA	1287	1026.7	0.652622	0.0194049
Caust.v2_013214-RA	555	295.465	157	16.2214
Caust.v2_013206-RA	1071	810.702	2299	86.5707
Caust.v2_013217-RA	1884	1623.7	8.96572	0.168567
Caust.v2_013214-RB	1461	1200.7	345	8.77156
Caust.v2_013210-RA	657	397.239	169	12.9876
Caust.v2_013199-RA	1128	867.702	2030.48	71.4367
Caust.v2_016495-RA	2208	1947.7	322.441	5.05383
Caust.v2_016494-RA	1767	1506.7	58	1.17515
Caust.v2_017094-RA	2574	2313.7	361	4.76313
Caust.v2_017093-RA	1200	939.702	764	24.8197
Caust.v2_018368-RA	963	702.702	2554	110.954
Caust.v2_018368-RB	1881	1620.7	1469	27.6702
Caust.v2_018723-RA	1308	1047.7	1100.53	32.067
