LOC106783577	XM_014746502.1
LOC106783578	XM_014742661.1
LOC106783579	XM_014742229.1
LOC106783580	XM_014742233.1
LOC106783581	XM_014742236.1
LOC106783582	XM_014742238.1
LOC106783583	XM_014742248.1
LOC106783584	XM_014742252.1
LOC106783585	XM_014742251.1
LOC106783586	XM_014742255.1
LOC106783587	XM_014742256.1
LOC106783588	XM_014742257.1
LOC106783589	XM_014742258.1
LOC106783590	XM_014742259.1
LOC106783591	XM_014742261.1
LOC106783592	XM_014742262.1
LOC106783593	XM_014742263.1
LOC106783594	XM_014742264.1
LOC106783595	XR_001381331.1
LOC106783596	XM_014742265.1
LOC106783597	XM_014742268.1
LOC106783598	XM_014742272.1
LOC106783599	XM_014742315.1
LOC106783600	XM_014742277.1
LOC106783601	XM_014742279.1
LOC106783602	XM_014742285.1
LOC106783603	XM_014742287.1
LOC106783604	XM_014742291.1
LOC106783605	XM_014742292.1
LOC106783606	XM_014742293.1
LOC106783607	XM_014742294.1
LOC106783608	XM_014742299.1
LOC106783609	XM_014742296.1
LOC106783610	XM_014742297.1
LOC106783611	XM_014742298.1
LOC106783612	XM_014742300.1
LOC106783613	XM_014742301.1
LOC106783614	XM_014742302.1
LOC106783615	XM_014742305.1
LOC106783616	XR_001381332.1
LOC106783617	XM_014742308.1
LOC106783618	XM_014742309.1
LOC106783619	XM_014742310.1
LOC106783620	XM_014742312.1
LOC106783621	XM_014742314.1
LOC106783622	XM_014742318.1
LOC106783623	XM_014742319.1
LOC106783624	XM_014742322.1
LOC106783625	XM_014742324.1
LOC106783626	XM_014742327.1
LOC106783627	XM_014742328.1
LOC106783628	XM_014742329.1
LOC106783629	XM_014742332.1
LOC106783630	XM_014742333.1
LOC106783631	XM_014742335.1
LOC106783632	XM_014742336.1
LOC106783633	XM_014742337.1
LOC106783634	XM_014742339.1
LOC106783635	XM_014742340.1
LOC106783636	XM_014742341.1
LOC106783637	XM_014742345.1
LOC106783638	XM_014742342.1
LOC106783639	XM_014742344.1
LOC106783640	XM_014742346.1
LOC106783641	XM_014742347.1
LOC106783642	XM_014742353.1
LOC106783643	XM_014742354.1
LOC106783644	XM_014742355.1
LOC106783645	XM_014742356.1
LOC106783646	XM_014742358.1
LOC106783647	XM_014742359.1
LOC106783648	XM_014742360.1
LOC106783649	XM_014742361.1
LOC106783650	XM_014742362.1
LOC106783651	XM_014742363.1
LOC106783652	XM_014742364.1
LOC106783653	XM_014742365.1
LOC106783654	XR_001381336.1
LOC106783655	XM_014742366.1
LOC106783656	XM_014742371.1
LOC106783657	XM_014742373.1
LOC106783658	XM_014742378.1
LOC106783659	XM_014742379.1
LOC106783660	XM_014742384.1
LOC106783661	XM_014742385.1
LOC106783662	XR_001381337.1
LOC106783663	XM_014742407.1
LOC106783664	XM_014742405.1
LOC106783665	XM_014742409.1
LOC106783666	XM_014742413.1
LOC106783667	XM_014742415.1
LOC106783668	XM_014742418.1
LOC106783669	XM_014742419.1
LOC106783670	XM_014742427.1
LOC106783671	XM_014742430.1
LOC106783672	XM_014742432.1
LOC106783673	XM_014742433.1
LOC106783674	XM_014742456.1
LOC106783675	XM_014742435.1
LOC106783676	XM_014742436.1
LOC106783677	XM_014742437.1
LOC106783678	XM_014742440.1
LOC106783679	XM_014742441.1
LOC106783680	XM_014742444.1
LOC106783681	XM_014742446.1
LOC106783682	XM_014742448.1
LOC106783683	XM_014742450.1
LOC106783684	XM_014742455.1
LOC106783685	XR_001381338.1
LOC106783686	XR_001381339.1
LOC106783687	XR_001381340.1
LOC106783688	XR_001381341.1
LOC106783689	XM_014742460.1
LOC106783690	XM_014742462.1
LOC106783691	XM_014742467.1
LOC106783692	XM_014742463.1
LOC106783693	XM_014742466.1
LOC106783694	XM_014742472.1
LOC106783695	XM_014742473.1
LOC106783696	XM_014742476.1
LOC106783697	XM_014742479.1
LOC106783698	XM_014742480.1
LOC106783699	XM_014742481.1
LOC106783700	XM_014742482.1
LOC106783701	XM_014742483.1
LOC106783702	XM_014742484.1
LOC106783703	XM_014742488.1
LOC106783704	XM_014742485.1
LOC106783705	XM_014742486.1
LOC106783706	XM_014742487.1
LOC106783707	XM_014742489.1
LOC106783708	XM_014742490.1
LOC106783709	XM_014742491.1
LOC106783710	XM_014742493.1
LOC106783711	XM_014742496.1
LOC106783712	XM_014742500.1
LOC106783713	XM_014742498.1
LOC106783714	XM_014742499.1
LOC106783715	XM_014742501.1
LOC106783716	XM_014742503.1
LOC106783717	XM_014742505.1
LOC106783718	XM_014742508.1
LOC106783719	XM_014742512.1
LOC106783720	XM_014742510.1
LOC106783721	XM_014742511.1
LOC106783722	XM_014742513.1
LOC106783723	XM_014742514.1
LOC106783724	XM_014742515.1
LOC106783725	XM_014742516.1
LOC106783726	XM_014742517.1
LOC106783727	XM_014742518.1
LOC106783728	XM_014742519.1
LOC106783729	XM_014742521.1
LOC106783730	XM_014742522.1
LOC106783731	XM_014742523.1
LOC106783732	XM_014742524.1
LOC106783733	XM_014742525.1
LOC106783734	XM_014742526.1
LOC106783735	XM_014742528.1
LOC106783736	XR_001381346.1
LOC106783737	XM_014742529.1
LOC106783738	XM_014742530.1
LOC106783739	XM_014742535.1
LOC106783740	XM_014742539.1
LOC106783741	XM_014742540.1
LOC106783742	XM_014742541.1
LOC106783743	XM_014742542.1
LOC106783744	XM_014742543.1
LOC106783745	XM_014742549.1
LOC106783746	XM_014742545.1
LOC106783747	XM_014742548.1
LOC106783748	XM_014742550.1
LOC106783749	XM_014742551.1
LOC106783750	XM_014742553.1
LOC106783751	XM_014742554.1
LOC106783752	XM_014742556.1
LOC106783753	XM_014742557.1
LOC106783754	XR_001381345.1
LOC106783755	XM_014742558.1
LOC106783756	XM_014742575.1
LOC106783757	XM_014742563.1
LOC106783758	XM_014742566.1
LOC106783759	XM_014742567.1
LOC106783760	XM_014742568.1
LOC106783761	XM_014742580.1
LOC106783762	XM_014742587.1
LOC106783763	XM_014742589.1
LOC106783764	XM_014742590.1
LOC106783765	XM_014742592.1
LOC106783766	XM_014742593.1
LOC106783767	XM_014742608.1
LOC106783768	XM_014742606.1
LOC106783769	XM_014742607.1
LOC106783770	XM_014742609.1
LOC106783771	XM_014742610.1
LOC106783772	XM_014742611.1
LOC106783773	XM_014742612.1
LOC106783774	XM_014742615.1
LOC106783775	XM_014742616.1
LOC106783776	XR_001381351.1
LOC106783777	XM_014742618.1
LOC106783778	XM_014742619.1
LOC106783779	XM_014742621.1
LOC106783780	XM_014742624.1
LOC106783781	XM_014742631.1
LOC106783782	XR_001381347.1
LOC106783783	XR_001381349.1
LOC106783784	XM_014742633.1
LOC106783785	XM_014742635.1
LOC106783786	XM_014742636.1
LOC106783787	XM_014742639.1
LOC106783788	XM_014742640.1
LOC106783789	XR_001381350.1
LOC106783790	XM_014742643.1
LOC106783791	XM_014742650.1
LOC106783792	XM_014742646.1
LOC106783793	XM_014742651.1
LOC106783794	XM_014742658.1
LOC106783795	XR_001381352.1
LOC106783796	XM_014742667.1
LOC106783797	XM_014742670.1
LOC106783798	XM_014742680.1
LOC106783799	XM_014742686.1
LOC106783800	XM_014742681.1
LOC106783801	XM_014742688.1
LOC106783802	XM_014742689.1
LOC106783803	XM_014742693.1
LOC106783804	XM_014742695.1
LOC106783805	XM_014742697.1
LOC106783806	XM_014742699.1
LOC106783807	XR_001381354.1
