target_id	length	eff_length	est_counts	tpm
Caust.v2_017684-RA	486	222.12	385	53.919
Caust.v2_017683-RA	387	126.89	757	185.582
Caust.v2_017681-RA	1743	1477.69	1706	35.9141
Caust.v2_014750-RA	3774	3508.69	30	0.265978
Caust.v2_018382-RA	1734	1468.69	1388.31	29.4053
Caust.v2_018380-RA	7836	7570.69	3	0.0123269
Caust.v2_021948-RA	516	251.86	28	3.45833
Caust.v2_016598-RA	1107	841.689	837.5	30.9529
Caust.v2_016597-RA	1311	1045.69	1401.53	41.6936
Caust.v2_016598-RB	1107	841.689	837.5	30.9529
Caust.v2_016599-RA	258	39.1424	40	31.7893
Caust.v2_016601-RA	294	55.4365	67.4487	37.8483
Caust.v2_018332-RA	417	154.931	0	0
Caust.v2_018329-RA	3876	3610.69	3.98471e-08	3.43301e-10
Caust.v2_019455-RA	2721	2455.69	181.359	2.29739
Caust.v2_017592-RA	1668	1402.69	0	0
Caust.v2_022015-RA	618	353.469	11.1689	0.982945
Caust.v2_016262-RA	3312	3046.69	1983	20.2471
Caust.v2_016260-RA	669	404.386	3	0.230778
Caust.v2_016263-RA	6081	5815.69	1990	10.6444
Caust.v2_016261-RA	1890	1624.69	427.926	8.19345
Caust.v2_020608-RA	375	115.87	173	46.4454
Caust.v2_011685-RA	10707	10441.7	8	0.0238335
Caust.v2_011676-RA	561	296.657	0	0
Caust.v2_011674-RA	2949	2683.69	6024.41	69.8314
Caust.v2_011692-RA	954	688.789	65	2.93559
Caust.v2_011676-RC	756	491.216	436.5	27.6427
Caust.v2_011678-RA	1872	1606.69	12	0.232337
Caust.v2_011690-RA	1476	1210.69	27443	705.127
Caust.v2_011680-RA	1158	892.689	254	8.8512
Caust.v2_011695-RA	2475	2209.69	799.696	11.258
Caust.v2_011676-RB	756	491.216	436.5	27.6427
Caust.v2_012697-RB	516	251.86	417	51.5045
Caust.v2_012697-RA	975	709.747	170.844	7.48798
Caust.v2_012700-RA	1116	850.689	1	0.0365677
Caust.v2_012697-RC	516	251.86	417	51.5045
Caust.v2_012697-RD	516	251.86	417	51.5045
Caust.v2_012699-RA	582	317.541	12	1.17557
Caust.v2_012705-RA	744	479.235	2	0.129822
Caust.v2_020418-RA	1068	802.689	0	0
Caust.v2_010071-RA	561	296.657	54	5.66249
Caust.v2_010085-RA	753	488.216	190.554	12.1416
Caust.v2_010080-RA	4215	3949.69	194	1.52794
Caust.v2_010082-RA	1452	1186.69	14	0.366995
Caust.v2_010065-RA	1548	1282.69	499	12.1017
Caust.v2_010079-RC	2280	2014.69	414.667	6.40265
Caust.v2_010077-RA	873	608.023	1302	66.6131
Caust.v2_010075-RA	1236	970.689	239.55	7.67689
Caust.v2_010076-RA	255	38.097	797	650.783
Caust.v2_010063-RA	1956	1690.69	301.74	5.55184
Caust.v2_010069-RA	1194	928.689	1538.08	51.52
Caust.v2_010079-RA	2280	2014.69	414.667	6.40265
Caust.v2_010066-RA	2379	2113.69	2540	37.3819
