Orthogroup	Acep	Amel	Bter	Caus	Hlab	Pcan	Sinv	Vcra
OG0000000		XR_003304458.1, XR_003304459.1, XR_003304460.1, XR_003304461.1, XR_003304462.1, XR_003304463.1, XR_003304464.1, XR_003304465.1, XR_003304466.1, XR_003304467.1, XR_003304468.1, XR_003304469.1, XR_003304470.1, XR_003304471.1, XR_003304472.1, XR_003304473.1, XR_003304474.1, XR_003304475.1, XR_003304476.1, XR_003304477.1, XR_003304478.1, XR_003304479.1, XR_003304480.1, XR_003304481.1, XR_003304486.1, XR_003304487.1, XR_003304633.1, XR_003305377.1, XR_003305379.1, XR_003305380.1, XR_003305907.1, XR_003305908.1, XR_003305909.1, XR_003305910.1, XR_003305911.1, XR_003305912.1, XR_003305913.1, XR_003305916.1, XR_003305918.1, XR_003305919.1, XR_003305920.1	XR_007224905.1				XR_003268377.1, XR_003268397.1, XR_003268427.1, XR_003268495.1, XR_003268503.1, XR_003268629.1, XR_003268660.1, XR_003268767.1, XR_003268784.1, XR_003268836.1, XR_003268837.1, XR_003268895.1, XR_003268896.1, XR_003268915.1, XR_003268947.2, XR_003268993.2, XR_003269057.1, XR_003269058.1, XR_003269095.1, XR_003269192.1, XR_003269193.1, XR_003269201.2, XR_003269554.1, XR_005574956.1, XR_005575493.1	XR_006944296.1, XR_006944297.1, XR_006944298.1, XR_006944299.1, XR_006944300.1, XR_006944302.1, XR_006944303.1, XR_006944304.1, XR_006944305.1, XR_006944306.1, XR_006944307.1, XR_006944308.1, XR_006944309.1, XR_006944310.1, XR_006944311.1, XR_006944312.1, XR_006944313.1, XR_006944314.1, XR_006944315.1, XR_006944316.1, XR_006944317.1, XR_006944318.1, XR_006944319.1, XR_006944320.1, XR_006944321.1, XR_006944322.1, XR_006944323.1, XR_006944324.1, XR_006944325.1, XR_006944326.1, XR_006944327.1, XR_006944328.1, XR_006944329.1, XR_006944330.1, XR_006944331.1, XR_006944332.1, XR_006944333.1, XR_006944334.1, XR_006944335.1, XR_006944336.1, XR_006944337.1, XR_006944338.1, XR_006944339.1, XR_006944340.1, XR_006944341.1, XR_006944342.1, XR_006944343.1, XR_006944344.1, XR_006944345.1, XR_006944346.1, XR_006944347.1, XR_006944348.1, XR_006944349.1
OG0000001							XM_011157028.3, XM_011163529.3, XM_011168457.3, XM_039448647.1, XM_039453563.1, XR_003268230.2, XR_003268604.2, XR_003268642.2, XR_003268675.2, XR_003268763.2, XR_003268766.2, XR_003268839.2, XR_003268863.2, XR_003269275.2, XR_005574133.1, XR_005574163.1, XR_005574189.1, XR_005574200.1, XR_005574202.1, XR_005574229.1, XR_005574297.1, XR_005574369.1, XR_005574494.1, XR_005574496.1, XR_005574513.1, XR_005574523.1, XR_005574812.1, XR_005574854.1, XR_005574937.1, XR_005575028.1, XR_005575046.1, XR_005575066.1, XR_005575145.1, XR_005575211.1, XR_005575502.1, XR_005575577.1, XR_005575624.1, XR_005575653.1, XR_005575660.1, XR_005575709.1, XR_005575751.1, XR_005575826.1, XR_005575877.1, XR_005575908.1, XR_005576017.1, XR_005576096.1, XR_005576124.1, XR_005576160.1, XR_005576222.1, XR_005576364.1, XR_005576631.1, XR_005576710.1, XR_005576711.1, XR_850576.3, XR_850657.3, XR_850823.3, XR_850896.3, XR_850897.3, XR_851027.3, XR_851287.3	
OG0000002		XR_003306223.1	XM_048404290.1, XM_048404291.1, XM_048404463.1, XM_048404466.1, XM_048404469.1, XM_048404615.1, XM_048404620.1, XM_048404641.1, XM_048404644.1, XM_048404676.1, XM_048404688.1, XM_048404933.1, XM_048404945.1, XM_048404946.1, XM_048405074.1, XM_048405075.1, XM_048405076.1, XM_048405078.1, XM_048405090.1, XM_048405091.1, XM_048405390.1, XM_048405395.1, XM_048405399.1, XM_048405404.1, XM_048405513.1, XM_048414175.1, XM_048414177.1, XM_048414600.1, XM_048414602.1, XM_048414673.1, XM_048414735.1, XM_048414738.1, XR_007223520.1, XR_007223715.1, XR_007223717.1, XR_007223719.1, XR_007223722.1, XR_007223724.1, XR_007226144.1, XR_007227411.1, XR_007227604.1, XR_007227824.1					
OG0000003		XR_003306369.1, XR_003306438.1, XR_003306450.1, XR_003306453.1	XR_007227550.1, XR_007227551.1, XR_007227552.1, XR_007227553.1, XR_007227554.1, XR_007227555.1, XR_007227556.1, XR_007227558.1, XR_007227685.1, XR_007227688.1, XR_007227693.1				XR_003268781.2, XR_005576663.1, XR_005576664.1, XR_005576681.1, XR_005576689.1	XR_006943329.1, XR_006943330.1, XR_006943331.1, XR_006943332.1, XR_006943333.1, XR_006943334.1, XR_006943335.1, XR_006943336.1, XR_006943337.1, XR_006943339.1, XR_006943340.1, XR_006943341.1, XR_006943342.1, XR_006943343.1, XR_006943344.1, XR_006943345.1, XR_006943346.1
OG0000004		XR_003306399.1, XR_003306401.1, XR_003306437.1, XR_003306449.1, XR_003306452.1	XR_007227547.1, XR_007227548.1, XR_007227549.1, XR_007227557.1, XR_007227559.1, XR_007227560.1, XR_007227561.1, XR_007227683.1, XR_007227687.1, XR_007227691.1, XR_007227692.1				XR_003268488.1, XR_003269576.2, XR_005576662.1, XR_005576680.1, XR_005576687.1	XR_006943317.1, XR_006943318.1, XR_006943319.1, XR_006943320.1, XR_006943321.1, XR_006943322.1, XR_006943323.1, XR_006943324.1, XR_006943325.1, XR_006943326.1, XR_006943327.1, XR_006943328.1, XR_006943338.1, XR_006943347.1, XR_006943351.1
OG0000005			XM_048404741.1, XM_048404967.1, XM_048404970.1, XM_048405092.1, XM_048405094.1, XM_048405095.1, XM_048405097.1, XM_048405397.1, XM_048405398.1, XM_048405406.1, XM_048405483.1, XM_048405518.1, XM_048414736.1, XR_007223477.1, XR_007223515.1, XR_007223518.1, XR_007223531.1, XR_007223535.1, XR_007223549.1, XR_007223557.1, XR_007223727.1, XR_007223731.1, XR_007223747.1, XR_007223748.1, XR_007223749.1, XR_007223787.1, XR_007223921.1, XR_007223933.1, XR_007225241.1, XR_007225243.1, XR_007227603.1, XR_007227765.1, XR_007227785.1, XR_007227807.1					
OG0000006							XM_026132398.2, XM_026142185.2, XM_026142238.2, XM_039446318.1, XM_039446339.1, XM_039447252.1, XM_039448016.1, XM_039449676.1, XM_039449679.1, XM_039449752.1, XM_039450105.1, XM_039450110.1, XM_039452101.1, XM_039453397.1, XM_039454550.1, XM_039455244.1, XM_039456391.1, XM_039456829.1, XM_039456841.1, XM_039456843.1, XM_039456845.1, XR_003268762.2, XR_003269189.2, XR_003269292.2, XR_003269684.2, XR_005574391.1, XR_005574980.1, XR_005575070.1, XR_005575072.1, XR_005575256.1, XR_005575570.1, XR_005575983.1, XR_005576272.1, XR_005576280.1	
OG0000007							XM_011167777.2, XM_026132016.1, XM_026139717.1, XM_026141108.2, XM_026141738.1, XM_026142082.2, XM_039445835.1, XM_039447439.1, XM_039447516.1, XM_039447524.1, XM_039447537.1, XM_039447574.1, XM_039447584.1, XM_039448435.1, XM_039450455.1, XM_039451948.1, XM_039452036.1, XM_039453122.1, XM_039453133.1, XM_039453191.1, XM_039454097.1, XM_039454478.1, XM_039454805.1, XM_039454809.1, XM_039454819.1, XM_039456456.1, XM_039456480.1, XM_039456507.1, XM_039457053.1, XM_039457089.1, XM_039457569.1, XM_039459352.1, XM_039459637.1	
OG0000008							XR_005574161.1, XR_005574350.1, XR_005574360.1, XR_005574376.1, XR_005574470.1, XR_005574534.1, XR_005574568.1, XR_005574857.1, XR_005574899.1, XR_005574928.1, XR_005574934.1, XR_005574970.1, XR_005574971.1, XR_005574994.1, XR_005575053.1, XR_005575290.1, XR_005575384.1, XR_005575412.1, XR_005575430.1, XR_005575431.1, XR_005575435.1, XR_005575440.1, XR_005575574.1, XR_005575580.1, XR_005575716.1, XR_005575823.1, XR_005576034.1, XR_005576175.1, XR_005576233.1, XR_005576318.1, XR_005576507.1, XR_005576678.1, XR_005576690.1	
OG0000009	XM_012199157.1						XM_011172946.3, XM_039446507.1, XM_039446551.1, XM_039446560.1, XM_039446687.1, XM_039447343.1, XM_039447946.1, XM_039450332.1, XM_039450471.1, XM_039450628.1, XM_039452332.1, XM_039452338.1, XM_039453027.1, XM_039453213.1, XM_039453343.1, XM_039453353.1, XM_039453376.1, XM_039453438.1, XM_039453795.1, XM_039453796.1, XM_039454415.1, XM_039454582.1, XM_039455798.1, XM_039455942.1, XM_039456279.1, XM_039459233.1, XM_039459234.1, XM_039459238.1, XR_005574979.1, XR_005575769.1, XR_005576093.1	
