target_id	length	eff_length	est_counts	tpm
Caust.v2_017682-RA	354	106.652	368	132.231
Caust.v2_017684-RA	486	232.778	245	40.3347
Caust.v2_017683-RA	387	136.594	706	198.074
Caust.v2_017681-RA	1743	1488.72	1311	33.7477
Caust.v2_014758-RA	216	31.6139	11	13.3343
Caust.v2_014750-RA	3774	3519.72	22	0.239535
Caust.v2_014755-RA	597	343.248	0	0
Caust.v2_014749-RA	5652	5397.72	7.03917	0.0499765
Caust.v2_014757-RA	318	77.5447	4	1.9768
Caust.v2_018382-RA	1734	1479.72	662.458	17.1567
Caust.v2_018380-RA	7836	7581.72	4	0.0202184
Caust.v2_021948-RA	516	262.529	23	3.35741
Caust.v2_021016-RA	1929	1674.72	16.0823	0.368011
Caust.v2_016600-RA	291	59.4946	3	1.93241
Caust.v2_016598-RA	1107	852.718	590	26.5156
Caust.v2_016597-RA	1311	1056.72	999.004	36.2295
Caust.v2_016598-RB	1107	852.718	590	26.5156
Caust.v2_016596-RA	414	162.161	128.695	30.4138
Caust.v2_016599-RA	258	43.3066	22	19.468
Caust.v2_016601-RA	294	61.2866	45	28.1385
Caust.v2_018332-RA	417	165.061	0	0
Caust.v2_018329-RA	3876	3621.72	8.1563e-08	8.63043e-10
Caust.v2_021597-RA	216	31.6139	0	0
Caust.v2_019455-RA	2721	2466.72	93.5083	1.45273
Caust.v2_017592-RA	1668	1413.72	1	0.0271076
Caust.v2_022015-RA	618	364.24	13.9354	1.46618
Caust.v2_016262-RA	3312	3057.72	1058	13.26
Caust.v2_016260-RA	669	415.149	4	0.369241
Caust.v2_016263-RA	6081	5826.72	1205	7.92533
Caust.v2_016261-RA	1890	1635.72	255.44	5.9846
Caust.v2_019468-RA	387	136.594	66.8889	18.7662
Caust.v2_019469-RA	201	29.2467	0.5	0.65516
Caust.v2_020610-RA	24	10	0	0
Caust.v2_020609-RA	48	15.9394	83	199.554
Caust.v2_020608-RA	375	125.489	221	67.4901
Caust.v2_011685-RA	10707	10452.7	12	0.0439953
Caust.v2_011676-RA	561	307.351	0	0
Caust.v2_011674-RA	2949	2694.72	5000.56	71.1147
Caust.v2_011692-RA	954	699.748	68	3.7241
Caust.v2_011676-RC	756	501.886	445.5	34.0171
Caust.v2_011678-RA	1872	1617.72	13	0.30796
Caust.v2_011690-RA	1476	1221.72	30017	941.566
Caust.v2_011679-RA	549	295.389	6	0.778416
Caust.v2_011689-RA	294	61.2866	0	0
Caust.v2_011680-RA	1158	903.718	189	8.01463
Caust.v2_011675-RA	732	477.947	33.3209	2.67172
Caust.v2_011681-RA	195	28.5898	0	0
Caust.v2_011695-RA	2475	2220.72	1979.79	34.165
Caust.v2_011676-RB	756	501.886	445.5	34.0171
Caust.v2_020810-RA	3054	2799.72	9.54881	0.130704
Caust.v2_021644-RA	270	48.4138	671	531.138
Caust.v2_012697-RB	516	262.529	391	57.076
Caust.v2_012697-RA	975	720.748	114.168	6.07037
Caust.v2_012715-RA	723	468.947	0	0
Caust.v2_012703-RA	630	376.225	1	0.101861
