target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	998.827	20414	2423.1
NM_001011562.1	863	610.854	74.5356	14.4664
NM_001011563.1	2084	1831.83	302	19.5459
NM_001011564.2	1326	1073.83	257	28.3748
NM_001011565.1	3023	2770.83	94.438	4.04083
NM_001011566.1	1503	1250.83	0	0
NM_001011567.1	4030	3777.83	7.28547	0.228638
NM_001011568.1	2077	1824.83	15.1661	0.985336
NM_001011570.1	582	330.265	4798	1722.39
NM_001011571.1	2093	1840.83	1.17041	0.0753806
NM_001011572.1	2346	2093.83	17269	977.822
NM_001011573.1	3160	2907.83	0.0310938	0.00126776
NM_001011574.1	1940	1687.83	216	15.1726
NM_001011575.1	2163	1910.83	28.182	1.74857
NM_001011576.1	1195	942.827	55	6.91614
NM_001011577.1	2389	2136.83	608.069	33.7378
NM_001011578.1	5441	5188.83	257	5.87215
NM_001011579.1	1430	1177.83	101	10.1665
NM_001011580.1	1544	1291.83	4.09587	0.375902
NM_001011581.1	2439	2186.83	0	0
NM_001011582.1	356	109.847	22	23.7448
NM_001011583.2	635	383.158	62570	19360.7
NM_001011584.1	1606	1353.83	309.994	27.1471
NM_001011585.1	1638	1385.83	123.225	10.542
NM_001011586.1	2205	1952.83	0	0
NM_001011587.1	496	244.492	0	0
NM_001011588.1	724	471.934	4	1.00487
NM_001011589.1	624	372.187	204	64.9834
NM_001011590.1	574	322.265	2	0.735784
NM_001011591.1	584	332.252	0	0
NM_001011592.1	1590	1337.83	2317.25	205.355
NM_001011593.1	548	296.359	0	0
NM_001011594.1	4195	3942.83	4.59371	0.13813
NM_001011595.1	2818	2565.83	59.8938	2.7675
NM_001011596.1	4100	3847.83	211.196	6.50734
NM_001011597.1	2673	2420.83	52	2.54667
NM_001011598.1	1624	1371.83	3207	277.162
NM_001011599.1	1942	1689.83	14.7512	1.03495
NM_001011600.1	2052	1799.83	132	8.69514
NM_001011601.1	1830	1577.83	17	1.27739
NM_001011602.1	2795	2542.83	369	17.2045
NM_001011603.1	1683	1430.83	682.35	56.5397
NM_001011604.3	685	433.037	2161.31	591.732
NM_001011605.1	1448	1195.83	208	20.6219
NM_001011606.1	1757	1504.83	1	0.0787856
NM_001011607.2	381	132.306	120479	107961
NM_001011608.1	1873	1620.83	134	9.8017
NM_001011610.1	1612	1359.83	20.9033	1.82249
NM_001011611.2	369	121.324	1366.69	1335.54
NM_001011612.1	304	70.3307	706.312	1190.65
NM_001011613.1	710	457.969	1705	441.389
NM_001011614.1	688	436.037	3014	819.507
NM_001011615.1	664	412.053	5248	1509.99
NM_001011616.2	680	428.037	3556	984.948
NM_001011617.1	374	125.838	2278	2146.23
NM_001011618.1	523	271.423	131.835	57.5859
NM_001011619.1	1559	1306.83	203.601	18.4712
NM_001011620.1	957	704.854	2.02565	0.340721
NM_001011621.1	3254	3001.83	7.34844	0.29023
NM_001011622.1	1529	1276.83	10	0.928541
NM_001011623.1	3376	3123.83	0	0
NM_001011624.1	4969	4716.83	18.7307	0.470802
NM_001011625.2	1940	1687.83	0	0
NM_001011626.2	755	502.916	2458.52	579.578
NM_001011627.1	2520	2267.83	304	15.8927
NM_001011628.2	1386	1133.83	502.059	52.4979
NM_001011629.1	14440	14187.8	1398.05	11.6826
NM_001011630.1	630	378.187	606.222	190.046
NM_001011631.1	1741	1488.83	24.3112	1.93596
NM_001011632.2	2009	1756.83	1.16501	0.0786199
NM_001011633.1	1533	1280.83	98.452	9.11312
NM_001011634.2	3754	3501.83	55.0906	1.86516
NM_001011635.1	1447	1194.83	179	17.7616
NM_001011636.1	570	318.277	700	260.751
NM_001011637.1	1369	1116.83	0	0
NM_001011638.1	584	332.252	12	4.282
NM_001011639.2	1806	1553.83	0	0
NM_001011640.1	991	738.827	2506	402.135
NM_001011641.1	970	717.827	136.97	22.6225
NM_001011643.1	2378	2125.83	17	0.9481
NM_001011644.2	1200	947.827	42.5111	5.31748
NM_001011650.1	2242	1989.83	7	0.417077
NM_001011652.2	969	716.827	44	7.27732
NM_001011653.2	898	645.854	30.4571	5.59097
NM_001011654.2	749	496.916	230.627	55.0251
NM_001012429.1	672	420.037	435.457	122.911
NM_001012615.1	1097	844.827	61	8.56043
NM_001012627.1	3153	2900.83	18.9742	0.77549
NM_001012962.1	3606	3353.83	31	1.09586
NM_001012963.1	502	250.473	1	0.473339
NM_001013006.1	2991	2738.83	42.5832	1.84335
NM_001013359.2	1964	1711.83	23.1121	1.60071
NM_001013361.1	4113	3860.83	335	10.2872
NM_001014429.1	1427	1174.83	705	71.1457
NM_001014430.1	438	187.05	0	0
NM_001014983.1	3250	2997.83	1	0.0395482
NM_001014991.1	7242	6989.83	276.452	4.68907
NM_001014992.2	2498	2245.83	252.366	13.3226
NM_001014993.1	1386	1133.83	6.42801	0.672145
NM_001014994.1	1892	1639.83	794.785	57.4625
NM_001024697.1	1793	1540.83	397	30.5471
NM_001032361.1	3585	3332.83	8.1081	0.288429
NM_001037318.2	2515	2262.83	2.82429	0.147976
NM_001039968.1	1349	1096.83	21.8944	2.36661
NM_001040203.1	644	392.129	13.728	4.1506
NM_001040204.1	793	540.876	43.0132	9.42839
NM_001040205.1	698	446.004	288	76.5574
NM_001040206.1	682	430.037	3804	1048.74
NM_001040207.1	1179	926.827	741	94.7879
NM_001040208.1	582	330.265	297	106.617
NM_001040209.1	588	336.227	159.438	56.2202
NM_001040220.1	483	231.555	3	1.53603
NM_001040221.1	459	207.762	238.107	135.875
NM_001040223.1	555	303.348	6	2.34501
NM_001040224.1	399	149.153	1	0.79488
NM_001040225.1	407	156.854	2.35593	1.78074
NM_001040226.1	432	181.154	49	32.0687
NM_001040227.1	724	471.934	1303	327.338
NM_001040229.1	453	201.816	4	2.34983
NM_001040230.1	13107	12854.8	45.0692	0.415669
NM_001040231.1	363	116.052	0	0
NM_001040233.1	1647	1394.83	10974.5	932.819
NM_001040234.1	1500	1247.83	1108.23	105.295
NM_001040235.2	6077	5824.83	0	0
NM_001040236.1	1767	1514.83	83408	6527.97
NM_001040237.1	5107	4854.83	502.759	12.2778
NM_001040255.1	1893	1640.83	118.42	8.55649
NM_001040256.1	767	514.916	100.625	23.1687
NM_001040257.1	1554	1301.83	16.7564	1.52602
NM_001040258.1	1250	997.827	8872.4	1054.19
NM_001040259.1	1743	1490.83	136647	10866.9
NM_001040262.2	438	187.05	4	2.53534
NM_001040263.1	1550	1297.83	486	44.3969
NM_001040264.1	1600	1347.83	166	14.6018
NM_001040265.1	1689	1436.83	59.8447	4.93804
NM_001040266.2	1599	1346.83	0	0
NM_001040267.1	1895	1642.83	143.629	10.3653
NM_001040269.1	1397	1144.83	1.28594	0.133172
NM_001040270.1	509	257.464	138	63.5472
NM_001040277.1	2150	1897.83	24.4562	1.5278
NM_001040681.1	2499	2246.83	82	4.32691
NM_001042458.1	1737	1484.83	136.315	10.8843
NM_001042460.1	1794	1541.83	64.8393	4.98581
NM_001077808.1	5328	5075.83	37.0352	0.86505
NM_001077809.1	1344	1091.83	0	0
NM_001077810.1	354	108.173	641	702.544
NM_001077811.1	1287	1034.83	0	0
NM_001077812.1	1470	1217.83	0	0
NM_001077813.1	3226	2973.83	106.814	4.25839
NM_001077814.1	387	137.813	4.34247	3.73577
NM_001077815.1	1855	1602.83	17.7602	1.3137
NM_001077816.1	1530	1277.83	0	0
NM_001077817.1	1194	941.827	6	0.75529
NM_001077818.1	1707	1454.83	0	0
NM_001077819.1	378	129.518	22.3824	20.4886
NM_001077820.1	351	105.518	580	651.679
NM_001077821.1	4097	3844.83	0	0
NM_001077822.1	1533	1280.83	0	0
NM_001077823.2	516	264.434	197.257	88.4399
NM_001077824.1	1842	1589.83	0	0
NM_001077825.1	1158	905.827	0	0
NM_001078661.1	315	77.5241	2	3.05863
NM_001079560.1	1607	1354.83	1	0.0875083
NM_001079561.1	1701	1448.83	0	0
NM_001080094.2	2123	1870.83	5	0.316862
NM_001080095.1	1590	1337.83	2.41733	0.214225
NM_001080110.1	2703	2450.83	105.384	5.09794
NM_001080205.1	2713	2460.83	251.82	12.1323
NM_001083630.1	1713	1460.83	77.8312	6.31667
NM_001085344.1	515	263.444	16320	7344.56
NM_001085345.1	1491	1238.83	10973	1050.14
NM_001085346.1	509	257.464	19786.3	9111.32
NM_001097154.2	1766	1513.83	1773.51	138.896
NM_001098167.1	767	514.916	348.48	80.237
NM_001098214.1	1863	1610.83	0	0
NM_001098215.2	2635	2382.83	44.6012	2.21915
NM_001098217.1	2187	1934.83	6.03789	0.369979
NM_001098218.1	2148	1895.83	26.3097	1.64532
NM_001098219.1	2139	1886.83	19.9208	1.25172
NM_001098220.1	1806	1553.83	0	0
NM_001098221.1	1763	1510.83	1	0.0784727
NM_001098223.1	1436	1183.83	31	3.10461
NM_001098224.2	1333	1080.83	623	68.3385
NM_001098228.1	1286	1033.83	209.789	24.0584
NM_001098229.1	1284	1031.83	168	19.3035
NM_001098232.1	1146	893.827	115.75	15.3532
NM_001098234.1	462	210.722	34.13	19.2026
NM_001098717.1	2199	1946.83	82	4.99367
NM_001101023.1	3033	2780.83	68.8201	2.9341
NM_001104949.1	3122	2869.83	9.73491	0.40217
NM_001110712.2	754	501.916	75	17.7159
NM_001110764.1	2606	2353.83	182	9.16706
NM_001111255.1	2504	2251.83	0	0
NM_001112670.1	3330	3077.83	256.384	9.87597
NM_001112671.1	3001	2748.83	414.077	17.8594
NM_001112672.2	1701	1448.83	60.8993	4.98344
NM_001113285.1	2779	2526.83	4.47731	0.210075
NM_001113739.1	1509	1256.83	1104.17	104.159
NM_001114188.1	1950	1697.83	0	0
NM_001114198.1	730	477.934	2585.98	641.491
NM_001115078.1	2659	2406.83	20.3313	1.0015
NM_001123013.2	6157	5904.83	133.192	2.67425
NM_001126243.2	2949	2696.83	1656.99	72.845
NM_001126244.1	1674	1421.83	40	3.33539
NM_001131037.1	1164	911.827	0	0
NM_001131038.1	2722	2469.83	295	14.1608
NM_001134227.1	1704	1451.83	454.686	37.1304
NM_001134333.1	282	57.7359	0.77272	1.58675
NM_001134371.1	591	339.227	122	42.6386
NM_001134668.1	2541	2288.83	678	35.1196
NM_001134669.1	584	332.252	1	0.356833
NM_001134722.1	105	29.9424	0	0
NM_001134828.1	1495	1242.83	850	81.0852
NM_001134934.1	3281	3028.83	5.59986	0.219198
NM_001134935.1	2337	2084.83	0	0
NM_001134936.1	1992	1739.83	2.49692	0.17015
NM_001134940.1	1464	1211.83	0	0
NM_001134942.1	1621	1368.83	313	27.11
NM_001134943.1	1434	1181.83	10	1.00318
NM_001134947.1	1760	1507.83	179.555	14.1182
NM_001134948.1	3181	2928.83	292.722	11.8494
NM_001134949.1	3346	3093.83	1462.73	56.0534
NM_001134950.1	2295	2042.83	114.847	6.66532
NM_001135735.1	1032	779.827	5132	780.228
NM_001135905.1	488	236.528	218.673	109.609
NM_001135909.1	320	81.0673	985	1440.53
NM_001136187.1	614	362.187	437	143.048
NM_001136206.1	1002	749.827	11	1.73926
NM_001136207.1	930	677.854	1	0.174903
NM_001136208.1	1008	755.827	1	0.15686
NM_001136209.1	1029	776.827	11	1.67881
NM_001141964.1	2248	1995.83	4567.79	271.342
NM_001142436.1	1295	1042.83	271.828	30.904
NM_001142461.1	824	571.876	162	33.5851
NM_001142561.1	1943	1690.83	64.9665	4.55537
NM_001142607.1	642	390.143	21	6.38158
NM_001142609.1	1671	1418.83	3.17096	0.264969
NM_001142637.1	999	746.827	22	3.4925
NM_001142656.2	710	457.969	0	0
NM_001142693.1	1386	1133.83	0	0
NM_001143878.1	1377	1124.83	0	0
NM_001143879.1	1428	1175.83	0	0
NM_001143880.1	1470	1217.83	0	0
NM_001143921.1	2102	1849.83	35.6401	2.28424
NM_001144839.2	596	344.227	490.797	169.04
NM_001145735.2	1347	1094.83	31.0265	3.35986
NM_001145736.1	2424	2171.83	42.2736	2.30769
NM_001145737.1	2433	2180.83	1.89478	0.103008
NM_001145738.1	2787	2534.83	12.6722	0.592702
NM_001145739.1	2553	2300.83	0	0
NM_001145740.1	3633	3380.83	41	1.43779
NM_001159303.1	1404	1151.83	0	0
NM_001159355.1	2782	2529.83	269.767	12.6424
NM_001160048.1	2747	2494.83	3606	171.364
NM_001160050.1	2417	2164.83	41650	2281
NM_001160052.1	2920	2667.83	3908.95	173.714
NM_001160064.1	2844	2591.83	12384	566.485
NM_001160072.1	2237	1984.83	2215	132.307
NM_001160270.1	698	446.004	924.888	245.858
NM_001160405.2	2980	2727.83	279.606	12.1524
NM_001161709.2	856	603.854	377	74.019
NM_001161787.1	927	674.854	2426.24	426.243
NM_001161788.1	843	590.854	171.76	34.4647
NM_001161831.1	683	431.037	701.264	192.886
NM_001162398.1	165	33.1091	92	329.438
NM_001162513.1	4073	3820.83	13.3258	0.413495
NM_001162516.1	1758	1505.83	28.461	2.24083
