target_id	length	eff_length	est_counts	tpm
XM_014742228.1	1554	1298.79	8.92952	0.242288
XM_014742229.1	6556	6300.79	241.362	1.34995
XM_014742230.1	4471	4215.79	0	0
XM_014742231.1	4411	4155.79	48.2219	0.408915
XM_014742232.1	4408	4152.79	6.91827	0.0587084
XM_014742233.1	4891	4635.79	167.314	1.2719
XM_014742234.1	4493	4237.79	43.1314	0.358671
XM_014742235.1	4485	4229.79	43.6422	0.363605
XM_014742236.1	3695	3439.79	98	1.00401
XM_014742237.1	1518	1262.79	34.6131	0.965942
XM_014742238.1	3386	3130.79	1215.98	13.6872
XM_014742251.1	7242	6986.79	776.015	3.91413
XM_014742253.1	7131	6875.79	268.562	1.37646
XM_014742254.1	7168	6912.79	860.117	4.38477
XM_014742255.1	3032	2776.79	308.775	3.91869
XM_014742257.1	4261	4005.79	190.381	1.67485
XM_014742258.1	2579	2323.79	1399	21.216
XM_014742259.1	2635	2379.79	1134	16.7926
XM_014742261.1	1661	1405.79	608	15.2414
XM_014742262.1	1886	1630.79	839.619	18.1437
XM_014742263.1	2997	2741.79	162	2.0822
XM_014742264.1	8489	8233.79	1591.98	6.81367
XM_014742265.1	6058	5802.79	240.534	1.46077
XM_014742266.1	7981	7725.79	296.026	1.3503
XM_014742267.1	8003	7747.79	0	0
XM_014742268.1	8071	7815.79	298.429	1.34558
XM_014742269.1	8038	7782.79	222.866	1.00914
XM_014742270.1	7972	7716.79	84.6988	0.386797
XM_014742271.1	7966	7710.79	0	0
XM_014742272.1	1397	1141.79	1.42501	0.0439819
XM_014742273.1	7858	7602.79	0	0
XM_014742274.1	7843	7587.79	0	0
XM_014742275.1	2899	2643.79	876.438	11.6825
XM_014742276.1	2982	2726.79	0	0
XM_014742277.1	3017	2761.79	295.585	3.77168
XM_014742278.1	2715	2459.79	936.977	13.4237
XM_014742279.1	4101	3845.79	519.542	4.76078
XM_014742280.1	3880	3624.79	0	0
XM_014742281.1	3871	3615.79	0	0
XM_014742282.1	3862	3606.79	110.791	1.08249
XM_014742283.1	3853	3597.79	0.255006	0.00249779
XM_014742284.1	3988	3732.79	0	0
XM_014742285.1	4349	4093.79	226.179	1.94701
XM_014742286.1	3979	3723.79	0	0
XM_014742287.1	4290	4034.79	2045	17.8614
XM_014742288.1	4341	4085.79	151.807	1.30936
XM_014742289.1	3970	3714.79	1754.51	16.6442
XM_014742290.1	3961	3705.79	401.461	3.81773
XM_014742292.1	2677	2421.79	1620	23.5733
XM_014742293.1	2670	2414.79	3834	55.952
XM_014742294.1	2544	2288.79	7480.09	115.171
XM_014742295.1	2486	2230.79	358.912	5.66985
XM_014742296.1	1436	1180.79	1245	37.1569
XM_014742298.1	1299	1043.79	11822	399.135
XM_014742299.1	3917	3661.79	71.068	0.683949
XM_014742300.1	1091	835.792	1706	71.9323
XM_014742301.1	1315	1059.79	1626	54.0683
XM_014742302.1	6470	6214.79	212.218	1.20337
XM_014742303.1	6345	6089.79	228.436	1.32192
XM_014742304.1	5857	5601.79	27.3465	0.172035
XM_014742305.1	2013	1757.79	335.452	6.72521
XM_014742306.1	1341	1085.79	273.548	8.87831
XM_014742307.1	3657	3401.79	0	0
XM_014742308.1	2104	1848.79	994	18.947
XM_014742310.1	7688	7432.79	721	3.41843
XM_014742311.1	1983	1727.79	0	0
XM_014742312.1	2301	2045.79	130.256	2.24378
XM_014742313.1	2034	1778.79	52.7436	1.04493
XM_014742314.1	3170	2914.79	67	0.810047
XM_014742316.1	3031	2775.79	1.38416	0.0175728
XM_014742317.1	2378	2122.79	162.235	2.69328
XM_014742318.1	2658	2402.79	176.765	2.59252
XM_014742319.1	3246	2990.79	1841.23	21.6953
XM_014742320.1	3243	2987.79	1795.77	21.1808
XM_014742321.1	2681	2425.79	313.319	4.55172
XM_014742322.1	2952	2696.79	56.7899	0.742107
XM_014742323.1	2567	2311.79	100.891	1.53797
XM_014742324.1	2297	2041.79	767.105	13.2399
XM_014742325.1	3118	2862.79	0	0
XM_014742326.1	2083	1827.79	321.895	6.20627
XM_014742327.1	1375	1119.79	256	8.05649
XM_014742328.1	1082	826.792	1881	80.1744
XM_014742329.1	3506	3250.79	0	0
XM_014742330.1	3503	3247.79	0	0
XM_014742331.1	3479	3223.79	797	8.71233
XM_014742332.1	1816	1560.79	787	17.7694
XM_014742333.1	1920	1664.79	439	9.29282
XM_014742334.1	3534	3278.79	78.624	0.845054
XM_014742335.1	2545	2289.79	877	13.4973
XM_014742336.1	633	377.871	417	38.8898
XM_014742340.1	1676	1420.79	867	21.5046
XM_014742341.1	868	612.824	2	0.11501
XM_014742342.1	3491	3235.79	611	6.65432
XM_014742343.1	1296	1040.79	969.464	32.8255
XM_014742344.1	1349	1093.79	116.536	3.75463
XM_014742346.1	2315	2059.79	1940	33.1911
XM_014742347.1	1228	972.792	0	0
XM_014742348.1	1216	960.792	0	0
XM_014742349.1	1189	933.792	1.20312e-06	4.5405e-08
XM_014742350.1	1177	921.792	4.60987	0.176238
XM_014742351.1	1129	873.792	0	0
XM_014742352.1	1090	834.792	7.39013	0.311973
XM_014742353.1	4864	4608.79	89	0.680528
XM_014742354.1	4389	4133.79	598.913	5.10573
XM_014742355.1	2275	2019.79	578	10.0847
XM_014742356.1	927	671.792	180	9.44237
XM_014742358.1	2753	2497.79	0	0
XM_014742362.1	1641	1385.79	0	0
XM_014742363.1	1295	1039.79	659	22.3348
XM_014742364.1	1418	1162.79	209	6.33413
XM_014742365.1	1507	1251.79	2	0.0563042
XM_014742366.1	1145	889.792	0	0
XM_014742367.1	3850	3594.79	0	0
XM_014742368.1	3851	3595.79	28.8584	0.282827
XM_014742369.1	3513	3257.79	311.723	3.372
XM_014742370.1	3441	3185.79	14.9236	0.165082
XM_014742371.1	1483	1227.79	390.109	11.1971
XM_014742372.1	3442	3186.79	0	0
XM_014742373.1	3854	3598.79	9.58901	0.0938988
XM_014742374.1	3842	3586.79	50.8859	0.499959
XM_014742375.1	3261	3005.79	6.38271	0.0748323
XM_014742376.1	3240	2984.79	0	0
XM_014742377.1	3762	3506.79	0	0
XM_014742379.1	5477	5221.79	44.988	0.303613
XM_014742380.1	5247	4991.79	84.4548	0.596226
XM_014742381.1	1482	1226.79	427.698	12.286
XM_014742382.1	5228	4972.79	0	0
XM_014742383.1	5474	5218.79	1.31735e-06	8.89558e-09
XM_014742384.1	1854	1598.79	3081	67.9114
XM_014742385.1	3486	3230.79	0	0
XM_014742386.1	2859	2603.79	18.1475	0.245614
XM_014742387.1	3306	3050.79	0	0
XM_014742388.1	3239	2983.79	0	0
XM_014742389.1	3217	2961.79	17.2582	0.205344
XM_014742390.1	3410	3154.79	0.00559539	6.25032e-05
XM_014742391.1	1363	1107.79	876.193	27.8731
XM_014742392.1	3395	3139.79	58.4584	0.656128
XM_014742393.1	3380	3124.79	0	0
XM_014742394.1	3367	3111.79	0.000908939	1.02936e-05
XM_014742395.1	3357	3101.79	0	0
XM_014742396.1	3339	3083.79	0	0
XM_014742397.1	3274	3018.79	0	0
XM_014742398.1	3274	3018.79	0.00316123	3.69033e-05
XM_014742399.1	3265	3009.79	0	0
XM_014742400.1	3199	2943.79	0	0
XM_014742401.1	3181	2925.79	0	0
XM_014742402.1	3160	2904.79	33.7461	0.409404
XM_014742403.1	3116	2860.79	8.38018	0.103231
XM_014742404.1	3106	2850.79	0	0
XM_014742405.1	2235	1979.79	119.213	2.12201
XM_014742406.1	1882	1626.79	142.787	3.09314
XM_014742407.1	8051	7795.79	1025.04	4.63366
XM_014742408.1	1211	955.792	285.689	10.5335
XM_014742409.1	1367	1111.79	98.2769	3.11509
XM_014742410.1	6019	5763.79	0	0
XM_014742411.1	6018	5762.79	3.11908	0.0190738
XM_014742412.1	6016	5760.79	3.02541	0.0185074
XM_014742413.1	7254	6998.79	832.856	4.19362
XM_014742414.1	2771	2515.79	458.168	6.4179
XM_014742415.1	2771	2515.79	617	8.64278
XM_014742416.1	7446	7190.79	307.93	1.5091
XM_014742417.1	2026	1770.79	257.832	5.13112
XM_014742418.1	1545	1289.79	269	7.3498
XM_014742419.1	4932	4676.79	0	0
XM_014742420.1	4929	4673.79	306.962	2.3145
XM_014742421.1	4902	4646.79	1267.99	9.61621
XM_014742422.1	4845	4589.79	1823.14	13.9981
XM_014742423.1	4749	4493.79	1205.23	9.4515
XM_014742424.1	4699	4443.79	258.546	2.05034
XM_014742425.1	4659	4403.79	2493.13	19.9509
XM_014742426.1	7311	7055.79	737.029	3.68113
