Transcript	Gene	Protein	CcalID
Caust.v2_000001-RA	Caust.v2_000001	Caust.v2_000001-RA	XP_017880075
Caust.v2_000002-RA	Caust.v2_000002	Caust.v2_000002-RA	XP_026669308
Caust.v2_000003-RA	Caust.v2_000003	Caust.v2_000003-RA	XP_017880082
Caust.v2_000004-RA	Caust.v2_000004	Caust.v2_000004-RA	XP_026669306
Caust.v2_000005-RA	Caust.v2_000005	Caust.v2_000005-RA	XP_017880054
Caust.v2_000006-RA	Caust.v2_000006	Caust.v2_000006-RA	XP_017880052
Caust.v2_000007-RA	Caust.v2_000007	Caust.v2_000007-RA	XP_017880056
Caust.v2_000008-RA	Caust.v2_000008	Caust.v2_000008-RA	NA
Caust.v2_000009-RA	Caust.v2_000009	Caust.v2_000009-RA	XP_026669290
Caust.v2_000009-RB	Caust.v2_000009	Caust.v2_000009-RB	XP_026669290
Caust.v2_000010-RA	Caust.v2_000010	Caust.v2_000010-RA	XP_026669291
Caust.v2_000011-RA	Caust.v2_000011	Caust.v2_000011-RA	XP_017880043
Caust.v2_000012-RA	Caust.v2_000012	Caust.v2_000012-RA	NA
Caust.v2_000013-RA	Caust.v2_000013	Caust.v2_000013-RA	XP_017880044
Caust.v2_000014-RA	Caust.v2_000014	Caust.v2_000014-RA	XP_017880092
Caust.v2_000015-RA	Caust.v2_000015	Caust.v2_000015-RA	XP_017880090
Caust.v2_000016-RA	Caust.v2_000016	Caust.v2_000016-RA	NA
Caust.v2_000017-RA	Caust.v2_000017	Caust.v2_000017-RA	XP_017880085
Caust.v2_000017-RB	Caust.v2_000017	Caust.v2_000017-RB	XP_017880085
Caust.v2_000017-RC	Caust.v2_000017	Caust.v2_000017-RC	XP_017880074
Caust.v2_000018-RA	Caust.v2_000018	Caust.v2_000018-RA	XP_017880084
Caust.v2_000019-RA	Caust.v2_000019	Caust.v2_000019-RA	NA
Caust.v2_000020-RA	Caust.v2_000020	Caust.v2_000020-RA	XP_026669292
Caust.v2_000020-RB	Caust.v2_000020	Caust.v2_000020-RB	XP_026669292
Caust.v2_000020-RC	Caust.v2_000020	Caust.v2_000020-RC	XP_026669292
Caust.v2_000021-RA	Caust.v2_000021	Caust.v2_000021-RA	NA
Caust.v2_000022-RA	Caust.v2_000022	Caust.v2_000022-RA	XP_017880996
Caust.v2_000023-RA	Caust.v2_000023	Caust.v2_000023-RA	XP_017885315
Caust.v2_000024-RA	Caust.v2_000024	Caust.v2_000024-RA	NA
Caust.v2_000025-RA	Caust.v2_000025	Caust.v2_000025-RA	NA
Caust.v2_000026-RA	Caust.v2_000026	Caust.v2_000026-RA	XP_017886215
Caust.v2_000027-RA	Caust.v2_000027	Caust.v2_000027-RA	XP_017888167
Caust.v2_000027-RB	Caust.v2_000027	Caust.v2_000027-RB	XP_017888167
Caust.v2_000028-RA	Caust.v2_000028	Caust.v2_000028-RA	NA
Caust.v2_000029-RA	Caust.v2_000029	Caust.v2_000029-RA	XP_017880088
Caust.v2_000030-RA	Caust.v2_000030	Caust.v2_000030-RA	XP_017878085
Caust.v2_000031-RA	Caust.v2_000031	Caust.v2_000031-RA	XP_026668398
Caust.v2_000031-RB	Caust.v2_000031	Caust.v2_000031-RB	XP_026668398
Caust.v2_000032-RA	Caust.v2_000032	Caust.v2_000032-RA	NA
Caust.v2_000033-RA	Caust.v2_000033	Caust.v2_000033-RA	NA
Caust.v2_000034-RA	Caust.v2_000034	Caust.v2_000034-RA	XP_017883459
Caust.v2_000035-RA	Caust.v2_000035	Caust.v2_000035-RA	XP_017883461
Caust.v2_000035-RB	Caust.v2_000035	Caust.v2_000035-RB	XP_017883461
Caust.v2_000035-RC	Caust.v2_000035	Caust.v2_000035-RC	XP_017883461
Caust.v2_000035-RD	Caust.v2_000035	Caust.v2_000035-RD	XP_017883461
Caust.v2_000035-RE	Caust.v2_000035	Caust.v2_000035-RE	XP_017883461
Caust.v2_000036-RA	Caust.v2_000036	Caust.v2_000036-RA	XP_017883372
Caust.v2_000037-RA	Caust.v2_000037	Caust.v2_000037-RA	XP_017883465
Caust.v2_000038-RA	Caust.v2_000038	Caust.v2_000038-RA	XP_017883466
Caust.v2_000039-RA	Caust.v2_000039	Caust.v2_000039-RA	XP_017883464
Caust.v2_000040-RA	Caust.v2_000040	Caust.v2_000040-RA	XP_017888910
Caust.v2_000041-RA	Caust.v2_000041	Caust.v2_000041-RA	XP_017888907
Caust.v2_000042-RA	Caust.v2_000042	Caust.v2_000042-RA	XP_017888909
Caust.v2_000043-RA	Caust.v2_000043	Caust.v2_000043-RA	XP_017888908
Caust.v2_000044-RA	Caust.v2_000044	Caust.v2_000044-RA	XP_017888745
Caust.v2_000045-RA	Caust.v2_000045	Caust.v2_000045-RA	XP_017888863
Caust.v2_000046-RA	Caust.v2_000046	Caust.v2_000046-RA	XP_026673668
Caust.v2_000047-RA	Caust.v2_000047	Caust.v2_000047-RA	XP_026667388
Caust.v2_000048-RA	Caust.v2_000048	Caust.v2_000048-RA	XP_017876047
Caust.v2_000048-RB	Caust.v2_000048	Caust.v2_000048-RB	XP_017876047
Caust.v2_000048-RC	Caust.v2_000048	Caust.v2_000048-RC	XP_026667394
Caust.v2_000048-RD	Caust.v2_000048	Caust.v2_000048-RD	XP_017876047
Caust.v2_000048-RE	Caust.v2_000048	Caust.v2_000048-RE	XP_017876047
Caust.v2_000048-RF	Caust.v2_000048	Caust.v2_000048-RF	XP_026667394
Caust.v2_000048-RG	Caust.v2_000048	Caust.v2_000048-RG	XP_026667394
Caust.v2_000048-RH	Caust.v2_000048	Caust.v2_000048-RH	XP_026667394
Caust.v2_000048-RI	Caust.v2_000048	Caust.v2_000048-RI	XP_017876047
Caust.v2_000048-RJ	Caust.v2_000048	Caust.v2_000048-RJ	XP_026667394
Caust.v2_000048-RK	Caust.v2_000048	Caust.v2_000048-RK	XP_026667394
Caust.v2_000048-RL	Caust.v2_000048	Caust.v2_000048-RL	XP_017876047
Caust.v2_000048-RM	Caust.v2_000048	Caust.v2_000048-RM	XP_017876047
Caust.v2_000049-RA	Caust.v2_000049	Caust.v2_000049-RA	XP_017876040
Caust.v2_000050-RA	Caust.v2_000050	Caust.v2_000050-RA	XP_017876034
Caust.v2_000051-RA	Caust.v2_000051	Caust.v2_000051-RA	XP_026668812
Caust.v2_000052-RA	Caust.v2_000052	Caust.v2_000052-RA	NA
Caust.v2_000053-RA	Caust.v2_000053	Caust.v2_000053-RA	NA
Caust.v2_000054-RA	Caust.v2_000054	Caust.v2_000054-RA	XP_017876003
Caust.v2_000055-RA	Caust.v2_000055	Caust.v2_000055-RA	XP_026667381
Caust.v2_000056-RA	Caust.v2_000056	Caust.v2_000056-RA	XP_026667397
Caust.v2_000057-RA	Caust.v2_000057	Caust.v2_000057-RA	NA
Caust.v2_000058-RA	Caust.v2_000058	Caust.v2_000058-RA	NA
Caust.v2_000059-RA	Caust.v2_000059	Caust.v2_000059-RA	XP_017876004
Caust.v2_000060-RA	Caust.v2_000060	Caust.v2_000060-RA	XP_017876031
Caust.v2_000061-RA	Caust.v2_000061	Caust.v2_000061-RA	XP_017876030
Caust.v2_000061-RB	Caust.v2_000061	Caust.v2_000061-RB	XP_017876030
Caust.v2_000061-RC	Caust.v2_000061	Caust.v2_000061-RC	XP_017876030
Caust.v2_000061-RD	Caust.v2_000061	Caust.v2_000061-RD	XP_017876030
Caust.v2_000062-RA	Caust.v2_000062	Caust.v2_000062-RA	XP_017892942
Caust.v2_000063-RA	Caust.v2_000063	Caust.v2_000063-RA	XP_017876032
Caust.v2_000064-RA	Caust.v2_000064	Caust.v2_000064-RA	XP_017876026
Caust.v2_000065-RA	Caust.v2_000065	Caust.v2_000065-RA	XP_017876022
Caust.v2_000066-RA	Caust.v2_000066	Caust.v2_000066-RA	XP_017876028
Caust.v2_000067-RA	Caust.v2_000067	Caust.v2_000067-RA	XP_017876024
Caust.v2_000068-RA	Caust.v2_000068	Caust.v2_000068-RA	XP_017876029
Caust.v2_000069-RA	Caust.v2_000069	Caust.v2_000069-RA	XP_017876015
Caust.v2_000070-RA	Caust.v2_000070	Caust.v2_000070-RA	XP_017876021
Caust.v2_000071-RA	Caust.v2_000071	Caust.v2_000071-RA	XP_026670987
Caust.v2_000071-RB	Caust.v2_000071	Caust.v2_000071-RB	XP_026670987
Caust.v2_000071-RC	Caust.v2_000071	Caust.v2_000071-RC	XP_026670987
Caust.v2_000071-RD	Caust.v2_000071	Caust.v2_000071-RD	XP_026670987
Caust.v2_000071-RE	Caust.v2_000071	Caust.v2_000071-RE	XP_026670987
Caust.v2_000072-RA	Caust.v2_000072	Caust.v2_000072-RA	XP_017883415
Caust.v2_000073-RA	Caust.v2_000073	Caust.v2_000073-RA	XP_026671011
Caust.v2_000073-RB	Caust.v2_000073	Caust.v2_000073-RB	XP_026671011
Caust.v2_000074-RA	Caust.v2_000074	Caust.v2_000074-RA	XP_026670996
Caust.v2_000074-RB	Caust.v2_000074	Caust.v2_000074-RB	XP_026670996
Caust.v2_000074-RC	Caust.v2_000074	Caust.v2_000074-RC	XP_026670996
Caust.v2_000074-RD	Caust.v2_000074	Caust.v2_000074-RD	XP_026670996
Caust.v2_000074-RE	Caust.v2_000074	Caust.v2_000074-RE	XP_026670996
Caust.v2_000074-RF	Caust.v2_000074	Caust.v2_000074-RF	XP_026670996
Caust.v2_000074-RG	Caust.v2_000074	Caust.v2_000074-RG	XP_026670996
Caust.v2_000075-RA	Caust.v2_000075	Caust.v2_000075-RA	XP_017883393
Caust.v2_000075-RB	Caust.v2_000075	Caust.v2_000075-RB	NA
Caust.v2_000075-RC	Caust.v2_000075	Caust.v2_000075-RC	NA
Caust.v2_000075-RD	Caust.v2_000075	Caust.v2_000075-RD	XP_017883393
Caust.v2_000075-RE	Caust.v2_000075	Caust.v2_000075-RE	XP_017883393
Caust.v2_000075-RF	Caust.v2_000075	Caust.v2_000075-RF	NA
Caust.v2_000075-RG	Caust.v2_000075	Caust.v2_000075-RG	XP_017883393
