target_id	length	eff_length	est_counts	tpm
NM_001280889.2	1545	1290.71	18483.7	732.107
NM_001280894.1	1381	1126.71	11153.2	506.057
NM_001280899.1	999	744.711	4	0.274591
NM_001280901.1	942	687.711	0	0
NM_001280904.1	984	729.711	3	0.210177
NM_001280906.1	1638	1383.71	321.436	11.8758
NM_001280909.1	291	58.3708	33576	29406.8
NM_001280911.1	7738	7483.71	23398	159.836
NM_001280916.1	1360	1105.71	572.869	26.4867
NM_001280918.1	1638	1383.71	818.341	30.2345
NM_001280921.1	1476	1221.71	473	19.7928
NM_001280924.1	1251	996.711	94.3726	4.84051
NM_001280926.1	1557	1302.71	1402	55.0192
NM_001280930.1	1683	1428.71	1611	57.6455
NM_001280933.1	1873	1618.71	14671	463.345
NM_001280936.1	1406	1151.71	788	34.9782
NM_001285398.1	1134	879.711	3812.8	221.574
NM_001286444.1	969	714.711	2827.86	202.274
NM_001287563.1	1107	852.711	80.0106	4.79689
NM_001287565.1	1166	911.711	0	0
NM_001304440.1	5067	4812.71	198.013	2.10338
NM_001308306.1	3681	3426.71	454.157	6.77553
NM_001308307.1	2113	1858.71	435	11.9644
NM_001331111.1	4730	4475.71	17	0.194178
NM_001353392.1	3997	3742.71	212.195	2.89843
XM_003392812.4	1315	1060.71	677	32.6292
XM_003392813.4	2070	1815.71	559	15.7391
XM_003392814.4	2620	2365.71	444	9.59479
XM_003392815.4	953	698.711	2010	147.066
XM_003392816.4	2707	2452.71	754.558	15.7275
XM_003392817.4	2519	2264.71	1912.33	43.1682
XM_003392820.4	881	626.914	643.9	52.5079
XM_003392823.4	1322	1067.71	117.926	5.64638
XM_003392825.4	1052	797.711	2632.08	168.682
XM_003392827.4	663	408.959	3371	421.399
XM_003392828.4	733	478.914	3765.89	401.998
XM_003392829.4	601	347.029	1884.11	277.558
XM_003392833.3	518	264.063	4440	859.586
XM_003392834.4	3424	3169.71	839	13.5318
XM_003392835.4	1812	1557.71	985	32.3269
XM_003392836.4	2565	2310.71	1543.79	34.1551
XM_003392837.4	3721	3466.71	1407.42	20.7549
XM_003392838.4	843	588.914	1561.59	135.559
XM_003392839.4	619	364.959	125.41	17.5672
XM_003392840.4	1378	1123.71	605	27.5242
XM_003392841.4	3696	3441.71	315.349	4.68415
XM_003392844.4	5548	5293.71	0	0
XM_003392845.4	1516	1261.71	3265	132.293
XM_003392846.4	2989	2734.71	712	13.3101
XM_003392849.4	4893	4638.71	54.916	0.605224
XM_003392850.4	2892	2637.71	26296	509.655
XM_003392854.4	8415	8160.71	284	1.77912
XM_003392855.4	2753	2498.71	230.25	4.71084
XM_003392856.4	17877	17622.7	115	0.33361
XM_003392877.4	8284	8029.71	0	0
XM_003392880.4	1406	1151.71	9359.42	415.451
XM_003392883.4	2861	2606.71	421	8.25664
XM_003392884.4	2186	1931.71	1279	33.8487
XM_003392885.4	720	465.914	161.496	17.7203
XM_003392887.4	4596	4341.71	4338.14	51.0807
XM_003392888.4	3752	3497.71	5757	84.1447
XM_003392890.4	3508	3253.71	323.354	5.08059
XM_003392894.4	1287	1032.71	3819.25	189.066
XM_003392895.4	771	516.914	1106	109.383
XM_003392896.4	3301	3046.71	616	10.3363
XM_003392897.4	627	372.959	9349	1281.5
XM_003392899.4	1955	1700.71	674.265	20.2682
XM_003392903.4	1132	877.711	1489.88	86.7787
XM_003392904.4	7180	6925.71	253.2	1.86902
XM_003392906.4	3855	3600.71	181.815	2.58141
XM_003392907.4	1803	1548.71	7871	259.821
XM_003392909.4	3367	3112.71	3879	63.7082
XM_003392911.4	5721	5466.71	0	0
XM_003392912.3	9120	8865.71	0	0
XM_003392913.4	3649	3394.71	23176.6	349.028
XM_003392915.4	1934	1679.71	438.114	13.3342
XM_003392916.4	497	243.141	10.1015	2.12395
XM_003392917.4	551	297.063	19.3901	3.33692
XM_003392920.4	476	222.209	3	0.690197
XM_003392921.4	1428	1173.71	33.6099	1.46393
XM_003392922.4	427	173.81	63.8985	18.7945
XM_003392929.3	935	680.711	235	17.649
XM_003392930.4	819	564.914	961	86.9671
XM_003392931.4	4325	4070.71	3083.56	38.7255
XM_003392932.4	14091	13836.7	1973.67	7.29216
XM_003392933.4	1515	1260.71	292	11.8408
XM_003392935.4	1401	1146.71	201	8.961
XM_003392936.4	9199	8944.71	288.186	1.64711
XM_003392937.4	860	605.914	1793	151.281
XM_003392939.4	1049	794.711	308.72	19.8596
XM_003392940.4	872	617.914	151.031	12.4955
XM_003392941.4	1142	887.711	1501.9	86.4937
XM_003392944.3	1950	1695.71	504	15.1947
XM_003392945.4	834	579.914	1095	96.5305
XM_003392946.4	752	497.914	527	54.1091
XM_003392947.4	1144	889.711	208	11.9517
XM_003392950.4	2610	2355.71	94	2.03995
XM_003392951.4	1370	1115.71	1134	51.9608
XM_003392954.4	2305	2050.71	2149	53.573
XM_003392957.3	1899	1644.71	0	0
XM_003392958.4	1422	1167.71	276	12.0834
XM_003392959.4	1544	1289.71	94.1857	3.73342
XM_003392960.4	1317	1062.71	55.9575	2.69189
