Orthogroup	TranscriptID	Species	GeneID
OG0000000	XR_003304458.1	Amel	LOC113218677
OG0000000	XR_003304459.1	Amel	LOC113218678
OG0000000	XR_003304460.1	Amel	LOC113218679
OG0000000	XR_003304461.1	Amel	LOC113218680
OG0000000	XR_003304462.1	Amel	LOC107965800
OG0000000	XR_003304463.1	Amel	LOC113218681
OG0000000	XR_003304464.1	Amel	LOC113218682
OG0000000	XR_003304465.1	Amel	LOC113218683
OG0000000	XR_003304466.1	Amel	LOC113218684
OG0000000	XR_003304467.1	Amel	LOC113218685
OG0000000	XR_003304468.1	Amel	LOC113218686
OG0000000	XR_003304469.1	Amel	LOC113218687
OG0000000	XR_003304470.1	Amel	LOC113218688
OG0000000	XR_003304471.1	Amel	LOC113218689
OG0000000	XR_003304472.1	Amel	LOC113218690
OG0000000	XR_003304473.1	Amel	LOC113218691
OG0000000	XR_003304474.1	Amel	LOC113218692
OG0000000	XR_003304475.1	Amel	LOC113218693
OG0000000	XR_003304476.1	Amel	LOC113218694
OG0000000	XR_003304477.1	Amel	LOC113218695
OG0000000	XR_003304478.1	Amel	LOC113218696
OG0000000	XR_003304479.1	Amel	LOC113218697
OG0000000	XR_003304480.1	Amel	LOC113218698
OG0000000	XR_003304481.1	Amel	LOC113218699
OG0000000	XR_003304486.1	Amel	LOC113218705
OG0000000	XR_003304487.1	Amel	LOC113218706
OG0000000	XR_003304633.1	Amel	LOC113218753
OG0000000	XR_003305377.1	Amel	LOC113219021
OG0000000	XR_003305379.1	Amel	LOC113219023
OG0000000	XR_003305380.1	Amel	LOC113219024
OG0000000	XR_003305907.1	Amel	LOC113219168
OG0000000	XR_003305908.1	Amel	LOC113219169
OG0000000	XR_003305909.1	Amel	LOC113219170
OG0000000	XR_003305910.1	Amel	LOC113219171
OG0000000	XR_003305911.1	Amel	LOC113219172
OG0000000	XR_003305912.1	Amel	LOC113219173
OG0000000	XR_003305913.1	Amel	LOC113219174
OG0000000	XR_003305916.1	Amel	LOC113219177
OG0000000	XR_003305918.1	Amel	LOC113219179
OG0000000	XR_003305919.1	Amel	LOC113219180
OG0000000	XR_003305920.1	Amel	LOC113219181
OG0000002	XR_003306223.1	Amel	LOC102656259
OG0000003	XR_003306369.1	Amel	LOC113219341
OG0000003	XR_003306438.1	Amel	LOC113219369
OG0000003	XR_003306450.1	Amel	LOC113219377
OG0000003	XR_003306453.1	Amel	LOC113219382
OG0000004	XR_003306399.1	Amel	LOC113219354
OG0000004	XR_003306401.1	Amel	LOC113219356
OG0000004	XR_003306437.1	Amel	LOC113219368
OG0000004	XR_003306449.1	Amel	LOC113219376
OG0000004	XR_003306452.1	Amel	LOC113219381
OG0000010	NM_001185145.1	Amel	Arp1
OG0000010	XM_003251416.4	Amel	LOC551176
OG0000010	XM_016912208.2	Amel	LOC551369
OG0000010	XM_026440745.1	Amel	LOC725404
OG0000012	XM_001120014.5	Amel	LOC724869
OG0000012	XM_003251358.4	Amel	LOC724633
OG0000012	XM_003251578.4	Amel	LOC725344
OG0000015	XM_001120419.5	Amel	LOC725647
OG0000021	XM_006572282.3	Amel	LOC727119
OG0000021	XM_026439557.1	Amel	LOC409422
OG0000021	XM_026445944.1	Amel	LOC113219336
OG0000021	XM_026445986.1	Amel	LOC102656085
OG0000021	XR_001706136.2	Amel	LOC102654354
OG0000021	XR_001706316.2	Amel	LOC107965873
OG0000021	XR_003304305.1	Amel	LOC100577216
OG0000021	XR_003304547.1	Amel	LOC113218557
OG0000021	XR_003304930.1	Amel	LOC113218872
OG0000021	XR_003305427.1	Amel	LOC113219036
OG0000021	XR_003306036.1	Amel	LOC113219223
OG0000021	XR_003306366.1	Amel	LOC113219337
OG0000021	XR_003306367.1	Amel	LOC113219339
OG0000021	XR_003306371.1	Amel	LOC100578173
OG0000021	XR_003306396.1	Amel	LOC113219349
OG0000021	XR_003306410.1	Amel	LOC102654390
OG0000021	XR_003306412.1	Amel	LOC100578361
OG0000021	XR_003306423.1	Amel	LOC113219364
OG0000021	XR_003306427.1	Amel	LOC113219365
OG0000021	XR_003306442.1	Amel	LOC113219373
OG0000021	XR_003306445.1	Amel	LOC113219374
OG0000021	XR_003306448.1	Amel	LOC113219375
OG0000021	XR_003306455.1	Amel	LOC113219384
OG0000021	XR_003306464.1	Amel	LOC113219386
OG0000021	XR_412329.3	Amel	LOC102656302
OG0000024	XM_392313.7	Amel	LOC408782
OG0000024	XM_394469.6	Amel	LOC410994
OG0000024	XM_394471.5	Amel	LOC410996
OG0000024	XR_001702714.2	Amel	LOC107964288
OG0000025	XR_003305264.1	Amel	LOC113218968
OG0000025	XR_003305265.1	Amel	LOC113218969
OG0000025	XR_003305266.1	Amel	LOC113218970
OG0000025	XR_003305267.1	Amel	LOC113218971
OG0000025	XR_003305268.1	Amel	LOC113218972
OG0000025	XR_003306014.1	Amel	LOC113219216
OG0000025	XR_003306196.1	Amel	LOC113219289
OG0000030	XM_395900.5	Amel	LOC412443
OG0000035	XM_026441835.1	Amel	LOC551259
OG0000035	XM_026441836.1	Amel	LOC113218902
OG0000041	XM_003251576.4	Amel	LOC725230
OG0000041	XM_016917887.2	Amel	LOC406132
OG0000045	XM_006566962.3	Amel	LOC408388
OG0000045	XM_396338.7	Amel	LOC412886
OG0000045	XM_623217.6	Amel	LOC550827
OG0000047	XM_026445949.1	Amel	LOC113219351
OG0000047	XR_003306368.1	Amel	LOC113219340
OG0000047	XR_003306400.1	Amel	LOC113219355
OG0000047	XR_003306451.1	Amel	LOC113219378
OG0000047	XR_003306454.1	Amel	LOC113219383
OG0000047	XR_003306469.1	Amel	LOC113219387
OG0000048	XR_003304484.1	Amel	LOC113218703
OG0000048	XR_003305914.1	Amel	LOC113219175
OG0000048	XR_003305915.1	Amel	LOC113219176
OG0000051	XM_026445002.1	Amel	LOC102653748
OG0000051	XM_392043.7	Amel	LOC408500
OG0000052	XM_006571225.3	Amel	LOC551680
OG0000052	XM_624037.6	Amel	LOC551647
OG0000053	XM_026442322.1	Amel	LOC411264
OG0000063	XM_016915409.2	Amel	LOC412353
OG0000063	XM_393173.7	Amel	LOC409675
OG0000065	XM_016911095.2	Amel	LOC100577047
OG0000065	XM_026439412.1	Amel	LOC410951
OG0000067	XM_016916657.2	Amel	LOC412795
OG0000068	XM_016913775.2	Amel	LOC411894
OG0000074	XM_026446248.1	Amel	LOC724618
