target_id	length	eff_length	est_counts	tpm
XM_014742228.1	1554	1305.79	19.2901	0.674457
XM_014742229.1	6556	6307.79	205.383	1.48655
XM_014742230.1	4471	4222.79	0	0
XM_014742231.1	4411	4162.79	11.9713	0.131296
XM_014742232.1	4408	4159.79	6.00726	0.0659322
XM_014742233.1	4891	4642.79	296.923	2.91983
XM_014742234.1	4493	4244.79	106.719	1.14784
XM_014742235.1	4485	4236.79	107.658	1.16012
XM_014742236.1	3695	3446.79	69	0.913959
XM_014742237.1	1518	1269.79	25.5531	0.918766
XM_014742238.1	3386	3137.79	1542.3	22.4408
XM_014742239.1	5072	4823.79	0	0
XM_014742240.1	4807	4558.79	0	0
XM_014742241.1	4821	4572.79	0	0
XM_014742242.1	4775	4526.79	0	0
XM_014742243.1	4772	4523.79	0	0
XM_014742244.1	4862	4613.79	10.5062	0.103963
XM_014742245.1	4558	4309.79	0	0
XM_014742246.1	4654	4405.79	0	0
XM_014742247.1	5293	5044.79	762.067	6.89672
XM_014742248.1	5313	5064.79	32.318	0.291324
XM_014742249.1	4567	4318.79	91.8289	0.970756
XM_014742250.1	4345	4096.79	132.347	1.4749
XM_014742251.1	7242	6993.79	506.204	3.3045
XM_014742252.1	781	532.834	0	0
XM_014742253.1	7131	6882.79	288.207	1.91176
XM_014742254.1	7168	6919.79	304.428	2.00856
XM_014742255.1	3032	2783.79	248.161	4.06995
XM_014742256.1	2703	2454.79	961.57	17.8838
XM_014742257.1	4261	4012.79	131.765	1.49915
XM_014742258.1	2579	2330.79	639	12.5167
XM_014742259.1	2635	2386.79	582	11.1327
XM_014742260.1	595	347.014	6	0.789399
XM_014742261.1	1661	1412.79	169	5.46137
XM_014742262.1	1886	1637.79	320.235	8.92696
XM_014742263.1	2997	2748.79	228	3.78692
XM_014742264.1	8489	8240.79	1312.61	7.27211
XM_014742265.1	6058	5809.79	570.215	4.48096
XM_014742266.1	7981	7732.79	416.268	2.4577
XM_014742267.1	8003	7754.79	27.4924	0.161858
XM_014742268.1	8071	7822.79	788.698	4.60301
XM_014742269.1	8038	7789.79	74.1849	0.434793
XM_014742270.1	7972	7723.79	54.9614	0.324878
XM_014742271.1	7966	7717.79	0	0
XM_014742272.1	1397	1148.79	2	0.0794844
XM_014742273.1	7858	7609.79	0.00131894	7.91309e-06
