target_id	length	eff_length	est_counts	tpm
XM_014742228.1	1554	1303.46	0	0
XM_014742229.1	6556	6305.46	74.8863	0.45944
XM_014742230.1	4471	4220.46	0	0
XM_014742231.1	4411	4160.46	27.5797	0.256444
XM_014742232.1	4408	4157.46	5.53397	0.0514935
XM_014742233.1	4891	4640.46	179.6	1.49723
XM_014742234.1	4493	4242.46	42.6351	0.38877
XM_014742235.1	4485	4234.46	28.7551	0.2627
XM_014742236.1	3695	3444.46	40	0.449244
XM_014742237.1	1518	1267.46	0	0
XM_014742238.1	3386	3135.46	789.134	9.73629
XM_014742251.1	7242	6991.46	166.953	0.923785
XM_014742253.1	7131	6880.46	880.124	4.94846
XM_014742254.1	7168	6917.46	267.961	1.49854
XM_014742255.1	3032	2781.46	253.517	3.52597
XM_014742257.1	4261	4010.46	130.425	1.25808
XM_014742258.1	2579	2328.46	927	15.4012
XM_014742259.1	2635	2384.46	925	15.0071
XM_014742261.1	1661	1410.46	359	9.84641
XM_014742262.1	1886	1635.46	385.575	9.12039
XM_014742263.1	2997	2746.46	249	3.50728
XM_014742264.1	8489	8238.46	1249.5	5.86725
XM_014742265.1	6058	5807.46	272.032	1.81208
XM_014742266.1	7981	7730.46	261.536	1.30879
XM_014742267.1	8003	7752.46	22.1664	0.110611
XM_014742268.1	8071	7820.46	500.309	2.47485
XM_014742269.1	8038	7787.46	106.095	0.527041
XM_014742270.1	7972	7721.46	61.893	0.310088
XM_014742271.1	7966	7715.46	0	0
XM_014742272.1	1397	1146.46	0	0
XM_014742273.1	7858	7607.46	1.96078e-08	9.97086e-11
XM_014742274.1	7843	7592.46	1.84573e-07	9.40436e-10
XM_014742275.1	2899	2648.46	670.518	9.79402
XM_014742276.1	2982	2731.46	69.4766	0.983983
XM_014742277.1	3017	2766.46	255.256	3.5694
XM_014742278.1	2715	2464.46	538.75	8.45686
XM_014742279.1	4101	3850.46	383.094	3.8489
XM_014742280.1	3880	3629.46	0	0
XM_014742281.1	3871	3620.46	0	0
XM_014742282.1	3862	3611.46	86.4767	0.926317
XM_014742283.1	3853	3602.46	59.7987	0.64215
XM_014742284.1	3988	3737.46	0	0
XM_014742285.1	4349	4098.46	208.852	1.97134
XM_014742286.1	3979	3728.46	0	0
XM_014742287.1	4290	4039.46	1405	13.4554
XM_014742288.1	4341	4090.46	231.914	2.1933
XM_014742289.1	3970	3719.46	1162.58	12.0917
XM_014742290.1	3961	3710.46	259.381	2.70429
XM_014742292.1	2677	2426.46	1318	21.0129
XM_014742293.1	2670	2419.46	3558	56.8894
XM_014742294.1	2544	2293.46	5304.17	89.4685
XM_014742295.1	2486	2235.46	637.829	11.0378
XM_014742296.1	1436	1185.46	901	29.4024
XM_014742298.1	1299	1048.46	9089	335.358
