target_id	length	eff_length	est_counts	tpm
XM_014742228.1	1554	1300.53	36.2506	1.51559
XM_014742229.1	6556	6302.53	201.96	1.74235
XM_014742230.1	4471	4217.53	0	0
XM_014742231.1	4411	4157.53	24.8146	0.324532
XM_014742232.1	4408	4154.53	12.4541	0.162996
XM_014742233.1	4891	4637.53	342.337	4.01377
XM_014742234.1	4493	4239.53	105.142	1.34848
XM_014742235.1	4485	4231.53	182.751	2.34826
XM_014742236.1	3695	3441.53	50	0.789958
XM_014742237.1	1518	1264.53	0	0
XM_014742238.1	3386	3132.53	1282.38	22.2591
XM_014742251.1	7242	6988.53	80.0958	0.623174
XM_014742253.1	7131	6877.53	203.027	1.60512
XM_014742254.1	7168	6914.53	520.371	4.09201
XM_014742255.1	3032	2778.53	237.61	4.6498
XM_014742257.1	4261	4007.53	74.9061	1.01631
XM_014742258.1	2579	2325.53	507	11.8542
XM_014742259.1	2635	2381.53	481	10.9818
XM_014742261.1	1661	1407.53	106	4.09481
XM_014742262.1	1886	1632.53	235.094	7.83008
XM_014742263.1	2997	2743.53	243	4.81595
XM_014742264.1	8489	8235.53	1164.33	7.68726
XM_014742265.1	6058	5804.53	468.807	4.3915
XM_014742266.1	7981	7727.53	405.371	2.85232
XM_014742267.1	8003	7749.53	48.5188	0.340424
XM_014742268.1	8071	7817.53	630.232	4.38345
XM_014742269.1	8038	7784.53	234.036	1.63469
XM_014742270.1	7972	7718.53	67.8112	0.477697
XM_014742271.1	7966	7712.53	0	0
XM_014742272.1	1397	1143.53	2	0.0950974
XM_014742273.1	7858	7604.53	0	0
XM_014742274.1	7843	7589.53	49.5409	0.354923
XM_014742275.1	2899	2645.53	803.678	16.5179
XM_014742276.1	2982	2728.53	21.9865	0.43814
XM_014742277.1	3017	2763.53	263.472	5.18389
XM_014742278.1	2715	2461.53	380.864	8.41299
XM_014742279.1	4101	3847.53	423.002	5.97787
XM_014742280.1	3880	3626.53	0	0
XM_014742281.1	3871	3617.53	0	0
XM_014742282.1	3862	3608.53	215.848	3.2524
XM_014742283.1	3853	3599.53	66.9528	1.01137
XM_014742284.1	3988	3734.53	0	0
XM_014742285.1	4349	4095.53	219.839	2.91864
XM_014742286.1	3979	3725.53	0	0
XM_014742287.1	4290	4036.53	870	11.7192
XM_014742288.1	4341	4087.53	89.3168	1.18811
XM_014742289.1	3970	3716.53	407.071	5.95549
XM_014742290.1	3961	3707.53	436.791	6.40582
XM_014742292.1	2677	2423.53	814	18.2626
XM_014742293.1	2670	2416.53	2705	60.8641
XM_014742294.1	2544	2290.53	3689.6	87.585
XM_014742295.1	2486	2232.53	251.395	6.12274
XM_014742296.1	1436	1182.53	756	34.7613
XM_014742298.1	1299	1045.53	7483	389.158
XM_014742299.1	3917	3663.53	83.3009	1.23633
XM_014742300.1	1091	837.528	992	64.4018
XM_014742301.1	1315	1061.53	395	20.2326
XM_014742302.1	6470	6216.53	128.589	1.12471
XM_014742303.1	6345	6091.53	134.835	1.20355
XM_014742304.1	5857	5603.53	18.5755	0.180246
XM_014742305.1	2013	1759.53	483.294	14.9348
XM_014742306.1	1341	1087.53	420.706	21.0341
XM_014742307.1	3657	3403.53	0	0
XM_014742308.1	2104	1850.53	593	17.4239
XM_014742310.1	7688	7434.53	212	1.55049
XM_014742311.1	1983	1729.53	76.2449	2.397
XM_014742312.1	2301	2047.53	25.7551	0.683941
XM_014742313.1	2034	1780.53	0	0
XM_014742314.1	3170	2916.53	201.79	3.76199
XM_014742316.1	3031	2777.53	0	0
XM_014742317.1	2378	2124.53	106.749	2.73204
XM_014742318.1	2658	2404.53	299.251	6.76692
XM_014742319.1	3246	2992.53	777.988	14.1358
XM_014742320.1	3243	2989.53	717.012	13.0409
XM_014742321.1	2681	2427.53	159.636	3.57562
XM_014742322.1	2952	2698.53	26.3773	0.531482
XM_014742323.1	2567	2313.53	66.9871	1.57435
XM_014742324.1	2297	2043.53	362.87	9.65507
XM_014742325.1	3118	2864.53	22.4992	0.42707
XM_014742326.1	2083	1829.53	63.1305	1.87623
XM_014742327.1	1375	1121.53	488	23.6589
XM_014742328.1	1082	828.528	476	31.2381
XM_014742329.1	3506	3252.53	15.2436	0.254831
XM_014742330.1	3503	3249.53	0	0
XM_014742331.1	3479	3225.53	380.756	6.41848
XM_014742332.1	1816	1562.53	959	33.3715
XM_014742333.1	1920	1666.53	131	4.27409
XM_014742334.1	3534	3280.53	62.7624	1.04026
XM_014742335.1	2545	2291.53	179	4.2473
XM_014742336.1	633	379.657	215	30.7917
XM_014742340.1	1676	1422.53	603	23.0485
XM_014742341.1	868	614.579	4	0.35389
XM_014742342.1	3491	3237.53	383	6.43237
XM_014742343.1	1296	1042.53	537.13	28.0141
XM_014742344.1	1349	1095.53	150.87	7.48799
XM_014742346.1	2315	2061.53	516	13.6096
XM_014742347.1	1228	974.528	0	0
XM_014742348.1	1216	962.528	0	0
XM_014742349.1	1189	935.528	4.73001	0.27491
XM_014742350.1	1177	923.528	4.97094	0.292667
XM_014742351.1	1129	875.528	0	0
XM_014742352.1	1090	836.528	4.29905	0.279433
XM_014742353.1	4864	4610.53	45	0.530698
XM_014742354.1	4389	4135.53	591.059	7.77115
XM_014742355.1	2275	2021.53	434	11.6733
XM_014742356.1	927	673.545	126	10.1716
XM_014742358.1	2753	2499.53	0	0
XM_014742362.1	1641	1387.53	1	0.0391872
XM_014742363.1	1295	1041.53	371	19.3682
XM_014742364.1	1418	1164.53	153	7.14376
XM_014742365.1	1507	1253.53	3	0.130129
XM_014742366.1	1145	891.528	0	0
XM_014742367.1	3850	3596.53	0	0
XM_014742368.1	3851	3597.53	51.9862	0.785723
XM_014742369.1	3513	3259.53	736.078	12.2788
XM_014742370.1	3441	3187.53	0	0
XM_014742371.1	1483	1229.53	193.48	8.55622
XM_014742372.1	3442	3188.53	0	0
XM_014742373.1	3854	3600.53	37.6911	0.569192
XM_014742374.1	3842	3588.53	308.578	4.67556
XM_014742375.1	3261	3007.53	26.4651	0.478465
XM_014742376.1	3240	2986.53	7.34765e-07	1.33773e-08
XM_014742377.1	3762	3508.53	31.526	0.488573
XM_014742379.1	5477	5223.53	54.3839	0.566099
XM_014742380.1	5247	4993.53	86.1829	0.938424
XM_014742381.1	1482	1228.53	155.637	6.88834
XM_014742382.1	5228	4974.53	0	0
XM_014742383.1	5474	5220.53	0.0342105	0.000356312
XM_014742384.1	1854	1600.53	1213	41.2081
XM_014742385.1	3486	3232.53	0	0
XM_014742386.1	2859	2605.53	31.5757	0.658935
XM_014742387.1	3306	3052.53	0	0
XM_014742388.1	3239	2985.53	14.05	0.255883
XM_014742389.1	3217	2963.53	37.0745	0.680223
XM_014742390.1	3410	3156.53	19.062	0.328356
XM_014742391.1	1363	1109.53	570.883	27.9766
XM_014742392.1	3395	3141.53	29.5532	0.511505
XM_014742393.1	3380	3126.53	0	0
XM_014742394.1	3367	3113.53	6.40971	0.111936
XM_014742395.1	3357	3103.53	44.6478	0.782221
XM_014742396.1	3339	3085.53	0	0
XM_014742397.1	3274	3020.53	0	0
XM_014742398.1	3274	3020.53	4.17325	0.0751236
XM_014742399.1	3265	3011.53	20.9623	0.378475
XM_014742400.1	3199	2945.53	0.00403379	7.44621e-05
XM_014742401.1	3181	2927.53	0	0
XM_014742402.1	3160	2906.53	99.8304	1.86756
XM_014742403.1	3116	2862.53	0.000246782	4.68758e-06
XM_014742404.1	3106	2852.53	0.00197485	3.76435e-05
XM_014742405.1	2235	1981.53	13.1725	0.361454
XM_014742406.1	1882	1628.53	198.828	6.63845
XM_014742407.1	8051	7797.53	487.146	3.39694
XM_014742408.1	1211	957.528	231.828	13.1644
XM_014742409.1	1367	1113.53	91.8489	4.48496
XM_014742410.1	6019	5765.53	0	0
XM_014742411.1	6018	5764.53	0	0
XM_014742412.1	6016	5762.53	0	0
XM_014742413.1	7254	7000.53	1120	8.69907
XM_014742414.1	2771	2517.53	247.634	5.34838
XM_014742415.1	2771	2517.53	366.689	7.91971
XM_014742416.1	7446	7192.53	261.597	1.97759
XM_014742417.1	2026	1772.53	122.676	3.76317
XM_014742418.1	1545	1291.53	336	14.1456
XM_014742419.1	4932	4678.53	0	0
XM_014742420.1	4929	4675.53	24.5373	0.285352
XM_014742421.1	4902	4648.53	81.6984	0.955617
XM_014742422.1	4845	4591.53	516.24	6.11336
